cpd_id,category,old_formula,new_formula,formula_changed,old_charge,new_charge,charge_changed,old_stereo_defined,new_stereo_defined,old_stereo_potential,new_stereo_potential,old_smiles,new_smiles
cpd01274,stereo_lost,C17H21NO4,C17H21NO4,no,0,0,no,6,5,6,6,CN1[C@@H]2C[C@@H](OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12,CN1[C@@H]2CC(OC(=O)[C@H](CO)c3ccccc3)C[C@H]1[C@@H]1O[C@@H]12
cpd01314,canonicalization,C6FeN6,C6FeN6,no,-4,-4,no,0,0,1,1,N#C[Fe-4](C#N)(C#N)(C#N)(C#N)C#N,N#[C][Fe-4]([C]#N)([C]#N)([C]#N)([C]#N)[C]#N
cpd01449,canonicalization,C35H33MgN4O5,C35H33MgN4O5,no,-1,-1,no,7,7,7,7,C=Cc1c(C)/c2n3/c1=C\C1=N/C(=C\c4c(C)c5c(n4[Mg]3)/C(=C3\N=C(/C=2)[C@@H](C)[C@@H]3CCC(=O)[O-])[C@@H](C(=O)OC)C5=O)C(CC)=C1C,C=Cc1c(C)/c2[n]3/c1=C\C1=N/C(=C\c4c(C)c5c([n]4[Mg]3)/C(=C3\N=C(/C=2)[C@@H](C)[C@@H]3CCC(=O)[O-])[C@@H](C(=O)OC)C5=O)C(CC)=C1C
cpd01826,canonicalization,C63H86CoN14O14P,C63H86CoN14O14P,no,-2,-2,no,12,12,14,14,CC1=C2N3C(=C(CCC(N)=O)[C@]2(C)CC(N)=O)C=C2N4C(=C(CCC(N)=O)C2(C)C)C(C)=C2N5[C@@H]6[C@H](CC(N)=O)[C@@]2(C)CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@H]2[C@@H](O)[C@H](O[C@@H]2CO)n2c[n+](c7cc(C)c(C)cc72)[Co-3]435(C#N)[N+]2=C1[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@]62C,CC1=C2[N]3C(=C(CCC(N)=O)[C@]2(C)CC(N)=O)C=C2[N]4C(=C(CCC(N)=O)C2(C)C)C(C)=C2[N]5[C@@H]6[C@H](CC(N)=O)[C@@]2(C)CCC(=O)NC[C@@H](C)OP(=O)([O-])O[C@H]2[C@@H](O)[C@H](O[C@@H]2CO)n2c[n+](c7cc(C)c(C)cc72)[Co-3]435([C]#N)[N+]2=C1[C@@H](CCC(N)=O)[C@](C)(CC(N)=O)[C@]62C
cpd01845,canonicalization,C35H31MgN4O5,C35H31MgN4O5,no,-1,-1,no,5,5,5,5,C=Cc1c(C)/c2n3/c1=C\C1=N/C(=C\c4c(C)c5c(n4[Mg]3)/C(=C3\N=C(/C=2)C(C)=C3CCC(=O)[O-])[C@@H](C(=O)OC)C5=O)C(CC)=C1C,C=Cc1c(C)/c2[n]3/c1=C\C1=N/C(=C\c4c(C)c5c([n]4[Mg]3)/C(=C3\N=C(/C=2)C(C)=C3CCC(=O)[O-])[C@@H](C(=O)OC)C5=O)C(CC)=C1C
cpd02035,canonicalization,C34H30N4O4Zn,C34H30N4O4Zn,no,-2,-2,no,4,4,4,4,C=CC1=C(C)/C2=C/c3c(C)c(CCC(=O)[O-])c4n3[Zn]n3/c(c(C)c(C=C)/c3=C/C3=N/C(=C\4)C(CCC(=O)[O-])=C3C)=C\C1=N2,C=CC1=C(C)/C2=C/c3c(C)c(CCC(=O)[O-])c4[n]3[Zn][n]3/c(c(C)c(C=C)/c3=C/C3=N/C(=C\4)C(CCC(=O)[O-])=C3C)=C\C1=N2
cpd02168,stereo_representation_change,C40H66O7P2,C40H66O7P2,no,-2,-2,no,8,8,10,10,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/[C@H]1[C@H](COP(=O)([O-])OP(=O)([O-])O)[C@]1(C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C,CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/[C@@H]1[C@@H](COP(=O)([O-])OP(=O)([O-])O)[C@]1(C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C
cpd02179,canonicalization,C7H4ClHgO2,C7H4ClHgO2,no,-1,-1,no,0,0,0,0,O=C([O-])c1ccc([Hg]Cl)cc1,O=C([O-])c1cc[c]([Hg][Cl])cc1
cpd02215,added,,C21H17O12,no,,-1,no,,5,,5,,O=C([O-])[C@H]1O[C@@H](Oc2cc(O)c3c(=O)cc(-c4ccc(O)c(O)c4)oc3c2)[C@H](O)[C@@H](O)[C@@H]1O
cpd02216,canonicalization,C34H30MgN4O4,C34H30MgN4O4,no,-2,-2,no,4,4,4,4,C=CC1=C(C)C2=N/C1=C\c1c(C)c(CCC(=O)[O-])c3n1[Mg]n1/c(c(C)c(C=C)/c1=C/2)=C\C1=N/C(=C\3)C(CCC(=O)[O-])=C1C,C=CC1=C(C)C2=N/C1=C\c1c(C)c(CCC(=O)[O-])c3[n]1[Mg][n]1/c(c(C)c(C=C)/c1=C/2)=C\C1=N/C(=C\3)C(CCC(=O)[O-])=C1C
