cpd_id	conflict_type	reason	pubchem_cid	stored_inchikey	pubchem_inchikey
cpd00910	STEREO_DIFF_REJECTED	STEREO_DIFF rejected: PubChem has fewer defined stereocenters (9 vs 11)	11727586	VCWMRQDBPZKXKG-DXNLKLAMSA-N	VCWMRQDBPZKXKG-ZNVDUFQESA-N
cpd00917	XREF_CONFLICT			KEHGGNZINCVUHY-UHFFFAOYSA-M	
cpd00931	XREF_CONFLICT			HHKDAYBJPZYULV-ABEFGGPWSA-L	
cpd00934	STEREO_DIFF_REJECTED	STEREO_DIFF rejected: PubChem has fewer defined stereocenters (4 vs 6)	24742076	CIPFCGZLFXVXBG-CNWJWELYSA-F	CIPFCGZLFXVXBG-FTSGZOCFSA-F
cpd00942	STEREO_DIFF_REJECTED	STEREO_DIFF rejected: PubChem has fewer defined stereocenters (4 vs 6)	25243876	AYESCHMRXGYEFV-CDRYSYESSA-M	AYESCHMRXGYEFV-UYSNGIAKSA-M
cpd00943	STEREO_DIFF_REJECTED	STEREO_DIFF rejected: PubChem has fewer defined stereocenters (4 vs 6)	23615305	CTPQAXVNYGZUAJ-KXXVROSKSA-D	CTPQAXVNYGZUAJ-UYSNGIAKSA-D
cpd00950	STEREO_DIFF_REJECTED	STEREO_DIFF rejected: PubChem has fewer defined stereocenters (4 vs 6)	25244678	LQSANMIGNWXLNF-CDRYSYESSA-M	LQSANMIGNWXLNF-UYSNGIAKSA-M
cpd00982	XREF_CONFLICT			SDBHOOIZTSVSKT-UDQMLWBPSA-L	
cpd00986	XREF_CONFLICT			QZMUBZJJJKIXKV-UHFFFAOYSA-K	
cpd01049	STEREO_DIFF_REJECTED	STEREO_DIFF rejected: PubChem has fewer defined stereocenters (2 vs 3)	21608699	RKUNBYITZUJHSG-SPUOUPEWSA-O	RKUNBYITZUJHSG-PJPHBNEVSA-O
cpd01053	XREF_CONFLICT			TYJXBNGPLHOYOB-UHFFFAOYSA-N	
cpd01054	XREF_CONFLICT			GXXLZZYHIIGRLP-UHFFFAOYSA-N	
cpd01102	STEREO_DIFF_REJECTED	STEREO_DIFF rejected: PubChem has fewer defined stereocenters (0 vs 2)	25201854	FHRSHSOEWXUORL-HDJSIYSDSA-N	FHRSHSOEWXUORL-UHFFFAOYSA-N
cpd01119	XREF_CONFLICT			XCILFXNAMITKHJ-UHFFFAOYSA-M	
cpd01206	XREF_CONFLICT			ZWVBCRHOFNVAHM-UHFFFAOYSA-N	
cpd01213	XREF_CONFLICT			HBILWMWQMIYRIH-UHFFFAOYSA-M	
cpd01270	XREF_CONFLICT			JNFNEOXSUODPSY-PIGZVRMJSA-L	
cpd01271	STEREO_DIFF_REJECTED	STEREO_DIFF rejected: stereo_inversion: 1 of 12 shared stereocenters have different configuration	25245928	SQTCRTQCPJICLD-OXOJELPBSA-M	SQTCRTQCPJICLD-KTQDUKAHSA-L
cpd01276	XREF_CONFLICT			ANEBWDNUQVPSJT-UHFFFAOYSA-L	
cpd01277	STEREO_DIFF_REJECTED	STEREO_DIFF rejected: PubChem has fewer defined stereocenters (4 vs 6)	439590	ANLMVXSIPASBFL-FAEUDGQSSA-O	ANLMVXSIPASBFL-XGNJAFTASA-N
cpd01314	MISMATCH	MISMATCH: IGNORE:protonation_only_inchi (same connectivity and stereo, differs in protonation) — requires manual review	9552077	ORXDSIPBTFAEKJ-UHFFFAOYSA-N	UETZVSHORCDDTH-UHFFFAOYSA-N
cpd01353	XREF_CONFLICT			RXUOIPOSAYNCNG-UHFFFAOYSA-L	
cpd01371	XREF_CONFLICT			SQNUFIVZRRTSMY-ZROIWOOFSA-N	
cpd01372	MISMATCH	MISMATCH: IGNORE:tautomer (same canonical tautomer, stored form curated for biological relevance) — requires manual review	56928062	LYLYJIOHMZZUCM-AUWJEWJLSA-N	LNJMXTRRBBPZDK-AUWJEWJLSA-N
cpd01373	XREF_CONFLICT			LRMIIPGBEJPRFV-OYKKKHCWSA-N	
cpd01396	STEREO_DIFF_REJECTED	STEREO_DIFF rejected: PubChem has fewer defined stereocenters (3 vs 4)	638022	RKUNBYITZUJHSG-FXUDXRNXSA-O	RKUNBYITZUJHSG-VFSICIBPSA-O
cpd01443	XREF_CONFLICT			ISENAISFXYMWIU-UHFFFAOYSA-M	
cpd01620	XREF_CONFLICT			MFZGAVZCDXXITC-RYDLPOMNSA-F	
cpd01624	XREF_CONFLICT			ZVMKTYCTECBPLO-UJJXFSCMSA-F	
cpd01644	XREF_CONFLICT			QTHJXLFFFTVYJC-UHFFFAOYSA-L	
cpd01707	STEREO_DIFF_REJECTED	STEREO_DIFF rejected: PubChem has fewer defined stereocenters (4 vs 5)	448760	DTFAJAKTSMLKAT-JDCCYXBGSA-P	DTFAJAKTSMLKAT-KFJBKXNJSA-P
cpd01708	STEREO_DIFF_REJECTED	STEREO_DIFF rejected: PubChem has fewer defined stereocenters (4 vs 5)	439769	PYSUDYHJSLFULD-JDCCYXBGSA-P	PYSUDYHJSLFULD-KFJBKXNJSA-N
cpd01820	XREF_CONFLICT			CXCVEERYMJZMMM-DOCRCCHOSA-N	
cpd01826	XREF_CONFLICT			RMRCNWBMXRMIRW-UVKKECPRSA-N	
cpd01828	XREF_CONFLICT			ZWPWSXGBDMGKKS-ZDUSSCGKSA-O	
cpd01836	STEREO_DIFF_REJECTED	STEREO_DIFF rejected: PubChem has fewer defined stereocenters (4 vs 5)	439826	CTNBESGEKMCKRZ-AACCOFLISA-N	CTNBESGEKMCKRZ-LXGUWJNJSA-N
cpd01845	STEREO_DIFF_REJECTED	STEREO_DIFF rejected: PubChem has fewer defined stereocenters (1 vs 5)	439833	QBPCOMNNISRCTC-KKNVGXODSA-K	QBPCOMNNISRCTC-JSSVAETHSA-L
cpd01854	XREF_CONFLICT			PTGHKNQEZNRQKY-UHFFFAOYSA-L	
cpd01856	XREF_CONFLICT			MVUXMIXDFMUPLL-INIZCTEOSA-M	
cpd01870	XREF_CONFLICT			AYEXWOVTMNUXLA-UHFFFAOYSA-M	
cpd01938	XREF_CONFLICT			NIEGKMCCQQIZFR-UHFFFAOYSA-M	
cpd01940	XREF_CONFLICT			SZINUGQCTHLQAZ-DQYPLSBCSA-M	
cpd02023	XREF_CONFLICT			PHEPLGMHXVPTHB-UHFFFAOYSA-O	
cpd02032	STEREO_DIFF_REJECTED	STEREO_DIFF rejected: PubChem has fewer defined stereocenters (4 vs 6)	439934	JOZGBZPOJJCPEP-FAEUDGQSSA-N	JOZGBZPOJJCPEP-XGNJAFTASA-N
cpd02035	STEREO_DIFF_REJECTED	STEREO_DIFF rejected: PubChem has fewer defined stereocenters (0 vs 4)	439935	FUTVBRXUIKZACV-RGGAHWMASA-J	FUTVBRXUIKZACV-UHFFFAOYSA-L
cpd02048	XREF_CONFLICT			DUAVZCXHIINBQU-ILGMQVKHSA-N	
cpd02082	STEREO_DIFF_REJECTED	STEREO_DIFF rejected: PubChem has fewer defined stereocenters (0 vs 2)	25201006	LPWHBGUXJFSETQ-XUTJKUGGSA-O	LPWHBGUXJFSETQ-UHFFFAOYSA-O
cpd02136	STEREO_DIFF_REJECTED	STEREO_DIFF rejected: PubChem has fewer defined stereocenters (4 vs 6)	439990	DSCFFEYYQKSRSV-GWJPIIGYSA-N	DSCFFEYYQKSRSV-MVWKSXLKSA-N
cpd02216	STEREO_DIFF_REJECTED	STEREO_DIFF rejected: PubChem has fewer defined stereocenters (0 vs 4)	440035	REJJDEGSUOCEEW-RGGAHWMASA-J	REJJDEGSUOCEEW-UHFFFAOYSA-L
cpd02230	STEREO_DIFF_REJECTED	STEREO_DIFF rejected: PubChem has fewer defined stereocenters (4 vs 6)	25200523	INAPMGSXUVUWAF-CNWJWELYSA-L	INAPMGSXUVUWAF-GFWFORPUSA-L
cpd02296	STEREO_DIFF_REJECTED	STEREO_DIFF rejected: PubChem has fewer defined stereocenters (4 vs 6)	440078	DSCFFEYYQKSRSV-AGZHHQKVSA-N	DSCFFEYYQKSRSV-DQUUFWEPSA-N
