ModelSEED ID	External ID	Source
rxn00001	3.6.1.1	Enzyme Class
rxn00002	3.5.1.54	Enzyme Class
rxn00003	2.2.1.6	Enzyme Class
rxn00004	4.1.3.17	Enzyme Class
rxn00006	1.11.1.21	Enzyme Class
rxn00006	1.11.1.6	Enzyme Class
rxn00007	3.2.1.28	Enzyme Class
rxn00008	1.11.1.13	Enzyme Class
rxn00009	2.7.7.45	Enzyme Class
rxn00010	4.1.1.47	Enzyme Class
rxn00011	1.2.4.1	Enzyme Class
rxn00011	2.2.1.6	Enzyme Class
rxn00011	4.1.1.1	Enzyme Class
rxn00012	2.4.1.99	Enzyme Class
rxn00013	2.7.1.41	Enzyme Class
rxn00014	1.11.1.5	Enzyme Class
rxn00015	2.5.1.44	Enzyme Class
rxn00016	3.2.1.52	Enzyme Class
rxn00017	1.7.1.5	Enzyme Class
rxn00018	4.1.1.39	Enzyme Class
rxn00019	1.13.11.32	Enzyme Class
rxn00020	3.2.1.21	Enzyme Class
rxn00021	4.1.2.38	Enzyme Class
rxn00022	3.2.1.20	Enzyme Class
rxn00023	1.8.2.2	Enzyme Class
rxn00024	1.10.3.1	Enzyme Class
rxn00025	1.13.11.63	Enzyme Class
rxn00025	1.14.99.36	Enzyme Class
rxn00026	1.1.3.23	Enzyme Class
rxn00027	4.1.99.3	Enzyme Class
rxn00028	1.10.3.3	Enzyme Class
rxn00029	4.2.1.24	Enzyme Class
rxn00030	4.1.2.35	Enzyme Class
rxn00031	2.4.1.166	Enzyme Class
rxn00032	1.1.3.17	Enzyme Class
rxn00033	1.2.3.13	Enzyme Class
rxn00034	1.13.11.43	Enzyme Class
rxn00035	1.21.3.2	Enzyme Class
rxn00036	1.10.3.1	Enzyme Class
rxn00037	1.14.99.-	Enzyme Class
rxn00038	3.1.1.22	Enzyme Class
rxn00039	2.3.1.90	Enzyme Class
rxn00040	3.1.1.20	Enzyme Class
rxn00041	3.1.1.40	Enzyme Class
rxn00042	1.1.3.28	Enzyme Class
rxn00043	1.10.3.1	Enzyme Class
rxn00043	1.14.18.1	Enzyme Class
rxn00044	3.5.1.46	Enzyme Class
rxn00045	2.4.1.95	Enzyme Class
rxn00046	2.3.1.103	Enzyme Class
rxn00047	4.2.2.6	Enzyme Class
rxn00048	2.5.1.9	Enzyme Class
rxn00050	1.14.13.-	Enzyme Class
rxn00052	1.1.3.23	Enzyme Class
rxn00053	1.14.99.1	Enzyme Class
rxn00054	1.10.3.4	Enzyme Class
rxn00055	2.5.1.43	Enzyme Class
rxn00056	1.16.3.1	Enzyme Class
rxn00057	1.1.3.14	Enzyme Class
rxn00057	1.10.3.1	Enzyme Class
rxn00058	1.7.2.1	Enzyme Class
rxn00058	1.9.3.1	Enzyme Class
rxn00059	1.10.3.2	Enzyme Class
rxn00060	2.5.1.61	Enzyme Class
rxn00060	4.3.1.8	Enzyme Class
rxn00061	3.6.1.5	Enzyme Class
rxn00062	3.6.1.15	Enzyme Class
rxn00062	3.6.1.3	Enzyme Class
rxn00062	3.6.1.5	Enzyme Class
rxn00062	3.6.1.8	Enzyme Class
rxn00062	3.6.3.1	Enzyme Class
rxn00062	3.6.3.10	Enzyme Class
rxn00062	3.6.3.11	Enzyme Class
rxn00062	3.6.3.12	Enzyme Class
rxn00062	3.6.3.14	Enzyme Class
rxn00062	3.6.3.15	Enzyme Class
rxn00062	3.6.3.16	Enzyme Class
rxn00062	3.6.3.17	Enzyme Class
rxn00062	3.6.3.18	Enzyme Class
rxn00062	3.6.3.19	Enzyme Class
rxn00062	3.6.3.2	Enzyme Class
rxn00062	3.6.3.20	Enzyme Class
rxn00062	3.6.3.21	Enzyme Class
rxn00062	3.6.3.22	Enzyme Class
rxn00062	3.6.3.23	Enzyme Class
rxn00062	3.6.3.24	Enzyme Class
rxn00062	3.6.3.25	Enzyme Class
rxn00062	3.6.3.26	Enzyme Class
rxn00062	3.6.3.27	Enzyme Class
rxn00062	3.6.3.28	Enzyme Class
rxn00062	3.6.3.29	Enzyme Class
rxn00062	3.6.3.3	Enzyme Class
rxn00062	3.6.3.30	Enzyme Class
rxn00062	3.6.3.31	Enzyme Class
rxn00062	3.6.3.32	Enzyme Class
rxn00062	3.6.3.33	Enzyme Class
rxn00062	3.6.3.34	Enzyme Class
rxn00062	3.6.3.35	Enzyme Class
rxn00062	3.6.3.36	Enzyme Class
rxn00062	3.6.3.37	Enzyme Class
rxn00062	3.6.3.38	Enzyme Class
rxn00062	3.6.3.39	Enzyme Class
rxn00062	3.6.3.4	Enzyme Class
rxn00062	3.6.3.40	Enzyme Class
rxn00062	3.6.3.41	Enzyme Class
rxn00062	3.6.3.42	Enzyme Class
rxn00062	3.6.3.43	Enzyme Class
rxn00062	3.6.3.44	Enzyme Class
rxn00062	3.6.3.46	Enzyme Class
rxn00062	3.6.3.47	Enzyme Class
rxn00062	3.6.3.48	Enzyme Class
rxn00062	3.6.3.49	Enzyme Class
rxn00062	3.6.3.5	Enzyme Class
rxn00062	3.6.3.50	Enzyme Class
rxn00062	3.6.3.51	Enzyme Class
rxn00062	3.6.3.52	Enzyme Class
rxn00062	3.6.3.53	Enzyme Class
rxn00062	3.6.3.54	Enzyme Class
rxn00062	3.6.3.55	Enzyme Class
rxn00062	3.6.3.6	Enzyme Class
rxn00062	3.6.3.7	Enzyme Class
rxn00062	3.6.3.8	Enzyme Class
rxn00062	3.6.3.9	Enzyme Class
rxn00062	3.6.4.1	Enzyme Class
rxn00062	3.6.4.10	Enzyme Class
rxn00062	3.6.4.11	Enzyme Class
rxn00062	3.6.4.12	Enzyme Class
rxn00062	3.6.4.13	Enzyme Class
rxn00062	3.6.4.2	Enzyme Class
rxn00062	3.6.4.3	Enzyme Class
rxn00062	3.6.4.4	Enzyme Class
rxn00062	3.6.4.5	Enzyme Class
rxn00062	3.6.4.6	Enzyme Class
rxn00062	3.6.4.7	Enzyme Class
rxn00062	3.6.4.8	Enzyme Class
rxn00062	3.6.4.9	Enzyme Class
rxn00062	5.6.1.c	Enzyme Class
rxn00062	5.6.1.d	Enzyme Class
rxn00062	5.6.1.f	Enzyme Class
rxn00062	5.6.1.g	Enzyme Class
rxn00062	7.3.2.a	Enzyme Class
rxn00062	7.3.2.f	Enzyme Class
rxn00062	7.5.2.h	Enzyme Class
rxn00062	7.5.2.j	Enzyme Class
rxn00062	7.5.2.l	Enzyme Class
rxn00062	7.6.2.c	Enzyme Class
rxn00062	7.6.2.f	Enzyme Class
rxn00063	3.6.1.8	Enzyme Class
rxn00064	3.5.4.18	Enzyme Class
