ModelSEED ID	External ID	Source
rxn00001	Diphosphate phosphohydrolase	name
rxn00001	INORGPYROPHOSPHAT-RXN	name
rxn00001	Inorganic diphosphatase	name
rxn00001	Inorganic pyrophosphatase	name
rxn00001	PPA	name
rxn00001	Pyrophosphate phosphohydrolase	name
rxn00001	diphosphate phosphohydrolase	name
rxn00001	inorganic diphosphatase	name
rxn00001	inorganic diphosphatase (one proton translocation)	name
rxn00001	inorganicdiphosphatase	name
rxn00001	pyrophosphate phosphohydrolase	name
rxn00002	Allophanate hydrolase	name
rxn00002	AtzF	name
rxn00002	TrzF	name
rxn00002	Urea-1-carboxylate amidohydrolase	name
rxn00002	allophanate hydrolase	name
rxn00002	allophanate lyase	name
rxn00002	urea-1-carboxylate amidohydrolase	name
rxn00003	2-acetolactate pyruvate-lyase (carboxylating)	name
rxn00003	Acetolactate synthase	name
rxn00003	Acetolactate synthase catalytic subunit	name
rxn00003	acetolactate synthase (Also catalyzes ACHBS)	name
rxn00003	acetolactate synthase large subunit	name
rxn00003	acetolactate synthase small subunit	name
rxn00003	pyruvate:pyruvate acetaldehydetransferase (decarboxylating)	name
rxn00004	4-Hydroxy-4-methyl-2-oxoglutarate pyruvate-lyase	name
rxn00004	4-hydroxy-4-methyl-2-oxoglutarate pyruvate-lyase (pyruvate-forming)	name
rxn00006	CAT	name
rxn00006	CATAL-RXN	name
rxn00006	Catalase	name
rxn00006	caperase	name
rxn00006	catalase A	name
rxn00006	catalase-peroxidase	name
rxn00006	donor:hydrogen-peroxide oxidoreductase	name
rxn00006	equilase	name
rxn00006	hydrogen-peroxide:hydrogen-peroxide oxidoreductase	name
rxn00006	katG (gene name)	name
rxn00006	optidase	name
rxn00007	R06103	name
rxn00007	alpha,alpha-Trehalose glucohydrolase	name
rxn00007	alpha,alpha-trehalase	name
rxn00007	alpha,alpha-trehalose glucohydrolase	name
rxn00008	Mn(II):hydrogen-peroxide oxidoreductase	name
rxn00008	Mn-dependent (NADH-oxidizing) peroxidase	name
rxn00008	manganese peroxidase	name
rxn00008	peroxidase-M2	name
rxn00009	GTP-GTP guanylyltransferase	name
rxn00009	GTP:GTP guanylyltransferase	name
rxn00009	Gp4G synthetase	name
rxn00009	diguanosine tetraphosphate synthetase	name
rxn00009	guanosine triphosphate-guanose triphosphate guanylyltransferase	name
rxn00009	guanosine-triphosphate guanylyltransferase	name
rxn00010	Glyoxylate carboxy-lyase (dimerizing)	name
rxn00010	glyoxalate carboligase	name
rxn00010	glyoxylate carbo-ligase	name
rxn00010	glyoxylate carboxy-lyase (dimerizing)	name
rxn00010	glyoxylate carboxy-lyase (dimerizing, tartronate-semialdehyde-forming)	name
rxn00010	glyoxylate carboxy-lyase (dimerizing; tartronate-semialdehyde-forming)	name
rxn00010	glyoxylic carbo-ligase	name
rxn00010	hydroxymalonic semialdehyde carboxylase	name
rxn00010	tartronate semialdehyde carboxylase	name
rxn00010	tartronate-semialdehyde synthase	name
rxn00010	tartronic semialdehyde carboxylase	name
rxn00011	pyruvate dehydrogenase E1 component alpha subunit	name
rxn00011	pyruvate:thiamin diphosphate acetaldehydetransferase	name
rxn00011	pyruvate:thiamin diphosphate acetaldehydetransferase (decarboxylating)	name
rxn00012	Sucrose:sucrose 1F-beta-D-fructosyltransferase	name
rxn00012	sucrose:sucrose 1'-beta-D-fructosyltransferase	name
rxn00012	sucrose:sucrose 1F-beta-D-fructosyltransferase	name
rxn00013	D-Glucose-1-phosphate:D-glucose-1-phosphate 6-phosphotransferase	name
rxn00013	glucose-1-phosphate phosphodismutase	name
rxn00014	CCP	name
rxn00014	Cytochrome c peroxidase	name
rxn00014	Cytochromecperoxidase	name
rxn00014	Ferrocytochrome-c:hydrogen-peroxide oxidoreductase	name
rxn00014	ferrocytochrome-c:hydrogen-peroxide oxidoreductase	name
rxn00015	Putrescine:putrescine 4-aminobutyltransferase (ammonia-forming)	name
rxn00015	homospermidine synthase	name
rxn00015	putrescine:putrescine 4-aminobutyltransferase (ammonia-forming)	name
rxn00016	Hexosaminidase	name
rxn00016	N,N'-diacetylchitobiose beta-N-acetylglucosaminidase	name
rxn00016	chitobiose N-acetylglucosaminohydrolase	name
rxn00017	NADH2:hyponitrite oxidoreductase	name
rxn00017	NADH:hyponitrite oxidoreductase	name
rxn00017	hydroxylamine:NAD+ oxidoreductase	name
rxn00017	hyponitrite reductase	name
rxn00018	3-phospho-D-glycerate carboxy-lyase (dimerizing)	name
rxn00018	3-phospho-D-glycerate carboxy-lyase (dimerizing, D-ribulose-1,5-bisphosphate-forming)	name
rxn00018	3-phospho-D-glycerate carboxy-lyase (dimerizing; D-ribulose-1,5-bisphosphate-forming)	name
rxn00018	D-Ribulose 1,5-bisphosphate carboxy-lyase (dimerizing)	name
rxn00018	D-ribulose 1,5-diphosphate carboxylase	name
rxn00018	D-ribulose-1,5-bisphosphate carboxylase	name
rxn00018	RIBULOSE-BISPHOSPHATE-CARBOXYLASE-RXN	name
rxn00018	RuBP carboxylase	name
rxn00018	carboxydismutase	name
rxn00018	diphosphoribulose carboxylase	name
rxn00018	ribulose 1,5-bisphosphate carboxylase	name
rxn00018	ribulose 1,5-bisphosphate carboxylase/oxygenase	name
rxn00018	ribulose 1,5-diphosphate carboxylase	name
rxn00018	ribulose 1,5-diphosphate carboxylase/oxygenase	name
rxn00018	ribulose bisphosphate carboxylase/oxygenase	name
rxn00018	ribulose diphosphate carboxylase	name
rxn00018	ribulose diphosphate carboxylase/oxygenase	name
rxn00018	ribulose-bisphosphate carboxylase	name
rxn00018	rubisco	name
rxn00019	2-Nitropropane:oxygen 2-oxidoreductase	name
rxn00020	R06092	name
rxn00020	beta-D-Glucoside glucohydrolase	name
rxn00020	cellobiose glucohydrolase	name
rxn00021	2-Hydroxy-1,2-diphenylethanone benzaldehyde-lyase	name
rxn00021	2-hydroxy-1,2-diphenylethanone benzaldehyde-lyase (benzaldehyde-forming)	name
rxn00022	Probable alpha-glucosidase FSP2	name
rxn00022	R06084	name
rxn00022	alpha-D-Glucoside glucohydrolase	name
rxn00022	alpha-glucosidase	name
rxn00022	maltose glucohydrolase	name
