ModelSEED ID	External ID	Source
rxn00001	R_R00004_c	AlgaGEM
rxn00001	INORGPYROPHOSPHAT-RXN	AraCyc
rxn00001	R_R00004_c	AraGEM
rxn00001	IPP1	BiGG
rxn00001	PPA	BiGG
rxn00001	PPA_1	BiGG
rxn00001	PPAm	BiGG
rxn00001	INORGPYROPHOSPHAT-RXN	BrachyCyc
rxn00001	INORGPYROPHOSPHAT-RXN	ChlamyCyc
rxn00001	INORGPYROPHOSPHAT-RXN	CornCyc
rxn00001	INORGPYROPHOSPHAT-RXN	EcoCyc
rxn00001	R_IDPh	JP_Creinhardtii_MSB
rxn00001	R_IDPm	JP_Creinhardtii_MSB
rxn00001	R_IDPh	JP_Creinhardtii_NMeth
rxn00001	R_IDPm	JP_Creinhardtii_NMeth
rxn00001	R00004	KEGG
rxn00001	INORGPYROPHOSPHAT-RXN	MaizeCyc
rxn00001	R_R00004_c	Maize_C4GEM
rxn00001	INORGPYROPHOSPHAT-RXN	MetaCyc
rxn00001	INORGPYROPHOSPHAT-RXN	PlantCyc
rxn00001	INORGPYROPHOSPHAT-RXN	PoplarCyc
rxn00001	24576	Rhea
rxn00001	24577	Rhea
rxn00001	24578	Rhea
rxn00001	24579	Rhea
rxn00001	INORGPYROPHOSPHAT-RXN	RiceCyc
rxn00001	INORGPYROPHOSPHAT-RXN	SorghumCyc
rxn00001	INORGPYROPHOSPHAT-RXN	SoyCyc
rxn00001	rxn409_c	TS_Athaliana
rxn00001	rxn409_g	TS_Athaliana
rxn00001	rxn409_p	TS_Athaliana
rxn00001	rxn409_v	TS_Athaliana
rxn00001	PPA	iAF1260
rxn00001	PPA	iAF692
rxn00001	PPA_1	iAF692
rxn00001	rbs_266	iAG612
rxn00001	rbs_267	iAG612
rxn00001	INORGPYROPHOSPHAT-RXN	iAbaylyiv4
rxn00001	PPA	iGT196
rxn00001	IPP1	iIN800
rxn00001	PPA	iIT341
rxn00001	PPA	iJN746
rxn00001	PPA	iJR904
rxn00001	PPA	iMA945
rxn00001	PPA	iMEO21
rxn00001	PPA	iMM904
rxn00001	PPAm	iMM904
rxn00001	PPA	iMO1053-PAO1
rxn00001	PPA	iMO1056
rxn00001	PPA	iND750
rxn00001	PPAm	iND750
rxn00001	PPA	iNJ661
rxn00001	PPA	iPS189
rxn00001	PPA	iRR1083
rxn00001	R_R00004_c	iRS1563
rxn00001	R_R00004_p	iRS1563
rxn00001	R00004_c	iRS1597
rxn00001	PPA	iSB619
rxn00001	PPA	iSO783
rxn00001	PPA	iYO844
rxn00001	MNXR100808	metanetx.reaction
rxn00002	ALLOPHANATE-HYDROLASE-RXN	AraCyc
rxn00002	ALPHNH	BiGG
rxn00002	DUR1_2	BiGG
rxn00002	ALLOPHANATE-HYDROLASE-RXN	ChlamyCyc
rxn00002	R_ALPH	JP_Creinhardtii_MSB
rxn00002	R_ALPHm	JP_Creinhardtii_MSB
rxn00002	R00005	KEGG
rxn00002	ALLOPHANATE-HYDROLASE-RXN	MetaCyc
rxn00002	ALLOPHANATE-HYDROLASE-RXN	PlantCyc
rxn00002	19029	Rhea
rxn00002	19030	Rhea
rxn00002	19031	Rhea
rxn00002	19032	Rhea
rxn00002	ALLOPHANATE-HYDROLASE-RXN	iAbaylyiv4
rxn00002	DUR1_2	iIN800
rxn00002	ALPHNH	iMM904
rxn00002	ALPHNH	iND750
rxn00002	MNXR95786	metanetx.reaction
rxn00003	R_R00006_c	AlgaGEM
rxn00003	R_R00006_c	AraGEM
rxn00003	ILV2_2	BiGG
rxn00003	reac_140	DF_Athaliana
rxn00003	R00006	KEGG
rxn00003	R_R00006_c	Maize_C4GEM
rxn00003	rxn133_p	TS_Athaliana
rxn00003	rbs_19	iAG612
rxn00003	rbs_20	iAG612
rxn00003	rll_16	iAO358
rxn00003	rll_206	iAO358
rxn00003	rll_212	iAO358
rxn00003	ACETOLACTSYN-RXN	iAbaylyiv4
rxn00003	ILV2_2	iIN800
rxn00003	ACLS	iMO1053-PAO1
rxn00003	R_R00006_c	iRS1563
rxn00003	R00006_c	iRS1597
rxn00003	MNXR106335	metanetx.reaction
rxn00004	R00008	KEGG
rxn00004	22748	Rhea
rxn00004	22749	Rhea
rxn00004	22750	Rhea
rxn00004	22751	Rhea
rxn00004	MNXR106336	metanetx.reaction
rxn00006	R_R00009_x	AlgaGEM
rxn00006	CATAL-RXN	AraCyc
rxn00006	R_R00009_x	AraGEM
rxn00006	CAT	BiGG
rxn00006	CATp	BiGG
rxn00006	CTA1	BiGG
rxn00006	CTT1	BiGG
rxn00006	CATAL-RXN	BrachyCyc
rxn00006	CATAL-RXN	ChlamyCyc
rxn00006	CATAL-RXN	CornCyc
rxn00006	CATAL-RXN	EcoCyc
rxn00006	RXN-12121	EcoCyc
rxn00006	R00009	KEGG
rxn00006	CATAL-RXN	MaizeCyc
rxn00006	R_R00009_x	Maize_C4GEM
rxn00006	CATAL-RXN	MetaCyc
rxn00006	RXN-12121	MetaCyc
rxn00006	CATAL-RXN	PlantCyc
rxn00006	CATAL-RXN	PoplarCyc
rxn00006	20309	Rhea
rxn00006	20310	Rhea
rxn00006	20311	Rhea
rxn00006	20312	Rhea
rxn00006	CATAL-RXN	RiceCyc
rxn00006	CATAL-RXN	SorghumCyc
rxn00006	CATAL-RXN	SoyCyc
rxn00006	rxn210_m	TS_Athaliana
rxn00006	rxn210_x	TS_Athaliana
rxn00006	CAT	iAF1260
rxn00006	CAT	iAF692
rxn00006	CATAL-RXN	iAbaylyiv4
rxn00006	CTA1	iIN800
rxn00006	CTT1	iIN800
rxn00006	CAT	iIT341
rxn00006	CAT	iJN746
rxn00006	CAT	iJR904
rxn00006	CAT	iMA945
rxn00006	CAT	iMEO21
rxn00006	CAT	iMM904
rxn00006	CATp	iMM904
rxn00006	CAT	iMO1053-PAO1
rxn00006	CAT	iMO1056
rxn00006	CAT	iND750
rxn00006	CATp	iND750
rxn00006	CAT	iNJ661
rxn00006	CAT	iRR1083
rxn00006	R_R00009_p	iRS1563
rxn00006	R_R00009_x	iRS1563
rxn00006	R00009_x	iRS1597
rxn00006	CAT	iSB619
rxn00006	CAT	iSO783
