MS ID	Old MS ID	External ID	Source
rxn01850		+-NEOMENTHOL-DEHYDROGENASE-RXN.c	AraCyc
rxn01566		--MENTHOL-DEHYDROGENASE-RXN.c	AraCyc
rxn16846		1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN.c	AraCyc
rxn37647		1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN.m	AraCyc
rxn37648		1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN.r	AraCyc
rxn37649		1-ACYLGLYCEROL-3-P-ACYLTRANSFER-RXN.v	AraCyc
rxn16849		1-PHOSPHATIDYLINOSITOL-3-KINASE-RXN.c	AraCyc
rxn16850		1-PHOSPHATIDYLINOSITOL-KINASE-RXN.c	AraCyc
rxn01880		1.1.1.141-RXN.c	AraCyc
rxn16856		1.1.1.145-RXN.c	AraCyc
rxn16861		1.1.1.170-RXN.c	AraCyc
rxn04947		1.1.1.170-RXN.c.araexp.NADP_NADPH	AraCyc
rxn03093		1.1.1.170-RXN.c.araexp.NAD_NADH	AraCyc
rxn02933		1.1.1.178-RXN.c	AraCyc
rxn01938		1.1.1.190-RXN.c	AraCyc
rxn16864		1.1.1.201-RXN.c	AraCyc
rxn16867		1.1.1.211-RXN.c	AraCyc
rxn16869		1.1.1.222-RXN.c	AraCyc
rxn02395		1.1.1.222-RXN.c.araexp.NADP_NADPH	AraCyc
rxn02393		1.1.1.222-RXN.c.araexp.NAD_NADH	AraCyc
rxn01336		1.1.1.239-RXN.c	AraCyc
rxn03213		1.1.1.248-RXN.c	AraCyc
rxn02079		1.1.1.252-RXN.c	AraCyc
rxn16872		1.1.1.255-RXN.c	AraCyc
rxn16880		1.1.1.271-RXN.c	AraCyc
rxn16884		1.1.1.285-RXN.c	AraCyc
rxn04940		1.1.1.285-RXN.c.araexp.NADP_NADPH	AraCyc
rxn04939		1.1.1.285-RXN.c.araexp.NAD_NADH	AraCyc
rxn04763		1.1.1.288-RXN.c	AraCyc
rxn01501		1.1.1.34-RXN.c	AraCyc
rxn16888		1.1.1.34-RXN.r	AraCyc
rxn27458		1.1.1.34-RXN.v	AraCyc
rxn27459		1.1.1.39-RXN.m	AraCyc
rxn16891		1.1.1.51-RXN.c	AraCyc
rxn01338		1.1.1.51-RXN.c.araexp.NADP_NADPH	AraCyc
rxn01336		1.1.1.51-RXN.c.araexp.NAD_NADH	AraCyc
rxn01338		1.1.1.64-RXN.c	AraCyc
rxn27460		1.1.1.8-RXN.d	AraCyc
rxn17000		1.10.2.2-RXN.m	AraCyc
rxn37650		1.10.2.2-RXN.m.araexp.CPD-9956_Cytochromes-C-Oxidized_Cytochromes-C-Reduced_UBIQUINONE-8	AraCyc
rxn17047		1.11.1.12-RXN.c	AraCyc
rxn27462		1.11.1.12-RXN.m	AraCyc
rxn17048		1.11.1.15-RXN.c	AraCyc
rxn03988		1.14.11.18-RXN.c	AraCyc
rxn17062		1.14.11.19-RXN.c	AraCyc
rxn17063		1.14.11.2-RXN.c	AraCyc
rxn04088		1.14.11.20-RXN.c	AraCyc
rxn17065		1.14.11.9-RXN.c	AraCyc
rxn14129		1.14.13.104-RXN.c	AraCyc
rxn17080		1.14.13.36-RXN.r	AraCyc
rxn01954		1.14.13.42-RXN.c	AraCyc
rxn03993		1.14.13.68-RXN.c	AraCyc
rxn03996		1.14.13.70-RXN.c	AraCyc
rxn03997		1.14.13.71-RXN.c	AraCyc
rxn17094		1.14.13.72-RXN.c	AraCyc
rxn04001		1.14.13.72-RXN.c.araexp.NADP_NADPH	AraCyc
rxn03104		1.14.13.72-RXN.c.araexp.NAD_NADH	AraCyc
rxn04086		1.14.13.73-RXN.c	AraCyc
rxn04181		1.14.13.77-RXN.c	AraCyc
rxn04165		1.14.13.78-RXN.c	AraCyc
rxn04168		1.14.13.79-RXN.c	AraCyc
rxn02398		1.14.13.8-RXN.c	AraCyc
rxn27465		1.14.13.87-RXN.r	AraCyc
rxn04981		1.14.13.93-RXN.c	AraCyc
rxn27468		1.14.13.93-RXN.r	AraCyc
rxn17118		1.14.19.1-RXN.c	AraCyc
rxn17120		1.14.19.2-RXN.c	AraCyc
rxn17121		1.14.19.3-RXN.c	AraCyc
rxn17122		1.14.19.4-RXN.c	AraCyc
rxn17125		1.14.21.6-RXN.c	AraCyc
rxn04993		1.14.21.6-RXN.c.araexp.NADP_NADPH	AraCyc
rxn02371		1.14.21.6-RXN.c.araexp.NAD_NADH	AraCyc
rxn27472		1.14.99.30-RXN.c	AraCyc
rxn17135		1.14.99.33-RXN.c	AraCyc
rxn00025		1.14.99.36-RXN.c	AraCyc
rxn17143		1.14.99.37-RXN.c	AraCyc
rxn17196		1.18.1.2-RXN.c	AraCyc
rxn17196		1.18.1.2-RXN.c.araexp.Oxidized-ferredoxins_Reduced-ferredoxins	AraCyc
rxn09567		1.2.1.1-RXN.c	AraCyc
rxn17199		1.2.1.13-RXN.d	AraCyc
rxn00371		1.2.1.2-RXN.c	AraCyc
rxn27481		1.2.1.25-RXN.m	AraCyc
rxn27482		1.2.1.27-RXN.m	AraCyc
rxn17202		1.2.1.31-RXN.c	AraCyc
rxn02227		1.2.1.31-RXN.c.araexp.NADP_NADPH	AraCyc
rxn02226		1.2.1.31-RXN.c.araexp.NAD_NADH	AraCyc
rxn02107		1.2.1.65-RXN.c	AraCyc
rxn00779		1.2.1.9-RXN.c	AraCyc
rxn17204		1.2.2.4-RXN.c	AraCyc
rxn04766		1.2.3.14-RXN.c	AraCyc
rxn17206		1.2.4.4-RXN.c	AraCyc
rxn17206		1.2.4.4-RXN.c.araexp.BCAA-dehydrogenase-2MP-DH-lipoyl_BCAA-dehydrogenase-lipoyl	AraCyc
rxn27484		1.3.1.2-RXN.d	AraCyc
rxn00585		1.3.1.20-RXN.c	AraCyc
rxn03911		1.3.1.70-RXN.c	AraCyc
rxn17224		1.3.1.77-RXN.c	AraCyc
rxn35642		1.3.1.77-RXN.c.araexp.CPD-10358_CPD-7090_NADP_NADPH	AraCyc
rxn35643		1.3.1.77-RXN.c.araexp.CPD-10358_CPD-7090_NAD_NADH	AraCyc
rxn11672		1.3.1.77-RXN.c.araexp.CPD-10411_CPD-7090_NADP_NADPH	AraCyc
rxn35644		1.3.1.77-RXN.c.araexp.CPD-10411_CPD-7090_NAD_NADH	AraCyc
rxn11670		1.3.1.77-RXN.c.araexp.CPD-10413_NADP_NADPH_PELARGONIDIN-CMPD	AraCyc
rxn35645		1.3.1.77-RXN.c.araexp.CPD-10413_NAD_NADH_PELARGONIDIN-CMPD	AraCyc
rxn35646		1.3.1.77-RXN.c.araexp.CPD-1961_CPD-591_NADP_NADPH	AraCyc
rxn35647		1.3.1.77-RXN.c.araexp.CPD-1961_CPD-591_NAD_NADH	AraCyc
rxn35648		1.3.1.77-RXN.c.araexp.CPD-1962_NADP_NADPH_PELARGONIDIN-CMPD	AraCyc
rxn35649		1.3.1.77-RXN.c.araexp.CPD-1962_NAD_NADH_PELARGONIDIN-CMPD	AraCyc
rxn11671		1.3.1.77-RXN.c.araexp.CPD-591_CPD-7630_NADP_NADPH	AraCyc
rxn35650		1.3.1.77-RXN.c.araexp.CPD-591_CPD-7630_NAD_NADH	AraCyc
rxn05994		1.3.1.9-RXN.c	AraCyc
rxn37651		1.3.1.9-RXN.c.araexp.Cis-vaccenoyl-ACPs_cis-vaccen-2-enoyl-ACPs	AraCyc
rxn02536		1.3.3.9-RXN.c	AraCyc
rxn17229		1.3.7.4-RXN.c	AraCyc
rxn17229		1.3.7.4-RXN.c.araexp.Oxidized-ferredoxins_Reduced-ferredoxins	AraCyc
rxn17238		1.3.99.5-RXN.c	AraCyc
rxn04954		1.5.1.20-RXN.c	AraCyc
rxn00510		1.5.1.7-RXN.c	AraCyc
rxn00511		1.5.1.8-RXN.c	AraCyc
rxn01662		1.5.1.9-RXN.c	AraCyc
rxn13388		1.5.3.17-RXN.c	AraCyc
rxn17249		1.5.4.1-RXN.c	AraCyc
rxn17250		1.5.5.1-RXN.c	AraCyc
rxn17254		1.5.99.12-RXN.c	AraCyc
rxn17257		1.6.4.4-RXN.c	AraCyc
rxn00071		1.6.5.4-RXN.c	AraCyc
rxn17260		1.6.99.5-RXN.c	AraCyc
rxn17269		1.8.1.4-RXN.c	AraCyc
rxn24412		1.8.1.4-RXN.c.araexp.BCAA-dehydrogenase-DH-lipoyl_BCAA-dehydrogenase-lipoyl	AraCyc
rxn37652		1.8.1.4-RXN.c.araexp.BCAA-dehydrogenase-DH-lipoyl_Oxo-glutarate-dehydrogenase-lipoyl	AraCyc
rxn37653		1.8.1.4-RXN.c.araexp.BCAA-dehydrogenase-DH-lipoyl_Pyruvate-dehydrogenase-lipoate	AraCyc
rxn37654		1.8.1.4-RXN.c.araexp.BCAA-dehydrogenase-lipoyl_Oxo-glutarate-dehydrogenase-DH-lipoyl	AraCyc
rxn37655		1.8.1.4-RXN.c.araexp.BCAA-dehydrogenase-lipoyl_Pyruvate-dehydrogenase-dihydrolipoate	AraCyc
rxn24411		1.8.1.4-RXN.c.araexp.Oxo-glutarate-dehydrogenase-DH-lipoyl_Oxo-glutarate-dehydrogenase-lipoyl	AraCyc
rxn37656		1.8.1.4-RXN.c.araexp.Oxo-glutarate-dehydrogenase-DH-lipoyl_Pyruvate-dehydrogenase-lipoate	AraCyc
rxn37575		1.8.1.4-RXN.c.araexp.Oxo-glutarate-dehydrogenase-lipoyl_Pyruvate-dehydrogenase-dihydrolipoate	AraCyc
rxn25977		1.8.1.4-RXN.c.araexp.Pyruvate-dehydrogenase-dihydrolipoate_Pyruvate-dehydrogenase-lipoate	AraCyc
rxn05089		1.8.3.5-RXN.c	AraCyc
rxn17270		1.8.4.12-RXN.c	AraCyc
rxn17275		1.8.4.8-RXN.c	AraCyc
rxn17275		1.8.4.8-RXN.c.araexp.Ox-Thioredoxin_Red-Thioredoxin	AraCyc
rxn03983		1.8.4.9-RXN.c	AraCyc
