MS ID	Old MS ID	External ID	Source
cpd00201		S_10_45_Formyltetrahydrofolate_c	AlgaGEM
cpd10467		S_11_44_12_45_EET_c	AlgaGEM
cpd03270		S_11_45_Dehydrocorticosterone_c	AlgaGEM
cpd03135		S_11beta_45_Hydroxyandrost_45_4_45_ene_45_3_44_17_45_dione_c	AlgaGEM
cpd05280		S_12_40_13_41__45_EpOME_c	AlgaGEM
cpd00903		S_12_45_OPDA_c	AlgaGEM
cpd08629		S_13_40_1_41__45_Hydroxy_45_magnesium_45_protoporphyrin_32_IX_32_13_45_monomethyl_32_ester_c	AlgaGEM
cpd08630		S_13_40_1_41__45_Oxo_45_magnesium_45_protoporphyrin_32_IX_32_13_45_monomethyl_32_ester_c	AlgaGEM
cpd10459		S_13_40_S_41__45_HODE_c	AlgaGEM
cpd02907		S_13_40_S_41__45_HPOT_c	AlgaGEM
cpd16347		S_13_44_16_45_Docosadienoic_32_acid_c	AlgaGEM
cpd10462		S_13_45_OxoODE_c	AlgaGEM
cpd03038		S_14_45_Demethyllanosterol_c	AlgaGEM
cpd03555		S_15_40_S_41__45_HPETE_c	AlgaGEM
cpd08444		S_16_45_Epivellosimine_c	AlgaGEM
cpd03278		S_16_45_Glucuronide_45_estriol_c	AlgaGEM
cpd03059		S_16alpha_45_Hydroxydehydroepiandrosterone_c	AlgaGEM
cpd02435		S_17beta_45_Hydroxyandrostan_45_3_45_one_c	AlgaGEM
cpd03142		S_19_45_Oxoandrost_45_4_45_ene_45_3_44_17_45_dione_c	AlgaGEM
cpd12693		S_19_45_Oxotestosterone_c	AlgaGEM
cpd00943		S_1D_45_myo_45_Inositol_32_1_44_3_44_4_44_5_44_6_45_pentakisphosphate_c	AlgaGEM
cpd00914		S_1D_45_myo_45_Inositol_32_1_44_3_44_4_45_trisphosphate_c	AlgaGEM
cpd08377		S_1D_45_myo_45_Inositol_32_1_44_4_44_5_44_6_45_tetrakisphosphate_c	AlgaGEM
cpd00898		S_1D_45_myo_45_Inositol_32_1_44_4_45_bisphosphate_c	AlgaGEM
cpd02484		S_1D_45_myo_45_Inositol_32_3_45_phosphate_c	AlgaGEM
cpd00312		S_1H_45_Imidazole_45_4_45_ethanamine_c	AlgaGEM
cpd02815		S_1_44_1_44_1_45_Trichloro_45_2_44_2_45_bis_40_4_45_chlorophenyl_41_ethane_c	AlgaGEM
cpd10554		S_1_44_1_45_Dichloroethylene_32_epoxide_c	AlgaGEM
cpd09480		S_1_44_2_45_Bis_40_4_45_hydroxyphenyl_41__45_2_45_propanol_c	AlgaGEM
cpd12371		S_1_44_2_45_Diacyl_45_3_45_beta_45_D_45_galactosyl_45_sn_45_glycerol_c	AlgaGEM
cpd19004		S_1_44_2_45_Diacyl_45_sn_45_glycerol_c	AlgaGEM
cpd07971		S_1_44_2_45_Dibromoethane_c	AlgaGEM
cpd03712		S_1_44_2_45_Dihydronaphthalene_45_1_44_2_45_diol_c	AlgaGEM
cpd09808		S_1_44_2_45_Dihydroxy_45_7_45_hydroxymethylnaphthalene_c	AlgaGEM
cpd09796		S_1_44_2_45_Dihydroxy_45_8_45_carboxynaphthalene_c	AlgaGEM
cpd09787		S_1_44_2_45_Dihydroxy_45_8_45_methylnaphthalene_c	AlgaGEM
cpd00726		S_1_44_3_45_Diaminopropane_c	AlgaGEM
cpd11791		S_1_44_3_45_beta_45_D_45_Glucan_c	AlgaGEM
cpd02295		S_1_44_4_45_Dihydroxy_45_2_45_naphthoate_c	AlgaGEM
cpd11217		S_1_44_4_45_Dihydroxy_45_2_45_naphthoyl_45_CoA_c	AlgaGEM
cpd12120		S_1_44_4_45_beta_45_D_45_Mannan_c	AlgaGEM
cpd00517		S_1_45_Acyl_45_sn_45_glycerol_32_3_45_phosphate_c	AlgaGEM
cpd01297		S_1_45_Acylglycerol_c	AlgaGEM
cpd12322		S_1_45_Alkenyl_45_2_45_acylglycerol_c	AlgaGEM
cpd12273		S_1_45_Alkyl_45_2_45_acylglycerol_c	AlgaGEM
cpd12554		S_1_45_Alkyl_45_2_45_acylglycerophosphoethanolamine_c	AlgaGEM
cpd12438		S_1_45_Alkyl_45_sn_45_glycero_45_3_45_phosphate_c	AlgaGEM
cpd00909		S_1_45_Aminocyclopropane_45_1_45_carboxylate_c	AlgaGEM
cpd03662		S_1_45_Butanol_c	AlgaGEM
cpd08289		S_1_45_Deoxy_45_D_45_xylulose_32_5_45_phosphate_c	AlgaGEM
cpd08615		S_1_45_Hydroxy_45_2_45_methyl_45_2_45_butenyl_32_4_45_diphosphate_c	AlgaGEM
cpd08279		S_1_45_Hydroxy_45_2_45_naphthaldehyde_c	AlgaGEM
cpd02045		S_1_45_Hydroxy_45_2_45_naphthoate_c	AlgaGEM
cpd09792		S_1_45_Hydroxymethylnaphthalene_c	AlgaGEM
cpd08285		S_1_45_Methoxyphenanthrene_c	AlgaGEM
cpd03688		S_1_45_Methylpyrrolinium_c	AlgaGEM
cpd09793		S_1_45_Naphthaldehyde_c	AlgaGEM
cpd10503		S_1_45_Nitro_45_5_45_glutathionyl_45_6_45_hydroxy_45_5_44_6_45_dihydronaphthalene_c	AlgaGEM
cpd10502		S_1_45_Nitro_45_5_45_hydroxy_45_6_45_glutathionyl_45_5_44_6_45_dihydronaphthalene_c	AlgaGEM
cpd10501		S_1_45_Nitro_45_7_45_glutathionyl_45_8_45_hydroxy_45_7_44_8_45_dihydronaphthalene_c	AlgaGEM
cpd10500		S_1_45_Nitro_45_7_45_hydroxy_45_8_45_glutathionyl_45_7_44_8_45_dihydronaphthalene_c	AlgaGEM
cpd10497		S_1_45_Nitronaphthalene_45_5_44_6_45_oxide_c	AlgaGEM
cpd10499		S_1_45_Nitronaphthalene_45_7_44_8_45_oxide_c	AlgaGEM
cpd02649		S_1_45_Organyl_45_2_45_lyso_45_sn_45_glycero_45_3_45_phosphocholine_c	AlgaGEM
cpd09086		S_1_45_Oxa_45_2_45_oxo_45_3_45_hydroxycycloheptane_c	AlgaGEM
cpd08284		S_1_45_Phenanthrol_c	AlgaGEM
cpd04384		S_1_45_Phenylethanol_c	AlgaGEM
cpd12572		S_1_45_Phosphatidyl_45_1D_45_myo_45_inositol_32_3_45_phosphate_c	AlgaGEM
cpd11837		S_1_45_Phosphatidyl_45_1D_45_myo_45_inositol_32_4_45_phosphate_c	AlgaGEM
cpd12582		S_1_45_Phosphatidyl_45_D_45_myo_45_inositol_32_4_44_5_45_bisphosphate_c	AlgaGEM
cpd11715		S_1_45_Phosphatidyl_45_D_45_myo_45_inositol_c	AlgaGEM
cpd00956		S_1_45__40_2_45_Carboxyphenylamino_41__45_1_39__45_deoxy_45_D_45_ribulose_32_5_39__45_phosphate_c	AlgaGEM
cpd09489		S_1_45__40_4_39__45_Hydroxyphenyl_41_ethanol_c	AlgaGEM
cpd19032		S_1_45__40_5_39__45_Phosphoribosyl_41__45_5_45_amino_45_4_45__40_N_45_succinocarboxamide_41__45_imidazole_c	AlgaGEM
cpd02851		S_1_45__40_5_39__45_Phosphoribosyl_41__45_5_45_amino_45_4_45_imidazolecarboxamide_c	AlgaGEM
cpd02884		S_1_45__40_5_39__45_Phosphoribosyl_41__45_5_45_formamido_45_4_45_imidazolecarboxamide_c	AlgaGEM
cpd02893		S_1_45__40_5_45_Phospho_45_D_45_ribosyl_41__45_5_45_amino_45_4_45_imidazolecarboxylate_c	AlgaGEM
cpd00910		S_1_45_alpha_45_D_45_Galactosyl_45_myo_45_inositol_c	AlgaGEM
cpd10445		S_20_45_HETE_c	AlgaGEM
cpd02949		S_20_45_OH_45_Leukotriene_32_B4_c	AlgaGEM
cpd08359		S_24_45_Methylene_32_lophenol_c	AlgaGEM
cpd05727		S_24_45_Methylenecycloartanol_c	AlgaGEM
cpd03704		S_2_39__45_Deoxyinosine_32_5_39__45_phosphate_c	AlgaGEM
cpd10555		S_2_44_2_45_Dichloroacetaldehyde_c	AlgaGEM
cpd02993		S_2_44_3_44_2_39_3_39__45_Tetrakis_40_3_45_hydroxytetradecanoyl_41__45_D_45_glucosaminyl_45_1_44_6_45_beta_45_D_45_glucosamine_32_1_44_4_39__45_bisphosphate_c	AlgaGEM
cpd02465		S_2_44_3_44_4_44_5_45_Tetrahydrodipicolinate_c	AlgaGEM
cpd09485		S_2_44_3_45_Bis_40_4_45_hydroxyphenyl_41__45_1_44_2_45_propanediol_c	AlgaGEM
cpd10545		S_2_44_3_45_Dihydro_45_2_45_S_45_glutathionyl_45_3_45_hydroxy_32_bromobenzene_c	AlgaGEM
cpd04054		S_2_44_3_45_Dihydroxy_32_1_44_1_44_1_45_Trichloro_45_2_44_2_45_bis_40_4_39__45_chlorophenyl_41_ethane_c	AlgaGEM
cpd02498		S_2_44_3_45_Dihydroxy_45_3_45_methylbutanoate_c	AlgaGEM
cpd01871		S_2_44_3_45_Dihydroxytoluene_c	AlgaGEM
cpd14614		S_2_44_3_45_Dimethyl_45_5_45_phytylquinol_c	AlgaGEM
cpd03666		S_2_44_5_45_Diamino_45_6_45__40_5_39__45_triphosphoryl_45_3_39__44_4_39__45_trihydroxy_45_2_39__45_oxopentyl_41__45_amino_45_4_45_oxopyrimidine_c	AlgaGEM
cpd00957		S_2_44_5_45_Diamino_45_6_45_hydroxy_45_4_45__40_5_39__45_phosphoribosylamino_41_pyrimidine_c	AlgaGEM
cpd03519		S_2_44_5_45_Diaminopyrimidine_32_nucleoside_32_triphosphate_c	AlgaGEM
cpd09314		S_2_44_5_45_Dichloro_45_4_45_oxohex_45_2_45_enedioate_c	AlgaGEM
cpd09313		S_2_44_5_45_Dichloro_45_carboxymethylenebut_45_2_45_en_45_4_45_olide_c	AlgaGEM
cpd00778		S_2_44_5_45_Dihydroxypyridine_c	AlgaGEM
cpd06716		S_2_44_6_45_Dihydroxycyclohexane_45_1_45_carboxyl_45_CoA_c	AlgaGEM
cpd08745		S_2_44_6_45_Dimethyl_45_5_45_methylene_45_3_45_oxo_45_heptanoyl_45_CoA_c	AlgaGEM
cpd00668		S_2_45_Acetolactate_c	AlgaGEM
cpd02803		S_2_45_Acetyl_45_1_45_alkyl_45_sn_45_glycero_45_3_45_phosphocholine_c	AlgaGEM
cpd14506		S_2_45_Acyl_45_1_45__40_1_45_alkenyl_41__45_sn_45_glycero_45_3_45_phosphate_c	AlgaGEM
cpd12800		S_2_45_Acyl_45_1_45_alkyl_45_sn_45_glycero_45_3_45_phosphate_c	AlgaGEM
cpd02603		S_2_45_Acyl_45_sn_45_glycero_45_3_45_phosphocholine_c	AlgaGEM
cpd03557		S_2_45_Acyl_45_sn_45_glycero_45_3_45_phosphoethanolamine_c	AlgaGEM
cpd12439		S_2_45_Acyl_45_sn_45_glycerol_32_3_45_phosphate_c	AlgaGEM
cpd02961		S_2_45_Amino_45_4_45_hydroxy_45_6_45__40_D_45_erythro_45_1_44_2_44_3_45_trihydroxypropyl_41__45_7_44_8_45_dihydropteridine_c	AlgaGEM
cpd02978		S_2_45_Amino_45_4_45_hydroxy_45_6_45__40_erythro_45_1_44_2_44_3_45_trihydroxypropyl_41_dihydropteridine_32_triphosphate_c	AlgaGEM
cpd00954		S_2_45_Amino_45_4_45_hydroxy_45_6_45_hydroxymethyl_45_7_44_8_45_dihydropteridine_c	AlgaGEM
cpd02920		S_2_45_Amino_45_7_44_8_45_dihydro_45_4_45_hydroxy_45_6_45__40_diphosphooxymethyl_41_pteridine_c	AlgaGEM
cpd01495		S_2_45_Aminoacrylate_c	AlgaGEM
cpd10567		S_2_45_Bromoacetaldehyde_c	AlgaGEM
cpd08301		S_2_45_C_45_Methyl_45_D_45_erythritol_32_2_44_4_45_cyclodiphosphate_c	AlgaGEM
