cpd_id	compound_name	action	stored_inchikey	pka_inchikey	stored_smiles	pka_smiles	stored_formula	pka_formula	stored_charge	pka_charge	borderline_pka
cpd00074	16S	corrected	RWSOTUBLDIXVET-UHFFFAOYSA-M	RWSOTUBLDIXVET-UHFFFAOYSA-N	[SH-]	S	HS	H2S	-1	0	
cpd00313	2-(3,4-dihydroxyphenyl)-3,5-dihydroxy-4-oxo-4-chromen-7-olate	corrected	REFJWTPEDVJJIY-UHFFFAOYSA-L	REFJWTPEDVJJIY-UHFFFAOYSA-N	O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc([O-])cc([O-])c12	O=c1c(O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12	C15H8O7	C15H10O7	-2	0	
cpd00928	2-(3,4-dihydroxyphenyl)-3,7-dimethoxy-4-oxo-4H-chromen-5-olate	corrected	LUJAXSNNYBCFEE-UHFFFAOYSA-M	LUJAXSNNYBCFEE-UHFFFAOYSA-N	COc1cc([O-])c2c(=O)c(OC)c(-c3ccc(O)c(O)c3)oc2c1	COc1cc(O)c2c(=O)c(OC)c(-c3ccc(O)c(O)c3)oc2c1	C17H13O7	C17H14O7	-1	0	
cpd01180	(1S)-1,5-anhydro-1-[5-hydroxy-2-(4-hydroxyphenyl)-7-oxido-4-oxo-4H-chromen-6-yl]-D-glucitol	corrected	MYXNWGACZJSMBT-VJXVFPJBSA-M	MYXNWGACZJSMBT-VJXVFPJBSA-N	O=c1cc(-c2ccc(O)cc2)oc2cc([O-])c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)c12	O=c1cc(-c2ccc(O)cc2)oc2cc(O)c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)c12	C21H19O10	C21H20O10	-1	0	
cpd01254	(1S)-1,5-anhydro-1-[2-(3,4-dihydroxyphenyl)-5-hydroxy-7-oxido-4-oxo-4H-chromen-6-yl]-D-glucitol	corrected	ODBRNZZJSYPIDI-VJXVFPJBSA-M	ODBRNZZJSYPIDI-VJXVFPJBSA-N	O=c1cc(-c2ccc(O)c(O)c2)oc2cc([O-])c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)c12	O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)c12	C21H19O11	C21H20O11	-1	0	
cpd02215	2-(3,4-dihydroxyphenyl)-7-(beta-D-glucopyranuronosyloxy)-4-oxo-4H-chromen-5-olate	corrected	VSUOKLTVXQRUSG-ZFORQUDYSA-L	VSUOKLTVXQRUSG-ZFORQUDYSA-M	O=C([O-])[C@H]1O[C@@H](Oc2cc([O-])c3c(=O)cc(-c4ccc(O)c(O)c4)oc3c2)[C@H](O)[C@@H](O)[C@@H]1O	O=C([O-])[C@H]1O[C@@H](Oc2cc(O)c3c(=O)cc(-c4ccc(O)c(O)c4)oc3c2)[C@H](O)[C@@H](O)[C@@H]1O	C21H16O12	C21H17O12	-2	-1	
cpd02453	2-(3,4-dihydroxyphenyl)-7-(beta-D-glucopyranosyloxy)-4-oxo-4H-chromen-5-olate	corrected	PEFNSGRTCBGNAN-QNDFHXLGSA-M	PEFNSGRTCBGNAN-QNDFHXLGSA-N	O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc([O-])c12	O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)cc(O)c12	C21H19O11	C21H20O11	-1	0	
cpd02492	(1S)-1,5-anhydro-2-O-beta-D-glucopyranosyl-1-[5-hydroxy-2-(4-hydroxyphenyl)-7-oxido-4-oxo-4H-chromen-8-yl]-D-glucitol	corrected	FYTOTHFWELWOCG-OAFKVUNRSA-M	FYTOTHFWELWOCG-OAFKVUNRSA-N	O=c1cc(-c2ccc(O)cc2)oc2c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c([O-])cc(O)c12	O=c1cc(-c2ccc(O)cc2)oc2c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)cc(O)c12	C27H29O15	C27H30O15	-1	0	
cpd02539	2-(3,4-dihydroxyphenyl)-3,5,7,8-tetrahydroxy-chromen-4-one	corrected	YRRAGUMVDQQZIY-UHFFFAOYSA-L	YRRAGUMVDQQZIY-UHFFFAOYSA-N	O=c1c([O-])c(-c2ccc(O)c(O)c2)oc2c(O)c([O-])cc(O)c12	O=c1c(O)c(-c2ccc(O)c(O)c2)oc2c(O)c(O)cc(O)c12	C15H8O8	C15H10O8	-2	0	
cpd02579	Isovitexin 2''-O-beta-D-glucoside	corrected	RQTTXGQDIROLTQ-FASGCTRLSA-M	RQTTXGQDIROLTQ-FASGCTRLSA-N	O=c1cc(-c2ccc(O)cc2)oc2cc([O-])c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)c12	O=c1cc(-c2ccc(O)cc2)oc2cc(O)c([C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)c(O)c12	C27H29O15	C27H30O15	-1	0	
cpd02656	1-deoxy-1-(6,7-dimethyl-2,4-dioxo-2H-pteridin-3-id-8(4H)-yl)-D-ribitol	corrected	SXDXRJZUAJBNFL-XKSSXDPKSA-M	SXDXRJZUAJBNFL-XKSSXDPKSA-N	Cc1nc2c(=O)[n-]c(=O)nc-2n(C[C@H](O)[C@H](O)[C@H](O)CO)c1C	Cc1nc2c(=O)[nH]c(=O)nc-2n(C[C@H](O)[C@H](O)[C@H](O)CO)c1C	C13H17N4O6	C13H18N4O6	-1	0	
cpd02712	2-(3,4-dihydroxyphenyl)-5-hydroxy-3-methoxy-4-oxo-4H-chromen-7-olate	corrected	WEPBGSIAWZTEJR-UHFFFAOYSA-M	WEPBGSIAWZTEJR-UHFFFAOYSA-N	COc1c(-c2ccc(O)c(O)c2)oc2cc([O-])cc(O)c2c1=O	COc1c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c2c1=O	C16H11O7	C16H12O7	-1	0	
cpd02771	2-(3,4-dihydroxyphenyl)-5-hydroxy-3,6,7-trimethoxy-4H-chromen-4-one	corrected	BYWLLSQTJBXAPV-UHFFFAOYSA-M	BYWLLSQTJBXAPV-UHFFFAOYSA-N	COc1cc2oc(-c3ccc(O)c(O)c3)c(OC)c(=O)c2c([O-])c1OC	COc1cc2oc(-c3ccc(O)c(O)c3)c(OC)c(=O)c2c(O)c1OC	C18H15O8	C18H16O8	-1	0	
cpd02931	5-(3'-Carboxy-3'-oxopropenyl)-4,6-dihydroxypicolinate	corrected	OBMUVUBVUPSHMJ-UPHRSURJSA-K	OBMUVUBVUPSHMJ-UPHRSURJSA-L	O=C([O-])C(=O)/C=C\C1C(=O)N=C(C(=O)[O-])C=C1[O-]	O=C([O-])C(=O)/C=C\C1C(=O)N=C(C(=O)[O-])C=C1O	C10H4NO7	C10H5NO7	-3	-2	
cpd02981	7-{[2-O-(beta-D-glucopyranuronosyl)-beta-D-glucopyranuronosyl]oxy}-2-[4-(beta-D-glucopyranuronosyloxy)-3-hydroxyphenyl]-4-oxo-4H-chromen-5-olate	corrected	AEYXZGCDWDUIKX-OFFAAIFBSA-J	AEYXZGCDWDUIKX-OFFAAIFBSA-K	O=C([O-])[C@H]1O[C@@H](Oc2ccc(-c3cc(=O)c4c([O-])cc(O[C@@H]5O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]5O[C@@H]5O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]5O)cc4o3)cc2O)[C@H](O)[C@@H](O)[C@@H]1O	O=C([O-])[C@H]1O[C@@H](Oc2ccc(-c3cc(=O)c4c(O)cc(O[C@@H]5O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]5O[C@@H]5O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]5O)cc4o3)cc2O)[C@H](O)[C@@H](O)[C@@H]1O	C33H30O24	C33H31O24	-4	-3	
cpd03078	SePO3	flagged_borderline	JRPHGDYSKGJTKZ-UHFFFAOYSA-M		O=P(O)(O)[Se-]		H2O3PSe		-1	-3	atom 3 pKa=7.95
cpd03184	7-(beta-D-glucopyranosyloxy)-3-(4-methoxyphenyl)-4-oxo-4H-chromen-5-olate	corrected	LFEUICHQZGNOHD-RECXWPGBSA-M	LFEUICHQZGNOHD-RECXWPGBSA-N	COc1ccc(-c2coc3cc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cc([O-])c3c2=O)cc1	COc1ccc(-c2coc3cc(O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)cc(O)c3c2=O)cc1	C22H21O10	C22H22O10	-1	0	
cpd03499	3-<i>O</i>-methylkaempferol	corrected	VJJZJBUCDWKPLC-UHFFFAOYSA-L	VJJZJBUCDWKPLC-UHFFFAOYSA-N	COc1c(-c2ccc(O)cc2)oc2cc([O-])cc([O-])c2c1=O	COc1c(-c2ccc(O)cc2)oc2cc(O)cc(O)c2c1=O	C16H10O6	C16H12O6	-2	0	
cpd03565	(1S)-1,5-anhydro-1-[5-hydroxy-2-(4-hydroxy-3-methoxyphenyl)-7-oxido-4-oxo-4H-chromen-6-yl]-D-glucitol	corrected	KOMUHHCFAXYRPO-DGHBBABESA-M	KOMUHHCFAXYRPO-DGHBBABESA-N	COc1cc(-c2cc(=O)c3c(O)c([C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c([O-])cc3o2)ccc1O	COc1cc(-c2cc(=O)c3c(O)c([C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)c(O)cc3o2)ccc1O	C22H21O11	C22H22O11	-1	0	
cpd04612	Fenelzyna	corrected	RMUCZJUITONUFY-UHFFFAOYSA-O	RMUCZJUITONUFY-UHFFFAOYSA-N	N[NH2+]CCc1ccccc1	NNCCc1ccccc1	C8H13N2	C8H12N2	1	0	
