cpd_id	compound_name	stored_inchikey	chebi_cid	kegg_cid	raw_query
cpd00059	(2R)-2-[(1S)-1,2-dihydroxyethyl]-4-hydroxy-5-oxo-2,5-dihydrofuran-3-olate	PJBQWWHYTVYMLO-LZUUPNLKSA-N	54679076	54670067	chebi_xref->CID54679076;kegg_xref=C00072->CID54670067
cpd00247	2,6-dioxo-1,2,3,6-tetrahydropyrimidine-4-carboxylate	WAKGPBXZGKVQRR-UHFFFAOYSA-M	1492348	967	chebi_xref->CID1492348;kegg_xref=C00295->CID967
cpd00389	(Z,Z)-biliverdin-IX alpha	QBUVFDKTZJNUPP-BBROENKCSA-L	25245769	5280353	chebi_xref->CID25245769;kegg_xref=C00500->CID5280353
cpd00518	(2Z,4E)-2-hydroxy-6-oxohexa-2,4-dienoate	DDPPREQYAUMLKI-UHFFFAOYSA-M	70678568	5280366	chebi_xref->CID70678568;kegg_xref=C00682->CID5280366
cpd00635	B12	OMAOKVYASDIYQG-FSANSEACSA-N	5460183	46173708	chebi_xref->CID5460183;kegg_xref=C00853->CID46173708
cpd00718	(2E)-2,3-dihydroxybut-2-enedioate	RMHHUKGVZFVHED-UHFFFAOYSA-L	54685637	54678503	chebi_xref->CID54685637;kegg_xref=C00975->CID54678503
cpd00730	Aquacob(III)alamin	YOZNUFWCRFCGIH-UVKKECPRSA-M	70678529	24892771	chebi_xref->CID70678529;kegg_xref=C08230->CID24892771
cpd00766	Ascorbate radical	PJBQWWHYTVYMLO-LZUUPNLKSA-N	53262277	5483640	chebi_xref->CID53262277;kegg_xref=C01041->CID5483640
cpd00859	(1S)-1,4-anhydro-1-(2,4-dioxo-1,2,3,4-tetrahydropyrimidin-5-yl)-5-O-phosphonato-D-ribitol	DHNVVTOKDLDFRY-JWMKEVCDSA-L	25245232	439424	chebi_xref->CID25245232;kegg_xref=C01168->CID439424
cpd00917	4,7,8-trihydroxy-7,8-dihydroquinoline-2-carboxylate	KEHGGNZINCVUHY-UHFFFAOYSA-M	5459891	439458	chebi_xref->CID5459891;kegg_xref=C01249->CID439458
cpd00931	5-Amino-6-(5'-phosphoribosylamino)uracil	HHKDAYBJPZYULV-ABEFGGPWSA-L	25245199	439462	chebi_xref->CID25245199;kegg_xref=C01268->CID439462
cpd00982	(2R,3S,4S)-5-{7,8-dimethyl-2,4-dioxo-1H,2H,3H,4H,5H,10H-benzo[g]pteridin-10-yl}-2,3,4-trihydroxypentyl ({[(2R,3S,4R,5R)-5-(6-amino-9H-purin-9-yl)-3,4-dihydroxyoxolan-2-yl]methyl phosphonato}oxy)phosphonate	SDBHOOIZTSVSKT-UDQMLWBPSA-L	46931118	446013	chebi_xref->CID46931118;kegg_xref=C01352->CID446013
cpd00986	4-hydroxy-5-oxido-1H-pyrrolo[2,3-f]quinoline-2,7,9-tricarboxylate	QZMUBZJJJKIXKV-UHFFFAOYSA-K	136351784	135398668	chebi_xref->CID136351784;kegg_xref=C01359->CID135398668
cpd01053	CHLORATE ION	TYJXBNGPLHOYOB-UHFFFAOYSA-N	104770	19654	chebi_xref->CID104770;kegg_xref=C01485->CID19654
cpd01054	Chlorite	GXXLZZYHIIGRLP-UHFFFAOYSA-N	197148	24453	chebi_xref->CID197148;kegg_xref=C01486->CID24453
cpd01119	1-(2,4-dihydroxyphenyl)-3-(4-hydroxyphenyl)-3-propanedione	XCILFXNAMITKHJ-UHFFFAOYSA-M	86289339	439528	chebi_xref->CID86289339;kegg_xref=C01592->CID439528
cpd01206	1(5H)-phenazinone, 5-methyl-	ZWVBCRHOFNVAHM-UHFFFAOYSA-N	135495419	6817	chebi_xref->CID135495419;kegg_xref=C01748->CID6817
