cpd_id	compound_name	name_queried	strategy	result_type	stored_inchikey	pubchem_inchikey	pubchem_cid	stored_smiles	pubchem_smiles	mismatch_detail
cpd06897	Integerrine	C10007	kegg_xref	MISMATCH	BDHCXPWIDHVEQN-LKTJRWEVSA-O	XLSXPKZIKMPZHK-UHFFFAOYSA-N	206249	CC(C)[C@@H](C(=O)N[C@@H]1C(=O)N[C@@H](Cc2c[nH]c3ccccc23)C(=O)N/C=C\c2ccc(cc2)O[C@@H]1c1ccccc1)[NH+](C)C	CN1C2=C(C(=O)N(C1=O)C)NC=C2	IGNORE:wrong_mapping (formula: stored=C35H40N5O4, pubchem=C8H9N3O2)
cpd06900	Mucronine B	C10010	kegg_xref	MISMATCH	HBLUGHSSFJXCOA-DEYBTNLMSA-O	KPSRODZRAIWAKH-UHFFFAOYSA-N	2763	CC[C@H](C)[C@@H]1NC(=O)[C@@H]([NH2+]C)Cc2cc(ccc2OC)/C=C\NC(=O)[C@H](Cc2ccccc2)NC1=O	CC(C)(C(=O)O)OC1=CC=C(C=C1)C2CC2(Cl)Cl	IGNORE:wrong_mapping (formula: stored=C28H37N4O4, pubchem=C13H14Cl2O3)
cpd06908	3',8''-Biapigenin	C10018	kegg_xref	MISMATCH	YUSWMAULDXZHPY-UHFFFAOYSA-K	CCEWYZJHYQITGS-UHFFFAOYSA-N	5260536	O=c1cc(-c2ccc(O)c(-c3c([O-])cc([O-])c4c(=O)cc(-c5ccc(O)cc5)oc34)c2)oc2cc([O-])cc(O)c12	CCOC(=O)C1=NN2C=CC=CC2=N1	IGNORE:wrong_mapping (formula: stored=C30H15O10, pubchem=C9H9N3O2)
cpd06923	4H-1-benzopyran-4-one, 2-(3,4-dihydroxyphenyl)-5-hydroxy-6,7-dimethoxy-	C10033	kegg_xref	MISMATCH	IMEYGBIXGJLUIS-UHFFFAOYSA-M	OSSIORZYXTUXBL-UHFFFAOYSA-N	98626	COc1cc2oc(-c3ccc(O)c(O)c3)cc(=O)c2c([O-])c1OC	COC(=O)C1=C(C=CC=N1)C(=O)O	IGNORE:wrong_mapping (formula: stored=C17H13O7, pubchem=C8H7NO4)
cpd06924	8,8''-Biapigenin	C10034	kegg_xref	MISMATCH	LADPNODMUXOPRG-UHFFFAOYSA-L	VLVNHMVSVDVAOA-UHFFFAOYSA-N	621179	O=c1cc(-c2ccc(O)cc2)oc2c(-c3c([O-])cc(O)c4c(=O)cc(-c5ccc(O)cc5)oc34)c(O)cc([O-])c12	C1=C(C(=CC(=C1[N+](=O)[O-])Cl)Cl)C(F)(F)F	IGNORE:wrong_mapping (formula: stored=C30H16O10, pubchem=C7H2Cl2F3NO2)
cpd06925	Dasytrichone	C10035	kegg_xref	MISMATCH	XJIODRRUXJULCG-UHFFFAOYSA-M	VOEVEGYLKQKGLZ-UHFFFAOYSA-N	442586	CC1=C([O-])C(C)(C)c2oc(-c3ccccc3)cc(=O)c2C1=O	CC1=C(C2=C(C(C1=O)(C)C)OC(=CC2=O)C3=CC=CC=C3)O	IGNORE:protonation_formula_diff (formula: stored=C18H15O4, pubchem=C18H16O4, H_diff=+1)
cpd06930	Eupatilin	C10040	kegg_xref	MISMATCH	DRRWBCNQOKKKOL-UHFFFAOYSA-M	LRPGNFROBDUREU-UHFFFAOYSA-N	2735885	COc1ccc(-c2cc(=O)c3c(O)c(OC)c([O-])cc3o2)cc1OC	C1CCC(CC1)CN2CCNCC2	IGNORE:wrong_mapping (formula: stored=C18H15O7, pubchem=C11H22N2)
cpd06939	8-(3,3-DMA)galangin	C10049	kegg_xref	MISMATCH	WCSHKPNHOSDFGK-UHFFFAOYSA-L	QDDMLBBXHFMAJZ-UHFFFAOYSA-N	5133769	CC(C)=CCc1c([O-])cc([O-])c2c(=O)c(O)c(-c3ccccc3)oc12	CCOC(=O)C(=O)NC1=CC=C(C=C1)OC	IGNORE:wrong_mapping (formula: stored=C20H16O5, pubchem=C11H13NO4)
cpd06940	Gossypetin 8-rhamnoside	C10050	kegg_xref	MISMATCH	LXSRQKADIMPZPQ-QBURSZLVSA-L	UISUNVFOGSJSKD-UHFFFAOYSA-N	91708	C[C@@H]1O[C@@H](Oc2c([O-])cc(O)c3c(=O)c([O-])c(-c4ccc(O)c(O)c4)oc23)[C@H](O)[C@H](O)[C@H]1O	C1=CC(=C(C(=C1)F)C(=O)NC(=O)NC2=CC(=C(C(=C2)Cl)OC3=C(C=C(C=N3)C(F)(F)F)Cl)Cl)F	IGNORE:wrong_mapping (formula: stored=C21H18O12, pubchem=C20H9Cl3F5N3O3)
cpd06948	Dinatin	C10058	kegg_xref	MISMATCH	IHFBPDAQLQOCBX-UHFFFAOYSA-M	KOOPAOCWSWOMQI-UHFFFAOYSA-N	639510	COc1c([O-])cc2oc(-c3ccc(O)cc3)cc(=O)c2c1O	COC1=NC(=C(C=C1)[N+](=O)[O-])CC#N	IGNORE:wrong_mapping (formula: stored=C16H11O6, pubchem=C8H7N3O3)
