cpd_id	compound_name	name_queried	strategy	result_type	stored_inchikey	pubchem_inchikey	pubchem_cid	stored_smiles	pubchem_smiles
cpd00002	ATP	xref_resolved:chebi_xref=CHEBI:30616->CID5461108(PROTONATION_DIFF)	xref_resolved	PROTONATION_DIFF	ZKHQWZAMYRWXGA-KQYNXXCUSA-K	ZKHQWZAMYRWXGA-KQYNXXCUSA-J	5461108	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]1O	C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O)O)N
cpd00008	5'-O-[(phosphonatooxy)phosphinato]adenosine	xref_resolved:chebi_xref=CHEBI:456216->CID7058055(PROTONATION_DIFF)	xref_resolved	PROTONATION_DIFF	XTWYTFMLZFPYCI-KQYNXXCUSA-L	XTWYTFMLZFPYCI-KQYNXXCUSA-K	7058055	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)([O-])[O-])[C@@H](O)[C@H]1O	C1=NC(=C2C(=N1)N(C=N2)[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)([O-])OP(=O)([O-])[O-])O)O)N
cpd00014	5'-O-[(phosphonatooxy)phosphinato]uridine	xref_resolved:chebi_xref=CHEBI:58223->CID20056717(PROTONATION_DIFF)	xref_resolved	PROTONATION_DIFF	XCCTYIAWTASOJW-XVFCMESISA-L	XCCTYIAWTASOJW-XVFCMESISA-K	20056717	O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]2O)c(=O)[nH]1	C1=CN(C(=O)NC1=O)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)([O-])OP(=O)([O-])[O-])O)O
cpd00015	FAD	xref_resolved:chebi_xref=CHEBI:57692->CID46906035(PROTONATION_DIFF)	xref_resolved	PROTONATION_DIFF	VWWQXMAJTJZDQX-UYBVJOGSSA-L	VWWQXMAJTJZDQX-UYBVJOGSSA-K	46906035	Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)c2cc1C	CC1=CC2=C(C=C1C)N(C3=NC(=NC(=O)C3=N2)[O-])C[C@@H]([C@@H]([C@@H](COP(=O)([O-])OP(=O)([O-])OC[C@@H]4[C@H]([C@H]([C@@H](O4)N5C=NC6=C(N=CN=C65)N)O)O)O)O)O
cpd00031	5'-O-[(phosphonatooxy)phosphinato]guanosine	xref_resolved:chebi_xref=CHEBI:58189->CID135398618(PROTONATION_DIFF)	xref_resolved	PROTONATION_DIFF	QGWNDRXFNXRZMB-UUOKFMHZSA-L	QGWNDRXFNXRZMB-UUOKFMHZSA-K	135398618	Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]2O)c(=O)[nH]1	C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)([O-])OP(=O)([O-])[O-])O)O)N=C(NC2=O)N
cpd00038	GTP	xref_resolved:chebi_xref=CHEBI:37565->CID135398632(PROTONATION_DIFF)	xref_resolved	PROTONATION_DIFF	XKMLYUALXHKNFT-UUOKFMHZSA-K	XKMLYUALXHKNFT-UUOKFMHZSA-J	135398632	Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]2O)c(=O)[nH]1	C1=NC2=C(N1[C@H]3[C@@H]([C@@H]([C@H](O3)COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O)O)N=C(NC2=O)N
cpd00042	5-L-Glutamyl-L-cysteinylglycine	xref_resolved:chebi_xref=CHEBI:57925->CID7048684(PROTONATION_DIFF)	xref_resolved	PROTONATION_DIFF	RWSXRVCMGQZWBV-WDSKDSINSA-L	RWSXRVCMGQZWBV-WDSKDSINSA-M	7048684	[NH3+][C@@H](CCC(=O)N[C@@H](C[S-])C(=O)NCC(=O)[O-])C(=O)[O-]	C(CC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])[C@@H](C(=O)[O-])[NH3+]
cpd00043	UDP-D-galactopyranose	C00052	kegg_xref	PROTONATION_DIFF	HSCJRCZFDFQWRP-WBRQRZOHSA-L	HSCJRCZFDFQWRP-WBRQRZOHSA-N	23724458	O=c1ccn(C2O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1	C1=CN(C(=O)NC1=O)C2[C@@H]([C@@H]([C@H](O2)COP(=O)(O)OP(=O)(O)O[C@@H]3[C@@H]([C@H]([C@H]([C@H](O3)CO)O)O)O)O)O
cpd00050	1-deoxy-1-(7,8-dimethyl-2,4-dioxo-2H-benzo[g]pteridin-3-id-10(4H)-yl)-5-O-phosphonato-D-ribitol	xref_resolved:chebi_xref=CHEBI:58210->CID44229199(PROTONATION_DIFF)	xref_resolved	PROTONATION_DIFF	FVTCRASFADXXNN-SCRDCRAPSA-L	FVTCRASFADXXNN-SCRDCRAPSA-K	44229199	Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])c2cc1C	CC1=CC2=C(C=C1C)N(C3=NC(=NC(=O)C3=N2)[O-])C[C@@H]([C@@H]([C@@H](COP(=O)([O-])[O-])O)O)O
cpd00052	CTP	xref_resolved:chebi_xref=CHEBI:37563->CID7058166(PROTONATION_DIFF)	xref_resolved	PROTONATION_DIFF	PCDQPRRSZKQHHS-XVFCMESISA-K	PCDQPRRSZKQHHS-XVFCMESISA-J	7058166	Nc1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]2O)c(=O)n1	C1=CN(C(=O)N=C1N)[C@H]2[C@@H]([C@@H]([C@H](O2)COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])[O-])O)O
