cpd_id	compound_name	result_type	reason	pubchem_cid	strategy	query	stored_smiles	pubchem_smiles	stored_inchikey	pubchem_inchikey
cpd02370	2-amino-2-deoxy-1-O-phosphono-D-galactopyranose	STEREO_DIFF	STEREO_DIFF rejected: stereo_inversion: 1 of 5 shared stereocenters have different configuration	135398031	xref_resolved	xref_resolved:chebi_xref=CHEBI:142399->CID135398031(STEREO_DIFF)	[NH3+][C@H]1[C@H](OP(=O)([O-])[O-])O[C@H](CO)[C@H](O)[C@@H]1O	C([C@@H]1[C@@H]([C@@H]([C@H]([C@H](O1)OP(=O)([O-])[O-])[NH3+])O)O)O	YMJBYRVFGYXULK-DVKNGEFBSA-M	YMJBYRVFGYXULK-VFUOTHLCSA-M
cpd17125	Meliantriol	STEREO_DIFF	STEREO_DIFF rejected: stereo_inversion: 1 of 11 shared stereocenters have different configuration	46173826	kegg_xref	C16783	CC(C)(O)[C@@H](O)[C@@H]1O[C@@H](O)C[C@@H]1[C@H]1CC[C@]2(C)C3=CC[C@H]4C(C)(C)[C@@H](O)CC[C@]4(C)[C@H]3CC[C@@]12C	C[C@@]12CC[C@H]3C(=CC[C@@H]4[C@@]3(CC[C@@H](C4(C)C)O)C)[C@]1(CC[C@H]2[C@H]5C[C@@H](O[C@H]5[C@@H](C(C)(C)O)O)O)C	NHYIETFMKIFXQL-QSXYYVAOSA-N	NHYIETFMKIFXQL-VPEHNIDMSA-N
cpd17273	Neogitogenin	STEREO_DIFF	STEREO_DIFF rejected: stereo_inversion: 1 of 13 shared stereocenters have different configuration	12304409	kegg_xref	C17003	C[C@H]1CC[C@@]2(OC1)O[C@H]1C[C@H]3[C@@H]4CC[C@H]5C[C@@H](O)[C@H](O)C[C@]5(C)[C@H]4CC[C@]3(C)[C@H]1[C@H]2C	C[C@H]1CC[C@@]2([C@H]([C@H]3[C@@H](O2)C[C@@H]4[C@@]3(CC[C@H]5[C@H]4CC[C@@H]6[C@@]5(C[C@H]([C@@H](C6)O)O)C)C)C)OC1	FWCXELAAYFYCSR-MOUQWODHSA-N	FWCXELAAYFYCSR-HJXRQQMRSA-N
cpd17474	7alpha,24-Dihydroxy-4-cholesten-3-one	STEREO_DIFF	STEREO_DIFF rejected: stereo_inversion: 1 of 8 shared stereocenters have different configuration	24755589	kegg_xref	C17331	CC(C)C(O)CC[C@@H](C)[C@H]1CC[C@H]2[C@@H]3[C@H](O)CC4=CC(=O)CC[C@]4(C)[C@@H]3CC[C@]12C	C[C@H](CCC(C(C)C)O)[C@H]1CC[C@@H]2[C@@]1(CC[C@H]3[C@H]2[C@@H](CC4=CC(=O)CC[C@]34C)O)C	LFFHZNXDGBQZCO-NGCQKNAMSA-N	LFFHZNXDGBQZCO-XGEBBOSUSA-N
cpd10425	(2S,12Z,14E,16S,17S,18R,19R,20R,21S,22R,23S,24E)-21-(acetyloxy)-6,9,17,19,23-pentahydroxy-2,4,12,16,18,20,22-heptamethyl-1,11-dioxo-1,2-dihydro-2,7-(epoxypentadeca[1,11,13]trienoimino)naphtho[2,1-b]furan-5-olate	STEREO_DIFF	STEREO_DIFF rejected: stereo_inversion: 1 of 11 shared stereocenters have different configuration	25244479	xref_resolved	xref_resolved:chebi_xref=CHEBI:84572->CID25244479(STEREO_DIFF)	CC(=O)O[C@H]1[C@H](C)[C@H](O)[C@H](C)[C@@H](O)[C@@H](C)/C=C/C=C(/C)C(=O)Nc2cc(O)c3c4c(c(C)c(O)c3c2O)O[C@](C)(O/C=C/[C@H](O)[C@H]1C)C4=O	C[C@H]1/C=C/C=C(\C(=O)NC2=CC(=C3C(=C2O)C(=C(C4=C3C(=O)[C@](O4)(O/C=C/[C@@H]([C@H]([C@H]([C@@H]([C@@H]([C@@H]([C@H]1O)C)O)C)OC(=O)C)C)O)C)C)[O-])O)/C	OBIXNJCNRZELPA-UPUMJZKOSA-N	OBIXNJCNRZELPA-FFICIXETSA-M
cpd21242	C-CTX 1	STEREO_DIFF	STEREO_DIFF rejected: stereo_inversion: 1 of 33 shared stereocenters have different configuration	56928149	kegg_xref	C20003	C[C@@H]1C[C@@H]2O[C@@H]3C[C@H](O)[C@]4(C)O[C@@H]5CC[C@@H]6O[C@](O)(CO)CC[C@@]6(C)O[C@@]5(C)C[C@H]4O[C@H]3C[C@H]2O[C@H]2C[C@H]3O[C@H]4C/C=C/C[C@@H]5O[C@H]6C=C[C@H]7O[C@H]8C[C@H]9OCC[C@H](O)C[C@@H]9O[C@@H]8C[C@@H]7O[C@@H]6C/C=C\[C@@H]5O[C@@H]4C[C@@H](O)[C@]3(C)O[C@@H]2C1	C[C@@H]1C[C@H]2[C@@H](C[C@H]3[C@H](O2)C[C@@H]([C@]4([C@H](O3)C[C@]5([C@H](O4)CC[C@H]6[C@](O5)(CC[C@](O6)(CO)O)C)C)C)O)O[C@H]7C[C@@H]8[C@]([C@@H](C[C@@H]9[C@@H](O8)C/C=C/C[C@@H]2[C@@H](O9)/C=C\C[C@@H]3[C@@H](O2)C=C[C@@H]2[C@@H](O3)C[C@@H]3[C@@H](O2)C[C@@H]2[C@@H](O3)C[C@H](CCO2)O)O)(O[C@@H]7C1)C	WFCQOYJANLJDGJ-LRNYXKCPSA-N	WFCQOYJANLJDGJ-FANYTCEVSA-N
cpd21252	Brevetoxin B1	STEREO_DIFF	STEREO_DIFF rejected: stereo_inversion: 1 of 24 shared stereocenters have different configuration	10396247	kegg_xref	C20013	C=C(C[C@@H]1C[C@H](O)[C@]2(C)O[C@@H]3C[C@@H]4O[C@@H]5C[C@]6(C)O[C@]7(C)CC[C@@H]8O[C@@H]9C[C@]%10(C)O[C@H]%11C(C)=CC(=O)O[C@H]%11C[C@H]%10O[C@H]9C[C@@H](C)[C@H]8O[C@H]7C[C@H]6O[C@@]5(C)C/C=C\[C@H]4O[C@H]3C[C@H]2O1)C(=O)NCCS(=O)(=O)[O-]	C[C@@H]1C[C@H]2[C@@H](C[C@]3([C@H](O2)C[C@H]4[C@H](O3)C(=CC(=O)O4)C)C)O[C@@H]5[C@@H]1O[C@H]6C[C@@H]7[C@](C[C@@H]8[C@@](O7)(C/C=C\[C@@H]9[C@@H](O8)C[C@@H]1[C@@H](O9)C[C@@H]2[C@@](O1)([C@H](C[C@H](O2)CC(=C)C(=O)NCCS(=O)(=O)O)O)C)C)(O[C@@]6(CC5)C)C	LUNOZQKEODBLAF-REXPXUHCSA-M	LUNOZQKEODBLAF-BTMAFXPRSA-N
cpd09394	Betadex	STEREO_DIFF	STEREO_DIFF rejected: stereo_inversion: 1 of 35 shared stereocenters have different configuration	444041	kegg_xref	C13183	OC[C@H]1O[C@@H]2O[C@H]3[C@H](O)[C@@H](O)[C@@H](O[C@H]4[C@H](O)[C@@H](O)[C@@H](O[C@H]5[C@H](O)[C@@H](O)[C@@H](O[C@H]6[C@H](O)[C@@H](O)[C@@H](O[C@H]7[C@H](O)[C@@H](O)[C@@H](O[C@H]8[C@H](O)[C@@H](O)[C@@H](O[C@@H]1[C@H](O)[C@H]2O)O[C@@H]8CO)O[C@@H]7CO)O[C@@H]6CO)O[C@@H]5CO)O[C@@H]4CO)O[C@@H]3CO	C([C@@H]1[C@@H]2[C@@H]([C@H]([C@H](O1)O[C@@H]3[C@H](O[C@@H]([C@@H]([C@H]3O)O)O[C@@H]4[C@H](O[C@@H]([C@@H]([C@H]4O)O)O[C@@H]5[C@H](O[C@@H]([C@@H]([C@H]5O)O)O[C@@H]6[C@H](O[C@@H]([C@@H]([C@H]6O)O)O[C@@H]7[C@H](O[C@@H]([C@@H]([C@H]7O)O)O[C@@H]8[C@H](O[C@H](O2)[C@@H]([C@H]8O)O)CO)CO)CO)CO)CO)CO)O)O)O	WHGYBXFWUBPSRW-OMSKNMJKSA-N	WHGYBXFWUBPSRW-FOUAGVGXSA-N
cpd09471	Teicoplanin A3-1	STEREO_DIFF	STEREO_DIFF rejected: stereo_inversion: 1 of 18 shared stereocenters have different configuration	16152170	kegg_xref	C13613	CC(=O)N[C@H]1[C@H](O[C@@H]2c3ccc(c(Cl)c3)Oc3cc4cc(c3[O-])Oc3ccc(cc3Cl)C[C@H]3NC(=O)[C@H]([NH3+])c5ccc(O)c(c5)Oc5cc(O)cc(c5)[C@H](NC3=O)C(=O)N[C@H]4C(=O)N[C@H]3C(=O)N[C@@H]2C(=O)N[C@@H](C(=O)[O-])c2cc(O)cc(O[C@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]4O)c2-c2cc3ccc2O)O[C@H](CO)[C@@H](O)[C@@H]1O	CC(=O)N[C@@H]1[C@H]([C@@H]([C@H](O[C@H]1O[C@H]2[C@H]3C(=O)N[C@@H](C4=C(C(=CC(=C4)O)O[C@@H]5[C@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O)C6=C(C=CC(=C6)[C@H](C(=O)N3)NC(=O)[C@H]7C8=CC(=C(C(=C8)OC9=C(C=C2C=C9)Cl)O)OC1=C(C=C(C[C@@H]2C(=O)N[C@@H](C3=CC(=CC(=C3)OC3=C(C=CC(=C3)[C@H](C(=O)N2)N)O)O)C(=O)N7)C=C1)Cl)O)C(=O)O)CO)O)O	SUFIXUDUKRJOBH-WTFWTRATSA-M	SUFIXUDUKRJOBH-JSMFNTJWSA-N
cpd00413	3'-phosphonatoadenosine 5'-{3-[(3R)-4-{[3-({2-[(4-carboxylatobutanoyl)sulfanyl]ethyl}amino)-3-oxopropyl]amino}-3-hydroxy-2,2-dimethyl-4-oxobutyl] diphosphate}	STEREO_DIFF	STEREO_DIFF rejected: stereo_inversion: 1 of 5 shared stereocenters have different configuration	45266604	xref_resolved	xref_resolved:chebi_xref=CHEBI:57378->CID45266604(STEREO_DIFF)	CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCCC(=O)[O-]	CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])[C@H](C(=O)NCCC(=O)NCCSC(=O)CCCC(=O)[O-])O	SYKWLIJQEHRDNH-BKVOKWOXSA-I	SYKWLIJQEHRDNH-CKRMAKSASA-I
