cpd_id	issue	field	stored	computed	action
cpd00532	formula_mismatch	Formula	HO2	O2	fixed
cpd00532	charge_mismatch	Charge	0	-1	fixed
cpd01053	charge_mismatch	Charge	0	-1	fixed
cpd01054	charge_mismatch	Charge	0	-1	fixed
cpd02744	formula_mismatch	Formula	C4H11N3O7P2	C4H10N3O7P2	fixed
cpd02744	charge_mismatch	Charge	-2	-3	fixed
cpd02762	formula_mismatch	Formula	C35H34MgN4O4	C35H33MgN4O4	fixed
cpd02762	charge_mismatch	Charge	0	-1	fixed
cpd03148	formula_mismatch	Formula	C55H73MgN4O5	C55H72MgN4O5	fixed
cpd03148	charge_mismatch	Charge	1	0	fixed
cpd03149	formula_mismatch	Formula	C55H71MgN4O6	C55H70MgN4O6	fixed
cpd03149	charge_mismatch	Charge	1	0	fixed
cpd04644	formula_mismatch	Formula	C24H20N6O3	C24H18N6O3	fixed
cpd04644	charge_mismatch	Charge	0	-2	fixed
cpd07792	formula_mismatch	Formula	C15H14ClFN5O5S	C15H12ClFN5O5S	fixed
cpd07792	charge_mismatch	Charge	1	-1	fixed
cpd08107	formula_mismatch	Formula	C55H75MgN4O6	C55H74MgN4O6	fixed
cpd08107	charge_mismatch	Charge	1	0	fixed
cpd08108	formula_mismatch	Formula	C55H73MgN4O6	C55H72MgN4O6	fixed
cpd08108	charge_mismatch	Charge	1	0	fixed
cpd08629	formula_mismatch	Formula	C35H34MgN4O5	C35H33MgN4O5	fixed
cpd08629	charge_mismatch	Charge	0	-1	fixed
cpd08648	formula_mismatch	Formula	C55H71MgN4O5	C55H70MgN4O5	fixed
cpd08648	charge_mismatch	Charge	1	0	fixed
cpd08649	formula_mismatch	Formula	C55H75N4O6Zn	C55H74N4O6Zn	fixed
cpd08649	charge_mismatch	Charge	1	0	fixed
cpd09514	smiles_parse_fail	SMILES	c1c(ccc(c1)N(C)C)[N+]#N.[B+3]([F-])([F-])([F-])[F-]		flagged
cpd09560	formula_mismatch	Formula	C12H11N3O4	C12H10N3O4	fixed
cpd09560	charge_mismatch	Charge	0	-1	fixed
