cpd_id	compound_name	result_type	reason	pubchem_cid	strategy	query	stored_smiles	pubchem_smiles	stored_inchikey	pubchem_inchikey
cpd07058	Ruspolinone	MISMATCH	MISMATCH: IGNORE:wrong_mapping (formula: stored=C14H20NO3, pubchem=C13H9N3O) — requires manual review	120282	kegg_xref	C10169	COc1ccc(C(=O)CC2CCC[NH2+]2)cc1OC	C1=CC=C2C(=C1)N=C3C=CC=C(C3=N2)C(=O)N	TYXKSMFICLVQCO-UHFFFAOYSA-O	KPZYYKDXZKFBQU-UHFFFAOYSA-N
cpd07059	(-)-Santiaguine	MISMATCH	MISMATCH: IGNORE:wrong_mapping (formula: stored=C38H50N4O2, pubchem=C7H4ClNO4) — requires manual review	7448	kegg_xref	C10170	O=C([C@H]1[C@H](c2ccccc2)[C@H](C(=O)N2C=C([C@H]3CCCC[NH2+]3)CCC2)[C@H]1c1ccccc1)N1C=C([C@H]2CCCC[NH2+]2)CCC1	C1=CC(=C(C=C1[N+](=O)[O-])Cl)C(=O)O	OHNNTQXKHRISJP-HLPCWDLKSA-P	QAYNSPOKTRVZRC-UHFFFAOYSA-N
cpd07068	3',6''-Biapigenin	MISMATCH	MISMATCH: IGNORE:wrong_mapping (formula: stored=C30H15O10, pubchem=C8H12ClNO) — requires manual review	202939	kegg_xref	C10179	O=c1cc(-c2ccc(O)c(-c3c([O-])cc4oc(-c5ccc(O)cc5)cc(=O)c4c3[O-])c2)oc2cc([O-])cc(O)c12	C1=CC=C(C=C1)CCON.Cl	BORWSEZUWHQTOK-UHFFFAOYSA-K	MUPSJLRUCGYRTR-UHFFFAOYSA-N
cpd07069	Santin	MISMATCH	MISMATCH: IGNORE:wrong_mapping (formula: stored=C18H15O7, pubchem=C20H24O4) — requires manual review	5281232	kegg_xref	C10180	COc1ccc(-c2oc3cc([O-])c(OC)c(O)c3c(=O)c2OC)cc1	C/C(=C\C=C\C=C(\C=C\C=C(\C(=O)O)/C)/C)/C=C/C=C(/C(=O)O)\C	DWZAJFZEYZIHPO-UHFFFAOYSA-M	PANKHBYNKQNAHN-MQQNZMFNSA-N
cpd07071	Sciadopitysin	MISMATCH	MISMATCH: IGNORE:wrong_mapping (formula: stored=C33H22O10, pubchem=C11H11N) — requires manual review	431187	kegg_xref	C10182	COc1ccc(-c2cc(=O)c3c(O)cc([O-])c(-c4cc(-c5cc(=O)c6c([O-])cc(OC)cc6o5)ccc4OC)c3o2)cc1	CC1=CC=C(C2=CC=CC=C12)N	YCXRBCHEOFVYEN-UHFFFAOYSA-L	MQFYUZCANYLWEI-UHFFFAOYSA-N
cpd07074	3,5,7-Trihydroxy-2-(4-hydroxyphenyl)-8-methoxy-4H-1-benzopyran-4-one	MISMATCH	MISMATCH: IGNORE:wrong_mapping (formula: stored=C16H10O7, pubchem=C6H4BrNS) — requires manual review	818876	kegg_xref	C10185	COc1c([O-])cc(O)c2c(=O)c([O-])c(-c3ccc(O)cc3)oc12	C1=C(SC(=C1)Br)CC#N	AZFYHRHUTXBGJS-UHFFFAOYSA-L	ZFTILCZVZSZDLI-UHFFFAOYSA-N
cpd07088	7-hydroxy-6-methoxy-3-(4-methoxyphenyl)-chromen-4-one	MISMATCH	MISMATCH: IGNORE:wrong_mapping (formula: stored=C17H13O5, pubchem=C5H4FNO) — requires manual review	2762887	kegg_xref	C10199	COc1ccc(-c2coc3cc([O-])c(OC)cc3c2=O)cc1	C1=CC(=O)NC(=C1)F	KJGPBYUQZLUKLL-UHFFFAOYSA-M	AJRUXHIEYSYRQJ-UHFFFAOYSA-N
cpd07091	Bowdichione	MISMATCH	MISMATCH: IGNORE:wrong_mapping (formula: stored=C16H9O6, pubchem=C6H2Br2ClF) — requires manual review	2724604	kegg_xref	C10202	COC1=CC(=O)C(c2coc3cc([O-])ccc3c2=O)=CC1=O	C1=C(C=C(C(=C1Br)Cl)Br)F	GCAIEHBYLQNGAF-UHFFFAOYSA-M	PZKDJJMHRYNBOR-UHFFFAOYSA-N
cpd07099	Agrimoniin	MISMATCH	MISMATCH: IGNORE:wrong_mapping (formula: stored=C82H53O52, pubchem=C8H5BrFN) — requires manual review	2773928	kegg_xref	C10210	O=C(O[C@H]1O[C@@H]2COC(=O)c3cc(O)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)O[C@H]2[C@@H]2OC(=O)c3cc(O)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)O[C@@H]12)c1cc(O)c(O)c(Oc2c(C(=O)O[C@H]3O[C@@H]4COC(=O)c5cc(O)c(O)c(O)c5-c5c(cc(O)c(O)c5O)C(=O)O[C@H]4[C@@H]4OC(=O)c5cc(O)c(O)c(O)c5-c5c(cc(O)c([O-])c5O)C(=O)O[C@@H]34)cc(O)c(O)c2O)c1	C1=CC(=C(C=C1F)CC#N)Br	BZAFROBDXRJYTQ-JVEQELPQSA-M	KTNJFIQOVKEQFB-UHFFFAOYSA-N
cpd07100	Alnusiin	MISMATCH	MISMATCH: IGNORE:wrong_mapping (formula: stored=C41H23O26, pubchem=C7H6FNO3) — requires manual review	565656	kegg_xref	C10211	O=C1OC[C@H]2OC(O)[C@@H]3OC(=O)c4cc(O)c(O)c(O)c4-c4c(cc(O)c(O)c4O)C(=O)O[C@H]3[C@@H]2OC(=O)c2cc([O-])c(O)c3oc(=O)c4cc([O-])c(c([O-])c4c23)Oc2c1cc(O)c(O)c2O	COC1=C(C=C(C=C1)F)[N+](=O)[O-]	OAZHOQDMOPZBMN-RBKPYHMISA-K	FWLPYISRFBKEKV-UHFFFAOYSA-N
cpd07103	Chebulagic acid	MISMATCH	MISMATCH: IGNORE:wrong_mapping (formula: stored=C41H28O27, pubchem=C13H14ClN) — requires manual review	201598	kegg_xref	C10214	O=C([O-])C[C@@H]1C(=O)O[C@H]2[C@@H]3OC(=O)c4cc(O)c(O)c([O-])c4-c4c(cc(O)c(O)c4O)C(=O)OC[C@H]2O[C@@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@@H]3OC(=O)c2cc(O)c(O)c3c2[C@H]1[C@H](O)C(=O)O3	C1=CC=C(C=C1)CC2=CC=C(C=C2)N.Cl	HGJXAVROWQLCTP-YABCKIEDSA-L	GQGXIDBMRPMPCD-UHFFFAOYSA-N
cpd07107	Coriariin A	MISMATCH	MISMATCH: IGNORE:wrong_mapping (formula: stored=C82H56O52, pubchem=C7H14O3) — requires manual review	4219754	kegg_xref	C10218	O=C(O[C@@H]1O[C@@H]2COC(=O)c3cc(O)c(O)c(O)c3-c3c(cc(O)c(O)c3O)C(=O)O[C@H]2[C@H](OC(=O)c2cc(O)c(O)c(O)c2)[C@H]1OC(=O)c1cc(O)c(O)c(O)c1)c1cc(O)c(O)c(Oc2c(C(=O)O[C@@H]3O[C@@H]4COC(=O)c5cc(O)c(O)c([O-])c5-c5c(cc(O)c(O)c5O)C(=O)O[C@H]4[C@H](OC(=O)c4cc(O)c(O)c(O)c4)[C@H]3OC(=O)c3cc(O)c([O-])c(O)c3)cc(O)c(O)c2O)c1	CC1(OCC(O1)CCO)C	BGZMXYWCTRIUII-YLVKXZTISA-L	YYEZYENJAMOWHW-UHFFFAOYSA-N
