cpd_id	compound_name	name_queried	strategy	result_type	stored_inchikey	pubchem_inchikey	pubchem_cid	stored_smiles	pubchem_smiles	stored_stereo_defined	stored_stereo_potential	pubchem_stereo_defined	pubchem_stereo_potential
cpd00028	Haem	xref_resolved:kegg_xref=C00032->CID444097(STEREO_DIFF)	xref_resolved	STEREO_DIFF	KABFMIBPWCXCRK-RGGAHWMASA-J	KABFMIBPWCXCRK-UHFFFAOYSA-L	444097	C=CC1=C(C)C2=N/C1=C\c1c(C)c(CCC(=O)[O-])c3n1[Fe]n1/c(c(C)c(C=C)/c1=C/2)=C\C1=N/C(=C\3)C(CCC(=O)[O-])=C1C	CC1=C(C2=CC3=NC(=CC4=C(C(=C([N-]4)C=C5C(=C(C(=N5)C=C1[N-]2)C=C)C)C=C)C)C(=C3CCC(=O)O)C)CCC(=O)O.[Fe+2]	4	4	0	0
cpd00121	(1r,2R,3S,4s,5R,6S)-cyclohexane-1,2,3,4,5,6-hexol	CHEBI:17268	chebi_xref	STEREO_DIFF	CDAISMWEOUEBRE-GPIVLXJGSA-N	CDAISMWEOUEBRE-UHFFFAOYSA-N	892	O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@H]1O	C1(C(C(C(C(C1O)O)O)O)O)O	6	6	0	6
cpd00219	(1s,4s)-1-(2-carboxylato-2-oxoethyl)-4-hydroxycyclohexa-2,5-diene-1-carboxylate	xref_resolved:chebi_xref=CHEBI:29934->CID5460303(STEREO_DIFF)	xref_resolved	STEREO_DIFF	FPWMCUPFBRFMLH-XGAOUMNUSA-L	FPWMCUPFBRFMLH-UHFFFAOYSA-L	5460303	O=C([O-])C(=O)C[C@]1(C(=O)[O-])C=C[C@@H](O)C=C1	C1=CC(C=CC1O)(CC(=O)C(=O)[O-])C(=O)[O-]	2	2	0	2
cpd00248	(-)-Quinic acid	xref_resolved:chebi_xref=CHEBI:29751->CID1560034(STEREO_DIFF)	xref_resolved	STEREO_DIFF	AAWZDTNXLSGCEK-WYWMIBKRSA-M	AAWZDTNXLSGCEK-LNVDRNJUSA-M	1560034	O=C([O-])[C@]1(O)C[C@@H](O)[C@@H](O)[C@H](O)C1	C1[C@H](C([C@@H](CC1(C(=O)[O-])O)O)O)O	4	4	2	4
cpd00306	(2R,3R,4S)-Pentane-1,2,3,4,5-pentaol	CHEBI:17151	chebi_xref	STEREO_DIFF	HEBKCHPVOIAQTA-SCDXWVJYSA-N	HEBKCHPVOIAQTA-NGQZWQHPSA-N	6912	OC[C@@H](O)[C@H](O)[C@@H](O)CO	C([C@H](C([C@H](CO)O)O)O)O	3	3	2	3
cpd00366	(2R,3s,4S)-pentane-1,2,3,4,5-pentol	CHEBI:15963	chebi_xref	STEREO_DIFF	HEBKCHPVOIAQTA-ZXFHETKHSA-N	HEBKCHPVOIAQTA-NGQZWQHPSA-N	6912	OC[C@@H](O)[C@@H](O)[C@@H](O)CO	C([C@H](C([C@H](CO)O)O)O)O	3	3	2	3
cpd00413	3'-phosphonatoadenosine 5'-{3-[(3R)-4-{[3-({2-[(4-carboxylatobutanoyl)sulfanyl]ethyl}amino)-3-oxopropyl]amino}-3-hydroxy-2,2-dimethyl-4-oxobutyl] diphosphate}	xref_resolved:chebi_xref=CHEBI:57378->CID45266604(STEREO_DIFF)	xref_resolved	STEREO_DIFF	SYKWLIJQEHRDNH-BKVOKWOXSA-I	SYKWLIJQEHRDNH-CKRMAKSASA-I	45266604	CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCSC(=O)CCCC(=O)[O-]	CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@@H]1[C@H]([C@H]([C@@H](O1)N2C=NC3=C(N=CN=C32)N)O)OP(=O)([O-])[O-])[C@H](C(=O)NCCC(=O)NCCSC(=O)CCCC(=O)[O-])O	5	7	5	7
cpd00524	2,4,6/3,5-Pentahydroxycyclohexanone	CHEBI:17811	chebi_xref	STEREO_DIFF	VYEGBDHSGHXOGT-HYFGLKJPSA-N	VYEGBDHSGHXOGT-ZLIBEWLCSA-N	439294	O=C1[C@@H](O)[C@H](O)[C@@H](O)[C@H](O)[C@H]1O	[C@H]1([C@H](C(=O)[C@H]([C@@H](C1O)O)O)O)O	5	5	4	5
cpd00624	Streptidine	xref_resolved:chebi_xref=CHEBI:184376->CID44123424(STEREO_DIFF)	xref_resolved	STEREO_DIFF	MSXMXWJPFIDEMT-FAEUDGQSSA-P	MSXMXWJPFIDEMT-XGNJAFTASA-P	44123424	NC(=[NH2+])N[C@@H]1[C@@H](O)[C@H](NC(N)=[NH2+])[C@@H](O)[C@H](O)[C@H]1O	[C@H]1([C@H](C([C@H]([C@@H](C1O)[NH+]=C(N)N)O)O)O)[NH+]=C(N)N	6	6	4	6
cpd00732	D-Prephenyllactate	C00994	kegg_xref	STEREO_DIFF	LNGMWZFHTXFDNM-RBDZCENOSA-L	LNGMWZFHTXFDNM-UYVLXELHSA-N	439361	C[C@@H](O)C(=O)O[C@H]1C=C[C@@](CC(=O)C(=O)[O-])(C(=O)[O-])C=C1	C[C@H](C(=O)OC1C=CC(C=C1)(CC(=O)C(=O)O)C(=O)O)O	3	3	1	3
