id	compartment	direction	gfdir	type	base_cost	forward_cost	reverse_cost	complexes
rxn00001	c|e	>	=	gapfilling	3	0	0.4609	null
rxn00002	c|e	>	=	gapfilling	2	0	0.0377000000000001	null
rxn00003	c|e	=	=	gapfilling	4	2.053	0	null
rxn00004	c|e	=	=	gapfilling	4	0	0	null
rxn00006	c|e	>	=	gapfilling	3	0	-3.53543	null
rxn00007	c|e	=	=	gapfilling	2	0	0	null
rxn00009	c|e	=	=	gapfilling	5	0	0	null
rxn00010	c|e	>	=	gapfilling	2	0	-0.0569999999999999	null
rxn00011	c|e	<	=	conditional	2	1.687	0	cpx01104|cpx01103|cpx00992|cpx00994|cpx00990|cpx00993|cpx00823|cpx00991|cpx01105|cpx31097|cpx31894|cpx34739
rxn00012	c|e	=	=	gapfilling	5	0	0	null
rxn00013	c|e	=	=	gapfilling	5	0	0	null
rxn00014	c|e	=	=	gapfilling	6	0	0	null
rxn00015	c|e	=	=	gapfilling	4	0	0	null
rxn00016	c|e	>	=	gapfilling	2	0	0.6887	null
rxn00017	c|e	=	=	gapfilling	5	0	0	null
rxn00018	c|e	=	=	gapfilling	2	0	0	null
rxn00020	c|e	>	=	gapfilling	2	0	0.6887	null
rxn00021	c|e	=	=	gapfilling	5	0	0	null
rxn00022	c|e	>	=	gapfilling	2	0	0.6887	null
rxn00023	c|e	=	=	gapfilling	6	0	0	null
rxn00024	c|e	=	=	gapfilling	4	0	-7.28797	null
rxn00025	c|e	=	=	gapfilling	4	0	-7.74597	null
rxn00026	c|e	=	=	gapfilling	4	0	-1.64897	null
rxn00028	c|e	=	=	gapfilling	4	0	-9.3894	null
rxn00029	c|e	>	=	gapfilling	2	0	-0.5304	null
rxn00030	c|e	=	=	gapfilling	5	0	0	null
rxn00031	c|e	=	=	gapfilling	6	0	0	null
rxn00033	c|e	=	=	gapfilling	4	0	-12.656	null
rxn00034	c|e	=	=	gapfilling	5	0	-7.37797	null
rxn00035	c|e	=	=	gapfilling	4	0	-11.1354	null
rxn00036	c|e	=	=	gapfilling	4	0	-6.97337	null
rxn00038	c|e	=	=	gapfilling	2	0	0	null
rxn00039	c|e	=	=	gapfilling	5	0	0	null
rxn00040	c|e	=	=	gapfilling	5	0	0	null
rxn00041	c|e	=	=	gapfilling	5	0	0	null
rxn00042	c|e	=	=	gapfilling	5	0	-8.83337	null
rxn00043	c|e	=	=	gapfilling	5	0	-7.21737	null
rxn00044	c|e	=	=	gapfilling	5	0	0	null
rxn00045	c|e	=	=	gapfilling	5	0	0	null
rxn00046	c|e	=	=	gapfilling	5	0	0	null
rxn00048	c|e	>	=	gapfilling	2	0	-4.105	null
rxn00052	c|e	=	=	gapfilling	4	0	-3.15127	null
rxn00054	c|e	=	=	gapfilling	4	0	-27.6301	null
