ID	DATABASE	MNX
cpd11416	SEED	BIOMASS
cpd00000	SEED	MNXM0
cpd28297	SEED	MNXM0
UNKNOWN	MetaCyc	MNXM0
cpd00067	SEED	MNXM1
C00080	KEGG	MNXM1
PROTON	MetaCyc	MNXM1
cpd00001	SEED	MNXM2
cpd15275	SEED	MNXM2
C00001	KEGG	MNXM2
C01328	KEGG	MNXM2
D00001	KEGG	MNXM2
OH	MetaCyc	MNXM2
OXONIUM	MetaCyc	MNXM2
WATER	MetaCyc	MNXM2
cpd00002	SEED	MNXM3
C00002	KEGG	MNXM3
D08646	KEGG	MNXM3
ATP	MetaCyc	MNXM3
cpd00007	SEED	MNXM4
C00007	KEGG	MNXM4
D00003	KEGG	MNXM4
OXYGEN-MOLECULE	MetaCyc	MNXM4
cpd00006	SEED	MNXM5
C00006	KEGG	MNXM5
NADP	MetaCyc	MNXM5
cpd00005	SEED	MNXM6
C00005	KEGG	MNXM6
NADPH	MetaCyc	MNXM6
cpd00008	SEED	MNXM7
C00008	KEGG	MNXM7
G11113	KEGG	MNXM7
ADP	MetaCyc	MNXM7
cpd00003	SEED	MNXM8
D00002	KEGG	MNXM8
C00003	KEGG	MNXM8
NAD	MetaCyc	MNXM8
cpd00009	SEED	MNXM9
C00009	KEGG	MNXM9
D05467	KEGG	MNXM9
CPD-16459	MetaCyc	MNXM9
Pi	MetaCyc	MNXM9
cpd00004	SEED	MNXM10
C00004	KEGG	MNXM10
NADH	MetaCyc	MNXM10
cpd00012	SEED	MNXM11
C00013	KEGG	MNXM11
PPI	MetaCyc	MNXM11
cpd00010	SEED	MNXM12
cpd22528	SEED	MNXM12
C00010	KEGG	MNXM12
COA-GROUP	MetaCyc	MNXM12
CO-A	MetaCyc	MNXM12
cpd00011	SEED	MNXM13
C00011	KEGG	MNXM13
D00004	KEGG	MNXM13
CARBON-DIOXIDE	MetaCyc	MNXM13
cpd00018	SEED	MNXM14
D02769	KEGG	MNXM14
C00020	KEGG	MNXM14
AMP	MetaCyc	MNXM14
cpd19013	SEED	MNXM15
cpd00013	SEED	MNXM15
D02916	KEGG	MNXM15
C01342	KEGG	MNXM15
C00014	KEGG	MNXM15
AMMONIA	MetaCyc	MNXM15
AMMONIUM	MetaCyc	MNXM15
cpd00017	SEED	MNXM16
C00019	KEGG	MNXM16
S-ADENOSYLMETHIONINE	MetaCyc	MNXM16
cpd00014	SEED	MNXM17
G10619	KEGG	MNXM17
C00015	KEGG	MNXM17
UDP	MetaCyc	MNXM17
cpd00019	SEED	MNXM19
C00021	KEGG	MNXM19
ADENOSYL-HOMO-CYS	MetaCyc	MNXM19
cpd00024	SEED	MNXM20
