ID	NAMES	COMPARTMENT	MATCH	MODELSEED	MS NAMES
C15OCOAm	3-oxopentadecanoyl-CoA	Mitochondrion	Y	fcpd01253	3-oxopentadecanoyl-CoA
C160	Hexadecanoate	Cytosol	Y	cpd00214	Palmitate
C160ACP	Hexadecanoyl-[acyl-carrier_protein]	Cytosol	Y	cpd11476	hexadecanoyl-acp
C160CAR	Hexadecanoyl-carnitine	Cytosol	Y	cpd01915	L-Palmitoylcarnitine
C160CARm	Hexadecanoyl-carnitine	Mitochondrion	Y	cpd01915	L-Palmitoylcarnitine
C160COA	Hexadecanoyl-CoA	Cytosol	Y	cpd00134	Palmitoyl-CoA
C160COAm	Hexadecanoyl-CoA	Mitochondrion	Y	cpd00134	Palmitoyl-CoA
C160_input	Input/Output_of_Hexadecanoate._Artificial_metabolite	System_input	N	fcpd02015	
C160e	Hexadecanoate	Extracellular_space	Y	cpd00214	Palmitate
C161	Hexadecenoate	Cytosol	Y	cpd05274	Palmitoleic acid
C161ACP	Hexadecenoyl-[acyl-carrier_protein]	Cytosol	Y	cpd11476	hexadecanoyl-acp
C161CAR	Hexadecenoyl-carnitine	Cytosol	Y	fcpd01470	Hexadecenoyl-carnitine
C161CARm	Hexadecenoyl-carnitine	Mitochondrion	Y	fcpd01470	Hexadecenoyl-carnitine
C161COA	Hexadecenoyl-CoA	Cytosol	Y	cpd15238	Hexadecenoyl-CoA
C161COAm	Hexadecenoyl-CoA	Mitochondrion	Y	cpd15238	Hexadecenoyl-CoA
C161_input	Input/Output_of_Hexadecenoate._Artificial_metabolite	System_input	N	fcpd02016	
C161e	Hexadecenoate	Extracellular_space	Y	cpd15237	hexadecenoate
C162	Hexadecadienoate	Cytosol	Y	cpd29958	Hexadecadienoic Acid
C162ACP	Hexadecadienoyl-[acyl-carrier_protein]	Cytosol	Y	fcpd01472	Hexadecadienoyl-[acyl-carrier protein]
C162CAR	Hexadecadienoyl-carnitine	Cytosol	Y	fcpd01473	Hexadecadienoyl-carnitine
C162CARm	Hexadecadienoyl-carnitine	Mitochondrion	Y	fcpd01473	Hexadecadienoyl-carnitine
C162COA	Hexadecadienoyl-CoA	Cytosol	Y	fcpd01255	hexadecadienoyl-CoA
C162COAm	Hexadecadienoyl-CoA	Mitochondrion	Y	fcpd01255	hexadecadienoyl-CoA
C162_input	Input/Output_of_Hexadecadienoate._Artificial_metabolite	System_input	N	fcpd02017	
C162e	Hexadecadienoate	Extracellular_space	Y	cpd29958	Hexadecadienoic Acid
C16DACP	Hexadec-2-enoyl-[acyl-carrier_protein]	Cytosol	Y	fcpd01475	Hexadec-2-enoyl-[acyl-carrier protein]
C16DCOAm	Hexadec-2-enoyl-CoA	Mitochondrion	Y	cpd03126	(2E)-Hexadecenoyl-CoA
