#ID	Name	Compartment	Charge	boundary Condition
M_13GLUCAN	1,3-beta-D-Glucan	Cytosol	UNDEF	false
M_13GLUCANe	1,3-beta-D-Glucan	Extracellular_space	UNDEF	false
M_13PDG	1,3-Bisphospho-D-glycerate	Cytosol	UNDEF	false
M_14GLUCAN	1,4-alphaglucan	Cytosol	UNDEF	false
M_2D3DGALT	2-Dehydro-3-deoxy-D-galactonate	Cytosol	UNDEF	false
M_2HPAC	2-hydroxyphenylacetic_acid	Cytosol	UNDEF	false
M_2MAC	2-maleyl_acetate	Cytosol	UNDEF	false
M_2MACOm	2-methyl_aconitate	Mitochondrion	UNDEF	false
M_2MCITm	2-methyl_citrate	Mitochondrion	UNDEF	false
M_2MICITm	2-methyl_isocitrate	Mitochondrion	UNDEF	false
M_2PG	2-Phospho-D-glycerate	Cytosol	UNDEF	false
M_345THBe	Gallic_acid	Extracellular_space	UNDEF	false
M_3CMUCO	3-Carboxymuconate	Cytosol	UNDEF	false
M_3CPYRD	3-cyanopyridine	Cytosol	UNDEF	false
M_3CPYRDe	3-cyanopyridine	Extracellular_space	UNDEF	false
M_3DDAH7P	2-Dehydro-3-deoxy-D-arabino-heptonate_7-phosphate_	Cytosol	UNDEF	false
M_3FPYR	3-fumarylpyruvate	Cytosol	UNDEF	false
M_3HBA	3-hydroxybenzoate;_m-hydroxybenzoate	Cytosol	UNDEF	false
M_3HBAe	3-hydroxybenzoate;_m-hydroxybenzoate	Extracellular_space	UNDEF	false
M_3HIND	3-hydroxyindoxyle	Cytosol	UNDEF	false
M_3HPYR	3-hydroxypyruvate	Cytosol	UNDEF	false
M_3MPYR	3-maleylpyruvate	Cytosol	UNDEF	false
M_3OA	3-oxoadipate	Cytosol	UNDEF	false
M_3OACOAm	3-oxoadipyl-CoA	Mitochondrion	UNDEF	false
M_3OAm	3-oxoadipate	Mitochondrion	UNDEF	false
M_3PG	3-Phospho-D-glycerate	Cytosol	UNDEF	false
M_3PSER	3-Phosphoserine	Cytosol	UNDEF	false
