# source=MFAToolkit WebGCM  sha=713236f  cues=etc/MFAToolkit/cues/  input=ModelSEED structures (Unique_ModelSEED_Structures.txt, SMILES preferred)  convention=A (H+ = -9.5 kcal/mol, H in compound dGf)  units=kcal/mol
compound_id	status	dg_kcal_per_mol	dgerr_kcal_per_mol	charge	formula	groups	note
cpd00022	ok	-785.83	7.0688	0	C23H35N7O17P3S	-CH3:3|>C=O:3|-CH2-:6|>CH-:1|-OH:2|>C<:1|-OPO3-:1|-OPO2-:1|ring -CH<:4|ring -O-:1|ring -N<:1|ring =CH-:2|ring =N-:3|two fused rings >C=:2|ring =C<:1|-NH2:1|-OPO3:1|-S-:1|thioester:1|amide:2|-NH-:2|Origin:1|heteroaromatic:2|-3	No special notes for this compound.
cpd00023	ok	-164.13	0.75351	0	C5H8NO4	-NH3:1|>CH-:1|-CH2-:2|-COO:2|Origin:1|-1	No special notes for this compound.
cpd00024	ok	-188.90	0.76422	0	C5H4O5	-COO:2|-CH2-:2|>C=O:1|Origin:1|OCCO:1|-2	No special notes for this compound.
cpd00025	ok	-32.05	1	0	H2O2	H2O2:1|0	No special notes for this compound.
cpd00026	ok	-762.55	6.2395	0	C15H22N2O17P2	ring >C=O:2|ring =CH-:2|ring -CH<:9|ring -O-:2|-CH2-:2|-OPO3-:1|-OPO2-:1|-OH:6|amide:2|ring -N<:1|ring -NH-:1|Origin:1|OCCC:1|-2	No special notes for this compound.
cpd00027	ok	-218.28	3.0884	0	C6H12O6	-OH:5|-CH2-:1|ring -CH<:5|ring -O-:1|Origin:1|0	No special notes for this compound.
cpd00028	no_groups			0	C34H30N4O4	=CH2:2|=CH-:2|ring =C<:8|-CH3:4|unlabeled atoms:20|-CH2-:4|-COO:2|Origin:1|CCCN:4|CCNC:2|CCCC:8|heteroaromatic:1|-4	Formation energy not estimated due to the presence of 20 atoms that could not be assigned to any of the existing set of structural groups.
cpd00029	ok	-88.29	1	0	C2H3O2	acetate:1|-1	No special notes for this compound.
cpd00030	unknown_group			0	Mn	Mn2+:1|2	Formation energy not estimated due to the presence of the following structural groups with unknown group contribution energies: Mn2+:1|
cpd00031	ok	-516.30	5.4863	0	C10H13N5O11P2	-NH2:1|ring =C<:1|ring =N-:2|two fused rings >C=:2|ring =CH-:1|ring -N<:1|ring -CH<:4|ring -O-:1|-CH2-:1|-OPO2-:1|-OPO3:1|-OH:2|ring >C=O:1|amide:1|ring -NH-:1|Origin:1|OCCC:1|CCNC:1|heteroaromatic:1|-2	No special notes for this compound.
cpd00032	ok	-190.52	0.70109	0	C4H2O5	-COO:2|-CH2-:1|>C=O:1|Origin:1|OCCO:1|-2	No special notes for this compound.
cpd00033	ok	-87.73	0.48351	0	C2H5NO2	-NH3:1|-CH2-:1|-COO:1|Origin:1|0	No special notes for this compound.
cpd00034	unknown_group			0	Zn	Zn2+:1|2	Formation energy not estimated due to the presence of the following structural groups with unknown group contribution energies: Zn2+:1|
cpd00035	ok	-87.92	0.58661	0	C3H7NO2	-CH3:1|>CH-:1|-NH3:1|-COO:1|Origin:1|0	No special notes for this compound.
cpd00036	ok	-162.96	0.56611	0	C4H4O4	-COO:2|-CH2-:2|Origin:1|-2	No special notes for this compound.
cpd00037	ok	-756.90	6.4725	0	C17H25N3O17P2	-CH3:1|>C=O:1|ring -CH<:9|-OPO3-:1|-OPO2-:1|-CH2-:2|ring -O-:2|ring =CH-:2|ring >C=O:2|-OH:5|amide:3|-NH-:1|ring -N<:1|ring -NH-:1|Origin:1|OCCC:1|-2	No special notes for this compound.
cpd00038	ok	-724.30	5.5025	0	C10H13N5O14P3	-NH2:1|ring =C<:1|ring =N-:2|two fused rings >C=:2|ring =CH-:1|ring -N<:1|ring -CH<:4|ring -O-:1|-CH2-:1|-OPO2-:2|-OPO3:1|-OH:2|ring >C=O:1|amide:1|ring -NH-:1|Origin:1|OCCC:1|CCNC:1|heteroaromatic:1|-3	No special notes for this compound.
cpd00039	ok	-84.04	1.1185	0	C6H15N2O2	-NH3:2|-CH2-:4|>CH-:1|-COO:1|Origin:1|1	No special notes for this compound.
cpd00040	ok	-111.04	0.53928	0	C2HO3	-CH=O:1|-COO:1|Origin:1|OCCO:1|-1	No special notes for this compound.
cpd00041	ok	-165.75	0.6894	0	C4H6NO4	-NH3:1|>CH-:1|-CH2-:1|-COO:2|Origin:1|-1	No special notes for this compound.
cpd00042	ok	-207.51	6.3568	0	C10H15N3O6S	-NH3:1|>CH-:2|-CH2-:4|>C=O:2|-Sneg:1|-COO:2|amide:2|-NH-:2|Origin:1|-2	No special notes for this compound.
cpd00043	ok	-762.55	6.2395	0	C15H22N2O17P2	ring >C=O:2|ring =CH-:2|ring -CH<:9|ring -O-:2|-CH2-:2|-OPO3-:1|-OPO2-:1|-OH:6|amide:2|ring -N<:1|ring -NH-:1|Origin:1|OCCC:1|-2	No special notes for this compound.
cpd00044	ok	-580.35	6.2147	0	C10H12N5O13P2S	-NH2:1|ring =C<:1|ring =N-:3|ring =CH-:2|two fused rings >C=:2|ring -N<:1|ring -CH<:4|ring -O-:1|-CH2-:1|-OPO2-:1|-SO4:1|-OPO3:1|-OH:1|Origin:1|heteroaromatic:2|-3	No special notes for this compound.
