# source=MFAToolkit WebGCM  sha=713236f  cues=etc/MFAToolkit/cues/  input=ModelSEED structures (Unique_ModelSEED_Structures.txt, SMILES preferred)  convention=A (H+ = -9.5 kcal/mol, H in compound dGf)  units=kcal/mol
compound_id	status	dg_kcal_per_mol	dgerr_kcal_per_mol	charge	formula	groups	note
cpd15117	no_groups			0	C14H10N6O9	-CH3:2|aromatic ring =C<:8|=N-:1|unlabeled atoms:9|-Oneg:5|aromatic ring =CH-:4|Origin:1|0	Formation energy not estimated due to the presence of 9 atoms that could not be assigned to any of the existing set of structural groups.
cpd15118	no_groups			0	C14H10N6O9	-CH3:2|aromatic ring =C<:8|=N-:1|unlabeled atoms:9|-Oneg:5|aromatic ring =CH-:4|Origin:1|0	Formation energy not estimated due to the presence of 9 atoms that could not be assigned to any of the existing set of structural groups.
cpd15119	no_groups			0	C14H10N6O9	-CH3:2|aromatic ring =C<:8|unlabeled atoms:9|-Oneg:5|aromatic ring =CH-:4|=N-:1|Origin:1|0	Formation energy not estimated due to the presence of 9 atoms that could not be assigned to any of the existing set of structural groups.
cpd15120	no_groups			0	C7H9N3O4	-CH3:1|aromatic ring =C<:5|-NH2:1|aromatic ring =CH-:1|-NH-:1|-OH:2|unlabeled atoms:2|-Oneg:1|Origin:1|0	Formation energy not estimated due to the presence of 2 atoms that could not be assigned to any of the existing set of structural groups.
cpd15121	ok	-119.18	4.3959	0	C15H14O5	-OH:4|aromatic ring =C<:3|aromatic ring =CH-:7|ring -CH<:3|ring -O-:1|two fused rings >C=:2|Origin:1|0	No special notes for this compound.
cpd15122	ok	-80.60	5.1902	0	C20H20O5	-CH3:2|=C<:1|=CH-:3|-CH2-:1|aromatic ring =C<:7|-OH:4|aromatic ring =CH-:5|>C=O:1|Origin:1|OCCC:2|CCCC:1|0	No special notes for this compound.
cpd15123	ok	-65.95	5.2342	0	C21H22O5	-CH3:3|-O-:1|aromatic ring =C<:7|aromatic ring =CH-:5|-OH:3|-CH2-:1|=CH-:3|=C<:1|>C=O:1|Origin:1|OCCC:2|CCCC:1|0	No special notes for this compound.
cpd15124	ok	-151.62	4.3544	0	C17H14O6	-CH3:1|-O-CO-:1|ring -CH<:2|ring >C=O:1|two fused rings >C=:2|aromatic ring =C<:3|-OH:2|aromatic ring =CH-:7|ring -O-:1|Origin:1|OCCC:1|0	No special notes for this compound.
cpd15125	ok	-59.68	4.2904	0	C16H14O4	-CH3:1|-O-:1|aromatic ring =C<:3|aromatic ring =CH-:7|-OH:1|two fused rings >C=:2|ring -O-:1|ring -CH<:1|ring -CH2-:1|ring >C=O:1|Origin:1|OCCC:1|0	No special notes for this compound.
cpd15126	no_groups			0	C9H11N3O3	-CH3:2|>C=O:1|aromatic ring =C<:4|aromatic ring =CH-:2|-NH2:1|unlabeled atoms:2|-Oneg:1|amide:1|-NH-:1|Origin:1|0	Formation energy not estimated due to the presence of 2 atoms that could not be assigned to any of the existing set of structural groups.
cpd15127	no_groups			0	C5H10O7B	-CH3:1|two fused rings >C<:2|ring -O-:3|ring -CH2-:1|ring -CH<:1|-OH:4|unlabeled atoms:1|Origin:1|3	Formation energy not estimated due to the presence of 1 atoms that could not be assigned to any of the existing set of structural groups.
cpd15128	ok	-297.12	6.5794	0	C22H24O11	-CH3:1|-O-:2|aromatic ring =C<:5|aromatic ring =CH-:5|ring -CH<:6|ring -CH2-:1|ring >C=O:1|two fused rings >C=:2|-OH:6|ring -O-:2|-CH2-:1|Origin:1|OCCC:1|0	No special notes for this compound.
cpd15129	ok	-386.17	7.6985	0	C27H32O14	-CH3:1|ring -CH<:10|ring -O-:2|-O-:2|aromatic ring =C<:6|aromatic ring =CH-:6|-OH:9|>C=O:1|=CH-:2|-CH2-:1|Origin:1|OCCC:2|CCCC:1|0	No special notes for this compound.
cpd15130	ok	-642.57	6.2292	0	C15H21N5O13P3	-CH3:2|=C<:1|=CH-:1|-CH2-:2|-NH-:1|ring =C<:1|ring =N-:3|ring =CH-:2|two fused rings >C=:2|ring -N<:1|ring -CH<:4|ring -O-:1|-OPO2-:2|-OPO3:1|-OH:2|Origin:1|heteroaromatic:2|-3	No special notes for this compound.
cpd15131	ok	-434.57	6.2149	0	C15H21N5O10P2	-CH3:2|=C<:1|=CH-:1|-CH2-:2|-NH-:1|ring =C<:1|ring =N-:3|ring =CH-:2|two fused rings >C=:2|ring -N<:1|ring -CH<:4|ring -O-:1|-OPO2-:1|-OPO3:1|-OH:2|Origin:1|heteroaromatic:2|-2	No special notes for this compound.
cpd15132	ok	-14.07	6.2275	0	C15H21N5O4	-CH3:2|=C<:1|=CH-:1|-CH2-:2|-NH-:1|ring =C<:1|ring =N-:3|ring =CH-:2|two fused rings >C=:2|ring -N<:1|ring -CH<:4|ring -O-:1|-OH:3|Origin:1|heteroaromatic:2|0	No special notes for this compound.
cpd15133	ok	-678.80	6.2556	0	C15H21N5O14P3	-CH3:1|=C<:1|=CH-:1|-CH2-:3|-NH-:1|ring =C<:1|ring =N-:3|ring =CH-:2|two fused rings >C=:2|ring -N<:1|ring -CH<:4|ring -O-:1|-OPO2-:2|-OPO3:1|-OH:3|Origin:1|heteroaromatic:2|-3	No special notes for this compound.
cpd15134	ok	-470.80	6.2413	0	C15H21N5O11P2	-CH3:1|=C<:1|=CH-:1|-CH2-:3|-NH-:1|ring =C<:1|ring =N-:3|ring =CH-:2|two fused rings >C=:2|ring -N<:1|ring -CH<:4|ring -O-:1|-OPO2-:1|-OPO3:1|-OH:3|Origin:1|heteroaromatic:2|-2	No special notes for this compound.
cpd15136	ok	-50.30	6.264	0	C15H21N5O5	-CH3:1|=C<:1|=CH-:1|-CH2-:3|-NH-:1|ring =C<:1|ring =N-:3|ring =CH-:2|two fused rings >C=:2|ring -N<:1|ring -CH<:4|ring -O-:1|-OH:4|Origin:1|heteroaromatic:2|0	No special notes for this compound.
cpd15137	ok	-93.14	2.6709	0	C6H10N2O3	-CH3:1|ring =C<:1|ring =NH-:1|ring -CH<:2|-COO:1|-OH:1|ring -CH2-:1|ring -NH-:1|Origin:1|0	No special notes for this compound.
cpd15139	ok	-84.87	0.89355	0	C6H13NO2	-CH3:2|-CH2-:1|>CH-:2|-NH3:1|-COO:1|Origin:1|0	No special notes for this compound.
cpd15140	ok	-62.54	1.8879	0	C5H8NO2	-COO:1|ring -CH<:1|ring -CH2-:3|ring -NH-:1|Origin:1|-1	No special notes for this compound.
cpd15141	ok	-86.49	0.87612	0	C5H11NO2	-CH3:2|>CH-:2|-NH3:1|-COO:1|Origin:1|0	No special notes for this compound.
cpd15142	ok	-123.31	1.1746	0	C4H8N2O3	>C=O:1|-CH2-:1|>CH-:1|-NH3:1|-COO:1|amide:1|-NH2:1|Origin:1|0	No special notes for this compound.
cpd15143	ok	-84.87	0.89355	0	C6H13NO2	-CH3:2|>CH-:2|-CH2-:1|-NH3:1|-COO:1|Origin:1|0	No special notes for this compound.
cpd15145	ok	-262.80	6.2365	0	C15H21N5O8P	-CH3:1|=C<:1|=CH-:1|-CH2-:3|-NH-:1|ring =C<:1|ring =N-:3|ring =CH-:2|two fused rings >C=:2|ring -N<:1|ring -CH<:4|ring -O-:1|-OPO3:1|-OH:3|Origin:1|heteroaromatic:2|-1	No special notes for this compound.
cpd15147	ok	-86.96	6.4412	0	C16H23N5O6	-CH3:1|=C<:1|=CH-:1|-CH2-:3|-NH-:1|ring =C<:1|ring =N-:3|ring =CH-:2|two fused rings >C=:2|ring -N<:1|ring -CH<:5|ring -O-:1|-OH:5|Origin:1|heteroaromatic:2|0	No special notes for this compound.
cpd15148	ok	71.32	3.6311	0	C12H12N2	-NH2:2|aromatic ring =C<:4|aromatic ring =CH-:8|Origin:1|0	No special notes for this compound.
cpd15149	ok	-284.60	6.1926	0	C15H23N5O8P	-CH3:1|>CH-:1|-CH2-:4|-OH:3|-NH-:1|ring =C<:1|ring =N-:3|ring =CH-:2|two fused rings >C=:2|ring -N<:1|ring -CH<:4|ring -O-:1|-OPO3:1|Origin:1|heteroaromatic:2|-1	No special notes for this compound.
cpd15150	ok	48.89	5.2428	0	C14H15NCl2	primary -Cl:2|-CH2-:4|-N<:1|aromatic ring =C<:1|aromatic ring =CH-:7|two fused aromatic rings >C=:2|Origin:1|0	No special notes for this compound.
cpd15151	ok	-72.10	6.2203	0	C15H23N5O5	-CH3:1|>CH-:1|-CH2-:4|-OH:4|-NH-:1|ring =C<:1|ring =N-:3|ring =CH-:2|two fused rings >C=:2|ring -N<:1|ring -CH<:4|ring -O-:1|Origin:1|heteroaromatic:2|0	No special notes for this compound.
cpd15152	ok	-106.38	6.3755	0	C16H25N5O6	-CH3:1|>CH-:1|-CH2-:4|-NH-:1|ring =C<:1|ring =N-:3|ring =CH-:2|two fused rings >C=:2|ring -NH-:1|-O-:1|ring -CH<:5|ring -O-:1|-OH:4|Origin:1|heteroaromatic:2|0	No special notes for this compound.
cpd15153	ok	-50.30	6.264	0	C15H21N5O5	-CH3:1|=C<:1|=CH-:1|-CH2-:3|-NH-:1|ring =C<:1|ring =N-:3|ring =CH-:2|two fused rings >C=:2|ring -N<:1|ring -CH<:4|ring -O-:1|-OH:4|Origin:1|heteroaromatic:2|0	No special notes for this compound.
cpd15154	ok	38.20	2.4879	0	C4H6	=CH2:2|=CH-:2|Origin:1|CCCC:1|Hydrocarbon:1|0	No special notes for this compound.
cpd15156	no_groups			0	C9H11N3O	unlabeled atoms:1|=N-:1|ring -N<:1|ring -CH2-:3|ring -CH<:1|ring =C<:1|ring =CH-:4|ring =N-:1|Origin:1|heteroaromatic:1|0	Formation energy not estimated due to the presence of 1 atoms that could not be assigned to any of the existing set of structural groups.
cpd15157	no_groups			0	C10H13N3O2	-CH3:1|-N<:1|-CH2-:3|>C=O:1|ring =C<:1|ring =CH-:4|ring =N-:1|=N-:1|unlabeled atoms:1|Origin:1|OCCC:1|heteroaromatic:1|0	Formation energy not estimated due to the presence of 1 atoms that could not be assigned to any of the existing set of structural groups.
cpd15158	unknown_group			0	Rn	Rn:1|0	Formation energy not estimated due to the presence of the following structural groups with unknown group contribution energies: Rn:1|
cpd15159	unknown_group			0	Ra	Ra:1|0	Formation energy not estimated due to the presence of the following structural groups with unknown group contribution energies: Ra:1|
cpd15164	unknown_group			0	Be	Be:1|0	Formation energy not estimated due to the presence of the following structural groups with unknown group contribution energies: Be:1|
cpd15165	ok	-35.36	2.0619	0	C10H15O2	-CH3:3|=C<:2|=CH-:2|-CH2-:2|-COO:1|Origin:1|OCCC:1|-1	No special notes for this compound.
cpd15166	ok	-55.61	1.3051	0	C10H17O2	-CH3:3|=C<:1|=CH-:1|-CH2-:3|>CH-:1|-COO:1|Origin:1|-1	No special notes for this compound.
cpd15167	no_groups			0	C20H22N10O14P2	-NH2:2|ring =C<:2|ring =N-:4|two fused rings >C=:4|ring =CH-:2|ring -N<:2|ring -CH<:4|ring -O-:2|unlabeled atoms:22|-Oneg:2|-OH:2|ring >C=O:2|amide:2|ring -NH-:2|Origin:1|OCCC:2|CCNC:2|heteroaromatic:2|-2	Formation energy not estimated due to the presence of 22 atoms that could not be assigned to any of the existing set of structural groups.
cpd15168	ok	-754.69	7.2974	0	C31H49N7O17P3S	-CH3:5|=C<:1|=CH-:1|-CH2-:9|>CH-:2|>C=O:3|-OH:2|>C<:1|-OPO3-:1|-OPO2-:1|ring -CH<:4|ring -O-:1|ring -N<:1|ring =CH-:2|ring =N-:3|two fused rings >C=:2|ring =C<:1|-NH2:1|-OPO3:1|-S-:1|thioester:1|amide:2|-NH-:2|Origin:1|heteroaromatic:2|-3	No special notes for this compound.
cpd15169	ok	-734.44	7.4326	0	C31H47N7O17P3S	-CH3:5|=C<:2|=CH-:2|-CH2-:8|>C=O:3|>CH-:1|-OH:2|>C<:1|-OPO3-:1|-OPO2-:1|ring -CH<:4|ring -O-:1|ring -N<:1|ring =CH-:2|ring =N-:3|two fused rings >C=:2|ring =C<:1|-NH2:1|-OPO3:1|-S-:1|thioester:1|amide:2|-NH-:2|Origin:1|OCCC:1|heteroaromatic:2|-3	No special notes for this compound.
cpd15170	ok	-784.52	7.311	0	C30H45N7O18P3S	-CH3:4|=C<:1|=CH-:1|-CH2-:9|>C=O:4|>CH-:1|-OH:2|>C<:1|-OPO3-:1|-OPO2-:1|ring -CH<:4|ring -O-:1|ring -N<:1|ring =CH-:2|ring =N-:3|two fused rings >C=:2|ring =C<:1|-NH2:1|-OPO3:1|-S-:1|thioester:1|amide:2|-NH-:2|Origin:1|heteroaromatic:2|-3	No special notes for this compound.
cpd15172	ok	-741.75	7.3459	0	C28H41N7O17P3S	-CH3:4|=C<:1|=CH-:3|>C=O:3|-CH2-:6|>CH-:1|-OH:2|>C<:1|-OPO3-:1|-OPO2-:1|ring -CH<:4|ring -O-:1|ring -N<:1|ring =CH-:2|ring =N-:3|two fused rings >C=:2|ring =C<:1|-NH2:1|-OPO3:1|-S-:1|thioester:1|amide:2|-NH-:2|Origin:1|OCCC:1|CCCC:1|heteroaromatic:2|-3	No special notes for this compound.
cpd15173	ok	-795.78	7.2219	0	C28H43N7O18P3S	-CH3:4|=C<:1|=CH-:1|>CH-:2|-OH:3|-CH2-:7|>C=O:3|>C<:1|-OPO3-:1|-OPO2-:1|ring -CH<:4|ring -O-:1|ring -N<:1|ring =CH-:2|ring =N-:3|two fused rings >C=:2|ring =C<:1|-NH2:1|-OPO3:1|-S-:1|thioester:1|amide:2|-NH-:2|Origin:1|heteroaromatic:2|-3	No special notes for this compound.
cpd15174	ok	-757.74	7.2124	0	C28H43N7O17P3S	-CH3:4|=C<:1|=CH-:1|-CH2-:8|>C=O:3|>CH-:1|-OH:2|>C<:1|-OPO3-:1|-OPO2-:1|ring -CH<:4|ring -O-:1|ring -N<:1|ring =CH-:2|ring =N-:3|two fused rings >C=:2|ring =C<:1|-NH2:1|-OPO3:1|-S-:1|thioester:1|amide:2|-NH-:2|Origin:1|heteroaromatic:2|-3	No special notes for this compound.
cpd15175	ok	-789.31	7.2591	0	C28H41N7O18P3S	-CH3:4|=C<:1|=CH-:1|>C=O:4|-CH2-:7|>CH-:1|-OH:2|>C<:1|-OPO3-:1|-OPO2-:1|ring -CH<:4|ring -O-:1|ring -N<:1|ring =CH-:2|ring =N-:3|two fused rings >C=:2|ring =C<:1|-NH2:1|-OPO3:1|-S-:1|thioester:1|amide:2|-NH-:2|Origin:1|OCCC:1|heteroaromatic:2|-3	No special notes for this compound.
cpd15176	ok	-90.36	3.295	0	C6H5O2F	-OH:2|aromatic ring =C<:3|aromatic ring =CH-:3|aromatic -F:1|Origin:1|0	No special notes for this compound.
cpd15177	ok	-90.36	3.295	0	C6H5O2F	-OH:2|aromatic ring =C<:3|aromatic ring =CH-:3|aromatic -F:1|Origin:1|0	No special notes for this compound.
cpd15178	unknown_group			0	C6H3O4F	-COO:2|=CH-:3|=C<:1|WF:1|Origin:1|OCCC:2|CCCC:1|-2	Formation energy not estimated due to the presence of the following structural groups with unknown group contribution energies: WF:1|
cpd15179	unknown_group			0	C6H3O4F	-COO:2|=CH-:3|=C<:1|WF:1|Origin:1|OCCC:2|CCCC:1|-2	Formation energy not estimated due to the presence of the following structural groups with unknown group contribution energies: WF:1|
cpd15180	unknown_group			0	C6H4O4F	-COO:1|-CH2-:1|ring >C<:1|WF:1|ring =CH-:2|ring -O-CO-:1|Origin:1|OCCC:1|-1	Formation energy not estimated due to the presence of the following structural groups with unknown group contribution energies: WF:1|
cpd15181	unknown_group			0	C6H4O4F	ring -O-CO-:1|ring =CH-:2|ring -CH<:1|>CH-:1|WF:1|-COO:1|Origin:1|OCCC:1|-1	Formation energy not estimated due to the presence of the following structural groups with unknown group contribution energies: WF:1|
cpd15182	unknown_group			0	C7H6O4F	-COO:1|ring >C<:1|-OH:2|ring =CH-:3|ring =C<:1|WF:1|ring -CH<:1|Origin:1|CCCC:1|-1	Formation energy not estimated due to the presence of the following structural groups with unknown group contribution energies: WF:1|
cpd15183	unknown_group			0	C7H6O4F	-COO:1|ring >C<:1|-OH:2|ring =CH-:3|ring =C<:1|WF:1|ring -CH<:1|Origin:1|CCCC:1|-1	Formation energy not estimated due to the presence of the following structural groups with unknown group contribution energies: WF:1|
cpd15184	unknown_group			0	C7H6O4F	-COO:1|ring >C<:1|-OH:2|ring =CH-:3|ring =C<:1|WF:1|ring -CH<:1|Origin:1|CCCC:1|-1	Formation energy not estimated due to the presence of the following structural groups with unknown group contribution energies: WF:1|
cpd15185	unknown_group			0	C7H6O4F	-COO:1|ring >C<:1|-OH:2|ring =C<:1|WF:1|ring =CH-:3|ring -CH<:1|Origin:1|CCCC:1|-1	Formation energy not estimated due to the presence of the following structural groups with unknown group contribution energies: WF:1|
cpd15186	unknown_group			0	C7H6O4F	-COO:1|ring >C<:2|-OH:2|ring =CH-:4|WF:1|Origin:1|CCCC:1|-1	Formation energy not estimated due to the presence of the following structural groups with unknown group contribution energies: WF:1|
cpd15187	unknown_group			0	C6H7O2F	-OH:2|ring -CH<:2|ring =CH-:3|ring =C<:1|WF:1|Origin:1|CCCC:1|0	Formation energy not estimated due to the presence of the following structural groups with unknown group contribution energies: WF:1|
cpd15188	unknown_group			0	C6H7O2F	-OH:2|ring -CH<:1|ring =CH-:4|ring >C<:1|WF:1|Origin:1|CCCC:1|0	Formation energy not estimated due to the presence of the following structural groups with unknown group contribution energies: WF:1|
cpd15189	ok	-50.88	3.045	0	C6H5OF	-OH:1|aromatic ring =C<:2|aromatic ring =CH-:4|aromatic -F:1|Origin:1|0	No special notes for this compound.
cpd15190	unknown_group			0	C42H50O6R2	RW:2|-O-CO-:2|ring -CH<:2|ring -CH2-:2|ring >C<:2|-CH3:10|ring =C<:4|=CH-:14|=C<:4|ring >C=O:2|Origin:1|OCCC:2|CCCC:10|0	Formation energy not estimated due to the presence of the following structural groups with unknown group contribution energies: RW:2|
cpd15204	ok	-797.95	7.9407	0	C39H67N7O18P3S	-CH3:3|-CH2-:21|>CH-:2|-OH:3|>C=O:3|>C<:1|-OPO3-:1|-OPO2-:1|ring -CH<:4|ring -O-:1|ring -N<:1|ring =CH-:2|ring =N-:3|two fused rings >C=:2|ring =C<:1|-NH2:1|-OPO3:1|-S-:1|thioester:1|amide:2|-NH-:2|Origin:1|heteroaromatic:2|-3	No special notes for this compound.
cpd15236	ok	-194.90	1.6035	0	C8H13N2O5	-CH3:1|>CH-:2|>C=O:1|-CH2-:2|-NH3:1|-COO:2|amide:1|-NH-:1|Origin:1|-1	No special notes for this compound.
cpd15240	ok	-47.87	4.2259	0	C26H51O2	-CH3:1|-CH2-:24|-COO:1|Origin:1|-1	No special notes for this compound.
cpd15277	unknown_group			0	C30H56N3O9PR2S	RW:2|-NH2-:1|>CH-:2|-CH2-:20|-OPO3-:1|>C<:1|-CH3:3|-OH:1|>C=O:4|amide:2|-NH-:2|-S-:1|thioester:1|Origin:1|0	Formation energy not estimated due to the presence of the following structural groups with unknown group contribution energies: RW:2|
cpd15290	ok	86.32	7.4412	0	C39H58O4	-CH3:10|-O-:2|ring =C<:4|ring >C=O:2|-CH2-:11|=CH-:6|=C<:6|Origin:1|OCCC:4|0	No special notes for this compound.
cpd15291	ok	64.62	7.503	0	C39H60O4	-CH3:10|-O-:2|aromatic ring =C<:6|-OH:2|-CH2-:11|=CH-:6|=C<:6|Origin:1|0	No special notes for this compound.
cpd15297	ok	-750.19	8.5459	0	C45H79N7O17P3S	-CH3:3|-CH2-:28|>C=O:3|>CH-:1|-OH:2|>C<:1|-OPO3-:1|-OPO2-:1|ring -CH<:4|ring -O-:1|ring -N<:1|ring =CH-:2|ring =N-:3|two fused rings >C=:2|ring =C<:1|-NH2:1|-OPO3:1|-S-:1|thioester:1|amide:2|-NH-:2|Origin:1|heteroaromatic:2|-3	No special notes for this compound.
cpd15325	ok	-349.93	2.3363	0	C15H30O7P	-CH3:1|-CH2-:12|-O-CO-:1|>CH-:1|-OH:1|-OPO3:1|Origin:1|-1	No special notes for this compound.
cpd15329	ok	-340.21	3.318	0	C21H42O7P	-CH3:1|-CH2-:18|-O-CO-:1|>CH-:1|-OH:1|-OPO3:1|Origin:1|-1	No special notes for this compound.
cpd15331	ok	-346.69	2.6574	0	C17H34O7P	-CH3:1|-CH2-:14|-O-CO-:1|>CH-:1|-OH:1|-OPO3:1|Origin:1|-1	No special notes for this compound.
cpd15352	ok	206.47	8.867	0	C50H70O2	-CH3:9|=C<:8|=CH-:8|-CH2-:15|ring =C<:1|ring =CH-:1|ring >C=O:2|two fused rings >C=:2|aromatic ring =CH-:4|Origin:1|OCCC:4|0	No special notes for this compound.
cpd15353	ok	181.90	9.2232	0	C50H72O2	-CH3:9|=C<:8|=CH-:8|-CH2-:15|aromatic ring =C<:3|aromatic ring =CH-:5|-OH:2|two fused aromatic rings >C=:2|Origin:1|0	No special notes for this compound.
cpd15359	ok	147.26	8.5986	0	C47H72O3	-CH3:10|-O-:1|aromatic ring =C<:4|aromatic ring =CH-:2|-OH:2|-CH2-:15|=CH-:8|=C<:8|Origin:1|0	No special notes for this compound.
cpd15361	ok	145.63	8.8441	0	C48H74O3	-CH3:11|-O-:1|aromatic ring =C<:5|aromatic ring =CH-:1|-OH:2|-CH2-:15|=CH-:8|=C<:8|Origin:1|0	No special notes for this compound.
cpd15364	ok	-1289.81	8.2882	0	C26H41N7O26P5S	-CH3:2|>C<:1|-CH2-:7|-OPO3-:1|-OPO2-:3|ring -CH<:8|ring -O-:2|ring -N<:1|ring =CH-:2|ring =N-:3|two fused rings >C=:2|ring =C<:1|-NH2:1|-O-:1|-OPO3:1|-OH:4|>CH-:1|>C=O:2|-SH:1|amide:2|-NH-:2|Origin:1|heteroaromatic:2|-5	No special notes for this compound.
cpd15378	ok	-47.76	1.7728	0	C7H8O2	-OH:2|-CH2-:1|aromatic ring =C<:2|aromatic ring =CH-:4|Origin:1|0	No special notes for this compound.
cpd15380	ok	-145.39	2.6191	0	C5H10O4	-CH3:1|ring -CH<:4|ring -O-:1|-OH:3|Origin:1|0	No special notes for this compound.
cpd15385	ok	-194.90	1.6035	0	C8H13N2O5	-CH3:1|>CH-:2|-NH3:1|>C=O:1|-CH2-:2|-COO:2|amide:1|-NH-:1|Origin:1|-1	No special notes for this compound.
cpd15387	ok	-332.20	4.4084	0	C18H30N5O9	-CH3:2|>CH-:5|-NH3:2|>C=O:3|-CH2-:5|-COO:3|amide:3|-NH-:3|Origin:1|-1	No special notes for this compound.
cpd15388	ok	-194.90	1.6035	0	C8H13N2O5	-CH3:1|>CH-:2|-NH3:1|>C=O:1|-CH2-:2|-COO:2|amide:1|-NH-:1|Origin:1|-1	No special notes for this compound.
cpd15390	ok	-425.13	3.2165	0	C8H15NO9P	-CH3:1|>C=O:1|ring -CH<:5|-OPO3:1|ring -O-:1|-CH2-:1|-OH:3|amide:1|-NH-:1|Origin:1|-1	No special notes for this compound.
cpd15391	ok	-488.50	3.3136	0	C11H18NO11P	-CH3:2|>C=O:1|ring -CH<:5|-OH:2|ring -O-:1|-CH2-:1|-OPO3:1|-O-:1|>CH-:1|-COO:1|amide:1|-NH-:1|Origin:1|-2	No special notes for this compound.
cpd15392	ok	-3372.51	40.224	0	C167H296N3O92P4	-CH3:6|-CH2-:78|-O-CO-:4|>CH-:10|ring -CH<:60|>C=O:2|-O-:11|ring -O-:13|-OPO3:3|-OH:38|ring >C<:2|-COO:2|ring -CH2-:3|-OPO3-:1|-NH3:1|amide:2|-NH-:2|Origin:1|-5	No special notes for this compound.
cpd15394	ok	-429.92	1.4876	0	C6H12O9P	>C=O:1|-CH2-:2|-OH:4|>CH-:3|-OPO3:1|Origin:1|-1	No special notes for this compound.
cpd15397	ok	-621.13	8.7516	0	C34H52N6O19	-CH3:4|>C=O:5|ring =C<:1|ring =CH-:1|ring -O-:2|ring -CH<:8|-CH2-:7|-OH:4|-O-:2|>CH-:5|-COO:3|-NH3:1|amide:5|-NH-:5|Origin:1|-2	No special notes for this compound.
cpd15398	unknown_group			0	C36H57N7O18R	RW:1|>CH-:6|-NH3:1|-CH2-:6|>C=O:6|-CH3:5|-O-:2|ring -CH<:8|ring -O-:2|-OH:3|two fused rings >CH-:2|ring -CH2-:1|T24RWORW:1|-COO:2|amide:6|-NH-:6|Origin:1|-1	Formation energy not estimated due to the presence of the following structural groups with unknown group contribution energies: RW:1|T24RWORW:1|
cpd15400	ok	-480.44	6.2192	0	C26H41N5O14	-CH3:3|>C=O:4|ring -CH<:4|ring -CH2-:1|ring -O-:1|-CH2-:6|-OH:2|-O-:1|>CH-:5|-COO:3|-NH3:1|amide:4|-NH-:4|Origin:1|-2	No special notes for this compound.
cpd15401	ok	-511.21	7.424	0	C29H46N6O15	-CH3:4|>C=O:5|ring -CH<:4|ring -CH2-:1|ring -O-:1|-CH2-:6|-OH:2|-O-:1|>CH-:6|-COO:3|-NH3:1|amide:5|-NH-:5|Origin:1|-2	No special notes for this compound.
cpd15410	ok	-469.11	12.871	0	C71H115NO17P2	-CH3:15|>C=O:1|ring -CH<:10|-OPO3-:1|-OPO2-:1|-CH2-:22|=CH-:11|=C<:11|ring -O-:2|-OH:4|-O-:1|-O-CO-:1|amide:1|-NH-:1|Origin:1|-2	No special notes for this compound.
cpd15412	ok	-726.87	8.1863	0	C28H47N8O17P3S	-CH3:5|>C<:1|-CH2-:9|-OPO3-:1|-OPO2-:1|ring -CH<:4|ring -O-:1|ring -N<:1|ring =CH-:2|ring =N-:3|two fused rings >C=:2|ring =C<:1|-NH2:1|-OH:2|-OPO3:1|>CH-:1|>C=O:3|>N<:1|amide:2|-NH-:2|-S-:1|thioester:1|Origin:1|heteroaromatic:2|-2	No special notes for this compound.
cpd15414	unknown_group			0	C10H15N2O4S	-COO:1|-CH2-:4|ring -CH<:1|two fused rings >CH-:2|ring >C=O:1|ring -CH2-:1|ring >S=O:1|amide:2|ring -NH-:2|Origin:1|-1	Formation energy not estimated due to the presence of the following structural groups with unknown group contribution energies: ring >S=O:1|
cpd15421	ok	-631.12	7.5018	0	C48H87N3O15P2	-CH3:2|-CH2-:35|-O-CO-:2|>CH-:1|-OPO3-:1|-OPO2-:1|ring -CH<:4|ring -O-:1|ring =CH-:2|ring =C<:1|-NH2:1|ring =N-:1|ring >C=O:1|-OH:2|amide:1|ring -N<:1|Origin:1|OCNC:1|CCCN:1|-2	No special notes for this compound.
cpd15432	ok	-3647.28	43.086	0	C176H307N2O100P4	-CH3:7|-CH2-:79|-O-CO-:4|>CH-:11|ring -CH<:64|>C=O:2|-O-:13|ring -O-:14|-OPO3:4|-OH:41|ring >C<:3|-COO:3|ring -CH2-:3|amide:2|-NH-:2|Origin:1|-7	No special notes for this compound.
cpd15437	ok	-341.03	9.6882	0	C35H56N6O13	-CH3:4|>C=O:4|>CH-:1|-CH2-:15|-OH:5|=CH-:3|=C<:3|-O-CO-:1|ring -CH<:2|ring >C=O:2|amide:6|-NH-:1|-N<:3|ring -NH-:2|Origin:1|OCCC:3|0	No special notes for this compound.
cpd15438	ok	-341.03	9.6882	0	C35H56N6O13	-CH3:4|>C=O:4|>CH-:1|-CH2-:15|-OH:5|=CH-:3|=C<:3|-O-CO-:1|ring -CH<:2|ring >C=O:2|amide:6|-NH-:1|-N<:3|ring -NH-:2|Origin:1|OCCC:3|0	No special notes for this compound.
cpd15439	ok	-764.91	8.1908	0	C28H47N8O18P3S	-CH3:5|>C<:1|-CH2-:8|-OPO3-:1|-OPO2-:1|ring -CH<:4|ring -O-:1|ring -N<:1|ring =CH-:2|ring =N-:3|two fused rings >C=:2|ring =C<:1|-NH2:1|-OH:3|-OPO3:1|>CH-:2|>C=O:3|>N<:1|amide:2|-NH-:2|-S-:1|thioester:1|Origin:1|heteroaromatic:2|-2	No special notes for this compound.
