ID	Action	Alias	Source	Notes
rxn39156	Add	MOF_50	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39157	Add	MOF_51	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39158	Add	MOF_52	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39159	Add	MOF_53	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39160	Add	MOF_54	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39161	Add	MOF_55	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39162	Add	MOF_56	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39163	Add	MOF_57	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39164	Add	MOF_58	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39165	Add	MOF_59	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39166	Add	MOF_60	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39167	Add	MOF_61	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39168	Add	MOF_62	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39169	Add	MOF_63	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39170	Add	MOF_64	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39171	Add	MOF_65	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39172	Add	MOF_66	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39173	Add	MOF_67	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39174	Add	MOF_68	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39175	Add	MOF_69	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39176	Add	MOF_70	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39177	Add	MOF_71	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39178	Add	MOF_72	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39179	Add	MOF_73	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39180	Add	MOF_74	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39181	Add	MOF_75	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39183	Add	MOF_76	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39184	Add	MOF_77	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39185	Add	MOF_78	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39186	Add	MOF_79	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39187	Add	MOF_80	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39188	Add	MOF_81	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39189	Add	MOF_82	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39190	Add	MOF_83	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39191	Add	MOF_84	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39192	Add	MOF_85	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39193	Add	MOF_86	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39194	Add	MOF_87	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39195	Add	MOF_88	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39196	Add	MOF_89	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39197	Add	MOF_90	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39198	Add	MOF_91	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39199	Add	MOF_92	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39200	Add	MOF_93	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39201	Add	MOF_94	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39203	Add	MOF_95	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39204	Add	MOF_96	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39205	Add	MOF_97	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39206	Add	MOF_98	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39207	Add	MOF_99	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39208	Add	MOF_100	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39209	Add	MOF_101	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39210	Add	MOF_102	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39211	Add	MOF_103	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39212	Add	MOF_104	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39213	Add	MOF_105	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39214	Add	MOF_106	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
rxn39215	Add	MOF_107	samseaver	Assigned from Microbes Online Fitness project in 2012-2013
