ID	NAMES	FORMULA	CHARGE	MASS	InChI	SMILE
jcpd18085	Disulfane|Hydrogen Disulfide|Dihydrogen disulfide|Hydrogen sulfide (H2S2)	H2S2	-2	66.15	S/H2S2/c1-2/h1-2H	SS
jcpd18086	Iron sulfide|Hydropyrite|Marcasite|Pyrite	FeS2	0	120.0	1S/Fe.S2/c;1-2/q+2;-2	[S-][S-].[Fe+2]
