ID	NAMES	COMPARTMENT	MATCH	MODELSEED	MS NAMES
1112dhet	11,12-DHET	c	Y	cpd10471	11,12-DHET
1112eet	11,12-EET	c	Y	cpd10467	11,12-EET
13glucan	1,3-beta-d-glucan	e	Y	cpd11791	1,3-beta-Glucan
13pdg	3-Phospho-D-glyceroyl phosphate	c	Y	cpd00203	1,3-Bisphospho-D-glycerate
1415dhet	14,15-DHET	c	Y	cpd10472	14,15-DHET
1415eet	14,15-EET	c	Y	cpd10468	14,15-EET
14bman	1,4-b-mannan	c	N	fcpd37657	
14glucan	1,4-alpha-d-glucan	c	Y	cpd11735	Amylose
16hete	16(R)-HETE	c	Y	cpd10475	16(R)-HETE
1dgali	1-alpha-D-Galactosyl-myo-inositol	e	Y	cpd00910	Galactinol
1eal	1-(4'-Hydroxyphenyl)ethanol	m	Y	cpd09489	1-(4'-Hydroxyphenyl)ethanol
1g2hdne	(1R)-Glutathionyl-(2R)-hydroxy-1,2-dihydronaphthalene	e	Y	cpd10490	(1R)-Glutathionyl-(2R)-hydroxy-1,2-dihydronaphthalene
1h2nate	1-Hydroxy-2-naphthoate	c	Y	cpd02045	1-Hydroxy-2-naphthoate
1hmpne	1-Hydroxymethylnaphthalene	m	Y	cpd09792	1-Naphthalenemethanol
1mpne	1-Methylnaphthalene	m	Y	cpd09785	1-Methylnaphthalene
1nhyde	1-Naphthaldehyde	m	Y	cpd09793	1-Naphthaldehyde
1npac	1-Naphthoic acid	m	Y	cpd09794	1-Naphthoic acid
1p1dmi34b	1-Phosphatidyl-1D-myo-inositol 3,4-bisphosphate	c	Y	cpd13383	1-Phosphatidyl-1D-myo-inositol 3,4-bisphosphate
1prol	1-Phenanthrol	m	Y	cpd08284	1-Phenanthrol
22b1pl	2,2-Bis(4-hydroxyphenyl)-1-propanol	m	Y	cpd09482	2,2-Bis(4-hydroxyphenyl)-1-propanol
23d2gbne	2,3-Dihydro-2-S-glutathionyl-3-hydroxy bromobenzene	e	Y	cpd10545	2,3-Dihydro-2-S-glutathionyl-3-hydroxy bromobenzene
23dlne	2,3-Dihydroxytoluene	m	Y	cpd01871	3-Methylcatechol
25dhba	2,5-Dihydroxybenzoate	m	Y	cpd00479	Gentisate
26dhqne	2,6-Dichlorohydroquinone 	m	Y	cpd04372	2,6-Dichlorohydroquinone
2bhyde	2-Bromoacetaldehyde	e	Y	cpd10567	2-Bromoacetaldehyde
2dan	2'-deoxyadenosine	e	Y	cpd00438	Deoxyadenosine
2dr1p	2-deoxy-d-ribose 1-phosphate	c	Y	cpd00509	deoxyribose-1-phosphate
2dr5p	2-Deoxy-D-ribose 5-phosphate	c	Y	cpd00510	deoxyribose-5-phosphate
2mdal	(Z)-2-Methyl-5-isopropylhexa-2,5-dienal	c	Y	cpd02708	cis-2-Methyl-5-isopropylhexa-2,5-dienal
2mpne	2-Methylnaphthalene	m	Y	cpd09801	2-Methylnaphthalene
2nhyde	2-Naphthaldehyde	m	Y	cpd09802	2-Naphthaldehyde
2nmol	(2-Naphthyl)methanol	m	Y	cpd01859	(2-Naphthyl)methanol
2npac	2-Naphthoic acid	m	Y	cpd09804	2-Naphthoic acid
2oxate	2-Oxosuccinamate	e	Y	cpd01577	2-Oxosuccinamate
2pg	2-Phospho-D-glycerate	c	Y	cpd00482	2-Phospho-D-glycerate
2t6tfal	2-trans,6-trans-Farnesal	m	Y	cpd02188	2-trans,6-trans-Farnesal
34d3h4sne	3,4-Dihydro-3-hydroxy-4-S-glutathionyl bromobenzene	e	Y	cpd10544	3,4-Dihydro-3-hydroxy-4-S-glutathionyl bromobenzene
37oxcoa	3alpha,7alpha-Dihydroxy-5beta-24-oxocholestanoyl-CoA	c	Y	cpd03232	3alpha,7alpha-Dihydroxy-5beta-24-oxocholestanoyl-CoA
3c2phde	3-Carbamoyl-2-phenylpropionaldehyde	m	Y	cpd16396	3-Carbamoyl-2-phenylpropionaldehyde
3capac	3-Carbamoyl-2-phenylpropionic acid	m	Y	cpd16399	3-Carbamoyl-2-phenylpropionic acid
3csol	3-Cresol	m	Y	cpd01041	m-Cresol
3ddah7p	2-dehydro-3-deoxy-d-arabino-heptonate 7-phosphate	c	Y	cpd02857	DAHP
3dh5hpb	3-Hexaprenyl-4,5-dihydroxybenzoate	m	Y	cpd03092	3-Hexaprenyl-4,5-dihydroxybenzoate
3fump	3-Fumarylpyruvate	m	Y	cpd01653	3-Fumarylpyruvate
3hal	3-Hydroxybenzyl alcohol	m	Y	cpd02129	3-Hydroxybenzyl alcohol
3hpyr	3-hydroxypyruvate	p	Y	cpd00145	Hydroxypyruvate
3ibate	L-3-Amino-isobutanoate	m	Y	cpd02096	L-3-Amino-isobutyrate
3meat	3-methylsalicylic acid	c	Y	cpd09791	3-Methylsalicylate
3oacoa	3-oxoadipyl-coa	m	Y	cpd11637	3-Oxoacyl-CoA
3ocoa	3-Oxopropionyl-CoA	m	Y	cpd03564	3-Oxopropionyl-CoA
3op4coa	3-Oxo-OPC4-CoA	m	Y	cpd15054	3-Oxo-OPC4-CoA
3op6coa	3-Oxo-OPC6-CoA	m	Y	cpd15050	3-Oxo-OPC6-CoA
3op8coa	3-Oxo-OPC8-CoA	m	Y	cpd15046	3-Oxo-OPC8-CoA
3op8oa	(3S)-3-hydroxyacyl-CoA	c	Y	cpd11718	(S)-3-Hydroxyacyl-CoA
3pg	3-phospho-D-glycerate	m	Y	cpd00169	3-Phosphoglycerate
3pser	3-phospho-serine	m	Y	cpd00738	phosphoserine
3psme	5-o-(1-carboxyvinyl)-3-phosphoshikimate	m	Y	cpd00932	5-O--1-Carboxyvinyl-3-phosphoshikimate
3sulala	3-sulfino-l-alanine	m	Y	cpd00467	3-Sulfinoalanine
3sulpyr	3-Sulfinylpyruvate	m	Y	cpd03284	3-Sulfinopyruvate
45dgbne	4,5-Dihydro-4-hydroxy-5-S-glutathionyl-benzopyrene	e	N	fcpd37658	
4cmsma	4-Coumaroylshikimate	c	Y	cpd01890	4-Coumaroylshikimate
4eol	4-Ethylphenol	m	Y	cpd09488	p-Ethylphenol
4gcymd	4-Glutathionyl cyclophosphamide	e	Y	cpd08400	4-Glutathionyl cyclophosphamide
4h4hbzte	4-Hydroxyphenyl-4-hydroxybenzoate	m	Y	cpd19484	4-Hydroxyphenyl-4-hydroxybenzoate
4hba	4-hydroxybenzoate	m	Y	cpd15378	4-Hydroxy-benzylalcohol
4hglusa	L-4-hydroxyglutamate semialdehyde	c	Y	cpd03530	L-4-Hydroxyglutamatesemialdehyde
4hmecol	4-Hydroxymethylcatechol	c	Y	cpd09813	4-Hydroxymethylcatechol
4hmelate	4-Hydroxymethylsalicylate	m	Y	cpd09812	4-Hydroxymethylsalicylate
