ID	NAMES	COMPARTMENT
1112dhet	11,12-DHET	c
1112eet	11,12-EET	c
13glucan	1,3-beta-d-glucan	c
13glucan	1,3-beta-d-glucan	e
13pdg	3-Phospho-D-glyceroyl phosphate	c
1415dhet	14,15-DHET	c
1415eet	14,15-EET	c
14bman	1,4-b-mannan	c
14glucan	1,4-alpha-d-glucan	c
16hete	16(R)-HETE	c
1dgali	1-alpha-D-Galactosyl-myo-inositol	e
1eal	1-(4'-Hydroxyphenyl)ethanol	m
1g2hdne	(1R)-Glutathionyl-(2R)-hydroxy-1,2-dihydronaphthalene	e
1h2nate	1-Hydroxy-2-naphthoate	c
1hmpne	1-Hydroxymethylnaphthalene	m
1mpne	1-Methylnaphthalene	m
1nhyde	1-Naphthaldehyde	m
1npac	1-Naphthoic acid	m
1p1dmi34b	1-Phosphatidyl-1D-myo-inositol 3,4-bisphosphate	c
1prol	1-Phenanthrol	m
22b1pl	2,2-Bis(4-hydroxyphenyl)-1-propanol	m
23d2gbne	2,3-Dihydro-2-S-glutathionyl-3-hydroxy bromobenzene	e
23dlne	2,3-Dihydroxytoluene	c
23dlne	2,3-Dihydroxytoluene	m
25dhba	2,5-Dihydroxybenzoate	m
26dhqne	2,6-Dichlorohydroquinone 	m
2bhyde	2-Bromoacetaldehyde	e
2dan	2'-deoxyadenosine	c
2dan	2'-deoxyadenosine	e
2dr1p	2-deoxy-d-ribose 1-phosphate	c
2dr5p	2-Deoxy-D-ribose 5-phosphate	c
2mdal	(Z)-2-Methyl-5-isopropylhexa-2,5-dienal	c
2mpne	2-Methylnaphthalene	m
2nhyde	2-Naphthaldehyde	m
2nmol	(2-Naphthyl)methanol	m
2npac	2-Naphthoic acid	m
2oxate	2-Oxosuccinamate	c
2oxate	2-Oxosuccinamate	e
2pg	2-Phospho-D-glycerate	c
2t6tfal	2-trans,6-trans-Farnesal	c
2t6tfal	2-trans,6-trans-Farnesal	m
34d3h4sne	3,4-Dihydro-3-hydroxy-4-S-glutathionyl bromobenzene	e
37oxcoa	3alpha,7alpha-Dihydroxy-5beta-24-oxocholestanoyl-CoA	c
3c2phde	3-Carbamoyl-2-phenylpropionaldehyde	c
3c2phde	3-Carbamoyl-2-phenylpropionaldehyde	m
3capac	3-Carbamoyl-2-phenylpropionic acid	c
3capac	3-Carbamoyl-2-phenylpropionic acid	m
3csol	3-Cresol	c
3csol	3-Cresol	m
3ddah7p	2-dehydro-3-deoxy-d-arabino-heptonate 7-phosphate	c
3dh5hpb	3-Hexaprenyl-4,5-dihydroxybenzoate	m
3fump	3-Fumarylpyruvate	c
3fump	3-Fumarylpyruvate	m
3hal	3-Hydroxybenzyl alcohol	m
3hpyr	3-hydroxypyruvate	c
3hpyr	3-hydroxypyruvate	m
3hpyr	3-hydroxypyruvate	p
3ibate	L-3-Amino-isobutanoate	m
3meat	3-methylsalicylic acid	c
3oacoa	3-oxoadipyl-coa	c
3oacoa	3-oxoadipyl-coa	m
3ocoa	3-Oxopropionyl-CoA	c
3ocoa	3-Oxopropionyl-CoA	m
3op4coa	3-Oxo-OPC4-CoA	c
3op4coa	3-Oxo-OPC4-CoA	m
3op6coa	3-Oxo-OPC6-CoA	c
3op6coa	3-Oxo-OPC6-CoA	m
3op8coa	3-Oxo-OPC8-CoA	c
3op8coa	3-Oxo-OPC8-CoA	m
3op8oa	(3S)-3-hydroxyacyl-CoA	c
3pg	3-phospho-D-glycerate	c
3pg	3-phospho-D-glycerate	e
3pg	3-phospho-D-glycerate	m
3pser	3-phospho-serine	c
3pser	3-phospho-serine	m
3psme	5-o-(1-carboxyvinyl)-3-phosphoshikimate	c
3psme	5-o-(1-carboxyvinyl)-3-phosphoshikimate	m
3sulala	3-sulfino-l-alanine	c
3sulala	3-sulfino-l-alanine	m
3sulpyr	3-Sulfinylpyruvate	c
3sulpyr	3-Sulfinylpyruvate	m
45dgbne	4,5-Dihydro-4-hydroxy-5-S-glutathionyl-benzopyrene	e
4cmsma	4-Coumaroylshikimate	c
4eol	4-Ethylphenol	m
4gcymd	4-Glutathionyl cyclophosphamide	e
4h4hbzte	4-Hydroxyphenyl-4-hydroxybenzoate	c
4h4hbzte	4-Hydroxyphenyl-4-hydroxybenzoate	m
4hba	4-hydroxybenzoate	c
4hba	4-hydroxybenzoate	m
4hglusa	L-4-hydroxyglutamate semialdehyde	c
4hmecol	4-Hydroxymethylcatechol	c
4hmelate	4-Hydroxymethylsalicylate	c
4hmelate	4-Hydroxymethylsalicylate	m
4hppyr	4-hydroxyphenylpyruvate	c
4hppyr	4-hydroxyphenylpyruvate	m
4hyact	4-Hydroxyphenyl acetate	m
4hymede	4-Hydroxymethylsalicylaldehyde	m
4mecol	4-Methylcatechol	c
4melat	4-Methylsalicylate	c
4mop	4-methyl-2-oxopentanoate	c
4mop	4-methyl-2-oxopentanoate	m
4nchol	4-Nitrocatechol	c
4nchol	4-Nitrocatechol	m
4nol	4-Nitrophenol	e
4nol	4-Nitrophenol	m
4npha	4-Nitrophenyl phosphate	e
4npha	4-Nitrophenyl phosphate	m
56dhet	5,6-DHET	c
56eet	5,6-EET	c
5a2opa	5-Amino-2-oxopentanoic acid	c
5a2opa	5-Amino-2-oxopentanoic acid	e
5a2opa	5-Amino-2-oxopentanoic acid	m
5a2opa	5-Amino-2-oxopentanoic acid	p
5g2ot	5-Guanidino-2-oxopentanoate	c
5g2ot	5-Guanidino-2-oxopentanoate	e
5g2ot	5-Guanidino-2-oxopentanoate	m
5g2ot	5-Guanidino-2-oxopentanoate	p
5hete	5(S)-HETE?	c
5hete	5(S)-HETE?	m
5hpete	5(S)-HPETE	c
5hpete	5(S)-HPETE	m
5opro	5-oxo-l-proline	c
6hyac	6-Hydroxyhexanoic acid	c
6merpin	6-Mercaptopurine	c
6mrtpate	6-Mercaptopurine ribonucleoside triphosphate	c
6thate	6-Thiourate	c
6thate	6-Thiourate	e
6tmpate	6-Thioinosine-5'-monophosphate	c
78dgbne	7,8-Dihydro-7-hydroxy-8-S-glutathionyl-benzopyrene	e
7dstrol	7-Dehydrodesmosterol	c
7strol	7-Dehydrodesmosterol	c
89dhet	8,9-DHET	c
89eet	8,9-EET	c
aacacp	acetoacetyl [acyl-carrier protein]	c
aacacp	acetoacetyl [acyl-carrier protein]	m
aaccoa	acetoacetyl coenzyme a	c
aaccoa	acetoacetyl coenzyme a	m
aaccoa	acetoacetyl coenzyme a	p
ab1eox	Aflatoxin B1-exo-8,9-epoxide	e
ab1eoxg	Aflatoxin B1exo-8,9-epoxide-GSH	e
abee	4-Aminobenzoate?	c
abee	4-Aminobenzoate?	m
abut	(s)-2-aceto-2-hydroxybutanoate	c
abut	(s)-2-aceto-2-hydroxybutanoate	m
ac7bol	5alpha-Cholest-7-en-3beta-ol	c
