#ID	Name	Compartment	Charge	boundary Condition
M_atp_c	adenosine 5'-triphosphate	c	UNDEF	false
M_dglc_c	d-glucose	c	UNDEF	false
M_h_c	H+	c	UNDEF	false
M_adp_c	adenosine 5'-diphosphate	c	UNDEF	false
M_dg6p_c	alpha-d-glucose 6-phosphate	c	UNDEF	false
M_f6p_c	beta-d-fructose 6-phosphate	c	UNDEF	false
M_f16p_c	beta-d-fructose 1,6-bisphosphate	c	UNDEF	false
M_h2o_c	water	c	UNDEF	false
M_pi_c	orthophosphate	c	UNDEF	false
M_t3p1_c	d-glyceraldehyde 3-phosphate	c	UNDEF	false
M_t3p2_c	glycerone phosphate	c	UNDEF	false
M_nad_c	nad+	c	UNDEF	false
M_nadh_c	N-Acetyl-D-glucosaminyldiphosphodolichol	c	UNDEF	false
M_13pdg_c	3-Phospho-D-glyceroyl phosphate	c	UNDEF	false
M_3pg_c	3-phospho-D-glycerate	c	UNDEF	false
M_2pg_c	2-Phospho-D-glycerate	c	UNDEF	false
M_pep_c	phosphoenolpyruvate	c	UNDEF	false
M_pyr_c	pyruvate	c	UNDEF	false
M_amp_c	adenosine 5'-monophosphate	c	UNDEF	false
M_ppi_c	diphosphate	c	UNDEF	false
M_acal_c	acetaldehyde	c	UNDEF	false
M_ac_c	acetate	c	UNDEF	false
M_nadp_c	nicotinamide adenine dinucleotide phosphate	c	UNDEF	false
M_nadph_c	nicotinamide adenine dinucleotide phosphate	c	UNDEF	false
M_llac_c	(s)-lactate	c	UNDEF	false
M_glcn_c	d-glucosamine	c	UNDEF	false
M_ga6p_c	d-glucosamine 6-phosphate	c	UNDEF	false
M_eth_c	ethanol	c	UNDEF	false
M_ac_m	acetate	m	UNDEF	false
M_coa_m	coenzyme a	m	UNDEF	false
M_atp_m	adenosine 5'-triphosphate	m	UNDEF	false
M_accoa_m	acetyl coenzyme a	m	UNDEF	false
M_ppi_m	diphosphate	m	UNDEF	false
M_amp_m	adenosine 5'-monophosphate	m	UNDEF	false
M_ac_p	acetate	p	UNDEF	false
M_coa_p	coenzyme a	p	UNDEF	false
M_atp_p	adenosine 5'-triphosphate	p	UNDEF	false
M_accoa_p	acetyl coenzyme a	p	UNDEF	false
M_ppi_p	diphosphate	p	UNDEF	false
M_amp_p	adenosine 5'-monophosphate	p	UNDEF	false
M_coa_c	coenzyme a	c	UNDEF	false
M_accoa_c	acetyl coenzyme a	c	UNDEF	false
M_pyr_m	pyruvate	m	UNDEF	false
M_nad_m	nad+	m	UNDEF	false
M_nadh_m	N-Acetyl-D-glucosaminyldiphosphodolichol	m	UNDEF	false
M_co2_m	carbon dioxide	m	UNDEF	false
M_g1p_c	alpha-d-glucose 1-phosphate	c	UNDEF	false
M_cit_c	citrate	c	UNDEF	false
M_oa_c	oxaloacetate	c	UNDEF	false
M_cit_m	citrate	m	UNDEF	false
M_icit_m	isocitrate	m	UNDEF	false
M_icit_c	isocitrate	c	UNDEF	false
M_akg_c	2-oxoglutarate	c	UNDEF	false
M_co2_c	carbon dioxide	c	UNDEF	false
M_nadp_m	nicotinamide adenine dinucleotide phosphate	m	UNDEF	false
M_akg_m	2-oxoglutarate	m	UNDEF	false
M_nadph_m	nicotinamide adenine dinucleotide phosphate	m	UNDEF	false
M_succoa_m	succinyl coenzyme a	m	UNDEF	false
M_succ_m	succinate	m	UNDEF	false
M_h_m	H+	m	UNDEF	false
M_pi_m	orthophosphate	m	UNDEF	false
M_adp_m	adenosine 5'-diphosphate	m	UNDEF	false
M_q_m	ubiquinone	m	UNDEF	false
M_fum_m	fumarate	m	UNDEF	false
M_qh2_m	ubiquinol	m	UNDEF	false
M_h2o_m	water	m	UNDEF	false
M_mal_m	(s)-malate	m	UNDEF	false
M_oa_m	oxaloacetate	m	UNDEF	false
M_mal_c	(s)-malate	c	UNDEF	false
M_gtp_m	gtp	m	UNDEF	false
M_gdp_m	gdp	m	UNDEF	false
M_pep_m	phosphoenolpyruvate	m	UNDEF	false
M_d6pgl_c	d-glucono-1,5-lactone 6-phosphate	c	UNDEF	false
M_d6pgc_c	6-phospho-d-gluconate	c	UNDEF	false
M_h2o_e	water	e	UNDEF	false
M_d6pgl_e	d-glucono-1,5-lactone 6-phosphate	e	UNDEF	false
M_h_e	H+	e	UNDEF	false
M_d6pgc_e	6-phospho-d-gluconate	e	UNDEF	false
M_rl5p_c	d-ribulose 5-phosphate	c	UNDEF	false
M_x5p_c	d-xylulose 5-phosphate	c	UNDEF	false
M_r5p_m	d-ribose 5-phosphate	m	UNDEF	false
M_x5p_m	d-xylulose 5-phosphate	m	UNDEF	false
M_t3p1_m	d-glyceraldehyde 3-phosphate	m	UNDEF	false
M_s7p_m	sedoheptulose 7-phosphate	m	UNDEF	false
M_r5p_c	d-ribose 5-phosphate	c	UNDEF	false
M_s7p_c	sedoheptulose 7-phosphate	c	UNDEF	false
M_e4p_m	d-erythrose 4-phosphate	m	UNDEF	false
M_f6p_m	beta-d-fructose 6-phosphate	m	UNDEF	false
M_e4p_c	d-erythrose 4-phosphate	c	UNDEF	false
M_doris_c	deoxyribose	c	UNDEF	false
M_2dr5p_c	2-Deoxy-D-ribose 5-phosphate	c	UNDEF	false
M_r1p_c	d-ribose 1-phosphate	c	UNDEF	false
M_prpp_m	5-phospho-alpha-d-ribose 1-diphosphate	m	UNDEF	false
M_prpp_c	5-phospho-alpha-d-ribose 1-diphosphate	c	UNDEF	false
M_2dr1p_c	2-deoxy-d-ribose 1-phosphate	c	UNDEF	false
M_glcnt_c	d-gluconate	c	UNDEF	false
M_udpg_c	udpglucose	c	UNDEF	false
M_udpge_c	udp-d-glucuronate	c	UNDEF	false
M_utp_c	uridine 5'-triphosphate	c	UNDEF	false
M_xul_c	d-xylulose	c	UNDEF	false
M_man6p_c	d-mannose 6-phosphate	c	UNDEF	false
M_man1p_c	d-mannose 1-phosphate	c	UNDEF	false
M_gtp_c	gtp	c	UNDEF	false
M_gdpman_c	gdp-mannose	c	UNDEF	false
M_gdman_c	GDP-4-dehydro-6-deoxy-D-mannose	c	UNDEF	false
M_glfuc_c	GDP-L-fucose	c	UNDEF	false
M_f1p_c	D-Fructose 1-phosphate	c	UNDEF	false
M_glyal_c	d-glyceraldehyde	c	UNDEF	false
M_fu1p_m	L-Fucose 1-phosphate	m	UNDEF	false
M_glfuc_m	GDP-L-fucose	m	UNDEF	false
M_fuc_c	L-Fucose	c	UNDEF	false
M_fu1p_c	L-Fucose 1-phosphate	c	UNDEF	false
M_dfru_c	d-fructose	c	UNDEF	false
M_man_c	d-mannose	c	UNDEF	false
M_f26p_m	d-fructose 2,6-bisphosphate	m	UNDEF	false
M_f26p_c	d-fructose 2,6-bisphosphate	c	UNDEF	false
M_gdp_c	gdp	c	UNDEF	false
M_14bman_c	1,4-b-mannan	c	UNDEF	false
M_rhmose_c	L-Rhamnose	c	UNDEF	false
M_rhmuose_c	L-Rhamnulose	c	UNDEF	false
M_rhmuose1p_c	L-Rhamnulose 1-phosphate	c	UNDEF	false
M_ladhde_c	(S)-Lactaldehyde	c	UNDEF	false
M_gal_c	d-galactose	c	UNDEF	false
M_gal1p_c	alpha-d-galactose 1-phosphate	c	UNDEF	false
M_udpgal_c	udp-d-galactose	c	UNDEF	false
M_lact_c	lactose	c	UNDEF	false
M_epm_e	Epimelibiose	e	UNDEF	false
M_gal_e	d-galactose	e	UNDEF	false
M_man_e	d-mannose	e	UNDEF	false
M_ggl_e	Galactosylglycerol	e	UNDEF	false
