rxnid	compartment	direction	gfdir	type	basecost	forward_cost	reverse_cost	complexes
rxn39240	c0|e0	=		conditional	0	0	0	
rxn12008	c	<		conditional	2	2.3	0	mscpx.2|mscpx.1
rxn10155	c	=		conditional	6	0	0	mscpx.3
rxn00541	c	=		conditional	2	0	0	mscpx.4
rxn00225	c	=		conditional	2	0	0	mscpx.5
rxn08954	c	=		conditional	4	0	0	mscpx.6
rxn01674	c	=		conditional	2	0	0	mscpx.7
rxn05572	c	=		conditional	5	0	0	mscpx.12|mscpx.13
rxn04659	c	=		conditional	2	0	0	mscpx.14
rxn01199	c	=		conditional	2	0	0	mscpx.15
rxn10215	c	>		conditional	4	0	0.6386	mscpx.16
rxn02483	c	>		conditional	2	0	1.117	mscpx.31
rxn00802	c	=		conditional	2	0	0	mscpx.32
rxn03638	c	>		conditional	2	0	0.4706	mscpx.33
rxn10318	c	>		conditional	4	0	-16.616	mscpx.36
rxn08851	c	=		conditional	4	0	0	mscpx.35|mscpx.34
rxn02377	c	=		conditional	2	0	0	mscpx.37
rxn03541	c	=		conditional	3	0	0	mscpx.39
rxn00797	c	=		conditional	1	0	0	mscpx.38
rxn06078	c	>		conditional	2	0	-0.3986	mscpx.40
rxn00868	c	<		conditional	2	2.655	0	mscpx.41|mscpx.42
rxn03954	c	=		conditional	3	0	0	mscpx.43
rxn01675	c	=		conditional	2	0	0	mscpx.44
rxn12636	c	=		conditional	4	0	0	mscpx.47|mscpx.51|mscpx.45|mscpx.46|mscpx.49|mscpx.48|mscpx.52|mscpx.50
rxn06802	c	>		conditional	2	0	-1.5826	mscpx.53|mscpx.54
rxn12644	c	=		conditional	4	0	0	mscpx.51|mscpx.47|mscpx.49|mscpx.52|mscpx.48|mscpx.50|mscpx.45|mscpx.46
rxn01367	c	>		conditional	1	0	0.7683	mscpx.57
rxn05536	c	>		conditional	5	0	0.3183	mscpx.66|mscpx.61|mscpx.64|mscpx.65|mscpx.60|mscpx.59|mscpx.68|mscpx.67|mscpx.58|mscpx.62|mscpx.63
rxn10855	c	=		conditional	5	0	0	mscpx.69
rxn03422	c	>		conditional	2	0	0.0196999999999999	mscpx.70
rxn08941	c	=		conditional	4	0	0	mscpx.71
rxn08800	c	=		conditional	4	0	0	mscpx.35|mscpx.34
rxn06729	c	>		conditional	2	0	0.6386	mscpx.72
rxn01387	c	=		conditional	2	0	0	mscpx.73
rxn00124	c	=		conditional	2	0	0	mscpx.74
rxn01506	c	=		conditional	2	0	0	mscpx.75
rxn08823	c	=		conditional	4	0	0	mscpx.35|mscpx.34
rxn05168	c	>		conditional	6	0	0.3183	mscpx.79|mscpx.80|mscpx.78|mscpx.82|mscpx.81
rxn00744	c	=		conditional	2	0	0	mscpx.83|mscpx.84|mscpx.85
rxn10824	c	=		conditional	5	0	0	mscpx.86
rxn00433	c	>		conditional	2	0	-0.90327	mscpx.87
rxn01737	c	>		conditional	2	0	0.6887	mscpx.88
rxn05544	c	>		conditional	5	0	0.3183	mscpx.66|mscpx.61|mscpx.64|mscpx.65|mscpx.60|mscpx.59|mscpx.68|mscpx.67|mscpx.58|mscpx.62|mscpx.63
rxn05391	c	>		conditional	4	0	-0.655	mscpx.89
rxn03061	c	=		conditional	2	0	0	mscpx.90
rxn09313	c	=		conditional	5	0	0	mscpx.91
rxn05549	c	>		conditional	5	0	0.3183	mscpx.92
rxn05330	c	=		conditional	2	0	0	mscpx.94|mscpx.93
rxn03910	c	=		conditional	2	0	0	mscpx.95
rxn03492	c	=		conditional	3	0	0	mscpx.96
rxn08258	c	=		conditional	4	0	0	mscpx.97
rxn05616	c	=		conditional	7	0	0	mscpx.99|mscpx.98
rxn04713	c	=		conditional	2	0	0	mscpx.100
rxn00816	c	=		conditional	2	0	0	mscpx.102|mscpx.103|mscpx.101
rxn02345	c	=		conditional	2	0	0	mscpx.104
rxn01134	c	=		conditional	2	0	0	mscpx.105
rxn00520	c	=		conditional	2	0	0	mscpx.106
rxn08527	c	=		conditional	4	0	0	mscpx.109|mscpx.108|mscpx.107
rxn12848	c	>		conditional	15	0	1.2713	mscpx.66|mscpx.61|mscpx.64|mscpx.65|mscpx.60|mscpx.59|mscpx.68|mscpx.67|mscpx.58|mscpx.62|mscpx.63
rxn08471	c	>		conditional	4	0	-5.94542	mscpx.110
rxn00369	c	=		conditional	2	0	0	mscpx.111|mscpx.7
rxn02212	c	>		conditional	2	0	-0.6934	mscpx.113|mscpx.114
rxn03419	c	=		conditional	2	0	0	mscpx.115|mscpx.116
rxn05408	c	=		conditional	4	0	0	mscpx.117
rxn02160	c	>		conditional	2	0	0.7683	mscpx.119|mscpx.118
rxn10125	c	=		conditional	5	0	0	mscpx.120|mscpx.121
rxn10295	c	=		conditional	4	0	0	mscpx.122
rxn02733	c	=		conditional	13	0	0	mscpx.123|mscpx.125|mscpx.124
rxn05614	c	>		conditional	5	0	0.3183	mscpx.126
rxn03052	c	=		conditional	2	0	0	mscpx.127
rxn09692	c	=		conditional	5	0	0	mscpx.129|mscpx.128
rxn01685	c	=		conditional	2	0	0	mscpx.130
rxn10304	c	=		conditional	4	0	0	mscpx.131
rxn00497	c	>		conditional	2	0	0.691	mscpx.132
rxn00577	c	=		conditional	2	0	0	mscpx.133
rxn05557	c	>		conditional	6	0	0.3183	mscpx.134|mscpx.136|mscpx.135|mscpx.137
rxn00883	c	>		conditional	2	0	0.7683	mscpx.139
rxn01923	c	>		conditional	4	0	-6.81137	mscpx.42
rxn00248	c	=		conditional	2	0	0	mscpx.143|mscpx.140|mscpx.144|mscpx.142|mscpx.141
rxn05734	c	=		conditional	4	0	0	mscpx.145
rxn01302	c	=		conditional	2	0	0	mscpx.146
rxn05422	c	=		conditional	4	0	0	mscpx.147
rxn00979	c	>		conditional	2	0	0.0196999999999999	mscpx.148
rxn05448	c	>		conditional	4	0	-0.655	mscpx.149
rxn00048	c	>		conditional	2	0	-4.105	mscpx.151|mscpx.150
rxn07584	c	=		conditional	2	0	0	mscpx.152
rxn05217	c	=		conditional	6	0	0	mscpx.1900|mscpx.153
rxn03164	c	>		conditional	1	0	0.3646	mscpx.155
rxn05298	c	=		conditional	6	0	0	mscpx.159|mscpx.157|mscpx.156|mscpx.158
rxn03906	c	>		conditional	2	0	-8.59267	mscpx.160
rxn00879	c	=		conditional	2	0	0	mscpx.161
rxn01370	c	=		conditional	2	0	0	mscpx.7
rxn10148	c	=		conditional	6	0	0	mscpx.162
rxn01258	c	=		conditional	2	0	0	mscpx.164|mscpx.163|mscpx.165
rxn01842	c	>		conditional	2	0	-0.4546	mscpx.166
rxn05229	c	>		conditional	4	0	0.5346	mscpx.167
rxn02302	c	=		conditional	12	0	0	mscpx.168
rxn12637	c	=		conditional	4	0	0	mscpx.51|mscpx.47|mscpx.49|mscpx.52|mscpx.48|mscpx.50|mscpx.45|mscpx.46
rxn05646	c	=		conditional	5	0	0	mscpx.169
rxn00321	c	=		conditional	2	0	0	mscpx.170
rxn09104	c	>		conditional	4	0	0.7683	mscpx.172|mscpx.171
rxn08934	c	=		conditional	4	0	0	mscpx.173
rxn07586	c	=		conditional	3	0	0	mscpx.174
rxn01618	c	=		conditional	2	0	0	mscpx.175
rxn00768	c	>		conditional	2	0	0.0833	mscpx.177|mscpx.176|mscpx.178
rxn05415	c	=		conditional	4	0	0	mscpx.94
rxn01416	c	=		conditional	4	0	0	mscpx.179
rxn10011	c	<		conditional	4	2.655	0	mscpx.41
rxn08354	c	=		conditional	5	0	0	mscpx.91
rxn08807	c	=		conditional	4	0	0	mscpx.35|mscpx.34
rxn05054	c	=		conditional	3	0	0	mscpx.180
rxn08297	c	=		conditional	4	0	0	mscpx.181
rxn00902	c	<		conditional	2	1.8927	0	mscpx.182
rxn03852	c	=		conditional	3	0	0	mscpx.183
rxn00952	c	>		conditional	2	0	-0.2954	mscpx.40
rxn08809	c	=		conditional	4	0	0	mscpx.35|mscpx.34
rxn00503	c	=		conditional	2	0	0	mscpx.185|mscpx.184
rxn10266	c	>		conditional	4	0	0.7683	mscpx.172|mscpx.171
rxn03962	c	=		conditional	2	0	0	mscpx.186
rxn03909	c	>		conditional	2	0	0.189	mscpx.187
rxn09264	c	>		conditional	4	0	0.4706	mscpx.188
rxn05187	c	>		conditional	5	0	0.3183	mscpx.189
rxn04745	c	>		conditional	2	0	-8.59267	mscpx.160
rxn05328	c	<		conditional	2	2.655	0	mscpx.149
rxn01205	c	>		conditional	2	0	-0.3396	mscpx.190
rxn05225	c	=		conditional	5	0	0	mscpx.191
rxn02853	c	>		conditional	2	0	0.0196999999999999	mscpx.145
rxn10230	c	>		conditional	4	0	-0.504	mscpx.192
rxn00999	c	>		conditional	2	0	-9.972	mscpx.193
rxn02056	c	=		conditional	3	0	0	mscpx.194
rxn05372	c	=		conditional	4	0	0	mscpx.147
rxn09134	c	=		conditional	4	0	0	mscpx.195
rxn00459	c	=		conditional	2	0	0	mscpx.197
rxn00405	c	>		conditional	2	0	0.691	mscpx.199|mscpx.200|mscpx.201|mscpx.198
rxn10277	c	=		conditional	4	0	0	mscpx.202
rxn02949	c	=		conditional	2	0	0	mscpx.205|mscpx.206
rxn02171	c	=		conditional	2	0	0	mscpx.207
rxn05031	c	>		conditional	3	0	0.634	mscpx.208
rxn10225	c	=		conditional	4	0	0	mscpx.209
rxn10259	c	=		conditional	4	0	0	mscpx.210
rxn00018	c	=		conditional	2	0	0	mscpx.211|mscpx.213|mscpx.212
rxn01011	c	=		conditional	2	0	0	mscpx.215|mscpx.214
rxn00929	c	=		conditional	2	0	0	mscpx.216|mscpx.217
rxn05316	c	=		conditional	5	0	0	mscpx.218|mscpx.219
rxn00312	c	>		conditional	2	0	-9.9257	mscpx.220
rxn08311	c	=		conditional	4	0	0	mscpx.209
rxn10288	c	=		conditional	4	0	0	mscpx.202
rxn01813	c	=		conditional	2	0	0	mscpx.221
rxn05746	c	=		conditional	4	0	0	mscpx.173
rxn01492	c	=		conditional	2	0	0	mscpx.223
rxn01101	c	=		conditional	2	0	0	mscpx.224
rxn00551	c	=		conditional	2	0	0	mscpx.225|mscpx.226
rxn01753	c	>		conditional	2	0	0.1833	mscpx.227
rxn08844	c	=		conditional	4	0	0	mscpx.35|mscpx.34
rxn10193	c	=		conditional	4	0	0	mscpx.131
rxn00358	c	=		conditional	3	0	0	mscpx.228|mscpx.229
rxn00302	c	>		conditional	2	0	0.0207000000000001	mscpx.115|mscpx.116
rxn00362	c	=		conditional	1	0	0	mscpx.230
rxn05621	c	>		conditional	5	0	0.3183	mscpx.232
rxn05315	c	=		conditional	6	0	0	mscpx.233
rxn01277	c	=		conditional	4	0	0	mscpx.234
rxn05518	c	=		conditional	5	0	0	mscpx.236|mscpx.235
rxn05145	c	=		conditional	6	0	0	mscpx.237
rxn05341	c	=		conditional	2	0	0	mscpx.147
rxn02944	c	=		conditional	2	0	0	mscpx.238
rxn02331	c	<		conditional	2	2.2177	0	mscpx.239
rxn11545	c	=		conditional	5	0	0	mscpx.240
rxn05412	c	>		conditional	4	0	-0.655	mscpx.89
rxn02988	c	<		conditional	2	2.0388	0	mscpx.241
rxn07307	c	<		conditional	3	2.19225	0	mscpx.242
rxn05460	c	>		conditional	4	0	1.2156	mscpx.244|mscpx.243
rxn10281	c	=		conditional	4	0	0	mscpx.202
rxn04139	c	>		conditional	2	0	-8.54367	mscpx.245
rxn00290	c	=		conditional	2	0	0	mscpx.246|mscpx.248|mscpx.247
rxn10199	c	=		conditional	4	0	0	mscpx.249
rxn09225	c	=		conditional	3	0	0	mscpx.250
rxn03241	c	=		conditional	2	0	0	mscpx.206
rxn01706	c	=		conditional	2	0	0	mscpx.7
rxn09200	c	=		conditional	4	0	0	mscpx.251
rxn01573	c	=		conditional	2	0	0	mscpx.252
rxn02937	c	=		conditional	2	0	0	mscpx.253
rxn00783	c	=		conditional	2	0	0	mscpx.254
rxn01483	c	>		conditional	2	0	0.4706	mscpx.255
rxn00640	c	=		conditional	2	0	0	mscpx.256
rxn05507	c	=		conditional	6	0	0	mscpx.258|mscpx.257
rxn00649	c	>		conditional	2	0	-0.2954	mscpx.260|mscpx.259
rxn10806	c	>		conditional	5	0	-2.28579	mscpx.281|mscpx.267|mscpx.275|mscpx.274|mscpx.263|mscpx.276|mscpx.272|mscpx.262|mscpx.270|mscpx.273|mscpx.269|mscpx.266|mscpx.278|mscpx.261|mscpx.271|mscpx.264|mscpx.280|mscpx.268|mscpx.277|mscpx.279|mscpx.265
rxn01763	c	=		conditional	2	0	0	mscpx.282
rxn05579	c	=		conditional	5	0	0	mscpx.129|mscpx.283
rxn12851	c	>		conditional	15	0	1.2713	mscpx.66|mscpx.61|mscpx.64|mscpx.65|mscpx.60|mscpx.59|mscpx.68|mscpx.67|mscpx.58|mscpx.62|mscpx.63
rxn05153	c	>		conditional	6	0	0.3183	mscpx.285|mscpx.284
rxn04656	c	>		conditional	12	0	-1.96	mscpx.286
rxn01446	c	=		conditional	2	0	0	mscpx.288|mscpx.287
rxn05346	c	>		conditional	2	0	1.2156	mscpx.244|mscpx.289
rxn01654	c	<		conditional	2	2.004	0	mscpx.290
rxn09661	c	=		conditional	6	0	0	mscpx.291
rxn01893	c	>		conditional	2	0	0.1997	mscpx.292
rxn10324	c	>		conditional	4	0	-16.616	mscpx.36
rxn02466	c	=		conditional	2	0	0	mscpx.295|mscpx.293|mscpx.294
rxn00671	c	=		conditional	2	0	0	mscpx.297|mscpx.296
rxn00558	c	=		conditional	2	0	0	mscpx.298|mscpx.299
rxn01406	c	>		conditional	2	0	-0.046	mscpx.300
rxn10340	c	=		conditional	4	0	0	mscpx.301
rxn00375	c	=		conditional	2	0	0	mscpx.302|mscpx.303
rxn00512	c	=		conditional	2	0	0	mscpx.304
rxn05335	c	=		conditional	2	0	0	mscpx.94|mscpx.93
rxn10122	c	=		conditional	5	0	0	mscpx.310|mscpx.308|mscpx.309|mscpx.307
rxn00143	c	=		conditional	2	0	0	mscpx.311
rxn00324	c	=		conditional	2	0	0	mscpx.304
rxn00187	c	>		conditional	2	0	0.7906	mscpx.312|mscpx.315|mscpx.316|mscpx.314|mscpx.317|mscpx.313
rxn05305	c	=		conditional	6	0	0	mscpx.318
rxn02875	c	=		conditional	4	0	0	mscpx.319
rxn09699	c	=		conditional	5	0	0	mscpx.320
rxn00737	c	>		conditional	2	0	0.43	mscpx.321|mscpx.323|mscpx.324|mscpx.322
rxn01200	c	=		conditional	2	0	0	mscpx.325|mscpx.326|mscpx.327
rxn05232	c	>		conditional	2	0	-0.7299	mscpx.328
rxn10044	c	=		conditional	6	0	0	mscpx.329
rxn03841	c	>		conditional	2	0	-2.697	mscpx.330
rxn04454	c	>		conditional	2	0	-2.573	mscpx.331
rxn00193	c	=		conditional	2	0	0	mscpx.332
rxn05561	c	=		conditional	5	0	0	mscpx.336|mscpx.334|mscpx.335|mscpx.333
rxn01834	c	=		conditional	2	0	0	mscpx.337
rxn00327	c	>		conditional	2	0	0.8487	mscpx.338
rxn00160	c	>		conditional	2	0	1.132	mscpx.339
rxn03481	c	>		conditional	2	0	0.6887	mscpx.341|mscpx.340
rxn01747	c	>		conditional	2	0	1.2727	mscpx.342
rxn01634	c	>		conditional	2	0	-0.2257	mscpx.343
rxn01103	c	>		conditional	3	0	0.0553000000000001	mscpx.344
rxn01345	c	>		conditional	2	0	0.7683	mscpx.345
rxn09125	c	>		conditional	4	0	0.7197	mscpx.195
rxn01073	c	>		conditional	2	0	0.5187	mscpx.347|mscpx.346
rxn05175	c	>		conditional	6	0	0.3183	mscpx.348
rxn02971	c	=		conditional	2	0	0	mscpx.349
rxn00835	c	=		conditional	2	0	0	mscpx.350
rxn08294	c	=		conditional	4	0	0	mscpx.181
rxn02332	c	>		conditional	2	0	0.6887	mscpx.351
rxn01351	c	>		conditional	1	0	0.1757	mscpx.352
rxn05381	c	=		conditional	4	0	0	mscpx.94
rxn04938	c	=		conditional	3	0	0	mscpx.353
rxn00604	c	=		conditional	3	0	0	mscpx.354
rxn05386	c	=		conditional	4	0	0	mscpx.94
rxn05958	c	>		conditional	4	0	0.6316	mscpx.355
rxn12844	c	=		conditional	5	0	0	mscpx.51|mscpx.47|mscpx.49|mscpx.52|mscpx.48|mscpx.50|mscpx.45|mscpx.46
rxn01678	c	=		conditional	2	0	0	mscpx.356
rxn08814	c	=		conditional	4	0	0	mscpx.35|mscpx.34
rxn01332	c	>		conditional	2	0	-0.2177	mscpx.357
rxn01858	c	>		conditional	2	0	0.1517	mscpx.362
rxn08657	c	>		conditional	4	0	-0.2629	mscpx.363
rxn05428	c	>		conditional	4	0	-0.655	mscpx.89
rxn08816	c	=		conditional	4	0	0	mscpx.35|mscpx.34
rxn01457	c	=		conditional	2	0	0	mscpx.364
rxn09103	c	>		conditional	4	0	0.7683	mscpx.172|mscpx.171
rxn09208	c	>		conditional	4	0	-0.504	mscpx.192
rxn05567	c	=		conditional	5	0	0	mscpx.365
rxn01807	c	=		conditional	2	0	0	mscpx.74
rxn10060	c	=		conditional	4	0	0	mscpx.366
rxn05683	c	=		conditional	5	0	0	mscpx.367
rxn06377	c	>		conditional	2	0	0.2796	mscpx.370|mscpx.368|mscpx.369
rxn05149	c	>		conditional	6	0	0.3183	mscpx.371
rxn00206	c	>		conditional	3	0	-2.59697	mscpx.372|mscpx.376|mscpx.374|mscpx.373
rxn10297	c	=		conditional	4	0	0	mscpx.122
rxn00762	c	=		conditional	2	0	0	mscpx.380
rxn07295	c	>		conditional	12	0	-2.588	mscpx.381
