id	compartment	direction	gfdir	type	base_cost	forward_cost	reverse_cost	complexes
rxn00001	c|e	>	=	conditional	3	0	0.4609	cpx01833|cpx01834|cpx01835|cpx34574
rxn00002	c|e	>	=	conditional	2	0	0.0377000000000001	cpx01285|cpx01286|cpx34429
rxn00003	c|e	=	=	conditional	4	2.053	0	cpx31894
rxn00004	c|e	=	=	conditional	4	0	0	cpx34891
rxn00006	c|e	>	=	conditional	3	0	-3.53543	cpx01324|cpx30476
rxn00007	c|e	=	=	conditional	2	0	0	cpx00876|cpx00877|cpx33706|cpx33706
rxn00009	c|e	=	=	conditional	5	0	0	cpx32995
rxn00010	c|e	>	=	conditional	2	0	-0.0569999999999999	cpx00596|cpx34780
rxn00011	c|e	<	=	conditional	2	1.687	0	cpx01104|cpx01103|cpx00992|cpx00994|cpx00990|cpx00993|cpx00823|cpx00991|cpx01105|cpx31097|cpx31894|cpx34739
rxn00012	c|e	=	=	conditional	5	0	0	cpx32414
rxn00013	c|e	=	=	conditional	5	0	0	cpx32787
rxn00014	c|e	=	=	conditional	6	0	0	cpx30475
rxn00015	c|e	=	=	conditional	4	0	0	cpx32519
rxn00016	c|e	>	=	conditional	2	0	0.6887	cpx01112|cpx33733
rxn00017	c|e	=	=	conditional	5	0	0	cpx31512
rxn00018	c|e	=	=	conditional	2	0	0	cpx00211|cpx00212|cpx00213|cpx34771
rxn00020	c|e	>	=	conditional	2	0	0.6887	cpx00725|cpx00726|cpx33699|cpx33699
rxn00021	c|e	=	=	conditional	5	0	0	cpx34865
rxn00022	c|e	>	=	conditional	2	0	0.6887	cpx00173|cpx01674|cpx01675|cpx33698|cpx33698
rxn00023	c|e	=	=	conditional	6	0	0	cpx31559
rxn00024	c|e	=	=	conditional	4	0	-7.28797	cpx30442
rxn00025	c|e	=	=	conditional	4	0	-7.74597	cpx30922
rxn00026	c|e	=	=	conditional	4	0	-1.64897	cpx30359
rxn00028	c|e	=	=	conditional	4	0	-9.3894	cpx30447
rxn00029	c|e	>	=	conditional	2	0	-0.5304	cpx00733|cpx34999
rxn00030	c|e	=	=	conditional	5	0	0	cpx34862
rxn00031	c|e	=	=	conditional	6	0	0	cpx32210
rxn00033	c|e	=	=	conditional	4	0	-12.656	cpx31086
rxn00034	c|e	=	=	conditional	5	0	-7.37797	cpx30555
rxn00035	c|e	=	=	conditional	4	0	-11.1354	cpx31130
rxn00036	c|e	=	=	conditional	4	0	-6.97337	cpx30442
rxn00038	c|e	=	=	conditional	2	0	0	cpx01010|cpx33158
rxn00039	c|e	=	=	conditional	5	0	0	cpx32090
rxn00040	c|e	=	=	conditional	5	0	0	cpx33156
rxn00041	c|e	=	=	conditional	5	0	0	cpx33178
rxn00042	c|e	=	=	conditional	5	0	-8.83337	cpx30364
rxn00043	c|e	=	=	conditional	5	0	-7.21737	cpx30442|cpx30867
rxn00044	c|e	=	=	conditional	5	0	0	cpx34420
rxn00045	c|e	=	=	conditional	5	0	0	cpx32410
rxn00046	c|e	=	=	conditional	5	0	0	cpx31905
rxn00048	c|e	>	=	conditional	2	0	-4.105	cpx00150|cpx00151|cpx32569
rxn00052	c|e	=	=	conditional	4	0	-3.15127	cpx30359
rxn00054	c|e	=	=	conditional	4	0	-27.6301	cpx30448
rxn00055	c|e	=	=	conditional	5	0	-2.408	cpx32518
rxn00056	c|e	=	=	conditional	2	0	0	cpx01236|cpx30950
rxn00057	c|e	=	=	conditional	5	0	-25.4921	cpx30349|cpx30442
rxn00058	c|e	=	=	conditional	4	0	0	cpx01840|cpx01841|cpx01842|cpx01844|cpx01845|cpx01846|cpx01847|cpx01848|cpx01851|cpx01853|cpx01854|cpx01855|cpx01856|cpx01857|cpx01858|cpx01859|cpx01861|cpx01862|cpx01864|cpx01865|cpx31517|cpx31596
rxn00060	c|e	>	=	conditional	2	0	-1.5973	cpx01323|cpx32538
rxn00061	c|e	=	=	conditional	5	0	-0.3634	cpx34618
rxn00062	c|e	>	=	conditional	4	0	0.3183	cpx34580|cpx34596|cpx34618|cpx34632|cpx34636|cpx34637|cpx34638|cpx34639|cpx34641|cpx34642|cpx34643|cpx34644|cpx34645|cpx34646|cpx34647|cpx34648|cpx34649|cpx34650|cpx34651|cpx34652|cpx34653|cpx34654|cpx34655|cpx34656|cpx34657|cpx34658|cpx34659|cpx34660|cpx34661|cpx34662|cpx34663|cpx34664|cpx34665|cpx34666|cpx34667|cpx34668|cpx34669|cpx34670|cpx34671|cpx34672|cpx34673|cpx34674|cpx34676|cpx34677|cpx34678|cpx34679|cpx34680|cpx34681|cpx34682|cpx34683|cpx34684|cpx34685|cpx34686|cpx34687|cpx34688|cpx34689|cpx34690|cpx34691|cpx34694|cpx34695|cpx34696|cpx34697|cpx34698|cpx34699|cpx34700|cpx34701
rxn00063	c|e	>	=	conditional	1	0	0.1757	cpx34632
rxn00064	c|e	=	=	conditional	5	0	0.1517	cpx34533
rxn00065	c|e	>	=	conditional	2	0	1.105	cpx01563|cpx01564|cpx35314
rxn00066	c|e	>	=	conditional	3	0	-6.7064	cpx01318|cpx30458
rxn00067	c|e	=	=	conditional	5	1.2918	0	cpx31546
rxn00068	c|e	=	=	conditional	5	6.03	0	cpx30947
rxn00069	c|e	=	=	conditional	1	0	0	cpx31307
rxn00070	c|e	=	=	conditional	5	0	0	cpx31555
rxn00071	c|e	=	=	conditional	4	0	0	cpx31465
rxn00072	c|e	=	=	conditional	5	0	0	cpx30943
rxn00074	c|e	=	=	conditional	3	0	0	cpx00425|cpx30944
rxn00076	c|e	>	=	conditional	1	0	0.0687	cpx34588|cpx34633
rxn00077	c|e	=	=	conditional	2	0	0	cpx00366|cpx32767
rxn00078	c|e	=	=	conditional	5	0	0	cpx32836
rxn00079	c|e	=	=	conditional	6	0	0	cpx31447
rxn00080	c|e	=	=	conditional	5	0	0	cpx30945
rxn00082	c|e	=	=	conditional	15	0	0	cpx00833
rxn00083	c|e	=	=	conditional	2	0	0	cpx01541|cpx00121|cpx01540|cpx31442|cpx31443
rxn00084	c|e	=	=	conditional	5	0	-6.7064	cpx30469
rxn00085	c|e	=	=	conditional	2	0	0	cpx00780|cpx31306
rxn00086	c|e	=	=	conditional	2	0	0	cpx01357|cpx31555
rxn00088	c|e	=	=	conditional	4	0	0.7683	cpx33427
rxn00089	c|e	=	=	conditional	4	0	0.6327	cpx33809|cpx33810
rxn00090	c|e	>	=	conditional	1	0	-1.87917	cpx31564
rxn00092	c|e	=	=	conditional	4	0	0.3183	cpx34618
rxn00093	c|e	=	=	conditional	5	0	0.1517	cpx34553
rxn00095	c|e	>	=	conditional	2	0	0.0687	cpx00936|cpx34609
rxn00096	c|e	=	=	conditional	4	0	0	cpx33004
rxn00097	c|e	=	=	conditional	2	0	0	cpx00811|cpx32936
rxn00098	c|e	=	=	conditional	4	0	0.3183	cpx34579
rxn00099	c|e	=	=	conditional	5	0	-0.3104	cpx35075
rxn00100	c|e	>	=	conditional	2	0	0.55	cpx00384|cpx00385|cpx32768
rxn00101	c|e	>	=	conditional	2	0	0.4247	cpx01893|cpx01894|cpx34424
rxn00102	c|e	=	=	conditional	2	0	0	cpx01443|cpx01444|cpx34945
rxn00103	c|e	=	=	conditional	4	0	0.691	cpx31030
rxn00105	c|e	=	=	conditional	2	0	0	cpx01342|cpx01343|cpx01344|cpx32956|cpx32965
rxn00106	c|e	=	=	conditional	6	0	0	cpx34591
rxn00107	c|e	=	=	conditional	5	0	0	cpx32939
rxn00108	c|e	=	=	conditional	5	0	0	cpx32921
rxn00109	c|e	=	=	conditional	4	3.29716	0	cpx31504|cpx31533
rxn00113	c|e	=	=	conditional	4	0	0.2623	cpx35716
rxn00114	c|e	=	=	conditional	2	0	0	cpx01830|cpx32897
rxn00116	c|e	>	=	conditional	1	0	0.3183	cpx34618|cpx34628
rxn00117	c|e	=	=	conditional	2	0	0	cpx00356|cpx32939
rxn00118	c|e	=	=	conditional	1	0	0	cpx32919
rxn00119	c|e	=	=	conditional	2	0	0	cpx01607|cpx32923|cpx32932|cpx32937
rxn00120	c|e	>	=	conditional	1	0	0.3183	cpx34606|cpx34618
rxn00121	c|e	=	=	conditional	4	0	0	cpx34583|cpx34633
rxn00122	c|e	>	=	conditional	2	0	-0.323	cpx00687|cpx32967
rxn00123	c|e	>	=	conditional	1	0	0.7683	cpx33499
rxn00124	c|e	=	=	conditional	2	0	0	cpx00074|cpx32780
rxn00125	c|e	=	=	conditional	5	0	0.2527	cpx33816
rxn00126	c|e	>	=	conditional	2	0	0.6913	cpx01451|cpx01452|cpx32536
rxn00127	c|e	>	=	conditional	2	0	0.691	cpx01473|cpx01474|cpx01475|cpx34784
rxn00128	c|e	=	=	conditional	4	0	0.695	cpx35287
rxn00129	c|e	=	=	conditional	5	0	0	cpx32514
rxn00130	c|e	=	=	conditional	4	0	0.1517	cpx34532|cpx34552
rxn00131	c|e	=	=	conditional	2	0	0	cpx01374|cpx33808
rxn00132	c|e	>	=	conditional	2	0	0.7683	cpx00863|cpx33472
rxn00133	c|e	=	=	conditional	4	0	0.0687	cpx34582
rxn00134	c|e	=	=	conditional	2	0	0	cpx00861|cpx00862|cpx32764|cpx32823
rxn00136	c|e	=	=	conditional	4	0	0.0687	cpx34595
rxn00137	c|e	>	=	conditional	3	0	0.7683	cpx00632|cpx33494
rxn00138	c|e	>	=	conditional	2	0	0.648	cpx00899|cpx35660|cpx35730
rxn00139	c|e	<	=	conditional	2	1.301	0	cpx00606|cpx32458|cpx32459
rxn00140	c|e	=	=	conditional	4	0	0.0707000000000001	cpx33526|cpx33566
