Source	Type	External ID	New ModelSEED ID	Old ModelSEED ID
BiGG	reactions	ALDD2ym	rxn30086	rxn00507
BiGG	reactions	ALPHNH	rxn30346	rxn00002
BiGG	reactions	AMD1_2	rxn15018	rxn00131
BiGG	reactions	AMD2_2	rxn30088	rxn01843
BiGG	reactions	AMID	rxn30347	rxn02275
BiGG	reactions	AMID2	rxn30348	rxn01843
BiGG	reactions	AMID3	rxn30349	rxn02222
BiGG	reactions	AMID4	rxn30303	rxn00231
BiGG	reactions	AMPDA	rxn30350	rxn00130
BiGG	reactions	AMPN	rxn15018	rxn00131
BiGG	reactions	APRTO2	rxn30351	rxn02826
BiGG	reactions	ARG1	rxn29991	rxn01434
BiGG	reactions	ARG3	rxn30043	rxn01019
BiGG	reactions	ARG4	rxn29990	rxn00802
BiGG	reactions	ARG8	rxn30089	rxn01637
BiGG	reactions	ARGDCpp	rxn19180	rxn00405
BiGG	reactions	ARGDr	rxn30071	rxn00395
BiGG	reactions	ARGN	rxn30090	rxn00394
BiGG	reactions	ARGSL	rxn29990	rxn00802
BiGG	reactions	ARGSS	rxn29991	rxn01434
BiGG	reactions	ARGSSr	rxn29991	rxn01434
BiGG	reactions	ARGTRSm	rxn30352	rxn06432
BiGG	reactions	ASNN	rxn29992	rxn00342
BiGG	reactions	ASNNe	rxn30353	rxn00342
BiGG	reactions	ASNNpp	rxn29950	rxn00342
BiGG	reactions	ASNS2	rxn29993	rxn00340
BiGG	reactions	ASNTRSm	rxn30354	rxn06434
BiGG	reactions	ASPO1	rxn30304	rxn00262
BiGG	reactions	ASPO9	rxn13761	rxn08518
BiGG	reactions	ASPT	rxn29994	rxn00347
BiGG	reactions	ASPTAm	rxn27720	rxn00260
BiGG	reactions	ASPTAp	rxn30355	rxn00260
BiGG	reactions	ASPTRSm	rxn30161	rxn06936
BiGG	reactions	ASPt2_3pp	rxn29029	rxn08169
BiGG	reactions	ASPt2pp	rxn39046	rxn08169
BiGG	reactions	ATPHs	rxn29995	rxn00064
BiGG	reactions	BAT1_1	rxn19241	rxn00806
BiGG	reactions	BAT1_2	rxn19240	rxn01575
BiGG	reactions	BCOA	rxn11378	rxn13427
BiGG	reactions	BTS2	rxn10089	rxn10089|rxn13428
BiGG	reactions	BUTCOAH	rxn11379	rxn13429
BiGG	reactions	C24STRer	rxn17223	rxn03913
BiGG	reactions	CAR1	rxn30090	rxn00394
BiGG	reactions	CAR2	rxn30091	rxn00467
BiGG	reactions	CAT2	rxn15327	rxn01726
BiGG	reactions	CATp	rxn19264	rxn00006
BiGG	reactions	CBIAT	rxn05029	rxn05029|rxn10090
BiGG	reactions	CBLAT	rxn08194	rxn08194|rxn10091
BiGG	reactions	CBMK	rxn29996	rxn00114
BiGG	reactions	CBMKr	rxn29996	rxn00114
BiGG	reactions	CCP2m	rxn30356	rxn00014
BiGG	reactions	CDAPPA160190	rxn10713	rxn13430
BiGG	reactions	CDAPPA190	rxn10729	rxn13431
BiGG	reactions	CDPPT160	rxn10737	rxn13438
BiGG	reactions	CDS1_1	rxn30092	rxn06043
BiGG	reactions	CDS1_2	rxn30093	rxn06043
BiGG	reactions	CEM1_1	rxn30094	rxn05347
BiGG	reactions	CEM1_2	rxn25639	rxn05346
BiGG	reactions	CEM1_3	rxn25640	rxn05350
BiGG	reactions	CEM1_4	rxn25642	rxn05343
BiGG	reactions	CEM1_5	rxn25644	rxn05348
BiGG	reactions	CEM1_6	rxn25645	rxn05345
BiGG	reactions	CEM1_7	rxn30095	rxn05344
BiGG	reactions	CEM1_8	rxn30096	rxn07576
BiGG	reactions	CERS124	rxn30358	rxn09607
BiGG	reactions	CERS126	rxn30359	rxn09606
BiGG	reactions	CERS224	rxn39072	rxn09603
BiGG	reactions	CERS226	rxn30360	rxn09602
BiGG	reactions	CHACH	rxn03034	rxn10472
BiGG	reactions	CHO1_1	rxn30097	rxn06044
BiGG	reactions	CHO1_2	rxn30098	rxn06044
BiGG	reactions	CHO2	rxn30099	rxn06091
BiGG	reactions	CIT1	rxn19316	rxn00256
BiGG	reactions	CIT3	rxn19316	rxn00256
BiGG	reactions	CMCBTFL	rxn10797	rxn13439
BiGG	reactions	CMCBTFU	rxn10808	rxn13440
BiGG	reactions	CMPN	rxn15049	rxn00362
BiGG	reactions	COAHLp	rxn30361	rxn09532
BiGG	reactions	COUCOAFm	rxn30362	rxn01182
BiGG	reactions	CPC4MT	rxn30072	rxn04048
BiGG	reactions	CPT1	rxn30101	rxn05971
BiGG	reactions	CRD1	rxn30102	rxn06081
BiGG	reactions	CSNATm	rxn19259	rxn01726
BiGG	reactions	CSNATp	rxn19260	rxn01726
BiGG	reactions	CSNATr	rxn15327	rxn01726
BiGG	reactions	CSND	rxn29997	rxn00717
BiGG	reactions	CSm	rxn19316	rxn00256
BiGG	reactions	CSp	rxn27765	rxn00256
BiGG	reactions	CTPS1	rxn30073	rxn00410
BiGG	reactions	CU2abcpp	rxn39047	rxn08271
BiGG	reactions	CUtex	rxn39048	rxn08273
BiGG	reactions	CYANST	rxn27322	rxn01416
BiGG	reactions	CYANSTTHSFST	rxn27322	rxn01416
BiGG	reactions	CYANSTpp	rxn27323	rxn01416
BiGG	reactions	CYB2	rxn30103	rxn00145
BiGG	reactions	CYOOm	rxn39073	rxn09527
BiGG	reactions	CYS3		rxn00742
BiGG	reactions	CYSDDS	rxn29999	rxn01365
BiGG	reactions	CYSDS	rxn30000	rxn00566
BiGG	reactions	CYSTGL	rxn30306	rxn00742
BiGG	reactions	CYSTL	rxn30001	rxn00950
BiGG	reactions	CYSTLp	rxn30363	rxn00950
BiGG	reactions	CYTBO3_4pp	rxn30002	rxn08288
BiGG	reactions	CYTD	rxn30003	rxn01368
BiGG	reactions	D-LACDm	rxn30364	rxn00146
BiGG	reactions	DADA	rxn30004	rxn01858
BiGG	reactions	DALAOX	rxn30307	rxn04092
BiGG	reactions	DAPAL	rxn30005	rxn00144
BiGG	reactions	DASYN160190	rxn10679	rxn13447
BiGG	reactions	DASYN190190	rxn10675	rxn13448
BiGG	reactions	DASYNm_SC	rxn30365	rxn09550
BiGG	reactions	DCMPDA	rxn30074	rxn01217
BiGG	reactions	DCPDPS	rxn39069	rxn10785
BiGG	reactions	DCTPD	rxn30006	rxn01672
BiGG	reactions	DCTPD2	rxn30308	rxn00407
BiGG	reactions	DCYTD	rxn30007	rxn01800
BiGG	reactions	DDPAm	rxn30366	rxn01332
BiGG	reactions	DEG1	rxn15113	rxn00776
BiGG	reactions	DFR1_1	rxn30104	rxn00686
BiGG	reactions	DGA1	rxn30105	rxn06145
BiGG	reactions	DHAD1	rxn15467	rxn00898
BiGG	reactions	DHAD1m	rxn30367	rxn00898
BiGG	reactions	DHAD2m	rxn30145	rxn03437
BiGG	reactions	DHBD	rxn30008	rxn01094
BiGG	reactions	DHCIND	rxn30009	rxn04600
BiGG	reactions	DHCINDO	rxn30010	rxn04603
BiGG	reactions	DHFRim	rxn30104	rxn00686
BiGG	reactions	DHNPA2	rxn30011	rxn02504
BiGG	reactions	DHNPAm	rxn30368	rxn02504
BiGG	reactions	DHORDfum	rxn01360	rxn13251
BiGG	reactions	DHORDi	rxn27812	rxn01360
BiGG	reactions	DHPPDA	rxn30012	rxn02475
BiGG	reactions	DHPPDA2	rxn30012	rxn02475
BiGG	reactions	DHPPDADHPPDA2	rxn30309	rxn02475
BiGG	reactions	DHPS3	rxn10491	rxn02201|rxn10491
BiGG	reactions	DHPSm	rxn30369	rxn02200
BiGG	reactions	DNMPPA	rxn30013	rxn03168
BiGG	reactions	DNTPPA	rxn30014	rxn03173
BiGG	reactions	DOLPMMer	rxn39074	rxn09511
BiGG	reactions	DPCOAKm	rxn30214	rxn00100
BiGG	reactions	DPP1	rxn30106	rxn06138
BiGG	reactions	DPRm	rxn30146	rxn01790
BiGG	reactions	EAR140x	rxn25750	rxn05323
BiGG	reactions	EAR140y	rxn25646	rxn05351
BiGG	reactions	ECM40_1	rxn30107	rxn00192
BiGG	reactions	ECM40_2	rxn30108	rxn01636
BiGG	reactions	ECOAH1	rxn02167	rxn02167|rxn13450
BiGG	reactions	ECOAH2	rxn03250	rxn03250|rxn11152
BiGG	reactions	ECOAH4p	rxn19668	rxn03245
BiGG	reactions	ECOAH5p	rxn19662	rxn02911
BiGG	reactions	ECOAH6p	rxn30370	rxn03241
BiGG	reactions	ECOAH7p	rxn19664	rxn03240
BiGG	reactions	ECOAH8p	rxn19661	rxn08413
BiGG	reactions	EDTXS1	rxn30015	rxn06865
BiGG	reactions	EDTXS2	rxn30016	rxn06848
BiGG	reactions	EHGLAT	rxn18921	rxn02339
BiGG	reactions	EHGLATm	rxn30371	rxn02339
BiGG	reactions	EHGLATp	rxn30372	rxn02339
BiGG	reactions	EPISTESTH_SCe	rxn39075	rxn13255
BiGG	reactions	EPT1	rxn30109	rxn06092
BiGG	reactions	ERG20_1	rxn30110	rxn01213
BiGG	reactions	ERG20_2	rxn30111	rxn01466
BiGG	reactions	ERGSTESTH_SCe	rxn30374	rxn13258
BiGG	reactions	ETHAAL	rxn30017	rxn00539
BiGG	reactions	ETR1_2	rxn30112	rxn05357
BiGG	reactions	ETR1_3	rxn30113	rxn05352
