Source	Type	External ID	New ModelSEED ID	Old ModelSEED ID
KEGG	compounds	C00162	cpd19000	cpd00049
KEGG	compounds	C00193	cpd00225	cpd11631
KEGG	compounds	C00267	cpd19001	cpd00027
KEGG	compounds	C00293		cpd00027
KEGG	compounds	C00297	cpd30740	cpd00239
KEGG	compounds	C00302	cpd19002	cpd00023
KEGG	compounds	C00462	cpd11684	cpd11844
KEGG	compounds	C00487	cpd19003	cpd00266
KEGG	compounds	C00539	cpd00153	cpd11694
KEGG	compounds	C00597	cpd30741	cpd00169
KEGG	compounds	C00623	cpd16494	cpd00080
KEGG	compounds	C00641	cpd19004	cpd11423
KEGG	compounds	C00661	cpd19005	cpd00102
KEGG	compounds	C00668	cpd19006	cpd00079
KEGG	compounds	C00706	cpd03811	cpd11731
KEGG	compounds	C00711	cpd30742	cpd00130
KEGG	compounds	C00716	cpd30743	cpd00054
KEGG	compounds	C00754	cpd08438	cpd11744
KEGG	compounds	C00806	cpd19007	cpd00065
KEGG	compounds	C00810	cpd19008	cpd00361
KEGG	compounds	C00818	cpd00571	cpd00609
KEGG	compounds	C00890	cpd11672	cpd11772
KEGG	compounds	C00936	cpd19009	cpd00138
KEGG	compounds	C01070	cpd19010	cpd00109
KEGG	compounds	C01071	cpd19011	cpd00110
KEGG	compounds	C01194	cpd11715	cpd11822
KEGG	compounds	C01231	cpd00499	cpd00907
KEGG	compounds	C01326	cpd19012	cpd00150
KEGG	compounds	C01342	cpd19013	cpd00013
KEGG	compounds	C01394	cpd01487	cpd00154
KEGG	compounds	C01442	cpd11658	cpd11869
KEGG	compounds	C01450	cpd11733	cpd11872
KEGG	compounds	C01481	cpd30744	cpd00881
KEGG	compounds	C01490	cpd19014	cpd11678
KEGG	compounds	C01496	cpd19015	cpd00082
KEGG	compounds	C01536	cpd30745	cpd00069
KEGG	compounds	C01602	cpd19016	cpd00064
KEGG	compounds	C01612	cpd11679	cpd11901
KEGG	compounds	C01733	cpd30746	cpd00060
KEGG	compounds	C01766	cpd19017	cpd01010
KEGG	compounds	C01769	cpd00361	cpd01221
