reaction	atom_mapping_confidence
rxn00356	clean
rxn00357	clean
rxn00358	clean
rxn00359	clean
rxn00360	clean
rxn00361	clean
rxn00362	clean
rxn00363	clean
rxn00364	clean
rxn00365	clean
rxn00366	clean
rxn00367	clean
rxn00368	clean
rxn00369	clean
rxn00370	clean
rxn00371	salvaged
rxn00372	clean
rxn00373	salvaged
rxn00374	clean
rxn00375	clean
rxn00376	clean
rxn00377	clean
rxn00378	clean
rxn00379	clean
rxn00380	clean
rxn00381	clean
rxn00382	clean
rxn00383	clean
rxn00384	clean
rxn00385	clean
rxn00386	clean
rxn00387	clean
rxn00388	salvaged
rxn00391	clean
rxn00392	clean
rxn00393	salvaged
rxn00394	clean
rxn00395	clean
rxn00396	clean
rxn00397	clean
rxn00399	clean
rxn00400	clean
rxn00401	clean
rxn00402	clean
rxn00403	clean
rxn00404	clean
rxn00405	salvaged
rxn00406	clean
rxn00407	clean
rxn00408	clean
rxn00409	salvaged
rxn00410	clean
rxn00411	clean
rxn00412	clean
rxn00413	clean
rxn00414	clean
rxn00415	clean
rxn00416	clean
rxn00417	clean
rxn00418	clean
rxn00419	clean
rxn00420	clean
rxn00421	clean
rxn00422	clean
rxn00423	clean
rxn00424	salvaged
rxn00425	clean
rxn00426	clean
rxn00427	clean
rxn00428	clean
rxn00429	clean
rxn00430	clean
rxn00431	clean
rxn00432	clean
rxn00433	clean
rxn00434	salvaged
rxn00435	clean
rxn00436	clean
rxn00437	clean
rxn00438	clean
rxn00439	clean
rxn00440	clean
rxn00441	salvaged
rxn00443	clean
rxn00444	clean
rxn00445	clean
rxn00448	salvaged
rxn00449	clean
rxn00450	clean
rxn00451	clean
rxn00452	clean
rxn00453	clean
rxn00454	clean
rxn00455	salvaged
rxn00456	clean
rxn00457	clean
rxn00458	salvaged
rxn00459	clean
rxn00460	clean
rxn00461	clean
rxn00462	clean
rxn00463	clean
rxn00464	salvaged
rxn00465	clean
rxn00466	clean
rxn00467	clean
rxn00468	clean
rxn00469	clean
rxn00470	salvaged
rxn00471	clean
rxn00472	clean
rxn00473	clean
rxn00474	clean
rxn00475	clean
rxn00476	clean
rxn00477	clean
rxn00478	clean
rxn00479	clean
rxn00480	clean
rxn00481	clean
rxn00482	clean
rxn00483	clean
rxn00484	salvaged
rxn00485	salvaged
rxn00486	salvaged
rxn00487	clean
rxn00488	clean
rxn00489	clean
rxn00490	clean
rxn00491	clean
rxn00492	clean
rxn00493	clean
rxn00494	clean
rxn00495	clean
rxn00496	salvaged
rxn00497	salvaged
rxn00498	clean
rxn00499	clean
rxn00500	clean
rxn00501	salvaged
rxn00502	salvaged
rxn00503	clean
rxn00504	clean
rxn00505	salvaged
rxn00506	clean
rxn00507	clean
rxn00508	clean
rxn00509	clean
rxn00510	clean
rxn00511	clean
rxn00512	clean
rxn00513	clean
rxn00514	clean
rxn00515	clean
rxn00516	clean
rxn00517	clean
rxn00518	clean
rxn00519	salvaged
rxn00520	clean
rxn00521	clean
rxn00522	clean
rxn00523	clean
rxn00524	clean
rxn00525	salvaged
rxn00526	salvaged
rxn00527	clean
rxn00528	salvaged
rxn00529	salvaged
rxn00530	clean
rxn00531	clean
rxn00532	salvaged
rxn00533	clean
rxn00534	salvaged
rxn00535	clean
rxn00536	clean
rxn00537	clean
rxn00538	clean
rxn00539	clean
rxn00540	clean
rxn00541	clean
rxn00542	clean
rxn00543	clean
rxn00544	clean
rxn00545	clean
rxn00546	clean
rxn00547	clean
rxn00548	clean
rxn00549	clean
rxn00550	clean
rxn00551	clean
rxn00552	clean
rxn00553	clean
rxn00554	clean
rxn00555	clean
rxn00556	clean
rxn00557	clean
rxn00558	clean
rxn00559	clean
rxn00560	clean
rxn00561	clean
rxn00562	clean
rxn00563	clean
rxn00564	clean
rxn00565	clean
rxn00566	clean
rxn00567	clean
rxn00568	clean
rxn00569	clean
rxn00570	clean
rxn00571	salvaged
rxn00572	salvaged
rxn00573	salvaged
rxn00574	salvaged
rxn00575	clean
rxn00577	clean
rxn00578	clean
rxn00579	clean
rxn00580	clean
rxn00581	clean
rxn00582	clean
rxn00583	clean
rxn00584	clean
rxn00585	clean
rxn00586	clean
rxn00587	clean
rxn00588	salvaged
rxn00589	salvaged
rxn00591	clean
rxn00592	salvaged
rxn00593	salvaged
rxn00594	clean
rxn00595	clean
rxn00596	clean
rxn00598	clean
rxn00599	clean
rxn00600	salvaged
rxn00601	clean
rxn00602	clean
rxn00603	clean
rxn00604	clean
rxn00605	clean
rxn00606	clean
rxn00607	clean
rxn00608	clean
rxn00609	clean
rxn00610	clean
rxn00611	clean
rxn00612	clean
rxn00613	clean
rxn00614	clean
rxn00615	clean
rxn00616	clean
rxn00617	clean
rxn00618	clean
rxn00619	clean
rxn00620	clean
rxn00621	clean
rxn00622	salvaged
rxn00623	clean
rxn00624	salvaged
rxn00625	clean
rxn00626	clean
rxn00627	clean
rxn00629	clean
rxn00630	clean
rxn00631	clean
rxn00632	clean
rxn00633	clean
rxn00634	clean
rxn00635	clean
rxn00636	clean
rxn00638	clean
rxn00639	clean
rxn00640	clean
rxn00641	clean
rxn00642	clean
rxn00643	clean
rxn00644	salvaged
rxn00645	clean
rxn00646	clean
rxn00647	clean
rxn00649	clean
rxn00650	clean
rxn00651	clean
rxn00652	clean
rxn00653	clean
rxn00654	clean
rxn00655	clean
rxn00656	clean
rxn00657	clean
rxn00658	salvaged
rxn00659	salvaged
rxn00660	clean
rxn00661	salvaged
rxn00662	clean
rxn00663	clean
rxn00664	salvaged
rxn00666	salvaged
rxn00667	salvaged
rxn00668	clean
