reaction	atom_mapping_confidence
rxn07673	clean
rxn07674	salvaged
rxn07675	salvaged
rxn07676	salvaged
rxn07677	salvaged
rxn07678	clean
rxn07679	clean
rxn07680	clean
rxn07681	clean
rxn07682	clean
rxn07683	clean
rxn07684	clean
rxn07685	clean
rxn07686	clean
rxn07687	clean
rxn07688	clean
rxn07689	clean
rxn07691	salvaged
rxn07692	clean
rxn07693	clean
rxn07694	salvaged
rxn07695	salvaged
rxn07696	salvaged
rxn07697	salvaged
rxn07698	salvaged
rxn07699	salvaged
rxn07700	clean
rxn07701	clean
rxn07702	clean
rxn07703	clean
rxn07704	clean
rxn07705	salvaged
rxn07706	salvaged
rxn07707	clean
rxn07708	salvaged
rxn07709	clean
rxn07710	clean
rxn07711	clean
rxn07712	clean
rxn07713	clean
rxn07714	salvaged
rxn07715	salvaged
rxn07716	clean
rxn07717	clean
rxn07718	clean
rxn07719	clean
rxn07720	clean
rxn07721	clean
rxn07722	salvaged
rxn07724	clean
rxn07725	clean
rxn07726	clean
rxn07727	clean
rxn07728	clean
rxn07729	clean
rxn07731	salvaged
rxn07732	clean
rxn07733	salvaged
rxn07734	clean
rxn07735	salvaged
rxn07737	clean
rxn07738	salvaged
rxn07739	clean
rxn07740	clean
rxn07741	clean
rxn07742	clean
rxn07743	clean
rxn07744	clean
rxn07745	clean
rxn07746	clean
rxn07747	clean
rxn07748	clean
rxn07749	clean
rxn07750	clean
rxn07751	clean
rxn07752	clean
rxn07753	clean
rxn07754	clean
rxn07755	clean
rxn07756	clean
rxn07757	clean
rxn07758	clean
rxn07759	clean
rxn07760	clean
rxn07761	clean
rxn07762	clean
rxn07763	clean
rxn07764	clean
rxn07765	clean
rxn07766	clean
rxn07767	clean
rxn07768	clean
rxn07769	clean
rxn07770	clean
rxn07771	clean
rxn07773	clean
rxn07774	clean
rxn07775	clean
rxn07776	clean
rxn07777	salvaged
rxn07778	salvaged
rxn07779	salvaged
rxn07780	clean
rxn07781	clean
rxn07782	clean
rxn07783	clean
rxn07784	salvaged
rxn07785	clean
rxn07786	clean
rxn07787	salvaged
rxn07788	clean
rxn07789	clean
rxn07790	clean
rxn07791	clean
rxn07792	clean
rxn07793	clean
rxn07794	salvaged
rxn07795	clean
rxn07796	salvaged
rxn07797	salvaged
rxn07798	clean
rxn07799	clean
rxn07800	clean
rxn07801	salvaged
rxn07802	salvaged
rxn07803	clean
rxn07804	salvaged
rxn07805	salvaged
rxn07806	clean
rxn07807	salvaged
rxn07808	clean
rxn07809	clean
rxn07810	salvaged
rxn07811	clean
rxn07812	clean
rxn07813	salvaged
rxn07814	clean
rxn07815	salvaged
rxn07816	salvaged
rxn07817	salvaged
rxn07818	salvaged
rxn07819	salvaged
rxn07820	salvaged
rxn07821	salvaged
rxn07822	clean
rxn07823	salvaged
rxn07824	salvaged
rxn07825	salvaged
rxn07826	clean
rxn07827	salvaged
rxn07828	salvaged
rxn07829	salvaged
rxn07830	salvaged
rxn07831	salvaged
rxn07832	salvaged
rxn07833	clean
rxn07834	clean
rxn07835	clean
rxn07836	clean
rxn07837	salvaged
rxn07838	clean
rxn07839	salvaged
rxn07840	clean
rxn07841	clean
rxn07842	clean
rxn07843	clean
rxn07846	salvaged
rxn07847	clean
rxn07848	clean
rxn07849	clean
rxn07850	clean
rxn07851	clean
rxn07852	clean
rxn07855	clean
rxn07856	clean
rxn07857	clean
rxn07858	clean
rxn07860	clean
rxn07861	clean
rxn07862	clean
rxn07863	clean
rxn07864	salvaged
rxn07865	salvaged
rxn07868	clean
rxn07869	clean
rxn07870	clean
rxn07871	clean
rxn07872	clean
rxn07873	clean
rxn07874	clean
rxn07875	clean
rxn07876	clean
rxn07877	salvaged
rxn07879	clean
rxn07880	clean
rxn07881	clean
rxn07882	clean
rxn07883	clean
rxn07884	clean
rxn07885	clean
rxn07886	clean
rxn07887	clean
rxn07888	clean
rxn07889	clean
rxn07890	clean
rxn07891	salvaged
rxn07892	clean
rxn07893	clean
rxn07894	clean
rxn07895	clean
rxn07896	clean
rxn07897	clean
rxn07898	clean
rxn07899	clean
rxn07900	clean
rxn07901	clean
rxn07902	salvaged
rxn07903	salvaged
rxn07904	clean
rxn07905	salvaged
rxn07906	clean
rxn07907	clean
rxn07908	clean
rxn07909	clean
rxn07919	clean
rxn07920	clean
rxn07921	clean
rxn07922	clean
rxn07925	clean
rxn07926	clean
rxn07927	clean
rxn07928	clean
rxn07929	clean
rxn07930	clean
rxn07931	clean
rxn07967	clean
rxn07971	clean
rxn07972	clean
rxn07973	clean
rxn07974	clean
rxn07975	clean
rxn08005	clean
rxn08006	clean
rxn08008	clean
rxn08009	clean
rxn08011	clean
rxn08012	clean
rxn08013	clean
rxn08023	clean
rxn08025	clean
rxn08027	clean
rxn08028	clean
rxn08029	clean
rxn08030	clean
rxn08032	clean
rxn08033	clean
rxn08034	salvaged
rxn08035	clean
rxn08036	clean
rxn08037	clean
rxn08038	clean
rxn08039	clean
rxn08040	clean
rxn08041	clean
rxn08042	clean
rxn08043	clean
rxn08044	clean
rxn08045	salvaged
rxn08046	clean
rxn08047	clean
rxn08048	clean
rxn08049	clean
rxn08050	clean
rxn08051	clean
rxn08053	clean
rxn08056	clean
rxn08059	clean
rxn08060	clean
rxn08061	clean
rxn08062	salvaged
rxn08063	clean
rxn08064	clean
rxn08065	clean
rxn08066	clean
rxn08067	clean
rxn08068	clean
rxn08069	clean
rxn08070	salvaged
rxn08071	salvaged
rxn08074	clean
rxn08075	clean
rxn08077	salvaged
rxn08078	salvaged
rxn08082	clean
rxn08091	clean
rxn08094	salvaged
rxn08095	clean
rxn08096	clean
rxn08097	clean
rxn08098	clean
rxn08099	clean
rxn08100	clean
rxn08101	clean
rxn08102	salvaged
rxn08103	clean
rxn08104	clean
rxn08110	clean
rxn08111	clean
rxn08112	clean
rxn08113	clean
rxn08114	clean
rxn08115	clean
rxn08116	clean
rxn08117	clean
rxn08118	clean
rxn08122	clean
rxn08125	clean
rxn08126	clean
rxn08127	clean
rxn08128	clean
rxn08130	clean
rxn08131	clean
rxn08133	clean
rxn08134	clean
rxn08137	clean
rxn08139	clean
rxn08140	clean
rxn08141	clean
rxn08142	clean
rxn08143	clean
rxn08149	clean
rxn08151	clean
rxn08152	clean
rxn08153	clean
rxn08154	clean
rxn08155	clean
rxn08158	clean
rxn08159	clean
rxn08160	clean
rxn08161	clean
rxn08162	clean
rxn08163	clean
rxn08164	clean
rxn08165	clean
rxn08166	clean
rxn08167	clean
rxn08168	clean
rxn08169	clean
rxn08170	clean
rxn08171	salvaged
rxn08172	clean
rxn08173	clean
rxn08174	clean
rxn08175	clean
rxn08178	clean
rxn08179	clean
rxn08180	salvaged
rxn08181	clean
rxn08182	clean
rxn08183	clean
rxn08184	clean
rxn08185	clean
rxn08186	clean
rxn08187	clean
rxn08190	salvaged
rxn08191	salvaged
rxn08192	clean
rxn08194	salvaged
rxn08195	clean
rxn08196	clean
rxn08197	clean
rxn08198	clean
rxn08210	clean
rxn08211	clean
rxn08212	clean
rxn08213	clean
rxn08214	clean
rxn08216	salvaged
rxn08217	clean
rxn08218	clean
rxn08233	clean
rxn08234	clean
rxn08236	clean
rxn08237	clean
rxn08238	clean
rxn08239	salvaged
rxn08240	clean
rxn08241	clean
rxn08242	clean
rxn08243	clean
rxn08244	clean
rxn08245	salvaged
rxn08247	salvaged
rxn08248	salvaged
rxn08249	salvaged
rxn08251	clean
rxn08252	clean
rxn08253	clean
rxn08254	clean
rxn08255	salvaged
rxn08256	clean
rxn08257	salvaged
rxn08258	clean
rxn08259	clean
rxn08260	salvaged
rxn08261	clean
rxn08262	clean
rxn08263	clean
rxn08264	clean
rxn08265	clean
rxn08266	clean
rxn08267	clean
rxn08268	clean
rxn08269	salvaged
rxn08270	clean
rxn08271	salvaged
rxn08272	clean
rxn08273	clean
rxn08274	clean
rxn08275	clean
rxn08276	clean
rxn08277	salvaged
rxn08278	clean
rxn08279	clean
rxn08280	clean
rxn08281	clean
rxn08282	clean
rxn08283	clean
rxn08284	clean
rxn08286	clean
rxn08289	clean
rxn08290	clean
rxn08291	clean
rxn08292	clean
rxn08293	clean
rxn08301	clean
rxn08302	clean
rxn08303	clean
rxn08304	clean
rxn08305	clean
rxn08313	clean
rxn08314	clean
rxn08315	clean
rxn08316	clean
rxn08317	clean
rxn08318	clean
rxn08319	clean
rxn08320	clean
rxn08322	clean
rxn08323	clean
rxn08324	clean
rxn08325	clean
rxn08326	clean
rxn08333	clean
rxn08335	clean
rxn08336	clean
rxn08340	clean
rxn08341	clean
rxn08342	clean
rxn08343	clean
rxn08344	clean
rxn08346	clean
rxn08347	clean
rxn08348	clean
rxn08349	clean
rxn08350	clean
rxn08351	clean
rxn08352	clean
rxn08354	clean
rxn08355	clean
rxn08356	clean
rxn08357	clean
rxn08358	clean
rxn08359	clean
rxn08363	clean
rxn08371	clean
rxn08372	clean
rxn08373	clean
rxn08374	clean
rxn08375	clean
rxn08376	clean
rxn08377	clean
rxn08380	clean
rxn08406	clean
rxn08408	clean
rxn08409	clean
rxn08410	clean
rxn08411	clean
rxn08413	clean
rxn08419	clean
rxn08423	clean
rxn08424	clean
rxn08425	clean
rxn08426	clean
rxn08427	clean
rxn08428	clean
rxn08429	clean
rxn08430	clean
rxn08432	clean
rxn08439	clean
rxn08440	clean
rxn08441	clean
rxn08444	clean
rxn08446	clean
rxn08447	clean
rxn08448	salvaged
rxn08449	salvaged
rxn08450	salvaged
rxn08452	salvaged
rxn08454	salvaged
rxn08456	salvaged
rxn08457	salvaged
rxn08458	clean
rxn08459	clean
rxn08461	clean
rxn08462	clean
rxn08465	salvaged
rxn08466	salvaged
rxn08467	clean
rxn08468	clean
rxn08469	clean
rxn08470	clean
rxn08471	clean
rxn08472	salvaged
rxn08473	clean
rxn08474	clean
rxn08475	clean
rxn08476	clean
rxn08477	salvaged
rxn08478	salvaged
rxn08479	salvaged
rxn08481	salvaged
rxn08482	salvaged
rxn08483	clean
rxn08491	salvaged
rxn08492	clean
rxn08493	salvaged
rxn08494	salvaged
rxn08495	salvaged
rxn08496	salvaged
rxn08498	salvaged
rxn08499	clean
rxn08500	clean
rxn08501	salvaged
rxn08503	salvaged
rxn08504	salvaged
rxn08505	salvaged
rxn08506	clean
rxn08508	clean
rxn08509	salvaged
rxn08514	salvaged
rxn08518	salvaged
rxn08521	clean
rxn08524	clean
rxn08525	clean
rxn08526	clean
rxn08527	clean
rxn08528	clean
rxn08531	clean
rxn08533	clean
rxn08534	clean
rxn08535	salvaged
rxn08536	salvaged
rxn08537	clean
rxn08538	clean
rxn08539	clean
rxn08540	clean
rxn08541	clean
rxn08542	clean
rxn08543	clean
rxn08544	clean
rxn08545	clean
rxn08553	clean
rxn08554	clean
rxn08556	clean
rxn08557	clean
rxn08558	clean
rxn08559	clean
rxn08560	clean
rxn08561	clean
rxn08562	clean
rxn08563	clean
rxn08564	clean
rxn08565	clean
rxn08566	clean
rxn08570	clean
rxn08571	clean
rxn08572	clean
rxn08573	clean
rxn08574	clean
rxn08575	clean
rxn08576	clean
rxn08577	clean
rxn08578	clean
rxn08579	clean
rxn08580	clean
rxn08581	clean
rxn08582	clean
rxn08583	clean
rxn08584	clean
rxn08585	clean
rxn08586	clean
rxn08587	clean
rxn08588	clean
rxn08589	clean
rxn08591	clean
rxn08592	salvaged
rxn08593	clean
rxn08595	clean
rxn08597	clean
rxn08598	salvaged
rxn08599	clean
rxn08600	clean
rxn08606	clean
rxn08607	clean
rxn08608	clean
rxn08609	clean
rxn08610	clean
rxn08612	salvaged
rxn08616	clean
rxn08617	clean
rxn08619	clean
rxn08620	clean
rxn08622	clean
rxn08623	clean
rxn08624	clean
rxn08625	clean
rxn08627	clean
rxn08628	clean
rxn08631	clean
rxn08632	salvaged
rxn08633	clean
rxn08635	clean
rxn08636	clean
rxn08637	clean
rxn08638	clean
rxn08639	clean
rxn08640	clean
rxn08641	clean
rxn08642	clean
rxn08643	clean
rxn08644	clean
rxn08645	clean
rxn08647	clean
rxn08651	clean
rxn08653	clean
rxn08654	clean
rxn08655	clean
rxn08656	clean
rxn08657	clean
rxn08658	clean
rxn08659	clean
rxn08660	clean
rxn08661	salvaged
rxn08662	clean
rxn08664	clean
rxn08666	clean
rxn08667	clean
rxn08668	clean
rxn08669	clean
rxn08671	clean
rxn08672	clean
rxn08674	clean
rxn08675	clean
rxn08676	clean
rxn08677	clean
rxn08679	clean
rxn08680	clean
rxn08681	clean
rxn08682	clean
rxn08683	clean
rxn08685	clean
rxn08686	clean
rxn08687	clean
rxn08688	salvaged
rxn08689	clean
rxn08690	clean
rxn08700	clean
rxn08701	clean
rxn08702	clean
rxn08703	salvaged
rxn08704	clean
rxn08707	salvaged
rxn08708	clean
rxn08709	clean
rxn08710	clean
rxn08711	clean
rxn08712	clean
rxn08714	clean
rxn08715	clean
rxn08716	clean
rxn08717	clean
rxn08718	clean
rxn08719	clean
rxn08721	clean
rxn08722	clean
rxn08723	clean
rxn08725	clean
rxn08726	clean
rxn08732	clean
rxn08733	clean
rxn08734	clean
rxn08735	clean
rxn08736	clean
rxn08737	clean
rxn08738	clean
rxn08742	clean
rxn08743	clean
rxn08745	clean
rxn08746	clean
rxn08747	clean
rxn08749	clean
rxn08750	clean
rxn08751	clean
rxn08752	salvaged
rxn08753	clean
rxn08754	clean
rxn08755	clean
rxn08756	clean
rxn08758	clean
rxn08759	clean
rxn08760	clean
rxn08761	clean
rxn08762	clean
rxn08764	clean
rxn08767	clean
rxn08769	clean
rxn08770	clean
rxn08771	clean
rxn08775	clean
rxn08779	clean
rxn08780	clean
rxn08781	clean
rxn08783	clean
rxn08784	clean
rxn08785	clean
rxn08786	clean
rxn08787	clean
rxn08788	clean
rxn08789	clean
rxn08791	clean
rxn08792	clean
rxn08793	clean
rxn08794	clean
rxn08795	clean
rxn08796	clean
rxn08797	clean
rxn08801	clean
rxn08808	salvaged
rxn08853	clean
rxn08854	clean
rxn08855	clean
rxn08856	clean
rxn08858	clean
rxn08859	clean
rxn08863	clean
rxn08864	clean
rxn08865	clean
rxn08866	clean
rxn08867	clean
rxn08868	clean
rxn08869	clean
rxn08870	clean
rxn08871	clean
rxn08872	salvaged
rxn08873	clean
rxn08874	clean
rxn08875	clean
rxn08876	clean
rxn08877	clean
rxn08878	clean
rxn08879	clean
rxn08880	clean
rxn08882	clean
rxn08883	clean
rxn08884	clean
rxn08885	salvaged
rxn08886	clean
rxn08892	salvaged
rxn08893	salvaged
rxn08894	salvaged
rxn08897	salvaged
rxn08900	clean
rxn08901	clean
rxn08906	clean
rxn08907	clean
rxn08908	clean
rxn08909	clean
rxn08910	clean
rxn08911	clean
rxn08920	clean
rxn08921	clean
rxn08922	clean
rxn08923	clean
rxn08924	clean
rxn08925	clean
rxn08926	salvaged
rxn08927	salvaged
rxn08928	salvaged
rxn08929	salvaged
rxn08931	salvaged
rxn08933	clean
rxn08934	clean
rxn08935	clean
rxn08941	clean
rxn08942	clean
rxn08944	clean
rxn08945	clean
rxn08946	clean
rxn08947	clean
rxn08948	clean
rxn08949	clean
rxn08950	clean
rxn08951	clean
rxn08952	clean
rxn08953	salvaged
rxn08954	clean
rxn08955	salvaged
rxn08959	clean
rxn08960	clean
rxn08966	clean
rxn08967	clean
rxn08968	salvaged
rxn08969	clean
rxn08970	clean
rxn08971	clean
rxn08972	clean
rxn08973	clean
rxn08974	clean
rxn08975	clean
rxn08976	clean
rxn08977	clean
rxn08978	clean
rxn08979	clean
rxn08981	clean
rxn08982	clean
rxn08983	clean
rxn08984	clean
rxn08985	clean
rxn08986	clean
rxn08987	clean
rxn08995	clean
rxn08996	clean
rxn08997	clean
rxn08998	clean
rxn08999	clean
rxn09000	salvaged
rxn09001	salvaged
rxn09002	salvaged
rxn09003	salvaged
rxn09004	clean
rxn09005	clean
rxn09008	clean
rxn09009	clean
rxn09010	clean
rxn09011	clean
rxn09012	clean
rxn09013	clean
rxn09014	clean
rxn09016	clean
rxn09018	clean
rxn09019	clean
rxn09020	clean
rxn09022	clean
rxn09023	clean
rxn09025	salvaged
rxn09026	clean
rxn09027	clean
rxn09028	clean
rxn09029	clean
rxn09030	clean
rxn09031	clean
rxn09032	clean
rxn09034	clean
rxn09036	clean
rxn09037	clean
rxn09039	clean
rxn09043	salvaged
rxn09045	salvaged
rxn09046	clean
rxn09048	clean
rxn09049	clean
rxn09050	clean
rxn09060	clean
rxn09061	clean
rxn09071	clean
rxn09072	clean
rxn09080	clean
rxn09115	clean
rxn09117	clean
rxn09118	clean
rxn09119	salvaged
rxn09120	clean
rxn09121	clean
rxn09165	salvaged
rxn09166	clean
rxn09167	clean
rxn09169	clean
rxn09170	clean
rxn09171	salvaged
rxn09172	clean
rxn09174	salvaged
rxn09176	salvaged
rxn09177	salvaged
rxn09180	salvaged
rxn09182	clean
rxn09183	clean
rxn09184	clean
rxn09185	clean
rxn09187	clean
rxn09188	clean
rxn09189	clean
rxn09190	clean
rxn09191	clean
rxn09192	salvaged
rxn09193	clean
rxn09195	clean
rxn09196	clean
rxn09204	clean
rxn09212	clean
rxn09213	clean
rxn09214	clean
rxn09215	clean
rxn09216	clean
rxn09217	clean
rxn09218	clean
rxn09219	salvaged
rxn09220	salvaged
rxn09221	clean
rxn09222	clean
rxn09223	clean
rxn09227	clean
rxn09228	clean
rxn09229	clean
rxn09230	clean
rxn09240	clean
rxn09242	clean
rxn09243	clean
rxn09246	clean
rxn09247	salvaged
rxn09248	clean
rxn09256	clean
rxn09257	clean
rxn09258	clean
rxn09259	clean
rxn09260	clean
rxn09261	clean
rxn09263	clean
rxn09264	clean
rxn09265	salvaged
rxn09266	clean
rxn09269	clean
rxn09270	clean
rxn09271	clean
rxn09272	clean
rxn09273	clean
rxn09274	salvaged
rxn09275	clean
rxn09276	clean
rxn09277	clean
rxn09278	clean
rxn09283	clean
rxn09284	clean
rxn09285	clean
rxn09286	clean
rxn09287	clean
rxn09289	clean
rxn09295	clean
rxn09296	clean
rxn09297	clean
rxn09298	clean
rxn09299	clean
rxn09300	clean
rxn09301	clean
rxn09303	clean
rxn09304	clean
rxn09305	clean
rxn09306	salvaged
rxn09307	clean
rxn09308	clean
rxn09309	clean
rxn09310	clean
rxn09313	clean
rxn09314	clean
rxn09315	clean
rxn09316	clean
rxn09317	clean
rxn09318	clean
rxn09320	clean
rxn09322	salvaged
rxn09323	clean
rxn09326	clean
rxn09327	clean
rxn09329	clean
rxn09330	clean
rxn09331	clean
rxn09333	salvaged
rxn09335	clean
rxn09336	clean
rxn09337	clean
rxn09338	clean
rxn09339	clean
rxn09340	clean
rxn09341	clean
rxn09342	clean
rxn09345	clean
rxn09346	clean
rxn09347	clean
rxn09348	clean
rxn09349	clean
rxn09352	clean
rxn09353	clean
rxn09356	salvaged
rxn09361	clean
rxn09365	clean
rxn09366	clean
rxn09368	clean
rxn09369	clean
rxn09370	clean
rxn09371	clean
rxn09372	clean
rxn09373	clean
rxn09374	clean
rxn09375	clean
rxn09377	clean
rxn09378	clean
rxn09379	clean
rxn09380	clean
rxn09381	clean
rxn09382	clean
rxn09383	clean
rxn09384	clean
rxn09385	clean
rxn09386	clean
rxn09387	clean
rxn09388	clean
rxn09389	clean
rxn09390	clean
rxn09391	clean
rxn09395	clean
rxn09402	clean
rxn09412	clean
rxn09414	clean
rxn09417	clean
rxn09420	salvaged
rxn09421	salvaged
rxn09423	clean
rxn09424	salvaged
rxn09427	clean
rxn09429	clean
rxn09431	clean
rxn09433	clean
rxn09435	clean
rxn09437	clean
rxn09438	clean
rxn09440	clean
rxn09441	clean
rxn09443	clean
rxn09444	salvaged
rxn09446	salvaged
rxn09449	salvaged
rxn09452	salvaged
rxn09453	salvaged
rxn09462	salvaged
rxn09463	salvaged
rxn09475	clean
rxn09476	clean
rxn09477	clean
rxn09478	clean
rxn09479	clean
rxn09483	clean
rxn09486	clean
rxn09487	clean
rxn09502	clean
rxn09516	clean
rxn09517	clean
rxn09519	clean
rxn09522	clean
rxn09523	clean
rxn09524	clean
rxn09525	salvaged
rxn09526	clean
rxn09527	clean
rxn09528	clean
rxn09529	clean
rxn09530	clean
rxn09531	clean
rxn09532	clean
rxn09557	salvaged
rxn09559	clean
rxn09560	clean
rxn09561	clean
rxn09562	clean
rxn09563	clean
rxn09564	clean
rxn09567	clean
rxn09614	clean
rxn09615	clean
rxn09616	clean
rxn09619	clean
rxn09630	clean
rxn09632	clean
rxn09633	clean
rxn09637	clean
rxn09638	clean
rxn09639	clean
rxn09640	clean
rxn09641	clean
rxn09643	clean
rxn09644	clean
rxn09645	clean
rxn09646	clean
rxn09648	clean
rxn09649	clean
rxn09650	clean
rxn09651	clean
rxn09652	clean
rxn09653	clean
rxn09654	clean
rxn09655	clean
rxn09656	clean
rxn09657	clean
rxn09658	clean
rxn09659	clean
rxn09660	clean
rxn09661	clean
rxn09662	clean
rxn09663	clean
rxn09665	clean
rxn09669	clean
rxn09670	clean
rxn09671	clean
rxn09672	clean
rxn09673	clean
rxn09674	clean
rxn09676	clean
rxn09677	clean
rxn09678	clean
rxn09679	clean
rxn09680	clean
rxn09681	clean
rxn09682	clean
rxn09683	clean
rxn09684	clean
rxn09685	clean
rxn09686	clean
rxn09687	clean
rxn09688	clean
rxn09689	clean
rxn09690	clean
rxn09691	clean
rxn09692	clean
rxn09693	clean
rxn09694	clean
rxn09695	clean
rxn09696	clean
rxn09697	clean
rxn09698	clean
rxn09699	clean
rxn09700	clean
rxn09701	clean
rxn09702	clean
rxn09705	clean
rxn09706	clean
rxn09707	clean
rxn09708	clean
rxn09709	clean
rxn09710	clean
rxn09711	clean
rxn09712	clean
rxn09713	clean
rxn09714	clean
rxn09715	clean
rxn09716	clean
rxn09717	clean
rxn09719	clean
rxn09720	clean
rxn09721	clean
rxn09723	clean
rxn09724	clean
rxn09727	clean
rxn09728	clean
rxn09729	clean
rxn09730	clean
rxn09731	clean
rxn09732	clean
rxn09733	clean
rxn09734	clean
rxn09735	clean
rxn09736	clean
rxn09737	clean
rxn09738	clean
rxn09739	clean
rxn09740	clean
rxn09741	clean
rxn09742	clean
rxn09743	clean
rxn09744	clean
rxn09745	clean
rxn09746	clean
rxn09747	clean
rxn09748	clean
rxn09749	clean
rxn09751	clean
rxn09752	clean
rxn09753	clean
rxn09754	clean
rxn09755	clean
rxn09764	clean
rxn09765	clean
rxn09766	clean
rxn09767	clean
rxn09768	clean
rxn09769	clean
rxn09770	clean
rxn09771	clean
rxn09772	clean
rxn09773	clean
rxn09774	salvaged
rxn09775	clean
rxn09776	clean
rxn09777	clean
rxn09778	clean
rxn09779	clean
rxn09780	clean
rxn09781	clean
rxn09782	clean
rxn09783	clean
rxn09784	clean
rxn09785	clean
rxn09786	clean
rxn09787	clean
rxn09788	clean
rxn09789	clean
rxn09790	clean
rxn09791	clean
rxn09792	clean
rxn09793	clean
rxn09794	clean
rxn09795	clean
rxn09796	clean
rxn09798	clean
rxn09799	clean
rxn09800	clean
rxn09801	clean
rxn09802	clean
rxn09803	clean
rxn09805	clean
rxn09806	clean
rxn09807	clean
rxn09808	clean
rxn09811	clean
rxn09812	clean
rxn09813	clean
rxn09814	clean
rxn09815	clean
rxn09816	clean
rxn09817	clean
rxn09818	clean
rxn09819	clean
rxn09820	clean
rxn09821	clean
rxn09822	clean
rxn09823	clean
rxn09824	clean
rxn09825	clean
rxn09826	clean
rxn09827	clean
rxn09828	clean
rxn09831	clean
rxn09832	clean
rxn09833	clean
rxn09834	clean
rxn09835	clean
rxn09836	clean
rxn09837	clean
rxn09838	clean
rxn09839	clean
rxn09840	clean
rxn09841	clean
rxn09842	clean
rxn09845	clean
rxn09848	clean
rxn09849	clean
rxn09852	clean
rxn09853	clean
rxn09854	clean
rxn09855	clean
rxn09856	clean
rxn09858	clean
rxn09859	salvaged
rxn09860	clean
rxn09861	clean
rxn09862	clean
rxn09863	clean
rxn09864	clean
rxn09865	clean
rxn09866	clean
rxn09867	clean
rxn09868	clean
rxn09869	clean
rxn09870	clean
rxn09872	clean
rxn09874	clean
rxn09875	clean
rxn09876	clean
rxn09878	clean
rxn09880	salvaged
rxn09882	clean
rxn09886	salvaged
rxn09888	clean
rxn09889	clean
rxn09896	clean
rxn09897	clean
rxn09903	clean
rxn09907	clean
rxn09908	clean
rxn09919	clean
rxn09925	clean
rxn09926	clean
rxn09931	clean
rxn09934	clean
rxn09942	clean
rxn09944	clean
rxn09948	clean
rxn09949	salvaged
rxn09950	clean
rxn09953	clean
rxn09954	clean
rxn09956	clean
rxn09958	clean
rxn09960	clean
rxn09964	clean
rxn09967	clean
rxn09972	clean
rxn09973	clean
rxn09974	clean
rxn09977	clean
rxn09978	clean
rxn09983	salvaged
rxn09984	salvaged
rxn09991	clean
rxn09992	clean
rxn10001	salvaged
rxn10002	salvaged
rxn10003	salvaged
rxn10008	clean
rxn10010	clean
rxn10011	clean
rxn10012	clean
rxn10013	clean
rxn10014	clean
rxn10042	clean
rxn10048	salvaged
rxn10052	clean
rxn10053	clean
rxn10054	clean
rxn10055	clean
rxn10056	clean
rxn10057	clean
rxn10058	clean
rxn10059	clean
rxn10060	clean
rxn10061	clean
rxn10062	clean
rxn10067	clean
rxn10073	clean
rxn10074	clean
rxn10089	clean
rxn10091	salvaged
rxn10092	clean
rxn10093	clean
rxn10094	clean
rxn10095	clean
rxn10114	salvaged
rxn10115	salvaged
rxn10116	clean
rxn10117	clean
rxn10118	clean
rxn10119	clean
rxn10120	salvaged
rxn10121	salvaged
rxn10122	clean
rxn10123	clean
rxn10124	clean
rxn10126	clean
rxn10127	clean
rxn10128	clean
rxn10129	clean
rxn10130	clean
rxn10131	clean
rxn10132	clean
rxn10133	clean
rxn10134	clean
rxn10135	clean
rxn10136	clean
rxn10137	clean
rxn10138	clean
rxn10139	clean
rxn10140	clean
rxn10141	clean
rxn10142	clean
rxn10143	clean
rxn10144	clean
rxn10145	clean
rxn10146	clean
rxn10147	clean
rxn10148	clean
rxn10149	clean
rxn10150	salvaged
rxn10151	clean
rxn10152	clean
rxn10153	clean
rxn10154	clean
rxn10155	clean
rxn10156	clean
rxn10157	clean
rxn10158	clean
rxn10159	clean
rxn10160	clean
rxn10161	clean
rxn10162	clean
rxn10163	clean
rxn10164	clean
rxn10165	clean
rxn10167	clean
rxn10169	clean
rxn10170	clean
rxn10171	clean
rxn10172	clean
rxn10173	clean
rxn10174	clean
rxn10175	salvaged
rxn10176	clean
rxn10177	clean
rxn10178	clean
rxn10179	clean
rxn10180	salvaged
rxn10181	clean
rxn10182	clean
rxn10183	clean
rxn10184	clean
rxn10185	salvaged
rxn10186	salvaged
rxn10188	clean
rxn10203	clean
rxn10204	clean
rxn10343	clean
rxn10344	salvaged
rxn10398	clean
rxn10415	clean
rxn10421	clean
rxn10424	clean
rxn10425	clean
rxn10426	clean
rxn10427	clean
rxn10432	clean
rxn10434	clean
rxn10438	clean
rxn10439	clean
rxn10443	clean
rxn10447	clean
rxn10449	salvaged
rxn10453	clean
rxn10468	clean
rxn10469	clean
rxn10470	clean
rxn10471	clean
rxn10473	clean
rxn10474	clean
rxn10475	clean
rxn10476	salvaged
rxn10479	clean
rxn10480	clean
rxn10481	salvaged
rxn10482	salvaged
rxn10483	salvaged
rxn10484	clean
rxn10497	clean
rxn10499	clean
rxn10500	clean
rxn10504	clean
rxn10505	clean
rxn10506	clean
rxn10537	salvaged
rxn10541	clean
rxn10543	clean
rxn10544	clean
rxn10558	clean
rxn10559	clean
rxn10560	clean
rxn10568	clean
rxn10570	clean
rxn10571	clean
rxn10574	clean
rxn10577	clean
rxn10578	clean
rxn10583	clean
rxn10584	clean
rxn10586	salvaged
rxn10587	clean
rxn10591	clean
rxn10594	clean
rxn10595	clean
rxn10596	clean
rxn10598	clean
rxn10599	clean
