ID	DATABASE	RHEA
1.1.1.253-RXN	MetaCyc	19512
1.1.1.254-RXN	MetaCyc	11559
1.1.1.255-RXN	MetaCyc	15032
1.1.1.259-RXN	MetaCyc	11169
1.1.1.260-RXN	MetaCyc	24487
1.1.1.261-RXN	MetaCyc	21414
1.1.1.262-RXN	MetaCyc	14454
1.1.1.263-RXN	MetaCyc	20667
1.1.1.264-RXN	MetaCyc	21177|21173
1.1.1.265-RXN	MetaCyc	18531|18527
1.1.1.266-RXN	MetaCyc	36585
1.1.1.268-RXN	MetaCyc	13250
1.1.1.269-RXN	MetaCyc	21053
1.1.1.270-RXN	MetaCyc	18412
1.1.1.271-RXN	MetaCyc	18887
1.1.1.272-RXN	MetaCyc	35738
1.1.1.273-RXN	MetaCyc	20031
1.1.1.274-RXN	MetaCyc	23831
1.1.1.277-RXN	MetaCyc	22947
1.1.1.278-RXN	MetaCyc	18139
1.1.1.283-RXN	MetaCyc	21750
1.1.1.285-RXN	MetaCyc	16143|16139
1.1.1.288-RXN	MetaCyc	12549
1.1.1.289-RXN	MetaCyc	14612
1.1.1.291-RXN	MetaCyc	15507
1.1.1.292-RXN	MetaCyc	24211
1.1.1.34-RXN	MetaCyc	15992
1.1.1.39-RXN	MetaCyc	12654
1.1.1.43-RXN	MetaCyc	16819|16823
1.1.1.51-RXN	MetaCyc	14930|14982
1.1.1.52-RXN	MetaCyc	19588
1.1.1.53-RXN	MetaCyc	22403
1.1.1.64-RXN	MetaCyc	14983
1.1.1.83-RXN	MetaCyc	18366
1.1.1.87-RXN	MetaCyc	11901
1.1.1.8-RXN	MetaCyc	11094
1.1.1.92-RXN	MetaCyc	13156|13160
1.1.1.97-RXN	MetaCyc	22343
1.1.1.99-RXN	MetaCyc	11384
1.1.2.5-RXN	MetaCyc	16468
1.1.3.32-RXN	MetaCyc	13774
1.1.3.34-RXN	MetaCyc	23577
1.1.3.35-RXN	MetaCyc	17714
1.1.3.36-RXN	MetaCyc	21457
1.1.3.37-RXN	MetaCyc	23759
1.1.3.38-RXN	MetaCyc	10037
1.1.3.39-RXN	MetaCyc	15490
1.1.3.40-RXN	MetaCyc	18516
1.1.3.41-RXN	MetaCyc	22309
1.1.4.1-RXN	MetaCyc	13819
1.1.4.2-RXN	MetaCyc	21563
1.1.99.25-RXN	MetaCyc	23673
1.1.99.27-RXN	MetaCyc	21007
1.1.99.28-RXN	MetaCyc	20638
1.1.99.30-RXN	MetaCyc	23667
1.10.1.1-RXN	MetaCyc	22187
1.10.2.1-RXN	MetaCyc	18680
1.10.3.7-RXN	MetaCyc	24095
1.10.3.8-RXN	MetaCyc	22619
1.10.99.2-RXN	MetaCyc	12367
1.11.1.12-RXN	MetaCyc	19058
1.11.1.15-RXN	MetaCyc	10011
1.12.1.3-RXN	MetaCyc	18640
1.12.5.1-RXN	MetaCyc	18644
1.13.11.10-RXN	MetaCyc	23401
1.13.11.14-RXN	MetaCyc	18480
1.13.11.15-RXN	MetaCyc	15634
1.13.11.16-RXN	MetaCyc	23841
1.13.11.25-RXN	MetaCyc	21353
1.13.11.28-RXN	MetaCyc	15372
1.13.11.38-RXN	MetaCyc	14752
1.13.11.41-RXN	MetaCyc	24419
1.13.11.44-RXN	MetaCyc	22395
1.13.11.45-RXN	MetaCyc	18994
1.13.11.46-RXN	MetaCyc	21379
1.13.11.47-RXN	MetaCyc	17950
1.13.11.48-RXN	MetaCyc	21573
1.13.11.49-RXN	MetaCyc	21407
1.13.11.55-RXN	MetaCyc	13958
1.13.11.9-RXN	MetaCyc	27523
1.13.12.12-RXN	MetaCyc	26026
1.13.12.7-RXN	MetaCyc	10733
1.14.11.10-RXN	MetaCyc	23319
1.14.11.18-RXN	MetaCyc	16066
1.14.11.1-RXN	MetaCyc	24029
1.14.11.20-RXN	MetaCyc	18974
1.14.11.21-RXN	MetaCyc	20022
1.14.11.24-RXN	MetaCyc	12201
1.14.11.26-RXN	MetaCyc	16806
1.14.11.28-RXN	MetaCyc	20266
1.14.11.2-RXN	MetaCyc	18946
1.14.11.3-RXN	MetaCyc	21079
1.14.11.9-RXN	MetaCyc	18622
1.14.12.15-RXN	MetaCyc	10313
1.14.12.16-RXN	MetaCyc	10979
