ID	NAMES	FORMULA	CHARGE	MASS
G00001	N-Acetyl-D-glucosaminyldiphosphodolichol	null	10000000	10000000
G00002	N,N'-Chitobiosyldiphosphodolichol	null	10000000	10000000
G00003	(GlcNAc)2(Man)1(PP-Dol)1	null	10000000	10000000
G00004	(GlcNAc)2(Man)2(PP-Dol)1	null	10000000	10000000
G00005	(GlcNAc)2(Man)3(PP-Dol)1	null	10000000	10000000
G00006	(GlcNAc)2(Man)5(PP-Dol)1	null	10000000	10000000
G00007	(GlcNAc)2(Man)9(PP-Dol)1	null	10000000	10000000
G00008	(Glc)3(GlcNAc)2(Man)9(PP-Dol)1	null	10000000	10000000
G00009	(Glc)3(GlcNAc)2(Man)9(Asn)1	null	10000000	10000000
G00010	(Glc)1(GlcNAc)2(Man)9(Asn)1	null	10000000	10000000
G00011	(GlcNAc)2(Man)9(Asn)1	null	10000000	10000000
G00012	(GlcNAc)2(Man)5(Asn)1	null	10000000	10000000
G00013	(GlcNAc)3(Man)5(Asn)1	null	10000000	10000000
G00014	(GlcNAc)3(Man)3(Asn)1	null	10000000	10000000
G00015	(GlcNAc)4(Man)3(Asn)1	null	10000000	10000000
G00016	(GlcNAc)4(LFuc)1(Man)3(Asn)1	null	10000000	10000000
G00017	(Gal)2(GlcNAc)4(LFuc)1(Man)3(Asn)1	null	10000000	10000000
G00018	DS 3	null	10000000	10000000
G00019	(GlcNAc)5(Man)3(Asn)1	null	10000000	10000000
G00020	(GlcNAc)5(Man)3(Asn)1	null	10000000	10000000
G00021	(GlcNAc)6(Man)3(Asn)1	null	10000000	10000000
G00022	(GlcNAc)7(Man)3(Asn)1	null	10000000	10000000
G00023	Tn antigen	null	10000000	10000000
G00024	T antigen	null	10000000	10000000
G00025	(Gal)1(GalNAc)1(GlcNAc)1(Ser/Thr)1	null	10000000	10000000
G00026	(Gal)1(GalNAc)1(Neu5Ac)1(Ser/Thr)1	null	10000000	10000000
G00027	(Gal)1(GalNAc)1(Neu5Ac)2(Ser/Thr)1	null	10000000	10000000
G00028	(GalNAc)1(GlcNAc)1(Ser/Thr)1	null	10000000	10000000
G00029	(GalNAc)1(GlcNAc)2(Ser/Thr)1	null	10000000	10000000
G00030	(GalNAc)2(Ser/Thr)1	null	10000000	10000000
G00031	(GalNAc)1(GlcNAc)1(Ser/Thr)1	null	10000000	10000000
G00032	(Gal)1(GalNAc)1(GlcNAc)1(Ser/Thr)1	null	10000000	10000000
G00033	(GalNAc)2(Ser/Thr)1	null	10000000	10000000
G00034	(Gal)1(GalNAc)1(Ser/Thr)1	null	10000000	10000000
G00035	Sialyl-Tn antigen	null	10000000	10000000
G00036	Lc3Cer	null	10000000	10000000
G00037	Lc4Cer	null	10000000	10000000
G00038	(Gal)3(Glc)1(GlcNAc)1(Cer)1	null	10000000	10000000
G00039	Type IB glycolipid	null	10000000	10000000
G00040	(Gal)3(Glc)1(GlcNAc)1(LFuc)2(Cer)1	null	10000000	10000000
G00042	Type IA glycolipid	null	10000000	10000000
G00043	(Gal)2(GalNAc)1(Glc)1(GlcNAc)1(LFuc)2(Cer)1	null	10000000	10000000
G00044	IV2Fuc-Lc4Cer|IV2-a-Fuc-Lc4Cer|Type IH glycolipid	null	10000000	10000000
