ModelSEED ID	External ID	External Name
R00212	rn00620	Pyruvate metabolism
R00212	rn00650	Butanoate metabolism
R00214	rn00620	Pyruvate metabolism
R00214	rn00710	Carbon fixation in photosynthetic organisms
R00214	rn01200	Carbon metabolism
R00215	rn00650	Butanoate metabolism
R00216	rn00620	Pyruvate metabolism
R00216	rn00710	Carbon fixation in photosynthetic organisms
R00216	rn01200	Carbon metabolism
R00217	rn00620	Pyruvate metabolism
R00218	rn00620	Pyruvate metabolism
R00219	rn00620	Pyruvate metabolism
R00220	rn00260	Glycine, serine and threonine metabolism
R00220	rn01110	Biosynthesis of secondary metabolites
R00220	rn01200	Carbon metabolism
R00220	rn01230	Biosynthesis of amino acids
R00221	rn00260	Glycine, serine and threonine metabolism
R00226	rn00290	Valine, leucine and isoleucine biosynthesis
R00226	rn00650	Butanoate metabolism
R00226	rn00660	C5-Branched dibasic acid metabolism
R00226	rn01110	Biosynthesis of secondary metabolites
R00226	rn01210	2-Oxocarboxylic acid metabolism
R00226	rn01230	Biosynthesis of amino acids
R00227	rn00620	Pyruvate metabolism
R00228	rn00360	Phenylalanine metabolism
R00228	rn00362	Benzoate degradation
R00228	rn00620	Pyruvate metabolism
R00228	rn00621	Dioxin degradation
R00228	rn00622	Xylene degradation
R00228	rn01220	Degradation of aromatic compounds
R00229	rn00010	Glycolysis / Gluconeogenesis
R00229	rn00620	Pyruvate metabolism
R00230	rn00430	Taurine and hypotaurine metabolism
R00230	rn00620	Pyruvate metabolism
R00230	rn00680	Methane metabolism
R00230	rn00720	Carbon fixation pathways in prokaryotes
R00230	rn01200	Carbon metabolism
R00233	rn00410	beta-Alanine metabolism
R00233	rn00640	Propanoate metabolism
R00235	rn00010	Glycolysis / Gluconeogenesis
R00235	rn00680	Methane metabolism
R00235	rn00720	Carbon fixation pathways in prokaryotes
R00235	rn01110	Biosynthesis of secondary metabolites
R00235	rn01200	Carbon metabolism
R00236	rn00620	Pyruvate metabolism
R00237	rn00660	C5-Branched dibasic acid metabolism
R00237	rn00720	Carbon fixation pathways in prokaryotes
R00237	rn01200	Carbon metabolism
R00238	rn00071	Fatty acid degradation
R00238	rn00072	Synthesis and degradation of ketone bodies
R00238	rn00280	Valine, leucine and isoleucine degradation
R00238	rn00310	Lysine degradation
R00238	rn00362	Benzoate degradation
R00238	rn00380	Tryptophan metabolism
R00238	rn00620	Pyruvate metabolism
R00238	rn00630	Glyoxylate and dicarboxylate metabolism
R00238	rn00640	Propanoate metabolism
R00238	rn00650	Butanoate metabolism
R00238	rn00720	Carbon fixation pathways in prokaryotes
R00238	rn00900	Terpenoid backbone biosynthesis
R00238	rn01110	Biosynthesis of secondary metabolites
R00238	rn01200	Carbon metabolism
R00238	rn01212	Fatty acid metabolism
R00239	rn00330	Arginine and proline metabolism
R00239	rn01230	Biosynthesis of amino acids
R00243	rn00250	Alanine, aspartate and glutamate metabolism
R00243	rn00330	Arginine and proline metabolism
R00243	rn00430	Taurine and hypotaurine metabolism
R00243	rn00471	D-Glutamine and D-glutamate metabolism
R00243	rn00910	Nitrogen metabolism
R00245	rn00330	Arginine and proline metabolism
R00248	rn00250	Alanine, aspartate and glutamate metabolism
R00248	rn00330	Arginine and proline metabolism
R00248	rn00471	D-Glutamine and D-glutamate metabolism
R00248	rn00910	Nitrogen metabolism
R00251	rn00480	Glutathione metabolism
R00253	rn00250	Alanine, aspartate and glutamate metabolism
R00253	rn00330	Arginine and proline metabolism
R00253	rn00630	Glyoxylate and dicarboxylate metabolism
R00253	rn00910	Nitrogen metabolism
R00253	rn01230	Biosynthesis of amino acids
R00254	rn00340	Histidine metabolism
R00256	rn00250	Alanine, aspartate and glutamate metabolism
R00256	rn00330	Arginine and proline metabolism
R00256	rn00471	D-Glutamine and D-glutamate metabolism
R00257	rn00760	Nicotinate and nicotinamide metabolism
R00258	rn00250	Alanine, aspartate and glutamate metabolism
R00258	rn00710	Carbon fixation in photosynthetic organisms
R00258	rn01200	Carbon metabolism
R00258	rn01210	2-Oxocarboxylic acid metabolism
R00258	rn01230	Biosynthesis of amino acids
R00259	rn00330	Arginine and proline metabolism
R00259	rn01110	Biosynthesis of secondary metabolites
R00259	rn01210	2-Oxocarboxylic acid metabolism
R00259	rn01230	Biosynthesis of amino acids
R00260	rn00471	D-Glutamine and D-glutamate metabolism
R00261	rn00250	Alanine, aspartate and glutamate metabolism
R00261	rn00650	Butanoate metabolism
R00262	rn00660	C5-Branched dibasic acid metabolism
R00264	rn00040	Pentose and glucuronate interconversions
R00264	rn00053	Ascorbate and aldarate metabolism
R00267	rn00480	Glutathione metabolism
R00267	rn00720	Carbon fixation pathways in prokaryotes
R00267	rn01200	Carbon metabolism
R00267	rn01210	2-Oxocarboxylic acid metabolism
R00267	rn01230	Biosynthesis of amino acids
R00268	rn00020	Citrate cycle (TCA cycle)
R00268	rn01110	Biosynthesis of secondary metabolites
R00268	rn01210	2-Oxocarboxylic acid metabolism
R00269	rn00250	Alanine, aspartate and glutamate metabolism
R00270	rn00340	Histidine metabolism
R00271	rn00300	Lysine biosynthesis
R00271	rn00620	Pyruvate metabolism
R00271	rn01210	2-Oxocarboxylic acid metabolism
R00271	rn01230	Biosynthesis of amino acids
R00273	rn00630	Glyoxylate and dicarboxylate metabolism
R00274	rn00480	Glutathione metabolism
R00277	rn00750	Vitamin B6 metabolism
R00278	rn00750	Vitamin B6 metabolism
R00279	rn00471	D-Glutamine and D-glutamate metabolism
R00286	rn00040	Pentose and glucuronate interconversions
R00286	rn00053	Ascorbate and aldarate metabolism
R00286	rn00500	Starch and sucrose metabolism
R00286	rn00520	Amino sugar and nucleotide sugar metabolism
R00286	rn01110	Biosynthesis of secondary metabolites
R00287	rn00240	Pyrimidine metabolism
R00287	rn00500	Starch and sucrose metabolism
R00289	rn00040	Pentose and glucuronate interconversions
R00289	rn00052	Galactose metabolism
R00289	rn00500	Starch and sucrose metabolism
R00289	rn00520	Amino sugar and nucleotide sugar metabolism
R00289	rn01110	Biosynthesis of secondary metabolites
R00291	rn00052	Galactose metabolism
R00291	rn00520	Amino sugar and nucleotide sugar metabolism
R00291	rn01110	Biosynthesis of secondary metabolites
R00292	rn00500	Starch and sucrose metabolism
R00293	rn00520	Amino sugar and nucleotide sugar metabolism
R00293	rn01110	Biosynthesis of secondary metabolites
R00294	rn00910	Nitrogen metabolism
R00295	rn00920	Sulfur metabolism
R00296	rn00680	Methane metabolism
R00299	rn00521	Streptomycin biosynthesis
R00299	rn00524	Butirosin and neomycin biosynthesis
R00299	rn01110	Biosynthesis of secondary metabolites
R00305	rn00030	Pentose phosphate pathway
R00305	rn01110	Biosynthesis of secondary metabolites
R00306	rn00500	Starch and sucrose metabolism
R00308	rn00500	Starch and sucrose metabolism
R00310	rn00860	Porphyrin and chlorophyll metabolism
R00310	rn01110	Biosynthesis of secondary metabolites
R00312	rn00860	Porphyrin and chlorophyll metabolism
R00313	rn00860	Porphyrin and chlorophyll metabolism
R00314	rn00860	Porphyrin and chlorophyll metabolism
R00315	rn00430	Taurine and hypotaurine metabolism
R00315	rn00620	Pyruvate metabolism
R00315	rn00680	Methane metabolism
R00315	rn00720	Carbon fixation pathways in prokaryotes
R00315	rn01200	Carbon metabolism
R00316	rn00620	Pyruvate metabolism
R00317	rn00620	Pyruvate metabolism
R00318	rn00440	Phosphonate and phosphinate metabolism
R00319	rn00620	Pyruvate metabolism
R00320	rn00620	Pyruvate metabolism
R00322	rn00230	Purine metabolism
R00325	rn00660	C5-Branched dibasic acid metabolism
R00326	rn00620	Pyruvate metabolism
R00328	rn00230	Purine metabolism
R00330	rn00230	Purine metabolism
R00332	rn00230	Purine metabolism
R00333	rn00230	Purine metabolism
R00335	rn00230	Purine metabolism
R00336	rn00230	Purine metabolism
R00339	rn00630	Glyoxylate and dicarboxylate metabolism
R00341	rn00010	Glycolysis / Gluconeogenesis
R00341	rn00020	Citrate cycle (TCA cycle)
