ModelSEED ID	External ID	External Name
R00639	rn00071	Fatty acid degradation
R00640	rn00053	Ascorbate and aldarate metabolism
R00640	rn01110	Biosynthesis of secondary metabolites
R00643	rn00053	Ascorbate and aldarate metabolism
R00643	rn01110	Biosynthesis of secondary metabolites
R00644	rn00053	Ascorbate and aldarate metabolism
R00644	rn00480	Glutathione metabolism
R00645	rn00053	Ascorbate and aldarate metabolism
R00646	rn00053	Ascorbate and aldarate metabolism
R00647	rn00053	Ascorbate and aldarate metabolism
R00648	rn00270	Cysteine and methionine metabolism
R00650	rn00270	Cysteine and methionine metabolism
R00650	rn01110	Biosynthesis of secondary metabolites
R00653	rn00270	Cysteine and methionine metabolism
R00653	rn00630	Glyoxylate and dicarboxylate metabolism
R00654	rn00270	Cysteine and methionine metabolism
R00657	rn00270	Cysteine and methionine metabolism
R00658	rn00010	Glycolysis / Gluconeogenesis
R00658	rn00680	Methane metabolism
R00658	rn01110	Biosynthesis of secondary metabolites
R00658	rn01200	Carbon metabolism
R00658	rn01230	Biosynthesis of amino acids
R00660	rn00520	Amino sugar and nucleotide sugar metabolism
R00660	rn00550	Peptidoglycan biosynthesis
R00661	rn00440	Phosphonate and phosphinate metabolism
R00661	rn01110	Biosynthesis of secondary metabolites
R00662	rn00240	Pyrimidine metabolism
R00667	rn00330	Arginine and proline metabolism
R00667	rn01110	Biosynthesis of secondary metabolites
R00669	rn00330	Arginine and proline metabolism
R00669	rn01110	Biosynthesis of secondary metabolites
R00669	rn01210	2-Oxocarboxylic acid metabolism
R00669	rn01230	Biosynthesis of amino acids
R00670	rn00330	Arginine and proline metabolism
R00670	rn00480	Glutathione metabolism
R00670	rn01110	Biosynthesis of secondary metabolites
R00671	rn00330	Arginine and proline metabolism
R00671	rn01110	Biosynthesis of secondary metabolites
R00671	rn01230	Biosynthesis of amino acids
R00672	rn00472	D-Arginine and D-ornithine metabolism
R00673	rn00380	Tryptophan metabolism
R00674	rn00400	Phenylalanine, tyrosine and tryptophan biosynthesis
R00674	rn01110	Biosynthesis of secondary metabolites
R00677	rn00380	Tryptophan metabolism
R00678	rn00380	Tryptophan metabolism
R00679	rn00380	Tryptophan metabolism
R00681	rn00380	Tryptophan metabolism
R00684	rn00380	Tryptophan metabolism
R00685	rn00380	Tryptophan metabolism
R00685	rn00901	Indole alkaloid biosynthesis
R00685	rn01110	Biosynthesis of secondary metabolites
R00686	rn00360	Phenylalanine metabolism
R00688	rn00360	Phenylalanine metabolism
R00688	rn00400	Phenylalanine, tyrosine and tryptophan biosynthesis
R00688	rn01110	Biosynthesis of secondary metabolites
R00689	rn00360	Phenylalanine metabolism
R00689	rn00400	Phenylalanine, tyrosine and tryptophan biosynthesis
R00690	rn00360	Phenylalanine metabolism
R00691	rn00400	Phenylalanine, tyrosine and tryptophan biosynthesis
R00692	rn00360	Phenylalanine metabolism
R00692	rn00400	Phenylalanine, tyrosine and tryptophan biosynthesis
R00692	rn00960	Tropane, piperidine and pyridine alkaloid biosynthesis
R00692	rn01110	Biosynthesis of secondary metabolites
R00693	rn00360	Phenylalanine metabolism
R00694	rn00360	Phenylalanine metabolism
R00694	rn00400	Phenylalanine, tyrosine and tryptophan biosynthesis
R00694	rn00960	Tropane, piperidine and pyridine alkaloid biosynthesis
R00694	rn01110	Biosynthesis of secondary metabolites
R00694	rn01210	2-Oxocarboxylic acid metabolism
R00694	rn01230	Biosynthesis of amino acids
R00697	rn00360	Phenylalanine metabolism
R00697	rn00940	Phenylpropanoid biosynthesis
R00697	rn01110	Biosynthesis of secondary metabolites
R00698	rn00360	Phenylalanine metabolism
R00699	rn00360	Phenylalanine metabolism
R00702	rn00100	Steroid biosynthesis
R00702	rn00906	Carotenoid biosynthesis
R00702	rn00909	Sesquiterpenoid and triterpenoid biosynthesis
R00702	rn01110	Biosynthesis of secondary metabolites
R00703	rn00010	Glycolysis / Gluconeogenesis
R00703	rn00620	Pyruvate metabolism
R00703	rn01110	Biosynthesis of secondary metabolites
R00704	rn00620	Pyruvate metabolism
R00705	rn00410	beta-Alanine metabolism
R00705	rn00562	Inositol phosphate metabolism
R00705	rn00640	Propanoate metabolism
