external_id	smiles	formula	charge
100	COc1ccc2c(c1)O[C@H]1c3ccc(O)cc3OC[C@@H]21	C16H14O4	0
10023	C[C@@H](c1ncncc1F)[C@](O)(Cn1cncn1)c1ccc(F)cc1F	C16H14F3N5O	0
10036	*OC(*)=O	CO2R2	0
10115	CC(C)=CCC[C@H](C)[C@@H]1C=CC(C)=CC1	C15H24	0
10213	C[C@H]1[C@H](C)CC[C@]2(C)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@H]12	C30H50O	0
10216	CC1=CC[C@@]23C[C@@H]1C(C)(C)[C@@H]2CC[C@H]3C	C15H24	0
10221	CC1=CC[C@H]2[C@H]3C1[C@@]2(C)CC[C@H]3C(C)C	C15H24	0
10223	CC1=C[C@H](O)CC(C)(C)[C@H]1/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C	C40H56O	0
10278	CC1=CCC[C@]2(C)CC[C@@H](C(C)(C)O)C[C@@H]12	C15H26O	0
10280	C=C/C(C)=C/C/C=C(\C)CCC=C(C)C	C15H24	0
10329	Cc1cc2ncn([C@H]3O[C@H](CO)[C@@H](O)[C@H]3O)c2cc1C	C14H18N2O4	0
10334	CC1=CC=C(C(C)C)CC1	C10H16	0
10352	CC1(C)CC[C@]2(C)CC[C@]3(C)C(=CC[C@@H]4[C@@]5(C)CC[C@H](O)C(C)(C)[C@@H]5CC[C@]43C)[C@@H]2C1	C30H50O	0
10357	C=C1CC/C=C(\C)CC[C@@H]2[C@@H]1CC2(C)C	C15H24	0
10362	CC1=C(/C=C/C(C)=C/C=C/C(C)=C/C=C/C=C(C)/C=C/C=C(C)/C=C/C2=C(C)C[C@@H](O)CC2(C)C)C(C)(C)CCC1	C40H56O	0
10363	C=C1CC[C@@]23[C@@H]([C@@H]12)[C@H](C(C)C)CC[C@H]3C	C15H24	0
104120	C=C1CCOC1=O	C5H6O2	0
10417	C=C1CCC[C@]2(C)CC[C@@H](C(C)(C)O)C[C@@H]12	C15H26O	0
10418	C=CC(=C)CC/C=C(\C)CCC=C(C)C	C15H24	0
10432	Oc1ccc2ccccc2c1	C10H8O	0
10440	C=C1[C@@H]2CC[C@@H](C2)[C@@]1(C)CCC=C(C)C	C15H24	0
10443	C=C(C)[C@@H]1CC[C@@]2(C)CCCC(=C)[C@@H]2C1	C15H24	0
10545	[*-]	R	-1
10576	ClC1=C[C@@H](Cl)[C@H](Cl)[C@H](Cl)[C@H]1Cl	C6H5Cl5	0
10577	CC1=CCC(C(C)C)=CC1	C10H16	0
10642	O[C@H]1[C@H](O)[C@@H](O)[C@H](O)[C@@H](O)[C@@H]1O	C6H12O6	0
10702	O[C@@H]1C=CC=C[C@H]1O	C6H8O2	0
10782	C=C(C)[C@@H]1CC=C(CO)CC1	C10H16O	0
10790	NC(=O)NCNC(N)=O	C3H8N4O2	0
10979	C[C@H](CC(=O)[O-])OC(=O)C[C@@H](C)O	C8H13O5	-1
10980	O=C([O-])[C@H](O)Cc1ccc(O)cc1	C9H9O4	-1
10983	C[C@@H](O)CC(=O)[O-]	C4H7O3	-1
10986	CC(C)(COP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)[O-]	C9H15NO8P	-3
11009	O=C([O-])[C@H](O)Cc1ccccc1	C9H9O3	-1
11047	C[C@H](O)CC(=O)[O-]	C4H7O3	-1
11060	C[N+](C)(C)C[C@@H](O)CC(=O)[O-]	C7H15NO3	0
1107	CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/Cc1cccc(O)c1O	C36H54O2	0
1109	COc1cccc(C/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)c1O	C37H56O2	0
1110	CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/CC/C(C)=C/Cc1ccccc1O	C36H54O	0
111503	[NH3+][C@H]1C[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H](O)[C@H]1O	C7H15NO7P	-1
111504	O=P([O-])([O-])OC[C@H]1C[C@H]([NH2+][C@H]2C=C(CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O	C14H25NO11P	-1
111505	OCC1=C[C@H]([NH2+][C@H]2C[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@@H](O)[C@@H]1O	C14H26NO8	1
111509	CC(=O)N[C@H]1C(O)O[C@H](CO)[C@@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@@H](C)[C@@H](O)C[C@@H]1O	C20H35NO14	0
11152	CCCCCCCCCC(=O)OCC(CO)OC(=O)CCCCCCCCC	C23H44O5	0
111521	O=C1C=C(CO)[C@@H](O)[C@H](O)[C@H]1O	C7H10O5	0
111522	O=C1C=C(COP(=O)([O-])[O-])[C@@H](O)[C@H](O)[C@H]1O	C7H9O8P	-2
111523	O=C1C[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H](O)[C@H]1O	C7H11O8P	-2
111542	O=C1C[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O	C7H12O5	0
11173	O=C([O-])c1cc(O)c2ccccc2c1O	C11H7O4	-1
11222	Cc1ncc(C[n+]2ccccc2)c(N)n1	C11H13N4	1
11302	C=C1[C@@H](OC(C)=O)CC[C@@]2(C)C[C@H](O)C3=C(C)C[C@H](OC(C)=O)[C@@H]([C@@H](OC(C)=O)[C@H]12)C3(C)C	C26H38O7	0
11305	O=C([O-])CCCCCCCCCO	C10H19O3	-1
11320	CCCCCCCCCC(O)CCCCCCCCCCCC(=O)[O-]	C22H43O3	-1
11412	Oc1cc(O)c2c(c1)O[C@H](c1ccc(O)c(O)c1)[C@@H](O)[C@H]2O	C15H14O7	0
11424	CC(C)(O)C(O)C(=O)[O-]	C5H9O4	-1
11438	O=C([O-])/C=C(Cl)\C=C(\Cl)C(=O)[O-]	C6H2Cl2O4	-2
11449	O=C([O-])C(=O)[C@@H](O)[C@H](O)C(=O)CO	C6H7O7	-1
114953	CNC(=[NH2+])NCCC[C@H]([NH3+])C(=O)[O-]	C7H17N4O2	1
1156	C[C@]12CC[C@@H]3c4cc(O)c(O)cc4CC[C@H]3[C@@H]1CCC2=O	C18H22O3	0
11561	CC(C)(CO)C(=O)C(=O)[O-]	C6H9O4	-1
11596	O=C([O-])CCC(O)C(=O)[O-]	C5H6O5	-2
116314	CCCCCCCC/C=C\CCCCCCCC(N)=O	C18H35NO	0
11641	C=CCC(=O)C(=O)[O-]	C5H5O3	-1
116509	CN(C)C(=O)Nc1ccc(Cl)c(Cl)c1	C9H10Cl2N2O	0
1178	CC(C)[C@@](O)(CC(=O)[O-])C(=O)[O-]	C7H10O5	-2
11805	CC(CO)C(=O)[O-]	C4H7O3	-1
