# Per-compound protonation provenance for the shipped cache.
# shipped_provenance: chemaxon = the ladder descends from ChemAxon cxcalc,
#   whether via a carried-over row from the pinned release or via the gated
#   cache/marvin tiers. open = MolGpKa, IUPAC or Alberty.
# cache_row=carried_over means the builder reused the pinned release's row
#   wholesale and the pKa cascade never ran for that compound.
# totals: {'chemaxon': 24008, 'unresolved': 4984}
# by effective source: {'carried_over': 4351, 'marvin': 19657, 'none': 1, 'unresolved': 4983}
seed_id	cache_id	cache_row	pka_cascade_source	effective_source	shipped_provenance	n_pkas
cpd00001	5	carried_over	marvin	carried_over	chemaxon	2
cpd00002	6	carried_over	marvin	carried_over	chemaxon	7
cpd00003	11	carried_over	marvin	carried_over	chemaxon	7
cpd00004	13	carried_over	marvin	carried_over	chemaxon	6
cpd00005	9	carried_over	marvin	carried_over	chemaxon	7
cpd00006	8	carried_over	marvin	carried_over	chemaxon	8
cpd00007	7	carried_over	unresolved	carried_over	chemaxon	
cpd00008	10	carried_over	marvin	carried_over	chemaxon	7
cpd00009	12	carried_over	marvin	carried_over	chemaxon	3
cpd00010	15	carried_over	marvin	carried_over	chemaxon	8
cpd00011	16	carried_over	unresolved	carried_over	chemaxon	
cpd00012	14	carried_over	marvin	carried_over	chemaxon	4
cpd00013	18	carried_over	marvin	carried_over	chemaxon	1
cpd00014	20	carried_over	marvin	carried_over	chemaxon	7
cpd00015	694325	built	marvin	marvin	chemaxon	7
cpd00016	694326	built	marvin	marvin	chemaxon	4
cpd00017	19	carried_over	marvin	carried_over	chemaxon	6
cpd00018	17	carried_over	marvin	carried_over	chemaxon	6
cpd00019	21	carried_over	marvin	carried_over	chemaxon	6
cpd00020	25	carried_over	marvin	carried_over	chemaxon	1
cpd00021	75150	carried_over	none	carried_over	chemaxon	0
cpd00022	23	carried_over	marvin	carried_over	chemaxon	8
cpd00023	74378	carried_over	marvin	carried_over	chemaxon	3
cpd00024	22	carried_over	marvin	carried_over	chemaxon	2
cpd00025	24	carried_over	marvin	carried_over	chemaxon	2
cpd00026	52	carried_over	marvin	carried_over	chemaxon	8
cpd00027	43	carried_over	marvin	carried_over	chemaxon	5
cpd00028	236	carried_over	marvin	carried_over	chemaxon	5
cpd00029	28	carried_over	marvin	carried_over	chemaxon	1
cpd00030	2000	carried_over	none	carried_over	chemaxon	0
cpd00031	32	carried_over	marvin	carried_over	chemaxon	7
cpd00032	48	carried_over	marvin	carried_over	chemaxon	3
cpd00033	31	carried_over	marvin	carried_over	chemaxon	2
cpd00034	141	carried_over	none	carried_over	chemaxon	0
cpd00035	34	carried_over	marvin	carried_over	chemaxon	2
cpd00036	27	carried_over	marvin	carried_over	chemaxon	2
cpd00037	49	carried_over	marvin	carried_over	chemaxon	8
cpd00038	51	carried_over	marvin	carried_over	chemaxon	7
cpd00039	75	carried_over	marvin	carried_over	chemaxon	3
cpd00040	66	carried_over	marvin	carried_over	chemaxon	1
cpd00041	44	carried_over	marvin	carried_over	chemaxon	3
cpd00042	57	carried_over	marvin	carried_over	chemaxon	8
cpd00043	694327	built	marvin	marvin	chemaxon	8
cpd00044	694328	built	marvin	marvin	chemaxon	6
cpd00045	694329	built	marvin	marvin	chemaxon	7
cpd00046	33	carried_over	marvin	carried_over	chemaxon	6
cpd00047	41	carried_over	marvin	carried_over	chemaxon	1
cpd00048	58	carried_over	marvin	carried_over	chemaxon	1
cpd00050	694330	built	marvin	marvin	chemaxon	6
cpd00051	67	carried_over	marvin	carried_over	chemaxon	4
cpd00052	63	carried_over	marvin	carried_over	chemaxon	8
cpd00053	39	carried_over	marvin	carried_over	chemaxon	4
cpd00054	53	carried_over	marvin	carried_over	chemaxon	3
cpd00055	56	carried_over	unresolved	carried_over	chemaxon	
cpd00056	694331	built	marvin	marvin	chemaxon	6
cpd00058	601	carried_over	none	carried_over	chemaxon	0
cpd00059	694332	built	marvin	marvin	chemaxon	4
cpd00060	61	carried_over	marvin	carried_over	chemaxon	2
cpd00061	70	carried_over	marvin	carried_over	chemaxon	3
cpd00062	113	carried_over	marvin	carried_over	chemaxon	8
cpd00063	120	carried_over	none	carried_over	chemaxon	0
cpd00064	74395	carried_over	marvin	carried_over	chemaxon	3
cpd00065	89	carried_over	marvin	carried_over	chemaxon	2
cpd00066	91	carried_over	marvin	carried_over	chemaxon	2
cpd00067	694333	built	none	none	unresolved	0
cpd00068	402	carried_over	marvin	carried_over	chemaxon	7
cpd00069	73	carried_over	marvin	carried_over	chemaxon	3
cpd00070	42	carried_over	marvin	carried_over	chemaxon	8
cpd00071	72	carried_over	unresolved	carried_over	chemaxon	
cpd00072	125172	carried_over	marvin	carried_over	chemaxon	6
cpd00073	110	carried_over	marvin	carried_over	chemaxon	2
cpd00074	84	carried_over	none	carried_over	chemaxon	0
cpd00075	101	carried_over	unresolved	carried_over	chemaxon	
cpd00076	159	carried_over	marvin	carried_over	chemaxon	8
cpd00077	694334	built	marvin	marvin	chemaxon	2
cpd00078	87	carried_over	marvin	carried_over	chemaxon	8
cpd00079	152	carried_over	marvin	carried_over	chemaxon	6
cpd00080	64	carried_over	marvin	carried_over	chemaxon	4
cpd00081	81378	carried_over	marvin	carried_over	chemaxon	2
cpd00082	694335	built	marvin	marvin	chemaxon	5
cpd00083	78	carried_over	marvin	carried_over	chemaxon	7
cpd00084	55	carried_over	marvin	carried_over	chemaxon	3
cpd00085	136	carried_over	marvin	carried_over	chemaxon	2
cpd00086	81	carried_over	marvin	carried_over	chemaxon	8
cpd00087	74383	carried_over	marvin	carried_over	chemaxon	5
cpd00088	694336	built	marvin	marvin	chemaxon	2
cpd00089	694337	built	marvin	marvin	chemaxon	6
cpd00090	472	carried_over	marvin	carried_over	chemaxon	7
cpd00091	77	carried_over	marvin	carried_over	chemaxon	6
cpd00092	694338	built	marvin	marvin	chemaxon	3
cpd00093	178	carried_over	marvin	carried_over	chemaxon	2
cpd00094	151	carried_over	marvin	carried_over	chemaxon	1
cpd00095	74	carried_over	marvin	carried_over	chemaxon	3
cpd00096	208	carried_over	marvin	carried_over	chemaxon	7
cpd00097	694339	built	marvin	marvin	chemaxon	5
cpd00098	85	carried_over	marvin	carried_over	chemaxon	1
cpd00099	45	carried_over	none	carried_over	chemaxon	0
cpd00100	74384	carried_over	marvin	carried_over	chemaxon	2
cpd00101	109	carried_over	marvin	carried_over	chemaxon	5
cpd00102	71	carried_over	marvin	carried_over	chemaxon	3
cpd00103	86	carried_over	marvin	carried_over	chemaxon	7
cpd00104	694340	built	marvin	marvin	chemaxon	3
cpd00105	229	carried_over	marvin	carried_over	chemaxon	4
cpd00106	88	carried_over	marvin	carried_over	chemaxon	2
cpd00107	132	carried_over	marvin	carried_over	chemaxon	2
cpd00108	694341	built	marvin	marvin	chemaxon	5
cpd00111	143	carried_over	marvin	carried_over	chemaxon	8
cpd00112	694342	built	marvin	marvin	chemaxon	8
cpd00113	79	carried_over	marvin	carried_over	chemaxon	3
cpd00114	117	carried_over	marvin	carried_over	chemaxon	7
cpd00115	272	carried_over	marvin	carried_over	chemaxon	7
cpd00116	149	carried_over	marvin	carried_over	chemaxon	1
cpd00117	148	carried_over	marvin	carried_over	chemaxon	2
cpd00118	694343	built	marvin	marvin	chemaxon	2
cpd00119	126	carried_over	marvin	carried_over	chemaxon	4
cpd00120	694344	built	marvin	marvin	chemaxon	8
cpd00121	119	carried_over	marvin	carried_over	chemaxon	6
cpd00122	135	carried_over	marvin	carried_over	chemaxon	6
cpd00123	694345	built	marvin	marvin	chemaxon	1
cpd00125	173	carried_over	marvin	carried_over	chemaxon	5
cpd00126	106	carried_over	marvin	carried_over	chemaxon	7
cpd00127	302	carried_over	marvin	carried_over	chemaxon	1
cpd00128	160	carried_over	marvin	carried_over	chemaxon	2
cpd00129	107	carried_over	marvin	carried_over	chemaxon	2
cpd00130	92	carried_over	marvin	carried_over	chemaxon	3
cpd00131	500770	carried_over	none	carried_over	chemaxon	0
cpd00132	139	carried_over	marvin	carried_over	chemaxon	4
cpd00133	204	carried_over	marvin	carried_over	chemaxon	3
cpd00134	83	carried_over	marvin	carried_over	chemaxon	8
cpd00135	88364	carried_over	marvin	carried_over	chemaxon	3
