seed_id	name	n_reactions	verdict	safe	ours_p	zenodo_p
cpd08920	Mirtillin	20	UNSAFE: fixed-H layer differs	0	p0	p-1
cpd03505	Ephdine	13	UNSAFE: fixed-H layer differs	0	p-1	p-1
cpd15028	Delphin	9	UNSAFE: fixed-H layer differs	0	p0	p0
cpd24730	pelargonidin-3,5-diglucoside	6	UNSAFE: fixed-H layer differs	0	p0	p0
cpd17846	Curcumin monoglucoside	6	UNSAFE: fixed-H layer differs	0	p0	p0
cpd31093	3,5,7-Trioxododecanoyl-CoA	5	UNSAFE: fixed-H layer differs	0	p-4	p-4
cpd24928	delphinidin 3-O-(6''-O-malonyl	5	UNSAFE: fixed-H layer differs	0	p-1	p-2
cpd24640	curcumin 4'-O-beta-D-gentiobio	5	UNSAFE: fixed-H layer differs	0	p0	p0
cpd15020	Delphinidin 3-O-(6''-O-malonyl	5	UNSAFE: fixed-H layer differs	0	p-1	p-1
cpd05630	Pelargonin	5	UNSAFE: fixed-H layer differs	0	p0	p0
cpd01620	Precorrin 2	5	UNSAFE: fixed-H layer differs	0	p-8	p-7
cpd24184	2-oxoglutaryl-CoA	4	UNSAFE: fixed-H layer differs	0	p-5	p-5
cpd23657	3,5,7,9,11,13,15,17,19-nonaoxo	4	UNSAFE: fixed-H layer differs	0	p-1	p0
cpd19584	cis,cis-2,4-Dihydroxy-5-methyl	4	UNSAFE: fixed-H layer differs	0	p-1	p-1
cpd17847	Curcumin diglucoside	4	UNSAFE: fixed-H layer differs	0	p0	p0
cpd15017	Delphinidin 3-O-(6-O-malonyl-b	4	UNSAFE: fixed-H layer differs	0	p-1	p-2
cpd09274	Cyanidin-3-(6'-malonylglucosid	4	UNSAFE: fixed-H layer differs	0	p-1	p-2
cpd35547	Tcm F2	3	UNSAFE: fixed-H layer differs	0	p-1	p-2
cpd35090	8-amino-8-demethylriboflavin	3	UNSAFE: fixed-H layer differs	0	p0	p-1
cpd34384	(13E)-labda-7,13-dien-15-yl di	3	UNSAFE: fixed-H layer differs	0	p-2	p-3
cpd34365	3-pentenoyl-CoA	3	UNSAFE: fixed-H layer differs	0	p-4	p-4
cpd31921	3,5-dioxodecanoyl-CoA	3	UNSAFE: fixed-H layer differs	0	p-4	p-4
cpd24994	delphinidin 3-O-glucosyl-5-O-c	3	UNSAFE: fixed-H layer differs	0	p0	p0
cpd24773	pelargonidin 3-O-beta-D-caffeo	3	UNSAFE: fixed-H layer differs	0	p0	p0
cpd24183	5-oxo-2-furoyl-CoA	3	UNSAFE: fixed-H layer differs	0	p-4	p-5
cpd23516	dibenzoylmethane	3	UNSAFE: fixed-H layer differs	0	p-1	p-1
cpd05449	Celosianin II	3	UNSAFE: fixed-H layer differs	0	p-3	p-2
cpd04092	Actinorhodin	3	UNSAFE: fixed-H layer differs	0	p-2	p-3
cpd35889	arabidopsis anthocyanin A9	2	UNSAFE: fixed-H layer differs	0	p-1	p-1
cpd34846	(2Z)-2-hydroxypent-2-enedioyl-	2	UNSAFE: fixed-H layer differs	0	p-5	p-5
cpd34027	1-(3,4-dihydroxyphenyl)-3-(2,4	2	UNSAFE: fixed-H layer differs	0	p-1	p-1
cpd33515	arabidopsis anthocyanin A5	2	UNSAFE: fixed-H layer differs	0	p-1	p-1
cpd33227	curcumin 4'-O-beta-D-gentiotri	2	UNSAFE: fixed-H layer differs	0	p0	p0
cpd32822	5-hydroxyanthrotainin	2	UNSAFE: fixed-H layer differs	0	p-1	p-1
cpd32691	cyanidin 3-O-glucoside-7-O-(6-	2	UNSAFE: fixed-H layer differs	0	p0	p0
cpd31905	1-phenyl-3-(2,4,6-trihydroxyph	2	UNSAFE: fixed-H layer differs	0	p-1	p0
cpd31861	oxidized coenzyme F420-7	2	UNSAFE: fixed-H layer differs	0	p-9	p-10
cpd31142	Delphinidin 3,7-di-O-beta-D-gl	2	UNSAFE: fixed-H layer differs	0	p0	p0
cpd31141	Pelargonidin 3,7-di-O-beta-D-g	2	UNSAFE: fixed-H layer differs	0	p0	p0
