rank	seed_id	name	formula	n_reactions	n_h	mg_protons	need_above_pH7	need_at_or_below_pH7	need_total_steps	have_alberty	have_iupac	alberty_guard	iupac_guard	resolver_pick	resolver_guard	still_missing_steps
1	cpd00006	NADP	C21H25N7O17P3	3168	25	25;26;27;28;29	0	4	4	0	0	no ladder	no ladder	none	no ladder	need >=0 above pH7 and >=4 at/below; alberty 0 above/0 below, iupac 0 above/0 below
2	cpd00005	NADPH	C21H26N7O17P3	3158	26	25;26;27;28;29;30	1	4	5	0	0	no ladder	no ladder	none	no ladder	need >=1 above pH7 and >=4 at/below; alberty 0 above/0 below, iupac 0 above/0 below
3	cpd00003	NAD	C21H26N7O14P2	2669	26	25;26	1	0	1	0	0	no ladder	no ladder	none	no ladder	need >=1 above pH7 and >=0 at/below; alberty 0 above/0 below, iupac 0 above/0 below
4	cpd00004	NADH	C21H27N7O14P2	2635	27	25;26;27	2	0	2	0	0	no ladder	no ladder	none	no ladder	need >=2 above pH7 and >=0 at/below; alberty 0 above/0 below, iupac 0 above/0 below
5	cpd00002	ATP	C10H13N5O13P3	3017	13	12;13;14;15;16	1	3	4	2	2	FAIL	FAIL	alberty	FAIL	need >=1 above pH7 and >=3 at/below; alberty 1 above/1 below, iupac 0 above/2 below
6	cpd00009	Phosphate	HO4P	2805	1	0;1;2	1	1	2	1	0	FAIL	no ladder	alberty	FAIL	need >=1 above pH7 and >=1 at/below; alberty 1 above/0 below, iupac 0 above/0 below
7	cpd00008	ADP	C10H13N5O10P2	2469	13	12;13;14	1	1	2	2	2	PASS	FAIL	alberty	PASS	
8	cpd00010	CoA	C21H32N7O16P3S	1983	32	32;33;34;35;36;37	0	5	5	1	0	FAIL	no ladder	alberty	FAIL	need >=0 above pH7 and >=5 at/below; alberty 1 above/0 below, iupac 0 above/0 below
9	cpd00012	PPi	HO7P2	1409	1	0;1;2	1	1	2	4	0	PASS	no ladder	alberty	PASS	
10	cpd00017	S-Adenosyl-L-methionine	C15H23N6O5S	701	23	21;22;23	2	0	2	0	0	no ladder	no ladder	none	no ladder	need >=2 above pH7 and >=0 at/below; alberty 0 above/0 below, iupac 0 above/0 below
11	cpd00019	S-Adenosyl-homocysteine	C14H20N6O5S	658	20	18;19;20	2	0	2	0	0	no ladder	no ladder	none	no ladder	need >=2 above pH7 and >=0 at/below; alberty 0 above/0 below, iupac 0 above/0 below
12	cpd00014	UDP	C9H12N2O12P2	1221	12	9;11;12;13	3	1	4	0	1	no ladder	FAIL	iupac	FAIL	need >=3 above pH7 and >=1 at/below; alberty 0 above/0 below, iupac 1 above/0 below
13	cpd00022	Acetyl-CoA	C23H34N7O17P3S	538	34	34;35;36;37;38;39	0	5	5	0	0	no ladder	no ladder	none	no ladder	need >=0 above pH7 and >=5 at/below; alberty 0 above/0 below, iupac 0 above/0 below
14	cpd00018	AMP	C10H12N5O7P	597	12	11;12;13;14	1	2	3	2	0	FAIL	no ladder	alberty	FAIL	need >=1 above pH7 and >=2 at/below; alberty 0 above/2 below, iupac 0 above/0 below
15	cpd00036	Succinate	C4H4O4	284	4	4;5	0	1	1	2	2	PASS	PASS	alberty	PASS	
16	cpd00015	FAD	C27H31N9O15P2	181	31	-	0	0	0	0	0	n/a (no Mg data)	n/a (no Mg data)	none	n/a (no Mg data)	
17	cpd00070	Malonyl-CoA	C24H33N7O19P3S	312	33	33;34;35;36;37;38;39	0	6	6	0	0	no ladder	no ladder	none	no ladder	need >=0 above pH7 and >=6 at/below; alberty 0 above/0 below, iupac 0 above/0 below
18	cpd00982	FADH2	C27H33N9O15P2	175	33	-	0	0	0	0	0	n/a (no Mg data)	n/a (no Mg data)	none	n/a (no Mg data)	
19	cpd00061	Phosphoenolpyruvate	C3H2O6P	133	2	2;3;4	0	2	2	1	2	FAIL	PASS	alberty	FAIL	need >=0 above pH7 and >=2 at/below; alberty 1 above/0 below, iupac 0 above/2 below
20	cpd00032	Oxaloacetate	C4H2O5	115	2	2;3	0	1	1	0	3	no ladder	PASS	iupac	PASS	
21	cpd00297	dTDP	C10H14N2O11P2	134	14	12;13;14;15	2	1	3	0	0	no ladder	no ladder	none	no ladder	need >=2 above pH7 and >=1 at/below; alberty 0 above/0 below, iupac 0 above/0 below
22	cpd00038	GTP	C10H13N5O14P3	130	13	10;12;13;14;15	3	2	5	0	2	no ladder	FAIL	iupac	FAIL	need >=3 above pH7 and >=2 at/below; alberty 0 above/0 below, iupac 2 above/0 below
23	cpd00113	Isopentenyldiphosphate	C5H10O7P2	113	10	9;10;11	1	1	2	0	0	no ladder	no ladder	none	no ladder	need >=1 above pH7 and >=1 at/below; alberty 0 above/0 below, iupac 0 above/0 below
24	cpd00045	Adenosine 3-5-bisphosphate	C10H11N5O10P2	102	11	-	0	0	0	0	0	n/a (no Mg data)	n/a (no Mg data)	none	n/a (no Mg data)	
25	cpd00044	3-phosphoadenylylsulfate	C10H11N5O13P2S	90	11	-	0	0	0	0	0	n/a (no Mg data)	n/a (no Mg data)	none	n/a (no Mg data)	
