reaction_id	name	grade	projected_grade	mechanism_grade	limiting_compound	reason	n_compounds	n_graded	distinct_grades	in_priority_scope	dg_prime_kcal_per_mol	uncertainty_kcal_per_mol
rxn00015	putrescine:putrescine 4-aminobutyltransferase (ammonia-formi	SILVER	SILVER	GOLD	cpd00013	ChemAxon ladder from pinned cache	3	3	2	1	-1.021	1.119
rxn00016	chitobiose N-acetylglucosaminohydrolase	SILVER	SILVER	GOLD	cpd00122	ChemAxon ladder from pinned cache	3	3	2	1	-4.079	0.851
rxn00018	3-phospho-D-glycerate carboxy-lyase (dimerizing; D-ribulose-	SILVER	SILVER	GOLD	cpd00169	ChemAxon ladder from pinned cache	5	5	2	1	-4.617	0.989
rxn00020	cellobiose glucohydrolase	BRONZE	BRONZE	SILVER	cpd00158	MolGpKa, sites chemically distinct	3	3	2	1	-2.517	0.813
rxn00021	2-hydroxy-1,2-diphenylethanone benzaldehyde-lyase (benzaldeh	BRONZE	BRONZE	SILVER	cpd01008	MolGpKa, sites chemically distinct	2	2	2	1	2.788	0.467
rxn00022	maltose glucohydrolase	SILVER	SILVER	GOLD	cpd00027	ChemAxon ladder from pinned cache	3	3	2	1	-3.199	0.404
rxn00024	1,2-Benzenediol:oxygen oxidoreductase	SILVER	SILVER	GOLD	cpd00069	ChemAxon ladder from pinned cache	3	3	2	1	-112.761	2.550
rxn00025	beta-Carotene:oxygen 15,15'-oxidoreductase (bond-cleaving)	GOLD	GOLD	GOLD	cpd00007	no ionizable groups	3	3	1	1	-85.628	1.292
rxn00026	thiamine:oxygen 5-oxidoreductase	BRONZE-COLLAPSED	BRONZE-COLLAPSED	BRONZE	cpd00305	MolGpKa with symmetry collapse	4	4	3	1	-26.237	1.080
rxn00028	L-ascorbate:oxygen oxidoreductase	BRONZE	BRONZE	SILVER	cpd00059	MolGpKa, sites chemically distinct	4	4	2	1	-106.919	1.130
rxn00029	5-aminolevulinate hydro-lyase (adding 5-aminolevulinate and 	BRONZE	BRONZE	SILVER	cpd00689	MolGpKa, sites chemically distinct	4	4	2	1	-25.402	1.057
rxn00030	4-hydroxy-3-hexanone propanal-lyase (propanal-forming)	BRONZE	BRONZE	SILVER	cpd01891	MolGpKa, sites chemically distinct	2	2	2	1	-2.943	0.286
rxn00031	raffinose:raffinose 1F-alpha-D-galactosyltransferase	BRONZE-COLLAPSED	BRONZE-COLLAPSED	BRONZE	cpd02464	MolGpKa with symmetry collapse	3	3	2	1	-0.048	0.812
rxn00032	Choline:oxygen 1-oxidoreductase	SILVER	SILVER	GOLD	cpd00098	ChemAxon ladder from pinned cache	4	4	2	1	-99.158	0.996
rxn00033	4-hydroxyphenylpyruvate:oxygen oxidoreductase (decarboxylati	BRONZE	BRONZE	SILVER	cpd00489	MolGpKa, sites chemically distinct	4	4	3	1	-155.672	2.822
rxn00034	1,2-bis(4-hydroxy-3-methoxyphenyl)ethylene:oxygen oxidoreduc	SILVER	SILVER	GOLD	cpd02768	ChemAxon ladder from pinned cache	3	3	2	1	-87.163	0.849
rxn00035	columbamine:oxygen oxidoreductase (cyclizing)	BRONZE	BRONZE	SILVER	cpd01238	MolGpKa, sites chemically distinct	4	4	2	1	-107.532	1.065
rxn00036	3,4-dihydroxy-L-phenylalanine:oxygen oxidoreductase	BRONZE	BRONZE	BRONZE	cpd00612	MolGpKa, sites chemically distinct	4	4	2	1	-85.726	3.020
rxn00037	omega-3 fatty acid desaturase, chloroplast (FAD7) (FADD)	GOLD	GOLD	GOLD	cpd00007	no ionizable groups	5	5	1	1	-101.860	2.031
rxn00038	(R)-3-((R)-3-Hydroxybutanoyloxy)-butanoate hydroxybutanoylhy	BRONZE	BRONZE	SILVER	cpd02767	MolGpKa, sites chemically distinct	4	4	3	1	-10.913	1.255
rxn00039	1-O-galloyl-beta-D-glucose:1-O-galloyl-beta-D-glucose O-gall	SILVER	SILVER	GOLD	cpd00027	ChemAxon ladder from pinned cache	3	3	1	1	-1.704	0.373
rxn00040	digallate acylhydrolase	SILVER	SILVER	GOLD	cpd01108	ChemAxon ladder from pinned cache	4	4	2	1	-11.114	0.736
rxn00041	orsellinate-depside hydrolase	BRONZE	BRONZE	BRONZE	cpd01265	MolGpKa, sites chemically distinct	4	4	2	1	-10.069	0.736
rxn00042	inosine:oxygen 5'-oxidoreductase	BRONZE	BRONZE	SILVER	cpd01365	MolGpKa, sites chemically distinct	4	4	3	1	-101.468	1.818
rxn00043	catechol:oxygen oxidoreductase	GOLD	GOLD	GOLD	cpd00001	no ionizable groups	4	4	1	1	-72.024	3.863
rxn00044	N-(6-aminohexanoyl)-6-aminohexanoate amidohydrolase	BRONZE	BRONZE	SILVER	cpd00921	MolGpKa, sites chemically distinct	3	3	2	1	0.703	0.429
rxn00045	bilirubin-glucuronoside:bilirubin-glucuronoside D-glucuronos	BRONZE	BRONZE	SILVER	cpd00376	MolGpKa, sites chemically distinct	3	3	1	1	0.008	0.000
rxn00046	1-O-sinapoyl-beta-D-glucose:1-O-sinapoyl-beta-D-glucose 1-O-	BRONZE	BRONZE	SILVER	cpd02622	MolGpKa, sites chemically distinct	3	3	2	1	-0.919	1.030
rxn00047	R_4__4_Deoxy_beta_D_gluc_4_enuronosyl__D_galacturonate_lyase	BRONZE	BRONZE	SILVER	cpd02508	MolGpKa, sites chemically distinct	2	2	1	1	-16.757	0.692
rxn00048	6,7-Dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D-rib	BRONZE	BRONZE	SILVER	cpd02656	MolGpKa, sites chemically distinct	3	3	2	1	-18.044	1.859
rxn00050	rxn00050	BRONZE	BRONZE	SILVER	cpd02311	MolGpKa, sites chemically distinct	3	3	2	1	126.669	2.610
rxn00051	D-urobilinogen:oxygen oxidoreductase	BRONZE	BRONZE	SILVER	cpd03434	MolGpKa, sites chemically distinct	4	4	3	1	-115.762	3.754
rxn00052	thiamine-aldehyde:oxygen 5-oxidoreductase	BRONZE-COLLAPSED	BRONZE-COLLAPSED	BRONZE	cpd01852	MolGpKa with symmetry collapse	6	6	3	1	-40.282	1.109
rxn00054	2-aminophenol:oxygen oxidoreductase (dimerizing)	BRONZE-COLLAPSED	BRONZE-COLLAPSED	BRONZE	cpd01462	MolGpKa with symmetry collapse	4	4	2	1	-241.203	47806.795
rxn00055	S-adenosyl-L-methionine:S-adenosyl-L-methionine 3-amino-3-ca	BRONZE	BRONZE	SILVER	cpd03158	MolGpKa, sites chemically distinct	4	4	3	1	19.607	71705.962
rxn00056	Fe(II):oxygen oxidoreductase	GOLD	GOLD	GOLD	cpd00001	no ionizable groups	5	5	1	1	-16.221	4.362
rxn00057	Catechol:oxygen oxidoreductase (dimerizing)	BRONZE	BRONZE	SILVER	cpd02409	MolGpKa, sites chemically distinct	4	4	2	1	-159.747	95608.441
rxn00060	porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-	BRONZE	BRONZE	BRONZE	cpd00689	MolGpKa, sites chemically distinct	4	4	3	1	-44.913	2.137
rxn00061	ATP diphosphohydrolase (phosphate-forming)	SILVER	SILVER	GOLD	cpd00002	ChemAxon ladder from pinned cache	5	5	2	1	-12.123	0.155
rxn00062	ATP phosphohydrolase	SILVER	SILVER	GOLD	cpd00002	ChemAxon ladder from pinned cache	5	5	2	1	-6.091	0.079
rxn00063	ATP diphosphohydrolase (diphosphate-forming)	SILVER	SILVER	GOLD	cpd00002	ChemAxon ladder from pinned cache	5	5	2	1	-8.138	0.149
