reaction_id	name	grade	projected_grade	mechanism_grade	limiting_compound	reason	n_compounds	n_graded	distinct_grades	in_priority_scope	dg_prime_kcal_per_mol	uncertainty_kcal_per_mol
rxn04290	R06428	BRONZE	BRONZE	SILVER	cpd08727	MolGpKa, sites chemically distinct	3	3	3	1	-14.993	0.796
rxn04291	R06429	BRONZE	BRONZE	SILVER	cpd08725	MolGpKa, sites chemically distinct	5	5	3	1	-0.310	0.402
rxn04294	R06432	BRONZE	BRONZE	SILVER	cpd08717	MolGpKa, sites chemically distinct	5	5	3	1	16.077	23901.678
rxn04295	R06433	BRONZE	BRONZE	SILVER	cpd08724	MolGpKa, sites chemically distinct	2	2	1	1	0.000	0.000
rxn04296	R06434	BRONZE	BRONZE	SILVER	cpd08717	MolGpKa, sites chemically distinct	5	5	3	1	-0.310	0.402
rxn04297	S-adenosyl-L-methionine:dTDP-4-oxo-2,6-dideoxy-L-mannose 3-C	BRONZE	BRONZE	SILVER	cpd08712	MolGpKa, sites chemically distinct	5	5	3	1	2.378	23901.660
rxn04299	R06437	BRONZE	BRONZE	SILVER	cpd08723	MolGpKa, sites chemically distinct	2	2	2	1	-3.176	0.481
rxn04300	R06438	BRONZE	BRONZE	SILVER	cpd08710	MolGpKa, sites chemically distinct	3	3	2	0	11.797	0.547
rxn04301	S-adenosyl-L-methionine:dTDP-3-amino-3,6-dideoxy-alpha-D-glu	BRONZE	BRONZE	BRONZE	cpd08722	MolGpKa, sites chemically distinct	5	5	3	1	7.016	53445.511
rxn04302	R06440	BRONZE	BRONZE	SILVER	cpd08727	MolGpKa, sites chemically distinct	2	2	1	1	0.000	0.000
rxn04303	R06441	BRONZE	BRONZE	SILVER	cpd08728	MolGpKa, sites chemically distinct	3	3	2	0	11.798	0.547
rxn04308	(2E,6E)-farnesyl-diphosphate:isopentenyl-diphosphate cistran	BRONZE-COLLAPSED	SILVER	BRONZE	cpd02229	MolGpKa with symmetry collapse	5	5	3	1	-128.379	5.919
rxn04311	R06450	BRONZE	BRONZE	BRONZE	cpd08730	MolGpKa, sites chemically distinct	4	4	2	1	-5.348	0.610
rxn04312	R06451	BRONZE	BRONZE	BRONZE	cpd08710	MolGpKa, sites chemically distinct	4	4	2	1	-6.516	0.641
rxn04315	R06454	BRONZE-COLLAPSED	BRONZE-COLLAPSED	BRONZE	cpd08786	MolGpKa with symmetry collapse	7	7	4	0	-104.141	23902.034
rxn04316	R06455	BRONZE	BRONZE	SILVER	cpd08717	MolGpKa, sites chemically distinct	4	4	2	1	-4.985	0.610
rxn04317	S-adenosyl-L-methionine:L-olivosyl-oleandolide B 3-O-methylt	BRONZE	BRONZE	SILVER	cpd08788	MolGpKa, sites chemically distinct	5	5	3	1	16.077	23901.678
rxn04323	R06462	BRONZE	BRONZE	BRONZE	cpd08791	MolGpKa, sites chemically distinct	7	7	3	1	-93.763	0.788
rxn04324	R06463	BRONZE	BRONZE	BRONZE	cpd08791	MolGpKa, sites chemically distinct	7	7	3	1	-96.901	0.840
rxn04325	R06464	BRONZE	BRONZE	BRONZE	cpd08795	MolGpKa, sites chemically distinct	7	7	3	1	-96.899	0.840
rxn04326	R06465	BRONZE	BRONZE	SILVER	cpd08766	MolGpKa, sites chemically distinct	7	7	3	0	-95.619	2.652
rxn04327	(3S)-2,3-epoxy-2,3-dihydrosqualene mutase (cyclizing, lupeol	BRONZE	BRONZE	SILVER	cpd05535	MolGpKa, sites chemically distinct	2	2	2	1	-110.523	95610.565
rxn04328	R06467	BRONZE	BRONZE	SILVER	cpd08774	MolGpKa, sites chemically distinct	7	7	3	0	-95.619	2.652
rxn04329	R06468	BRONZE	BRONZE	SILVER	cpd08750	MolGpKa, sites chemically distinct	7	7	3	0	-95.619	2.652
rxn04330	(3S)-2,3-epoxy-2,3-dihydrosqualene mutase (cyclizing, beta-a	BRONZE	BRONZE	SILVER	cpd05523	MolGpKa, sites chemically distinct	2	2	2	1	-120.817	95610.154
rxn04331	R06470	BRONZE	BRONZE	SILVER	cpd08758	MolGpKa, sites chemically distinct	7	7	3	0	-95.619	2.652
rxn04332	(3S)-2,3-epoxy-2,3-dihydrosqualene mutase (cyclizing, alpha-	BRONZE	BRONZE	SILVER	cpd05522	MolGpKa, sites chemically distinct	2	2	2	1	-122.094	95610.045
rxn04333	R06472	BRONZE	BRONZE	SILVER	cpd08767	MolGpKa, sites chemically distinct	5	5	3	1	-0.311	0.402
rxn04334	R06473	BRONZE	BRONZE	SILVER	cpd08775	MolGpKa, sites chemically distinct	5	5	3	1	-0.311	0.402
rxn04335	R06474	BRONZE	BRONZE	SILVER	cpd08751	MolGpKa, sites chemically distinct	5	5	3	1	-0.311	0.402
rxn04336	R06475	BRONZE	BRONZE	SILVER	cpd08759	MolGpKa, sites chemically distinct	5	5	3	1	-0.311	0.402
rxn04337	R06476	BRONZE	BRONZE	SILVER	cpd08768	MolGpKa, sites chemically distinct	5	5	3	1	16.077	23901.678
rxn04338	R06477	BRONZE	BRONZE	SILVER	cpd08776	MolGpKa, sites chemically distinct	5	5	3	1	16.077	23901.678
rxn04339	R06478	BRONZE	BRONZE	SILVER	cpd08752	MolGpKa, sites chemically distinct	5	5	3	1	16.077	23901.678
rxn04340	R06479	BRONZE	BRONZE	SILVER	cpd08760	MolGpKa, sites chemically distinct	5	5	3	1	16.077	23901.678
rxn04345	R06484	BRONZE	BRONZE	SILVER	cpd08718	MolGpKa, sites chemically distinct	4	4	2	1	-4.985	0.610
rxn04346	R06485	BRONZE	BRONZE	SILVER	cpd08718	MolGpKa, sites chemically distinct	4	4	2	1	-4.985	0.610
rxn04347	R06486	BRONZE	BRONZE	SILVER	cpd08718	MolGpKa, sites chemically distinct	4	4	2	1	-4.985	0.610
rxn04348	R06487	BRONZE	BRONZE	SILVER	cpd08718	MolGpKa, sites chemically distinct	4	4	2	1	-4.985	0.610
rxn04349	R06488	BRONZE	BRONZE	SILVER	cpd08718	MolGpKa, sites chemically distinct	4	4	2	1	-4.985	0.610
rxn04350	R06489	BRONZE	BRONZE	SILVER	cpd08718	MolGpKa, sites chemically distinct	4	4	2	1	-4.985	0.610
rxn04351	R06490	BRONZE	BRONZE	SILVER	cpd08718	MolGpKa, sites chemically distinct	4	4	2	1	-4.985	0.610
rxn04352	R06491	BRONZE	BRONZE	SILVER	cpd08718	MolGpKa, sites chemically distinct	4	4	2	1	-4.985	0.610
rxn04353	R06492	BRONZE	BRONZE	SILVER	cpd08718	MolGpKa, sites chemically distinct	4	4	2	1	-4.985	0.610
rxn04354	R06493	BRONZE	BRONZE	SILVER	cpd08718	MolGpKa, sites chemically distinct	4	4	2	1	-4.985	0.610
rxn04355	R06494	BRONZE	BRONZE	SILVER	cpd08718	MolGpKa, sites chemically distinct	4	4	2	1	-4.985	0.610
rxn04356	R06495	BRONZE	BRONZE	SILVER	cpd08718	MolGpKa, sites chemically distinct	4	4	2	1	-4.985	0.610
rxn04357	R06496	BRONZE	BRONZE	SILVER	cpd08718	MolGpKa, sites chemically distinct	4	4	2	1	-4.985	0.610
rxn04358	R06497	BRONZE	BRONZE	SILVER	cpd08718	MolGpKa, sites chemically distinct	4	4	2	1	-4.985	0.610
rxn04359	R06498	BRONZE	BRONZE	SILVER	cpd08718	MolGpKa, sites chemically distinct	4	4	2	1	-4.985	0.610
rxn04360	R06499	BRONZE	BRONZE	SILVER	cpd08718	MolGpKa, sites chemically distinct	4	4	2	1	-4.985	0.610
rxn04361	rxn04361	BRONZE	BRONZE	SILVER	cpd05876	MolGpKa, sites chemically distinct	4	4	2	1	2.498	0.442
rxn04362	R06501	BRONZE	BRONZE	SILVER	cpd05523	MolGpKa, sites chemically distinct	3	3	2	1	-81.053	0.831
rxn04363	(5Z,8Z,11Z,14Z,17Z)-eicosapentaenoate delta8,11-delta7,9-iso	BRONZE	BRONZE	SILVER	cpd03851	MolGpKa, sites chemically distinct	2	2	1	1	0.000	0.000
rxn04367	R06506	BRONZE	BRONZE	BRONZE	cpd08716	MolGpKa, sites chemically distinct	4	4	2	1	-3.159	0.626
rxn04368	R06510	BRONZE	BRONZE	SILVER	cpd01781	MolGpKa, sites chemically distinct	6	6	3	1	62.210	23902.550
rxn04369	rxn04369	BRONZE	BRONZE	BRONZE	cpd06648	MolGpKa, sites chemically distinct	6	6	3	1	-44.863	3.470
rxn04370	rxn04370	BRONZE	BRONZE	BRONZE	cpd03344	MolGpKa, sites chemically distinct	6	6	3	1	-45.348	3.470
rxn04373	(3R)-3-isopropenyl-6-oxoheptanoate:CoA ligase (AMP-forming)	BRONZE	BRONZE	SILVER	cpd08259	MolGpKa, sites chemically distinct	7	7	3	0	-1.408	0.381
rxn04374	pyridoxal-dependent decarboxylase family protein	SILVER	SILVER	GOLD	cpd00285	ChemAxon ladder from pinned cache	4	4	2	0	-0.961	0.690
rxn04376	3-sn-phosphatidate phosphohydrolase	BRONZE	BRONZE	SILVER	cpd00623	MolGpKa, sites chemically distinct	4	4	3	1	-4.333	0.346
rxn04377	3-sn-phosphatidate phosphohydrolase	BRONZE	BRONZE	BRONZE	cpd00267	MolGpKa, sites chemically distinct	4	4	3	1	-4.491	0.346
rxn04379	trans,trans-farnesyl-diphosphate diphosphate-lyase (cyclizin	BRONZE-COLLAPSED	SILVER	BRONZE	cpd00350	MolGpKa with symmetry collapse	4	4	2	1	-56.451	23902.801
rxn04381	Sphinganine, NADPH: oxygen oxidoreductase (4-hydroxylating)	BRONZE	BRONZE	BRONZE	cpd00623	MolGpKa, sites chemically distinct	7	7	3	1	-93.802	0.788
rxn04385	L-threonine-O-3-phosphate carboxy-lyase	SILVER	SILVER	GOLD	cpd02547	ChemAxon ladder from pinned cache	4	4	2	1	-4.995	0.809
rxn04386	ATP:L-threonine O-phosphotransferase	SILVER	SILVER	GOLD	cpd00002	ChemAxon ladder from pinned cache	5	5	2	1	1.457	0.737
rxn04387	(2R,3S)-catechin:NADP+ 4-oxidoreductase	BRONZE	BRONZE	SILVER	cpd03503	MolGpKa, sites chemically distinct	6	6	3	1	-12.109	0.357
rxn04388	(2R,3S)-catechin:NADP+ 4-oxidoreductase	SILVER	SILVER	GOLD	cpd00005	ChemAxon ladder from pinned cache	6	6	2	1	-12.125	0.357
rxn04389	UDP-glucose:anthocyanidin 3-O-D-glucosyltransferase	BRONZE	BRONZE	BRONZE	cpd03501	MolGpKa, sites chemically distinct	5	5	3	1	-38.909	33804.034
rxn04390	UDP-glucose:anthocyanidin 3-O-D-glucosyltransferase	BRONZE	BRONZE	BRONZE	cpd03502	MolGpKa, sites chemically distinct	5	5	3	1	-38.951	33804.034
rxn04391	UDP-glucose:anthocyanidin 3-O-D-glucosyltransferase	BRONZE-COLLAPSED	BRONZE-COLLAPSED	BRONZE	cpd03505	tautomer match refused; MolGpKa fallback	5	5	3	1	-38.768	33804.034
rxn04392	flavonoid,NADPH:oxygen oxidoreductase (3'-hydroxylating)	BRONZE	BRONZE	BRONZE	cpd01047	MolGpKa, sites chemically distinct	7	7	3	1	-101.522	0.913
rxn04393	flavonoid,NADPH:oxygen oxidoreductase (3'-hydroxylating)	BRONZE	BRONZE	BRONZE	cpd00313	MolGpKa, sites chemically distinct	7	7	3	1	-89.951	2.149
rxn04394	dihydroflavonol,2-oxoglutarate:oxygen oxidoreductase	SILVER	SILVER	GOLD	cpd00024	ChemAxon ladder from pinned cache	8	8	2	1	-99.388	23903.384
rxn04395	leucocyanidin,2-oxoglutarate:oxygen oxidoreductase	BRONZE	BRONZE	BRONZE	cpd00717	MolGpKa, sites chemically distinct	7	7	3	1	-123.028	1.256
rxn04396	dihydroflavonol 4-reductase (dihydrokaempferol 4-reductase) 	BRONZE	BRONZE	SILVER	cpd03501	MolGpKa, sites chemically distinct	5	5	3	0	-11.157	23904.463
rxn04397	dihydroflavonol 4-reductase (dihydrokaempferol 4-reductase) 	BRONZE	BRONZE	SILVER	cpd03502	MolGpKa, sites chemically distinct	5	5	3	0	-11.145	23904.463
rxn04398	dihydroflavonol 4-reductase (dihydrokaempferol 4-reductase) 	BRONZE-COLLAPSED	BRONZE-COLLAPSED	BRONZE	cpd03505	tautomer match refused; MolGpKa fallback	5	5	3	0	-11.168	23904.463
rxn04405	rxn04405	BRONZE-COLLAPSED	BRONZE-COLLAPSED	BRONZE	cpd08920	tautomer match refused; MolGpKa fallback	3	3	3	1	-26.373	0.914
rxn04406	flavanone,2-oxoglutarate:oxygen oxidoreductase (dehydrating)	SILVER	SILVER	GOLD	cpd00024	ChemAxon ladder from pinned cache	8	8	2	1	-93.192	23903.212
rxn04407	rxn04407	BRONZE	BRONZE	BRONZE	cpd00398	MolGpKa, sites chemically distinct	4	4	2	1	22.432	23902.856
rxn04408	R06553	BRONZE	BRONZE	BRONZE	cpd00398	MolGpKa, sites chemically distinct	3	3	2	0	17.070	23902.989
rxn04409	R06554	BRONZE	BRONZE	BRONZE	cpd06654	MolGpKa, sites chemically distinct	3	3	2	0	15.656	23902.989
rxn04411	flavanone lyase (decyclizing)	BRONZE	BRONZE	BRONZE	cpd05556	MolGpKa, sites chemically distinct	2	2	1	1	-22.531	1.208
rxn04415	formononetin,NADPH:oxygen oxidoreductase (2'-hydroxylating)	BRONZE	BRONZE	BRONZE	cpd00639	MolGpKa, sites chemically distinct	7	7	3	1	-101.067	0.913
rxn04416	biochanin A,NADPH:oxygen oxidoreductase (2'-hydroxylating)	BRONZE	BRONZE	BRONZE	cpd00606	MolGpKa, sites chemically distinct	7	7	3	1	-102.006	0.913
rxn04417	vestitone:NADP+ oxidoreductase	BRONZE	BRONZE	BRONZE	cpd00582	MolGpKa, sites chemically distinct	5	5	3	1	-28.425	23902.922
rxn04418	ferreirin:NADP+ oxidoreductase	BRONZE	BRONZE	BRONZE	cpd07308	MolGpKa, sites chemically distinct	5	5	3	1	-28.504	23902.922
rxn04419	S-adenosyl-L-methionine:isoflavone 4'-O-methyltransferase	BRONZE	BRONZE	BRONZE	cpd00639	MolGpKa, sites chemically distinct	5	5	3	1	-0.266	23901.620
rxn04423	cinnamaldehyde:NADP+ oxidoreductase (CoA-cinnamoylating)	BRONZE	BRONZE	SILVER	cpd08984	MolGpKa, sites chemically distinct	6	6	3	1	2.711	0.358
rxn04424	cinnamyl-alcohol:NADP+ oxidoreductase	BRONZE	BRONZE	SILVER	cpd08984	MolGpKa, sites chemically distinct	5	5	3	1	-5.030	0.276
rxn04425	cinnamyl-alcohol:NADP+ oxidoreductase	BRONZE	BRONZE	SILVER	cpd07830	MolGpKa, sites chemically distinct	5	5	3	1	-5.034	0.276
rxn04426	R06572	BRONZE	BRONZE	SILVER	cpd08984	MolGpKa, sites chemically distinct	7	7	3	1	-100.246	0.953
rxn04427	R06573	BRONZE	BRONZE	SILVER	cpd08985	MolGpKa, sites chemically distinct	7	7	3	1	-102.877	0.944
rxn04428	caffeic aldehyde:3,4-dihydroxy-trans-cinnamate 3-O-methyltra	BRONZE	BRONZE	SILVER	cpd07830	MolGpKa, sites chemically distinct	5	5	3	1	-1.725	23901.661
rxn04429	S-adenosyl-L-methionine:3,4-dihydroxy-trans-cinnamate 3-O-me	BRONZE	BRONZE	SILVER	cpd08986	MolGpKa, sites chemically distinct	5	5	3	1	0.910	23901.641
rxn04430	S-adenosyl-L-methionine:3,4-dihydroxy-trans-cinnamate 3-O-me	BRONZE	BRONZE	SILVER	cpd03333	MolGpKa, sites chemically distinct	5	5	3	1	-0.394	23901.620
rxn04431	S-adenosyl-L-methionine:3,4-dihydroxy-trans-cinnamate 3-O-me	BRONZE	BRONZE	SILVER	cpd01554	MolGpKa, sites chemically distinct	5	5	3	1	-0.400	23901.620
rxn04432	S-adenosyl-L-methionine:caffeoyl-CoA 3-O-methyltransferase	SILVER	SILVER	GOLD	cpd00017	ChemAxon ladder from pinned cache	5	5	2	1	-0.426	23901.620
rxn04437	4-coumarate:CoA ligase (AMP-forming)	BRONZE	BRONZE	SILVER	cpd03337	MolGpKa, sites chemically distinct	7	7	3	1	-1.378	0.381
rxn04442	R06589	BRONZE-COLLAPSED	BRONZE-COLLAPSED	BRONZE	cpd08993	MolGpKa with symmetry collapse	2	2	2	1	0.282	0.112
rxn04443	sedoheptulose-7-phosphate:D-glyceraldehyde-3-phosphate glyco	BRONZE-COLLAPSED	BRONZE-COLLAPSED	BRONZE	cpd08993	MolGpKa with symmetry collapse	4	4	2	1	20.883	12482.750
rxn04444	phosphoenolpyruvate:imino-D-erythrose-4-phosphate C-(1-carbo	BRONZE-COLLAPSED	BRONZE-COLLAPSED	BRONZE	cpd08888	MolGpKa with symmetry collapse	5	5	3	1	-37.913	12482.639
rxn04445	R06592	BRONZE-COLLAPSED	BRONZE-COLLAPSED	BRONZE	cpd08888	MolGpKa with symmetry collapse	3	3	3	1	-27.186	1.335
rxn04446	R06593	BRONZE	BRONZE	SILVER	cpd08890	MolGpKa, sites chemically distinct	3	3	2	1	-13.199	0.681
rxn04447	R06594	BRONZE	BRONZE	SILVER	cpd08989	MolGpKa, sites chemically distinct	5	5	3	1	0.978	0.570
rxn04448	R06595	BRONZE-COLLAPSED	BRONZE-COLLAPSED	BRONZE	cpd08889	MolGpKa with symmetry collapse	4	4	3	1	-10.817	1.187
rxn04453	5-hydroxyisourate amidohydrolase	BRONZE-COLLAPSED	BRONZE-COLLAPSED	BRONZE	cpd09027	MolGpKa with symmetry collapse	4	4	3	1	-4.166	1.574
rxn04454	isochorismate pyruvate-lyase (salicylate-forming)	SILVER	SILVER	GOLD	cpd00020	ChemAxon ladder from pinned cache	3	3	2	1	-26.085	1.625
rxn04455	R06603	SILVER	SILVER	GOLD	cpd00020	ChemAxon ladder from pinned cache	3	3	2	1	-25.853	1.596
rxn04456	2-oxo-4-hydroxy-4-carboxy-5-ureidoimidazoline decarboxylase	BRONZE-COLLAPSED	BRONZE-COLLAPSED	BRONZE	cpd09027	MolGpKa with symmetry collapse	4	4	3	1	-18.492	1.140
rxn04457	R06605	BRONZE-COLLAPSED	BRONZE-COLLAPSED	BRONZE	cpd01567	MolGpKa with symmetry collapse	4	4	2	1	-18.260	1.140
rxn04458	formononetin,NADPH:oxygen oxidoreductase (2'-hydroxylating)	BRONZE	BRONZE	BRONZE	cpd01638	MolGpKa, sites chemically distinct	7	7	3	1	-100.938	0.913
rxn04459	formononetin,NADPH:oxygen oxidoreductase (2'-hydroxylating)	BRONZE	BRONZE	BRONZE	cpd03971	MolGpKa, sites chemically distinct	7	7	3	1	-102.023	0.913
rxn04462	(2S)-flavan-4-ol:NADP+ 4-oxidoreductase	BRONZE	BRONZE	BRONZE	cpd00398	MolGpKa, sites chemically distinct	5	5	3	1	0.481	0.402
rxn04463	UDPglucose:flavonol 3-O-D-glucosyltransferase	BRONZE	BRONZE	BRONZE	cpd01071	MolGpKa, sites chemically distinct	5	5	3	1	-33.186	2.190
rxn04464	5,10-methylenetetrahydrofolate,NADPH:dUMP C-methyltransferas	BRONZE-COLLAPSED	BRONZE-COLLAPSED	BRONZE	cpd00015	MolGpKa with symmetry collapse	6	6	2	1	-21.256	1.981
rxn04465	3-cyano-L-alanine carboxy-lyase (3-aminopropiononitrile-form	GOLD	GOLD	GOLD	cpd00011	no ionizable groups	4	4	1	1	-5.476	0.809
rxn04466	(2R,3S)-catechin:NADP+ 4-oxidoreductase	BRONZE	BRONZE	SILVER	cpd02289	MolGpKa, sites chemically distinct	6	6	3	1	-12.083	0.357
rxn04471	R06621	BRONZE	BRONZE	SILVER	cpd00844	MolGpKa, sites chemically distinct	5	5	3	1	0.318	0.398
rxn04472	R06622	BRONZE	BRONZE	SILVER	cpd00844	MolGpKa, sites chemically distinct	7	7	3	1	-90.593	1.276
rxn04473	3,5-dihydroxyphenylacetyl-CoA:oxygen oxidoreductase (3,5-dih	SILVER	SILVER	GOLD	cpd00010	ChemAxon ladder from pinned cache	5	5	2	1	-95.974	0.862
rxn04475	R06626	BRONZE	BRONZE	BRONZE	cpd02259	MolGpKa, sites chemically distinct	4	4	2	1	2.405	0.707
rxn04476	R06627	BRONZE	BRONZE	BRONZE	cpd09089	MolGpKa, sites chemically distinct	5	5	3	1	5.889	23901.759
rxn04477	R06628	BRONZE	BRONZE	BRONZE	cpd09090	MolGpKa, sites chemically distinct	2	2	1	1	0.000	0.000
rxn04478	R06629	BRONZE	BRONZE	BRONZE	cpd09091	MolGpKa, sites chemically distinct	5	5	3	1	-0.305	0.402
rxn04479	R06630	BRONZE	BRONZE	BRONZE	cpd09091	MolGpKa, sites chemically distinct	3	3	2	0	11.803	0.547
rxn04480	R06631	BRONZE	BRONZE	BRONZE	cpd08727	MolGpKa, sites chemically distinct	4	4	2	1	5.415	0.382
rxn04482	R06633	BRONZE-COLLAPSED	BRONZE-COLLAPSED	BRONZE	cpd00050	MolGpKa with symmetry collapse	4	4	2	1	8.154	2.391
rxn04483	R06634	SILVER	SILVER	GOLD	cpd08819	ChemAxon ladder from pinned cache	4	4	2	1	1.063	0.169
rxn04485	R06650	BRONZE	BRONZE	BRONZE	cpd09149	MolGpKa, sites chemically distinct	3	3	2	1	-14.392	1.371
rxn04494	R06659	BRONZE	BRONZE	BRONZE	cpd09157	MolGpKa, sites chemically distinct	4	4	2	1	-4.975	0.610
rxn04500	R06665	BRONZE	BRONZE	BRONZE	cpd09163	MolGpKa, sites chemically distinct	3	3	2	1	-6.360	0.765
rxn04501	R06666	BRONZE	BRONZE	BRONZE	cpd09161	MolGpKa, sites chemically distinct	4	4	2	1	-12.789	23901.517
rxn04502	R06667	BRONZE	BRONZE	BRONZE	cpd09161	MolGpKa, sites chemically distinct	4	4	2	1	-4.979	0.610
rxn04510	auramycinone:NADP+ 7-oxidoreductase	BRONZE	BRONZE	BRONZE	cpd09169	MolGpKa, sites chemically distinct	3	3	3	0	12.315	0.547
rxn04512	S-adenosyl-L-methionine:aklanonic-acid O-methyltransferase	BRONZE	BRONZE	BRONZE	cpd09173	MolGpKa, sites chemically distinct	4	4	2	1	20.100	23901.776
rxn04513	R06681	BRONZE	BRONZE	BRONZE	cpd09174	MolGpKa, sites chemically distinct	3	3	2	1	-43.440	23902.658
rxn04514	aklavinone:NADP+ 7-oxidoreductase	BRONZE	BRONZE	BRONZE	cpd09175	MolGpKa, sites chemically distinct	3	3	2	0	12.126	0.547
rxn04516	dTDP-beta-L-daunosamine:epsilon-rhodomycinone beta-L-daunosa	BRONZE	BRONZE	BRONZE	cpd09177	MolGpKa, sites chemically distinct	4	4	2	1	-5.725	0.610
rxn04518	R06686	BRONZE	BRONZE	BRONZE	cpd09179	MolGpKa, sites chemically distinct	4	4	2	1	-5.503	0.829
rxn04521	R06689	BRONZE	BRONZE	BRONZE	cpd01310	MolGpKa, sites chemically distinct	3	3	2	0	-7.799	0.455
rxn04524	R06692	BRONZE	BRONZE	BRONZE	cpd09183	MolGpKa, sites chemically distinct	3	3	2	0	-7.626	0.455
rxn04526	R06694	BRONZE	BRONZE	BRONZE	cpd01310	MolGpKa, sites chemically distinct	3	3	2	0	7.799	0.455
rxn04527	R06695	BRONZE	BRONZE	BRONZE	cpd09186	MolGpKa, sites chemically distinct	3	3	2	0	6.834	2.960
rxn04531	R06699	BRONZE-COLLAPSED	BRONZE-COLLAPSED	BRONZE	cpd09119	tautomer match refused; MolGpKa fallback	3	3	3	1	-26.060	2.483
rxn04539	rxn04539	BRONZE	BRONZE	BRONZE	cpd09120	MolGpKa, sites chemically distinct	4	4	2	1	-3.478	0.857
rxn04542	rxn04542	BRONZE	BRONZE	BRONZE	cpd09121	MolGpKa, sites chemically distinct	4	4	2	1	-3.749	0.857
rxn04543	rxn04543	BRONZE	BRONZE	BRONZE	cpd09122	MolGpKa, sites chemically distinct	4	4	2	1	-3.730	0.857
rxn04547	S-adenosyl-L-methionine:4-demethylpremithramycinone O-methyl	BRONZE	BRONZE	BRONZE	cpd09135	MolGpKa, sites chemically distinct	5	5	3	1	16.100	23901.678
rxn04549	dTDP-D-oliose:premithramycin-A1 D-oliosyltransferase	BRONZE	BRONZE	BRONZE	cpd09137	MolGpKa, sites chemically distinct	4	4	2	1	-4.978	0.610
rxn04550	R06718	BRONZE	BRONZE	BRONZE	cpd09138	MolGpKa, sites chemically distinct	4	4	2	1	-4.998	0.610
rxn04559	cocaine benzoylhydrolase	SILVER	SILVER	GOLD	cpd00153	ChemAxon ladder from pinned cache	5	5	2	1	-6.159	0.612
rxn04560	R06729	GOLD	GOLD	GOLD	cpd00001	no ionizable groups	5	5	1	1	-1.824	0.922
rxn04561	R06730	GOLD	GOLD	GOLD	cpd07744	measured macroscopic ladder (iupac)	2	2	1	1	0.000	0.000
rxn04564	R06733	BRONZE	BRONZE	SILVER	cpd00580	MolGpKa, sites chemically distinct	3	3	2	0	-23.019	23904.538
rxn04565	pseudotropine:NADP+ 3-oxidoreductase	BRONZE	BRONZE	SILVER	cpd00580	MolGpKa, sites chemically distinct	5	5	3	1	-0.299	0.402
rxn04571	primary-amine oxidase	BRONZE	BRONZE	SILVER	cpd00025	MolGpKa, sites chemically distinct	6	6	3	1	-22.390	1.159
rxn04572	rxn04572	BRONZE	BRONZE	SILVER	cpd03691	MolGpKa, sites chemically distinct	3	3	2	1	0.969	2.288
rxn04575	rxn04575	BRONZE	BRONZE	SILVER	cpd01035	MolGpKa, sites chemically distinct	3	3	3	1	2.083	1.003
rxn04577	R06750	BRONZE	BRONZE	SILVER	cpd02113	MolGpKa, sites chemically distinct	5	5	3	1	5.130	23901.759
rxn04578	R06757	BRONZE	BRONZE	SILVER	cpd09207	MolGpKa, sites chemically distinct	5	5	3	1	-29.862	1.478
rxn04579	R06758	BRONZE	BRONZE	SILVER	cpd09207	MolGpKa, sites chemically distinct	4	4	2	1	-106.934	1.083
rxn04580	R06759	BRONZE	BRONZE	SILVER	cpd09208	MolGpKa, sites chemically distinct	5	5	2	1	-116.291	1.079
rxn04584	R06767	BRONZE	BRONZE	BRONZE	cpd09222	MolGpKa, sites chemically distinct	7	7	3	1	-8.519	47803.576
rxn04585	R06769	BRONZE-COLLAPSED	BRONZE-COLLAPSED	BRONZE	cpd09211	MolGpKa with symmetry collapse	7	7	4	1	-11.032	0.744
rxn04586	R06770	BRONZE	BRONZE	BRONZE	cpd09217	MolGpKa, sites chemically distinct	4	4	2	1	-20.893	0.638
rxn04587	R06771	BRONZE	BRONZE	SILVER	cpd09218	MolGpKa, sites chemically distinct	5	5	3	1	16.077	23901.678
rxn04588	R06772	BRONZE-COLLAPSED	BRONZE-COLLAPSED	BRONZE	cpd03032	MolGpKa with symmetry collapse	4	4	3	1	71.796	23901.708
rxn04589	R06773	BRONZE	BRONZE	BRONZE	cpd09214	MolGpKa, sites chemically distinct	4	4	2	1	-21.353	0.638
rxn04590	R06774	BRONZE	BRONZE	SILVER	cpd09215	MolGpKa, sites chemically distinct	5	5	3	1	16.075	23901.678
rxn04591	rxn04591	BRONZE-COLLAPSED	BRONZE	BRONZE	cpd09213	MolGpKa with symmetry collapse	5	5	3	1	-2.316	0.739
rxn04592	R06777	BRONZE-COLLAPSED	BRONZE-COLLAPSED	BRONZE	cpd09211	MolGpKa with symmetry collapse	7	7	4	1	-10.828	0.744
rxn04593	R06778	BRONZE-COLLAPSED	BRONZE-COLLAPSED	BRONZE	cpd09211	MolGpKa with symmetry collapse	7	7	4	1	-11.709	0.744
rxn04597	3-phenylpropanoate,NADH:oxygen oxidoreductase (2,3-hydroxyla	BRONZE	BRONZE	SILVER	cpd08405	MolGpKa, sites chemically distinct	6	6	3	1	-85.165	1.790
rxn04598	trans-cinnamate,NADH:oxygen oxidoreductase (2,3-hydroxylatin	BRONZE	BRONZE	SILVER	cpd09253	MolGpKa, sites chemically distinct	6	6	3	1	-83.938	1.979
