seed_id	name	step	pka_value	kind	source	temperature_C	ionic_strength	assessment	n_measurements	spread	citation	remarks
cpd00002	ATP	alberty_step1	7.5998	macroscopic	alberty	25	0 (I=0)	derived			R. A. Alberty, Thermodynamics of Biochemical Reactions, Wiley, 2003, doi:10.1002/0471332607 (BasicBiochemData3 package; ladder derived from tabulated species dfG by pKa = [dfG(deprot) - dfG(prot)] / RT ln10, I = 0)	Alberty tabulates only species significant between roughly pH 5 and 9
cpd00002	ATP	alberty_step2	4.6776	macroscopic	alberty	25	0 (I=0)	derived			R. A. Alberty, Thermodynamics of Biochemical Reactions, Wiley, 2003, doi:10.1002/0471332607 (BasicBiochemData3 package; ladder derived from tabulated species dfG by pKa = [dfG(deprot) - dfG(prot)] / RT ln10, I = 0)	Alberty tabulates only species significant between roughly pH 5 and 9
cpd00009	Phosphate	alberty_step1	7.2179	macroscopic	alberty	25	0 (I=0)	derived			R. A. Alberty, Thermodynamics of Biochemical Reactions, Wiley, 2003, doi:10.1002/0471332607 (BasicBiochemData3 package; ladder derived from tabulated species dfG by pKa = [dfG(deprot) - dfG(prot)] / RT ln10, I = 0)	Alberty tabulates only species significant between roughly pH 5 and 9
cpd00008	ADP	alberty_step1	7.1776	macroscopic	alberty	25	0 (I=0)	derived			R. A. Alberty, Thermodynamics of Biochemical Reactions, Wiley, 2003, doi:10.1002/0471332607 (BasicBiochemData3 package; ladder derived from tabulated species dfG by pKa = [dfG(deprot) - dfG(prot)] / RT ln10, I = 0)	Alberty tabulates only species significant between roughly pH 5 and 9
cpd00008	ADP	alberty_step2	4.3588	macroscopic	alberty	25	0 (I=0)	derived			R. A. Alberty, Thermodynamics of Biochemical Reactions, Wiley, 2003, doi:10.1002/0471332607 (BasicBiochemData3 package; ladder derived from tabulated species dfG by pKa = [dfG(deprot) - dfG(prot)] / RT ln10, I = 0)	Alberty tabulates only species significant between roughly pH 5 and 9
cpd00010	CoA	alberty_step1	8.3795	macroscopic	alberty	25	0 (I=0)	derived			R. A. Alberty, Thermodynamics of Biochemical Reactions, Wiley, 2003, doi:10.1002/0471332607 (BasicBiochemData3 package; ladder derived from tabulated species dfG by pKa = [dfG(deprot) - dfG(prot)] / RT ln10, I = 0)	Alberty tabulates only species significant between roughly pH 5 and 9
cpd00012	PPi	alberty_step1	9.4604	macroscopic	alberty	25	0 (I=0)	derived			R. A. Alberty, Thermodynamics of Biochemical Reactions, Wiley, 2003, doi:10.1002/0471332607 (BasicBiochemData3 package; ladder derived from tabulated species dfG by pKa = [dfG(deprot) - dfG(prot)] / RT ln10, I = 0)	Alberty tabulates only species significant between roughly pH 5 and 9
cpd00012	PPi	alberty_step2	6.7186	macroscopic	alberty	25	0 (I=0)	derived			R. A. Alberty, Thermodynamics of Biochemical Reactions, Wiley, 2003, doi:10.1002/0471332607 (BasicBiochemData3 package; ladder derived from tabulated species dfG by pKa = [dfG(deprot) - dfG(prot)] / RT ln10, I = 0)	Alberty tabulates only species significant between roughly pH 5 and 9
cpd00012	PPi	alberty_step3	2.2600	macroscopic	alberty	25	0 (I=0)	derived			R. A. Alberty, Thermodynamics of Biochemical Reactions, Wiley, 2003, doi:10.1002/0471332607 (BasicBiochemData3 package; ladder derived from tabulated species dfG by pKa = [dfG(deprot) - dfG(prot)] / RT ln10, I = 0)	Alberty tabulates only species significant between roughly pH 5 and 9
cpd00012	PPi	alberty_step4	0.8304	macroscopic	alberty	25	0 (I=0)	derived			R. A. Alberty, Thermodynamics of Biochemical Reactions, Wiley, 2003, doi:10.1002/0471332607 (BasicBiochemData3 package; ladder derived from tabulated species dfG by pKa = [dfG(deprot) - dfG(prot)] / RT ln10, I = 0)	Alberty tabulates only species significant between roughly pH 5 and 9
cpd00018	AMP	alberty_step1	6.7291	macroscopic	alberty	25	0 (I=0)	derived			R. A. Alberty, Thermodynamics of Biochemical Reactions, Wiley, 2003, doi:10.1002/0471332607 (BasicBiochemData3 package; ladder derived from tabulated species dfG by pKa = [dfG(deprot) - dfG(prot)] / RT ln10, I = 0)	Alberty tabulates only species significant between roughly pH 5 and 9
cpd00018	AMP	alberty_step2	3.9891	macroscopic	alberty	25	0 (I=0)	derived			R. A. Alberty, Thermodynamics of Biochemical Reactions, Wiley, 2003, doi:10.1002/0471332607 (BasicBiochemData3 package; ladder derived from tabulated species dfG by pKa = [dfG(deprot) - dfG(prot)] / RT ln10, I = 0)	Alberty tabulates only species significant between roughly pH 5 and 9
cpd00036	Succinate	alberty_step1	5.6377	macroscopic	alberty	25	0 (I=0)	derived			R. A. Alberty, Thermodynamics of Biochemical Reactions, Wiley, 2003, doi:10.1002/0471332607 (BasicBiochemData3 package; ladder derived from tabulated species dfG by pKa = [dfG(deprot) - dfG(prot)] / RT ln10, I = 0)	Alberty tabulates only species significant between roughly pH 5 and 9
cpd00036	Succinate	alberty_step2	4.2081	macroscopic	alberty	25	0 (I=0)	derived			R. A. Alberty, Thermodynamics of Biochemical Reactions, Wiley, 2003, doi:10.1002/0471332607 (BasicBiochemData3 package; ladder derived from tabulated species dfG by pKa = [dfG(deprot) - dfG(prot)] / RT ln10, I = 0)	Alberty tabulates only species significant between roughly pH 5 and 9
cpd00061	Phosphoenolpyruvate	alberty_step1	7.0007	macroscopic	alberty	25	0 (I=0)	derived			R. A. Alberty, Thermodynamics of Biochemical Reactions, Wiley, 2003, doi:10.1002/0471332607 (BasicBiochemData3 package; ladder derived from tabulated species dfG by pKa = [dfG(deprot) - dfG(prot)] / RT ln10, I = 0)	Alberty tabulates only species significant between roughly pH 5 and 9
