# Reactions whose energy moved more than 10.0 kcal/mol between the
# reference and shipped builds. Treat every one as LOW CONFIDENCE.
#
# RISK MARKER, NOT A VERDICT:
#   unbalanced_enumeration  a compound's pKa source was substituted while a
#       partner carrying sites above pH 7 was not, so spurious sites no longer
#       cancel (~9.55 kcal/mol per unbalanced proton). rxn08713 satisfies this
#       and still lands on the independently-derived Marvin-era value, so the
#       signature over-selects.
#   large_shift_mechanism_unidentified  moved without that signature. Includes
#       rxn08789, which moved TOWARD the Marvin-era value and is a correction.
#
# The reference value is NOT a safe fallback: there both partners carried the
# same spurious sites and the errors cancelled, which is not accuracy.
# NONE of these reactions has a TECRDB match, so neither value can be checked
# against experiment.
#
# shipped:   /scratch/seaver/Claude_Projects/eQuilibrator/data/cache_final/compounds.sqlite
# reference: /scratch/seaver/Claude_Projects/eQuilibrator/data/prev_20260903/cache_final/compounds.sqlite
reaction_id	name	dg_reference_kcal	dg_shipped_kcal	shift_kcal	net_site_change	flag	compounds_resubstituted	partners_left_unchanged	largest_partner	largest_partner_name
rxn31420	R_Malonyl_CoA_4_Coumaroyl_CoA_malonyltransferase_cyclizing_	-68.209	-8.218	59.99	-1	large_shift_mechanism_unidentified	cpd00192;cpd03969			
rxn08410	enterobacterial common antigen polymerase (periplasm)	-59.515	-3.590	55.92	-58	large_shift_mechanism_unidentified	cpd15456;cpd15458;cpd15582			
rxn31542	R_malonyl_CoA_feruloyl_CoA_malonyltransferase__cyclizing_	-78.641	-22.802	55.84	-1	large_shift_mechanism_unidentified	cpd00321;cpd15111			
rxn42298		-53.885	-2.569	51.32	-76	unbalanced_enumeration	cpd03831;cpd26544;cpd35738	cpd00008	cpd00008	ADP
rxn59836		-53.179	-3.046	50.13	-105	unbalanced_enumeration	cpd47237;cpd47416	cpd00014;cpd30770	cpd30770	UDP-D-galactopyranose
rxn58758		-50.539	-2.747	47.79	-98	unbalanced_enumeration	cpd47336;cpd47416	cpd00014;cpd00037	cpd00037	UDP-N-acetylglucosamine
rxn08954	3-deoxy-D-manno-octulosonic acid transferase III (LPS core b	-102.362	-58.472	43.89	-50	unbalanced_enumeration	cpd02546;cpd15492;cpd15550	cpd00046	cpd00046	CMP
rxn21617	RXN-11301.c	-47.836	-4.046	43.79	-35	large_shift_mechanism_unidentified	cpd23184;cpd23317			
rxn26334	peptidoglycan glycosyltransferase	-47.836	-4.046	43.79	-35	large_shift_mechanism_unidentified	cpd22495;cpd23308			
rxn26335	peptidoglycan glycosyltransferase	-47.836	-4.046	43.79	-35	large_shift_mechanism_unidentified	cpd22495;cpd23308			
rxn08619	glucosyltransferase II (LPS core synthesis)	-46.365	-3.322	43.04	-69	unbalanced_enumeration	cpd15469;cpd15475	cpd00014;cpd00026	cpd00026	UDP-glucose
rxn08620	glucosyltransferase III (LPS core synthesis)	-45.881	-3.322	42.56	-75	unbalanced_enumeration	cpd15475;cpd15477	cpd00014;cpd00026	cpd00026	UDP-glucose
rxn55309	62696	-203.932	-245.134	-41.20	5	large_shift_mechanism_unidentified	cpd07113			
