MS ID	Old MS ID	External ID	Source
cpd12083	cpd12083	'Activated' tRNA	name
cpd26403		((1R)-1-((2S)-2-Aminopropionamido)ethyl)phosphonic acid	name
cpd08680		((1R,4aR,4bR,10aR)-7-isopropyl-1,4a-dimethyl-1,2,3,4,4a,4b,5,6,10,10a-decahydrophenanthren-1-yl)methanol	name
cpd12837	cpd12837	((R)-3-Hydroxybutanoyl)(n-2)	name
cpd06629		()-(2R,5S,10R)-2-isopropenyl-6,10-dimethylspiro[4.5]dec-6-en-8-one	name
cpd00602		()-bornan-2-one	name
cpd06629		()-solavetivone	name
cpd07536	cpd07536	(+)(-)-trans-Dehydrodiisoeugenol	name
cpd21463		(+)-(1R)-sabinene	name
cpd14737	cpd14737	(+)-(1R,2R)-1,2-Diphenylethane-1,2-diol	name
cpd14737		(+)-(1R,2R)-1,2-diphenylethane-1,2-diol	name
	cpd04856	(+)-(1R,2S)-cis-3,4-Dihydroxy-3,4-dihyd	name
cpd22573		(+)-(1R,4R)-limonene-1,2- epoxide	name
cpd24546		(+)-(1S)-alpha-thujene	name
cpd22572		(+)-(1S,4R)-limonene-1,2- epoxide	name
cpd08244		(+)-(1S,4R)-menthone	name
cpd24169		(+)-(3S)-linalyl diphosphate	name
cpd04856	cpd04856	(+)-(3S,4R)-cis-3,4-Dihydroxy-3,4-dihydrofluorene	name
cpd04856		(+)-(3S,4R)-cis-3,4-dihydroxy-3,4-dihydrofluorene	name
cpd03638	cpd03638	(+)-(4R)-Limonene	name
cpd06792		(+)-(4R)-alpha-terpineol	name
cpd03638		(+)-(4R)-limonene	name
cpd03638	cpd03638	(+)-(R)-Limonene	name
cpd14862		(+)-(R)-gemacrene A	name
cpd14862		(+)-(R)-germacrene A	name
cpd19107	cpd01220	(+)-(S)-Carvone	name
cpd19107		(+)-(S)-carvone	name
cpd23117		(+)-(alphaR,betaS)-GGE	name
cpd23117		(+)-(alphaR,betaS)-guaiacylglycerol-beta-guaiacyl ether	name
cpd23119		(+)-(alphaS,betaS)-GGE	name
cpd23119		(+)-(alphaS,betaS)-guaiacylglycerol-beta-guaiacyl ether	name
cpd23120		(+)-(betaS)-MPHPV	name
cpd23120		(+)-(betaS)-alpha-(2-methoxyphenoxy)-beta-hydroxypropiovanillone	name
cpd11154	cpd11154	(+)-12-(2-Cyclopenten-1-yl)-2-dodecanone	name
cpd01704	cpd01704	(+)-13alpha-Hydroxylupanine	name
cpd02565	cpd02565	(+)-13alpha-Tigloyloxylupanine	name
cpd12527	cpd12527	(+)-2,3-Dienoyl fatty acyl thioesters	name
cpd09035	cpd09035	(+)-2,7-Dideoxypancratistatin	name
cpd24547		(+)-2-carene	name
cpd22750		(+)-2-chloromuconolactone	name
cpd11189		(+)-2-dimethylallyl-3,6a,9-trihydroxypterocarpan	name
cpd23724		(+)-2-epi-prezizaene	name
cpd06115		(+)-3,11-Dihydro-3,5-dimethyl-3-(4-methyl-3-pentenyl)pyrano[3,2-a]carbazole	name
cpd10585	cpd10585	(+)-3-(6-Hydroxy-2-naphthyl)-2,2-dimethylpentanoic acid	name
cpd08236	cpd08236	(+)-3-Carene	name
cpd08236		(+)-3-carene	name
cpd02753		(+)-4-chloromuconolactone	name
cpd11190		(+)-4-dimethylallyl-3,6alpha,9-trihydroxypterocarpan	name
cpd02536		(+)-4-hydroxy-4-carboxymethylisocrotonolactone	name
cpd20956		(+)-5-Epiaristolochene	name
cpd22749		(+)-5-chloromuconolactone	name
cpd30776		(+)-5-deoxystrigol	name
cpd20956		(+)-5-epi-Aristolochene	name
cpd20956		(+)-5-epi-aristolochene	name
cpd02180		(+)-5-exo-hydroxycamphor	name
cpd15181		(+)-5-fluoromuconolactone	name
cpd01894		(+)-5-oxo-1,2-campholide	name
cpd24211		(+)-6-endo-hydroxycamphor	name
cpd24281		(+)-6-exo-hydroxycamphor	name
cpd14947	cpd14947	(+)-6a-Hydroxymaackiain	name
cpd14947		(+)-6a-hydroxymaackiain	name
cpd15033	cpd15033	(+)-7-Isojasmonic acid	name
cpd15055	cpd15055	(+)-7-Isojasmonic acid CoA	name
cpd15034	cpd15034	(+)-7-Isomethyljasmonate	name
cpd21410		(+)-7-epi-Sesquithujene	name
cpd22920		(+)-7-iso-JA-L-Ile	name
cpd15033		(+)-7-iso-jasmonate	name
cpd22920		(+)-7-iso-jasmonate-L-isoleucine	name
cpd15033		(+)-7-iso-jasmonic acid	name
cpd22920		(+)-7-iso-jasmonic acid-L-isoleucine	name
cpd22920		(+)-7-iso-jasmonic acid-L-isoleucine conjugate	name
cpd22920		(+)-7-iso-jasmonoyl-L-isoleucine	name
cpd22920		(+)-7-iso-jasmonyl-L-isoleucine	name
cpd06828	cpd06828	(+)-8-Hydroxycalamenene	name
cpd14694		(+)-A-ABA glucose ester	name
cpd03624		(+)-ABA	name
cpd14694		(+)-ABA glucose ester	name
cpd03624	cpd03624	(+)-Abscisic acid	name
cpd06219	cpd06219	(+)-Adlumine	name
cpd01858	cpd01858	(+)-Ampelopsin	name
cpd01370	cpd01370	(+)-Aristolochene	name
cpd00717	cpd00717	(+)-Aromadendrin	name
cpd06433		(+)-Arteannuin	name
cpd19298		(+)-Aschantin	name
cpd08019	cpd08019	(+)-Atherospermoline	name
cpd06247	cpd06247	(+)-Bebeerine	name
cpd12242	cpd12242	(+)-Bisdechlorogeodin	name
cpd01943	cpd01943	(+)-Bornane-2,5-dione	name
cpd01218	cpd01218	(+)-Borneol	name
cpd02038		(+)-Bornyl diphosphate	name
cpd02038	cpd02038	(+)-Bornyl-diphosphate	name
cpd07433		(+)-Burseran	name
cpd03745	cpd03745	(+)-Camphene	name
cpd00601	cpd00601	(+)-Camphor	name
cpd08236		(+)-Car-3-ene	name
cpd19107	cpd01220	(+)-Carvone	name
cpd21213		(+)-Caryolan-1-ol	name
cpd06284	cpd06284	(+)-Cassythicine	name
cpd03970	cpd03970	(+)-Catechin	name
cpd08691	cpd08691	(+)-Cembrene	name
cpd06734	cpd08248	(+)-Chrysanthenone	name
cpd20955		(+)-Columbianetin	name
cpd03745	cpd03745	(+)-Comphene	name
cpd06269		(+)-Confertiflorin	name
cpd03933	cpd03933	(+)-Coniine	name
cpd19111	cpd03629	(+)-Copalyl diphosphate	name
cpd11207	cpd11207	(+)-Corydaline	name
cpd06277		(+)-Costunolide	name
cpd20988		(+)-Cubenene	name
cpd19297		(+)-Demethoxyaschantin	name
cpd03788	cpd03788	(+)-Demethylcoclaurine	name
cpd08267		(+)-Dihydrocarveol	name
cpd00717	cpd00717	(+)-Dihydrokaempferol	name
cpd01858	cpd01858	(+)-Dihydromyricetin	name
cpd01135	cpd01135	(+)-Dihydroquercetin	name
cpd07477	cpd07477	(+)-Elaeocarpine	name
cpd19226		(+)-Elatol	name
cpd06620	cpd06620	(+)-Epicatechin	name
cpd20991		(+)-Epicubenol	name
cpd07447	cpd07447	(+)-Eudesmin	name
cpd17577		(+)-Falcarinol	name
cpd06749		(+)-Fenchone	name
cpd17624	cpd17624	(+)-Galanolactone	name
cpd07502	cpd07502	(+)-Galbacin	name
cpd08909	cpd08909	(+)-Gallocatechin	name
cpd14862	cpd14862	(+)-Germacrene A	name
cpd20872		(+)-Germacrene D	name
cpd05434	cpd05434	(+)-Haemanthamine	name
cpd09621	cpd09621	(+)-Hydrastine	name
cpd03689	cpd03689	(+)-Hygrine	name
cpd12838	cpd12838	(+)-Inositol	name
cpd06677	cpd06677	(+)-Iridodial	name
cpd06436	cpd06436	(+)-Isoboldine	name
cpd08749	cpd08749	(+)-Isomenthone	name
cpd21490		(+)-Isothujone	name
cpd05181		(+)-L-Alliin	name
cpd07233	cpd07233	(+)-Latifoline	name
cpd03638	cpd03638	(+)-Limonene	name
cpd08243	cpd08243	(+)-Linalool	name
cpd06470	cpd06470	(+)-Luguine	name
cpd07658	cpd07658	(+)-Lupanine	name
cpd14946	cpd14946	(+)-Maackiain	name
cpd06171	cpd06171	(+)-Marmesin	name
cpd06484	cpd06484	(+)-Mecambroline	name
cpd01193	cpd01193	(+)-Medicarpin	name
cpd18008	cpd18008	(+)-Menthofuran	name
cpd08244	cpd08244	(+)-Menthone	name
cpd10585	cpd10585	(+)-Methallenestrilphenol	name
cpd19162	cpd02536	(+)-Muconolactone	name
cpd07048	cpd07048	(+)-N-Methylconiine	name
cpd17900	cpd17900	(+)-N-methylpseudoephedrine	name
cpd06682	cpd06682	(+)-Neomatatabiol	name
cpd00433	cpd00433	(+)-Neomenthol	name
cpd02562	cpd02562	(+)-Neomenthyl O-beta-D-glucoside	name
cpd06583	cpd06583	(+)-Ngaione	name
cpd01564	cpd01564	(+)-Norephedrine	name
cpd08215	cpd08215	(+)-Nornicotine	name
cpd05215	cpd05215	(+)-Norpseudoephedrine	name
cpd06485	cpd06485	(+)-O-Methylthalicberine	name
cpd03923		(+)-Obamegine	name
cpd03534	cpd03534	(+)-Panthenol	name
cpd06055	cpd06055	(+)-Pimaric acid	name
cpd12716	cpd12716	(+)-Pinoresinol	name
cpd06775	cpd06775	(+)-Piperitone	name
cpd09033	cpd09033	(+)-Plicamine	name
cpd06506	cpd06506	(+)-Pronuciferine	name
cpd07056	cpd07056	(+)-Prosopinine	name
cpd00488	cpd00488	(+)-Prostaglandin F2a	name
cpd01785	cpd01785	(+)-Pseudoephedrine	name
cpd06783	cpd06783	(+)-Pulegone	name
cpd05174	cpd05174	(+)-Quercitol	name
cpd03937		(+)-Quinidine	name
cpd01426	cpd01426	(+)-Reticuline	name
cpd03624		(+)-S-ABA	name
