external_id	smiles	formula	charge
C00001	O	H2O	0
C00002	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O	C10H16N5O13P3	0
C00003	NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1	C21H28N7O14P2	1
C00004	NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1	C21H29N7O14P2	0
C00005	NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1	C21H30N7O17P3	0
C00006	NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)(O)O)[C@@H]3O)[C@@H](O)[C@H]2O)c1	C21H29N7O17P3	1
C00007	O=O	O2	0
C00008	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]1O	C10H15N5O10P2	0
C00009	O=P(O)(O)O	H3O4P	0
C00010	CC(C)(COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O)[C@@H](O)C(=O)NCCC(=O)NCCS	C21H36N7O16P3S	0
C00011	O=C=O	CO2	0
C00013	O=P(O)(O)OP(=O)(O)O	H4O7P2	0
C00014	N	H3N	0
C00015	O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1	C9H14N2O12P2	0
C00016	Cc1cc2nc3c(=O)[nH]c(=O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)(O)OP(=O)(O)OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)c2cc1C	C27H33N9O15P2	0
C00018	Cc1ncc(COP(=O)(O)O)c(C=O)c1O	C8H10NO6P	0
C00019	C[S+](CC[C@H](N)C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O	C15H22N6O5S	0
C00020	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)O)[C@@H](O)[C@H]1O	C10H14N5O7P	0
C00021	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H](N)C(=O)O)[C@@H](O)[C@H]1O	C14H20N6O5S	0
C00022	CC(=O)C(=O)O	C3H4O3	0
C00023	[Fe]	Fe	0
C00024	CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O	C23H38N7O17P3S	0
C00025	N[C@@H](CCC(=O)O)C(=O)O	C5H9NO4	0
C00026	O=C(O)CCC(=O)C(=O)O	C5H6O5	0
C00027	OO	H2O2	0
C00029	O=c1ccn([C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1	C15H24N2O17P2	0
C00031	OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O	C6H12O6	0
C00032	C=CC1=C(C)/C2=C/c3c(C=C)c(C)c4n3[Fe]n3/c(c(C)c(CCC(=O)O)/c3=C/C3=N/C(=C\4)C(C)=C3CCC(=O)O)=C\C1=N2	C34H32FeN4O4	0
C00033	CC(=O)O	C2H4O2	0
C00034	[Mn]	Mn	0
C00035	Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)(O)OP(=O)(O)O)[C@@H](O)[C@H]2O)c(=O)[nH]1	C10H15N5O11P2	0
C00036	O=C(O)CC(=O)C(=O)O	C4H4O5	0
C00037	NCC(=O)O	C2H5NO2	0
C00038	[Zn+2]	Zn	2
C00040	*C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O	C22H35N7O17P3RS	0
C00041	C[C@H](N)C(=O)O	C3H7NO2	0
