C00001	O
C00002	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]1O
C00003	NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1
C00004	NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1
C00005	NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1
C00006	NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1
C00007	O=O
C00008	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]1O
C00009	O=P([O-])([O-])O
C00010	CC(C)(COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-])[C@@H](O)C(=O)NCCC(=O)NCCS
C00011	O=C=O
C00012	*C([NH3+])C(=O)NC(*)C(=O)[O-]
C00013	O=P([O-])([O-])OP(=O)([O-])O
C00014	[NH4+]
C00015	O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]2O)c(=O)[nH]1
C00016	Cc1cc2nc3c(=O)nc(O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)c2cc1C
C00017	*[C@H]([NH3+])C(=O)N[C@@H](*)C(=O)[O-]
C00018	Cc1ncc(COP(=O)([O-])[O-])c(C=O)c1O
C00019	C[S+](CC[C@H]([NH3+])C(=O)[O-])C[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1O
C00020	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]1O
C00021	Nc1ncnc2c1ncn2[C@@H]1O[C@H](CSCC[C@H]([NH3+])C(=O)[O-])[C@@H](O)[C@H]1O
C00022	CC(=O)C(=O)[O-]
C00023	[Fe]
C00024	CC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
C00025	[NH3+][C@@H](CCC(=O)[O-])C(=O)[O-]
C00026	O=C([O-])CCC(=O)C(=O)[O-]
C00027	OO
C00029	O=c1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1
C00031	OC[C@H]1OC(O)[C@H](O)[C@@H](O)[C@@H]1O
C00032	C=CC1=C(C)C2=N/C1=C\c1c(C)c(CCC(=O)[O-])c3n1[Fe]n1/c(c(C)c(C=C)/c1=C/2)=C\C1=N/C(=C\3)C(CCC(=O)[O-])=C1C
C00033	CC(=O)[O-]
C00034	[Mn]
C00035	Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]2O)c(=O)[nH]1
C00036	O=C([O-])CC(=O)C(=O)[O-]
C00037	[NH3+]CC(=O)[O-]
C00038	[Zn+2]
C00039	*[C@H]1C[C@H](O)[C@@H](COP(=O)([O-])O[C@H]2C[C@H](*)O[C@@H]2COP(=O)([O-])O[C@H]2C[C@H](*)O[C@@H]2CO)O1
C00040	*C(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)([O-])OP(=O)([O-])OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)([O-])[O-]
C00041	C[C@H]([NH3+])C(=O)[O-]
C00042	O=C([O-])CCC(=O)[O-]
C00043	CC(=O)N[C@H]1[C@@H](OP(=O)([O-])OP(=O)([O-])OC[C@H]2O[C@@H](n3ccc(=O)[nH]c3=O)[C@H](O)[C@@H]2O)O[C@H](CO)[C@@H](O)[C@@H]1O
C00044	Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]2O)c(=O)[nH]1
C00045	*C([NH3+])C(=O)[O-]
C00046	*[C@@H]1O[C@H](COP(=O)([O-])O[C@H]2[C@@H](O)[C@H](*)O[C@@H]2COP(=O)([O-])O[C@H]2[C@@H](O)[C@H](*)O[C@@H]2COP(=O)([O-])[O-])[C@@H](O)[C@H]1O
C00047	[NH3+]CCCC[C@H]([NH3+])C(=O)[O-]
C00048	O=CC(=O)[O-]
C00049	[NH3+][C@@H](CC(=O)[O-])C(=O)[O-]
C00051	[NH3+][C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-]
C00052	O=c1ccn(C2O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@H](CO)[C@H](O)[C@H](O)[C@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1
C00053	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OS(=O)(=O)[O-])[C@@H](OP(=O)([O-])[O-])[C@H]1O
C00054	Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])[O-])[C@@H](OP(=O)([O-])[O-])[C@H]1O
C00055	Nc1ccn([C@@H]2O[C@H](COP(=O)([O-])[O-])[C@@H](O)[C@H]2O)c(=O)n1
C00058	O=C[O-]
C00059	O=S(=O)([O-])[O-]
C00060	*C(=O)[O-]
C00061	Cc1cc2nc3c(=O)nc(O)nc-3n(C[C@H](O)[C@H](O)[C@H](O)COP(=O)([O-])[O-])c2cc1C
C00062	NC(=[NH2+])NCCC[C@H]([NH3+])C(=O)[O-]
C00063	Nc1ccn([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]2O)c(=O)n1
C00064	NC(=O)CC[C@H]([NH3+])C(=O)[O-]
C00065	[NH3+][C@@H](CO)C(=O)[O-]
C00066	*[C@@H]1O[C@H](COP(=O)([O-])O[C@H]2[C@@H](O)[C@H](*)O[C@@H]2COP(=O)([O-])O[C@H]2[C@@H](O)[C@H](*)O[C@@H]2CO)[C@@H](O)[C@H]1O
C00067	C=O
C00068	Cc1ncc(C[n+]2csc(CCOP(=O)([O-])OP(=O)([O-])O)c2C)c(N)n1
C00069	*O
C00070	[Cu]
C00071	*C=O
C00072	O=C1O[C@H]([C@@H](O)CO)C(=O)C1O
C00073	CSCC[C@H]([NH3+])C(=O)[O-]
