external_id	smiles	formula	charge
+-5-oxo-1-2-campholide	CC1(C)[C@H]2CC(=O)O[C@]1(C)CC2=O	C10H14O3	0
+-bornyl-diphosphate	CC1(C)C2CCC1(C)C(OP(=O)([O-])OP(=O)([O-])[O-])C2	C10H17O7P2	-3
+-epi-beta-santalene	C=C1C2CCC(C2)C1(C)CCC=C(C)C	C15H24	0
--5-oxo-1-2-campholide	CC1(C)[C@@H]2CC(=O)O[C@@]1(C)CC2=O	C10H14O3	0
--6-HYDROXY-3-OXO-ALPHA-IONOL	CC1=CC(=O)CC(C)(C)[C@@]1(O)/C=C/[C@@H](C)O	C13H20O3	0
--6-HYDROXY-3-OXO-ALPHA-IONONE	CC(=O)/C=C/[C@]1(O)C(C)=CC(=O)CC1(C)C	C13H18O3	0
--ABIETADIENE	CC(C)C1=CC2=CC[C@H]3C(C)(C)CCC[C@]3(C)[C@H]2CC1	C20H32	0
--CAMPHOR	CC1(C)[C@H]2CC[C@]1(C)C(=O)C2	C10H16O	0
--EPHEDRINE	CN[C@@H](C)[C@H](O)c1ccccc1	C10H15NO	0
--MENTHOL	CC(C)[C@@H]1CC[C@@H](C)C[C@H]1O	C10H20O	0
--TRANS-ACENAPHTHENE-12-DIOL	O[C@H]1c2cccc3cccc(c23)[C@@H]1O	C12H10O2	0
--beta-santalene	C=C1C2CCC(C2)C1(C)CCC=C(C)C	C15H24	0
--bornyl-diphosphate	CC1(C)C2CCC1(C)C(OP(=O)([O-])OP(=O)([O-])[O-])C2	C10H17O7P2	-3
--epi-beta-santalene	C=C1C2CCC(C2)C1(C)CCC=C(C)C	C15H24	0
-CIS-SABINOL	C=C1[C@H](O)C[C@]2(C(C)C)C[C@H]12	C10H16O	0
-SABINONE	C=C1C(=O)C[C@]2(C(C)C)C[C@H]12	C10H14O	0
1-183-2-183-SN-GLYCEROL-PHOSPHOCHOLINE	CC/C=C\C/C=C\C/C=C\CCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCC/C=C\C/C=C\C/C=C\CC	C44H76NO8P	0
1-2-Beta-D-Glucans	*O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O*	C42H70O36R2	0
1-2-DIPALMITOYLPHOSPHATIDYLCHOLINE	CCCCCCCCCCCCCCCC(=O)OC[C@H](COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC	C40H80NO8P	0
1-2-Dialkylglycerols	*OC[C@H](CO)O*	C3H6O3R2	0
1-2-Diglycerides	*C(=O)OCC(CO)OC(*)=O	C5H6O5R2	0
1-2-Mannan	*O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O*	C18H30O16R2	0
1-2DHFLUORENE	Oc1ccc2c(c1O)Cc1ccccc1-2	C13H10O2	0
1-3-7-TRIMETHYLXANTHINE	Cn1c(=O)c2c(ncn2C)n(C)c1=O	C8H10N4O2	0
1-3-D-xylooligosaccharides	*O[C@@H]1OC[C@@H](O)[C@H](O[C@@H]2OC[C@@H](O)[C@H](O[C@@H]3OC[C@@H](O)[C@H](O*)[C@H]3O)[C@H]2O)[C@H]1O	C15H24O13R2	0
1-3-Diacylglycerols	*C(=O)OCC(O)COC(*)=O	C5H6O5R2	0
1-3-Diglycerides	*C(=O)OCC(O)COC(*)=O	C5H6O5R2	0
1-3-Fucan	*O[C@@H]1O[C@@H](C)[C@@H](O*)[C@@H](O[C@@H]2O[C@@H](C)[C@@H](O*)[C@@H](O[C@@H]3O[C@@H](C)[C@@H](O*)[C@@H](O[C@@H]4O[C@@H](C)[C@@H](O*)[C@@H](O*)[C@@H]4O*)[C@@H]3O*)[C@@H]2O*)[C@@H]1O*	C24H32O17R10	0
1-3-alpha-D-Glucans	*O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O[C@H]2O[C@H](CO)[C@@H](O)[C@H](O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O*)[C@H]3O)[C@H]2O)[C@H]1O	C18H30O16R2	0
1-3-beta-D-Glucans	*O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O*)[C@H]4O)[C@H]3O)[C@H]2O)[C@H]1O	C24H40O21R2	0
1-3-or-4-Fucan	*O[C@@H]1O[C@@H](C)[C@@H](O*)[C@@H](O[C@@H]2O[C@@H](C)[C@@H](O[C@@H]3O[C@@H](C)[C@@H](O*)[C@@H](O[C@@H]4O[C@@H](C)[C@@H](O[C@@H]5O[C@@H](C)[C@@H](O*)[C@@H](O*)[C@@H]5O*)[C@@H](O*)[C@@H]4O*)[C@@H]3O*)[C@@H](O*)[C@@H]2O*)[C@@H]1O*	C30H40O21R12	0
1-34-DIMETHYLPHENYLETHANE-12-DIOL	Cc1ccc(C(O)CO)cc1C	C10H14O2	0
