+-5-oxo-1-2-campholide	UDJVKSCOEHSXBZ-QUBYGPBYSA-N
+-bornyl-diphosphate	VZPAJODTZAAANV-UHFFFAOYSA-N
+-epi-beta-santalene	PGBNIHXXFQBCPU-UHFFFAOYSA-N
--5-oxo-1-2-campholide	UDJVKSCOEHSXBZ-LDWIPMOCSA-N
--6-HYDROXY-3-OXO-ALPHA-IONOL	KPQMCAKZRXOZLB-ZWNOBZJWSA-N
--6-HYDROXY-3-OXO-ALPHA-IONONE	JJRYPZMXNLLZFH-ZDUSSCGKSA-N
--ABIETADIENE	BBPXZLJCPUPNGH-CMKODMSKSA-N
--CAMPHOR	DSSYKIVIOFKYAU-OIBJUYFYSA-N
--EPHEDRINE	KWGRBVOPPLSCSI-WPRPVWTQSA-N
--MENTHOL	NOOLISFMXDJSKH-KXUCPTDWSA-N
--TRANS-ACENAPHTHENE-12-DIOL	ARGFAPRYULRPAN-RYUDHWBXSA-N
--beta-santalene	PGBNIHXXFQBCPU-UHFFFAOYSA-N
--bornyl-diphosphate	VZPAJODTZAAANV-UHFFFAOYSA-N
--epi-beta-santalene	PGBNIHXXFQBCPU-UHFFFAOYSA-N
-CIS-SABINOL	MDFQXBNVOAKNAY-BBBLOLIVSA-N
-SABINONE	PBLWMCQDAGOTPV-SCZZXKLOSA-N
1-183-2-183-SN-GLYCEROL-PHOSPHOCHOLINE	XXKFQTJOJZELMD-HUESYALOSA-O
1-2-DIPALMITOYLPHOSPHATIDYLCHOLINE	KILNVBDSWZSGLL-KXQOOQHDSA-O
1-2DHFLUORENE	ZQLOWXRDVDYRGA-UHFFFAOYSA-N
1-3-7-TRIMETHYLXANTHINE	RYYVLZVUVIJVGH-UHFFFAOYSA-N
1-34-DIMETHYLPHENYLETHANE-12-DIOL	KVNYZDJRJUBWOJ-UHFFFAOYSA-N
1-4-HYDROXYPHENYL-2-METHYLAMINOETHAN	YRCWQPVGYLYSOX-VIFPVBQESA-N
1-5-Galactofuran	MUGCJJOLCONNDA-LKMJDARDSA-N
1-5-PHOSPHORIBOSYLIMIDAZOLE-4-ACETATE	RDQUQBHPMYFYMX-PEBGCTIMSA-N
1-6-Galactofuran	LPTDBNUBCLDANU-XHLFOATBSA-N
1-7-DIMETHYLXANTHINE	QUNWUDVFRNGTCO-UHFFFAOYSA-N
1-AMINO-PROPAN-2-OL	HXKKHQJGJAFBHI-GSVOUGTGSA-N
1-AMINO-PROPAN-2-ONE-3-PHOSPHATE	HIQNVODXENYOFK-UHFFFAOYSA-N
1-CARBOXYCYCLOHEXANOYL-COA	UJHYDTBZLMASAV-AZKLLKNGSA-N
1-CARBOXYGLUTAMIC_ACID	UHBYWPGGCSDKFX-UHFFFAOYSA-N
1-CARBOXYVINYL-CARBOXYPHOSPHONATE	LPUFGTSGSICQBX-UHFFFAOYSA-N
1-CHLORO-24-DINITROBENZENE	VYZAHLCBVHPDDF-UHFFFAOYSA-N
1-DEOXY-D-ALTRO-HEPTULOSE-7-PHOSPHATE	OFUJTSRKMGEDCS-UHFFFAOYSA-N
1-DEOXYNOJIRIMYCIN	LXBIFEVIBLOUGU-JGWLITMVSA-N
1-DEOXYXYLONOJIRIMYCIN	RMCNETIHECSPMZ-SCDXWVJYSA-N
1-ETHYLADENINE	NLGIGNOZJPHHML-UHFFFAOYSA-N
1-HYDROXY-2-BETA-D-GLUCOSYLOXY-910-AN	QWAIGXQWLALUHA-UJXPUUNTSA-N
1-Hydroxy-2-oxolimonenes	JEQLRDRDFLXSHY-UHFFFAOYSA-N
1-INDANOL	YIAPLDFPUUJILH-UHFFFAOYSA-N
1-INDANONE	QNXSIUBBGPHDDE-UHFFFAOYSA-N
1-KESTOTRIOSE	VAWYEUIPHLMNNF-OESPXIITSA-N
1-KETO-2-METHYLVALERATE	PDGXJDXVGMHUIR-UJURSFKZSA-N
1-L-MYO-INOSITOL-1-P	INAPMGSXUVUWAF-PTQMNWPWSA-N
1-METHOXY-3-INDOLYLMETHYL-GLUCOSINOLATE	PKKMITFKYRCCOL-CMZRPVNOSA-N
1-METHYL-MYO-INOSITOL	DSCFFEYYQKSRSV-AGZHHQKVSA-N
1-METHYLADENINE	HPZMWTNATZPBIH-UHFFFAOYSA-N
1-METHYLADENOSINE	GFYLSDSUCHVORB-IOSLPCCCSA-N
1-O-GALLOYL-BETA-D-GLUCOSE	GDVRUDXLQBVIKP-HQHREHCSSA-N
1-O-SINAPOYL-BETA-D-GLUCOSE	XRKBRPFTFKKHEF-DGDBGZAXSA-N
1-O6-O-DIGALLOYL-BETA-D-GLUCOSE	LYGRISUQIZNHGM-IVABAYMNSA-N
1-PALMITOYLGLYCEROL-3-PHOSPHATE	YNDYKPRNFWPPFU-GOSISDBHSA-N
1-PYROLINE-2-CARBOXYLATE	ZDXJFUSXYWLEEO-UHFFFAOYSA-N
1-SINAPOYL-D-GLUCOSE	KKLWTTVTWMTNBP-AQFIFQLPSA-N
10-BETA-HYDROXYTAXA-42011-DIEN-5-ALPH	BMPKIAPYMZISRD-PQTWGXLHSA-N
10-DEACETYL-2-DEBENZOYLBACCATIN-III	KOBCBXYNEMBYLQ-BSRZNBELSA-N
10-DEACETYLBACCATIN-III	YUZYCUQHWJCONO-MVNHWLTQSA-N
10-DEOXYSARPAGINE	VXTDUGOBAOLMED-PQKPIAESSA-N
10-DESACETYLTAXUYUNNANIN-C	RAKDXBHPGCOTQG-SFPMZPPXSA-N
10-FORMYL-THF	AUFGTPPARQZWDO-YPMHNXCESA-N
10-Formyldihydrofolates	UXFQDXABPXWSTK-ZDUSSCGKSA-N
10-HDoHE	DDCYKEYDTGCKAS-UHFFFAOYSA-N
10-HETE	ZUOCVLADVGGUGH-UHFFFAOYSA-N
10-HPODE	YONQBPOWOZLKHS-UHFFFAOYSA-N
10-HYDROXYDECANOATE	YJCJVMMDTBEITC-UHFFFAOYSA-N
10-HYDROXYDIHYDROSANGUINARINE	UYMYPMGPARAZNU-UHFFFAOYSA-N
10-OXODECANOATE	FYURGFQVSMALOD-UHFFFAOYSA-N
1016-DIHYDROXYPALMITATE	VJZBXAQGWLMYMS-UHFFFAOYSA-N
11-12-DiHETE	DNPZYIPMAWRQQE-UHFFFAOYSA-N
11-12-DiHETrE	LRPPQRCHCPFBPE-UHFFFAOYSA-N
11-13-Eicosadienoates	UNFHLCKMPAPDAZ-UHFFFAOYSA-N
11-DCE	LGXVIGDEPROXKC-UHFFFAOYSA-N
11-DEOXY-CORTISOL	DELCAZYOYDRHIY-WMSSUOLPSA-N
11-DEOXYCORTICOSTERONE	JPWCNZGDJMCALE-YFWFAHHUSA-N
11-HDoHE	LTERDCBCHFKFRI-UHFFFAOYSA-N
11-HEPE	IDEHSDHMEMMYIR-UHFFFAOYSA-N
11-HETE	GCZRCCHPLVMMJE-UHFFFAOYSA-N
11-HODE	GIJZWHLTBMCTJV-UHFFFAOYSA-N
11-HPETE	PCGWZQXAGFGRTQ-UHFFFAOYSA-N
11-HPODE	PLWDMWAXENHPLY-UHFFFAOYSA-N
11-Hydroxyjasmonates	KLPBEXRQJBKPDM-UHFFFAOYSA-N
11-O-DEMETHYL-17-O-DEACETYLVINDOLINE	MNCVVTFLNVITRD-RLFCDOPRSA-N
110-DIHYDRO-110-DIHYDROXYFLUOREN-9-ONE	CZWUUOGKBHOBEC-UHFFFAOYSA-N
111-TRICHLOROETHANE	UOCLXMDMGBRAIB-UHFFFAOYSA-N
1112-TETRACHLOROETHANE	QVLAWKAXOMEXPM-UHFFFAOYSA-N
112-DIAMINOOCTANE	QFTYSVGGYOXFRQ-UHFFFAOYSA-N
112-TRICHLOROETHANE	UBOXGVDOUJQMTN-UHFFFAOYSA-N
1122-TETRACHLOROETHANE	QPFMBZIOSGYJDE-UHFFFAOYSA-N
12-20-diHETE	NUPDGIJXOAHJRW-UHFFFAOYSA-N
12-BETA-D-GLUCURONOSYL-D-GLUCURONATE	IMNADAQGVSDVMI-CCLDAEICSA-N
12-BIS-O-SINAPOYL-BETA-D-GLUCOSIDE	KQDOTXAUJBODDM-STUNQXDBSA-N
12-BIS34-DIMETHOXYPHENYLPROPANE-13-	MLKIARXZUAHWAV-UHFFFAOYSA-N
12-BIS4-HYDROXY-3-METHOXYPHENYLETHYLE	KQPXJFAYGYIGRU-ONEGZZNKSA-N
12-DEHYDRORETICULINIUM	RDGUQJYJHHVYPN-UHFFFAOYSA-O
12-DEHYDROTETRACYCLINE	GJJCZZNJTUKHAY-PCSQWDFXSA-N
12-DIBROMOETHANE	PAAZPARNPHGIKF-UHFFFAOYSA-N
12-DICHLOROETHANE	WSLDOOZREJYCGB-UHFFFAOYSA-N
12-DIDECANOYLGLYCEROL	GNSDEDOVXZDMKM-NRFANRHFSA-N
