external_id	type	kind	dH	dq	was_structure	was_formula	was_charge	now_structure	now_formula	now_charge
2-Hydroxyglutaryl-CoA-Dehydratases	InChI	H gained, no charge change	8	0	InChI=1S/4Fe.4H2S/h;;;;4*1H2/q;;;+1;;;;	H8Fe4S4	1	InChI=1S/4Fe.4S/q;;;+1;;;;	Fe4S4	1
3FE-4S	InChI	H gained, no charge change	8	0	InChI=1S/3Fe.4H2S/h;;;4*1H2	H8Fe3S4	0	InChI=1S/3Fe.4S	Fe3S4	0
4Fe-4S+1	InChI	H gained, no charge change	8	0	InChI=1S/4Fe.4H2S/h;;;;4*1H2/q;;;+1;;;;	H8Fe4S4	1	InChI=1S/4Fe.4S/q;;;+1;;;;	Fe4S4	1
4Fe-4S+2	InChI	H gained, no charge change	8	0	InChI=1S/4Fe.4H2S/h;;;;4*1H2/q;;2*+1;;;;	H8Fe4S4	2	InChI=1S/4Fe.4S/q;;2*+1;;;;	Fe4S4	2
4Fe-4S+3	InChI	H gained, no charge change	8	0	InChI=1S/4Fe.4H2S/h;;;;4*1H2/q;3*+1;;;;	H8Fe4S4	3	InChI=1S/4Fe.4S/q;3*+1;;;;	Fe4S4	3
ANTIMONITE	InChI	dH != dcharge	9	3	InChI=1S/3H2O.Sb.3H/h3*1H2;;;;	H9O3Sb	0	InChI=1S/3O.Sb/q3*-1;	O3Sb	-3
AS+5	SMILE	H lost, no charge change	-8	0	[As+5]	As	5	[AsH8+5]	H8As	5
Active-2-Hydroxyacyl-CoA-Dehydratases	InChI	H gained, no charge change	8	0	InChI=1S/4Fe.4H2S/h;;;;4*1H2/q;;;+1;;;;	H8Fe4S4	1	InChI=1S/4Fe.4S/q;;;+1;;;;	Fe4S4	1
CPD-11679	SMILE	H lost, no charge change	-4	0	CC1=C(CCC([O-])=O)C2=Cc3c4CCC(=O)O[Fe+3]567N8C9=CC%10=[N]5C(=Cc5c(CCC([O-])=O)c(C)c(C=C%11C(C=C)=C(C)C(C=C8C(C=C)=C9C)=[N]6%11)n75)C(CCC(=O)O[Fe+3]56=7[N]2=C1C=C1C(C)=C(C=C)C(=CC2=[N]5C(=Cc(c4C)n36)C(C=C)=C2C)[N]=71)=C%10C.CC1=C(CCC([O-])=O)C2=Cc3c4CCC(=O)O[Fe+3]567N8C9=CC%10=[N]5C(=Cc5c(CCC([O-])=O)c(C)c(C=C%11C(C=C)=C(C)C(C=C8C(C=C)=C9C)=[N]6%11)n75)C(CCC(=O)O[Fe+3]56=7[N]2=C1C=C1C(C)=C(C=C)C(=CC2=[N]5C(=Cc(c4C)n36)C(C=C)=C2C)[N]=71)=C%10C.CC1=C(CCC([O-])=O)C2=Cc3c4CCC(=O)O[Fe+3]567N8C9=CC%10=[N]5C(=Cc5c(CCC([O-])=O)c(C)c(C=C%11C(C=C)=C(C)C(C=C8C(C=C)=C9C)=[N]6%11)n75)C(CCC(=O)O[Fe+3]56=7[N]2=C1C=C1C(C)=C(C=C)C(=CC2=[N]5C(=Cc(c4C)n36)C(C=C)=C2C)[N]=71)=C%10C.CC1=C(CCC([O-])=O)C2=Cc3c4CCC(=O)O[Fe+3]567N8C9=CC%10=[N]5C(=Cc5c(CCC([O-])=O)c(C)c(C=C%11C(C=C)=C(C)C(C=C8C(C=C)=C9C)=[N]6%11)n75)C(CCC(=O)O[Fe+3]56=7[N]2=C1C=C1C(C)=C(C=C)C(=CC2=[N]5C(=Cc(c4C)n36)C(C=C)=C2C)[N]=71)=C%10C	C272H240Fe8N32O32	16	C=CC1=C(C)C2=CC3=[N]4[Fe+3]567=N2C1=CC1=[N]5C(=Cc2c(C)c(CCC(=O)O[Fe+3]589[N]%10=C%11C=c%12c(C=C)c(C)c(=CC%13=[N]8C(=Cc8c(CCC(=O)[O-])c(C)c(C=C%10C(=C%11C)C=C)n98)C(=C%13C)CCC(=O)O7)n5%12)c(C=C4C(=C3C)CCC(=O)[O-])n62)C(=C1C)C=C.C=CC1=C(C)C2=CC3=[N]4[Fe+3]567=N2C1=CC1=[N]5C(=Cc2c(C)c(CCC(=O)O[Fe+3]589[N]%10=C%11C=c%12c(C=C)c(C)c(=CC%13=[N]8C(=Cc8c(CCC(=O)[O-])c(C)c(C=C%10C(=C%11C)C=C)n98)C(=C%13C)CCC(=O)O7)n5%12)c(C=C4C(=C3C)CCC(=O)[O-])n62)C(=C1C)C=C.C=CC1=C(C)C2=CC3=[N]4[Fe+3]567=N2C1=CC1=[N]5C(=Cc2c(C)c(CCC(=O)O[Fe+3]589[N]%10=C%11C=c%12c(C=C)c(C)c(=CC%13=[N]8C(=Cc8c(CCC(=O)[O-])c(C)c(C=C%10C(=C%11C)C=C)n98)C(=C%13C)CCC(=O)O7)n5%12)c(C=C4C(=C3C)CCC(=O)[O-])n62)C(=C1C)C=C.C=CC1=C(C)C2=CC3=[N]4[Fe+3]567=N2C1=CC1=[N]5C(=Cc2c(C)c(CCC(=O)O[Fe+3]589[N]%10=C%11C=c%12c(C=C)c(C)c(=CC%13=[N]8C(=Cc8c(CCC(=O)[O-])c(C)c(C=C%10C(=C%11C)C=C)n98)C(=C%13C)CCC(=O)O7)n5%12)c(C=C4C(=C3C)CCC(=O)[O-])n62)C(=C1C)C=C	C272H244Fe8N32O32	16
CPD-11696	SMILE	charge changed, no H change	0	1	[O-]P([O-])(=O)O[C@H]1[C@@H](OP([O-])([O-])=O)[C@H](OP([O-])([O-])=O)[C@@H](O[P](=O)(=O)OP([O-])([O-])=O)[C@H](OP([O-])(=O)OP([O-])([O-])=O)[C@H]1OP([O-])([O-])=O	C6H6O30P8	-13	[C@@H]1([C@H]([C@@H]([C@H]([C@@H]([C@H]1OP(=O)([O-])[O-])OP(=O)([O-])OP(=O)([O-])[O-])O[P](=[O-])(=O)OP(=O)([O-])[O-])OP(=O)([O-])[O-])OP(=O)([O-])[O-])OP(=O)([O-])[O-]	C6H6O30P8	-14
