external_id	type	kind	dH	dq	was_structure	was_formula	was_charge	now_structure	now_formula	now_charge
C00087	InChI	dH != dcharge	1	-1	InChI=1S/H2S/h1H2/p-1	HS	-1	InChI=1S/S	S	0
C00087	SMILE	dH != dcharge	1	-1	[SH-]	HS	-1	[S]	S	0
C01529	InChI	dH != dcharge	1	-1	InChI=1S/H2Se/h1H2/p-1	HSe	-1	InChI=1S/Se	Se	0
C01529	SMILE	dH != dcharge	1	-1	[SeH-]	HSe	-1	[Se]	Se	0
C02202	InChI	charge changed, no H change	0	1	InChI=1S/C25H26N4O/c26-28-19-23(16-20-10-4-1-5-11-20)29-25(30)24(17-21-12-6-2-7-13-21)27-18-22-14-8-3-9-15-22/h1-15,23-24,27H,16-19H2/p+1/t23-,24+/m1/s1	C25H27N4O	1	InChI=1S/C25H27N4O/c26-28-19-23(16-20-10-4-1-5-11-20)29-25(30)24(17-21-12-6-2-7-13-21)27-18-22-14-8-3-9-15-22/h1-15,23-24,27H,16-19H2,(H,29,30)/t23-,24+/m1/s1	C25H27N4O	0
C02202	SMILE	charge changed, no H change	0	1	N#[N+]C[C@@H](Cc1ccccc1)NC(=O)[C@H](Cc1ccccc1)NCc1ccccc1	C25H27N4O	1	[C@H](Cc1ccccc1)(C(=O)N[C@H](Cc1ccccc1)C[N+]#[N-])NCc1ccccc1	C25H27N4O	0
C05339	SMILE	dH != dcharge	-3	-1	O=P[O-]	O2P	-1	O=[PH2]O	H3O2P	0
C12666	SMILE	dH != dcharge	-1	1	C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COC(=O)CCC(=O)[O-].[NaH]	C25H32NaO8	-1	C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COC(=O)CCC(=O)[O-].[NaH2-]	C25H33NaO8	-2
C12862	InChI	dH != dcharge	-1	1	InChI=1S/C2H3O3.H3N.H2N.Pt/c3-1-2(4)5;;;/h1H2,(H,4,5);1H3;1H2;/q-1;;-1;+4/p-1	C2H7N2O3Pt	1	InChI=1S/C2H3O3.2H3N.Pt/c3-1-2(4)5;;;/h1H2,(H,4,5);2*1H3;/q-1;;;+2/p-1	C2H8N2O3Pt	0
C12862	SMILE	dH != dcharge	-1	1	N[Pt]1([NH3+])OCC(=O)O1	C2H7N2O3Pt	1	O1[Pt](OC(=O)C1)([NH3])[NH3]	C2H8N2O3Pt	0
C13932	InChI	dH != dcharge	14	18	InChI=1S/6ClH.14H3N.2O.3Ru/h6*1H;14*1H3;;;;;/q;;;;;;;;;;;;;;;;;;;;;;;;+10/p+8	H56Cl6N14O2Ru3	18	InChI=1S/6ClH.14H3N.2O.3Ru/h6*1H;14*1H3;;;;;/q;;;;;;;;;;;;;;;;;;;;2*-2;;;+10/p-6	H42Cl6N14O2Ru3	0
C13932	SMILE	dH != dcharge	14	18	[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[NH4+].[NH4+].[NH4+].[NH4+].[NH4+].[NH4+].[NH4+].[NH4+].[NH4+].[NH4+].[NH4+].[NH4+].[NH4+].[NH4+].[Ru]O[Ru+10]O[Ru]	H56Cl6N14O2Ru3	18	N.N.N.N.[Ru+10]([O-2][Ru])[O-2][Ru].N.N.N.N.N.N.N.N.N.N.[Cl-].[Cl-].[Cl-].[Cl-].[Cl-].[Cl-]	H42Cl6N14O2Ru3	0
C18380	InChI	charge changed, no H change	0	2	InChI=1S/2C5H8O3.Ca/c2*1-4(6)2-3-5(7)8;/h2*2-3H2,1H3,(H,7,8);/q;;+4/p-2	C10H14CaO6	2	InChI=1S/2C5H8O3.Ca/c2*1-4(6)2-3-5(7)8;/h2*2-3H2,1H3,(H,7,8);/q;;+2/p-2	C10H14CaO6	0
C18380	SMILE	charge changed, no H change	0	2	CC(=O)CCC(=O)O[Ca+2]OC(=O)CCC(C)=O	C10H14CaO6	2	CC(=O)CCC(=O)[O-][Ca+2][O-]C(=O)CCC(=O)C	C10H14CaO6	0
C18384	InChI	charge changed, no H change	0	2	InChI=1S/2C3H6O2.Mg/c2*1-2-3(4)5;/h2*2H2,1H3,(H,4,5);/q;;+4/p-2	C6H10MgO4	2	InChI=1S/2C3H6O2.Mg/c2*1-2-3(4)5;/h2*2H2,1H3,(H,4,5);/q;;+2/p-2	C6H10MgO4	0
C18384	SMILE	charge changed, no H change	0	2	CCC(=O)O[Mg+2]OC(=O)CC	C6H10MgO4	2	C(=O)(CC)[O-][Mg+2][O-]C(=O)CC	C6H10MgO4	0
C19162	InChI	H gained, no charge change	3	0	InChI=1S/H3P/h1H3/i1+1	H3P	0	InChI=1S/P/i1+1	P	0
C19162	SMILE	H gained, no charge change	3	0	[32PH3]	H3P	0	[32P]	P	0
C19600	InChI	charge changed, no H change	0	2	InChI=1S/2C7H6O3.Ca/c2*8-6-4-2-1-3-5(6)7(9)10;/h2*1-4,8H,(H,9,10);/q;;+2/p-2	C14H10CaO6	0	InChI=1S/2C7H6O3.Ca/c2*8-6-4-2-1-3-5(6)7(9)10;/h2*1-4,8H,(H,9,10);/p-2	C14H10CaO6	-2
C19600	SMILE	charge changed, no H change	0	2	O=C(O[Ca]OC(=O)c1ccccc1O)c1ccccc1O	C14H10CaO6	0	c1cccc(c1C(=O)[O-][Ca][O-]C(=O)c1ccccc1O)O	C14H10CaO6	-2
C20319	InChI	H gained, no charge change	1	0	InChI=1S/C12H11NO/c14-13-12-8-6-11(7-9-12)10-4-2-1-3-5-10/h1-9,13-14H	C12H11NO	0	InChI=1S/C12H10NO/c14-13-12-8-6-11(7-9-12)10-4-2-1-3-5-10/h1-9,13H	C12H10NO	0
C20319	SMILE	H gained, no charge change	1	0	ONc1ccc(-c2ccccc2)cc1	C12H11NO	0	[O]Nc1ccc(-c2ccccc2)cc1	C12H10NO	0
C00087	InChIKey	rehashed from the passed-through InChI			RWSOTUBLDIXVET-UHFFFAOYSA-M			NINIDFKCEFEMDL-UHFFFAOYSA-N		
C01529	InChIKey	rehashed from the passed-through InChI			SPVXKVOXSXTJOY-UHFFFAOYSA-M			BUGBHKTXTAQXES-UHFFFAOYSA-N		
C02202	InChIKey	rehashed from the passed-through InChI			UOTAGHOJDZCQLI-RPWUZVMVSA-O			CZJUSSHSHCOVLO-RPWUZVMVSA-N		
