external_id	type	kind	dH	dq	was_structure	was_formula	was_charge	now_structure	now_formula	now_charge
C00087	SMILE	H gained, no charge change	2	0	S	H2S	0	[S]	S	0
C00087	InChI	H gained, no charge change	2	0	InChI=1S/H2S/h1H2	H2S	0	InChI=1S/S	S	0
C01529	SMILE	H gained, no charge change	2	0	[SeH2]	H2Se	0	[Se]	Se	0
C01529	InChI	H gained, no charge change	2	0	InChI=1S/H2Se/h1H2	H2Se	0	InChI=1S/Se	Se	0
C05339	SMILE	dH != dcharge	-3	-1	[O-]P=O	O2P	-1	O=[PH2]O	H3O2P	0
C06232	InChI	dH != dcharge	6	2	InChI=1S/Mo.4H2O/h;4*1H2/q+2;;;;	H8MoO4	2	InChI=1S/Mo.2H2O.2O/h;2*1H2;;/q+2;;;;/p-2	H2MoO4	0
C06696	SMILE	H lost, no charge change	-2	0	[Pb]	Pb	0	[PbH2]	H2Pb	0
C07638	InChI	dH != dcharge	14	2	InChI=1S/2C6H12O7.3Na.12H2O.2Sb.9H/c2*7-1-2(8)3(9)4(10)5(11)6(12)13;;;;;;;;;;;;;;;;;;;;;;;;;;/h2*2-5,7-11H,1H2,(H,12,13);;;;12*1H2;;;;;;;;;;;/q;;;;;;;;;;;;;;;;;2*+2;;;;;;;;;/p-2/t2*2-,3-,4+,5-;;;;;;;;;;;;;;;;;;;;;;;;;;/m11........................../s1	C12H55Na3O26Sb2	2	InChI=1S/2C6H10O7.3Na.9H2O.3O.2Sb.3H/c2*7-1-2(8)3(9)4(10)5(11)6(12)13;;;;;;;;;;;;;;;;;;;;/h2*2-5,7-8,10H,1H2,(H,12,13);;;;9*1H2;;;;;;;;/q2*-2;;;;;;;;;;;;;;;;2*+2;;;/t2*2-,3-,4+,5-;;;;;;;;;;;;;;;;;;;;/m11..................../s1	C12H41Na3O26Sb2	0
C11092	InChI	dH != dcharge	4	1	InChI=1S/3C6H11.C2H3N3.Sn.3H/c3*1-2-4-6-5-3-1;1-3-2-5-4-1;;;;/h3*1H,2-6H2;1-2H,(H,3,4,5);;;;/q;;;;+1;;;	C20H39N3Sn	1	InChI=1S/3C6H11.C2H2N3.Sn/c3*1-2-4-6-5-3-1;1-3-2-5-4-1;/h3*1H,2-6H2;1-2H;/q;;;-1;+1	C20H35N3Sn	0
C11093	InChI	dH != dcharge	4	1	InChI=1S/3C6H11.H2O.Sn.3H/c3*1-2-4-6-5-3-1;;;;;/h3*1H,2-6H2;1H2;;;;/q;;;;+1;;;	C18H38OSn	1	InChI=1S/3C6H11.H2O.Sn/c3*1-2-4-6-5-3-1;;/h3*1H,2-6H2;1H2;/q;;;;+1/p-1	C18H34OSn	0
C11627	InChI	dH != dcharge	11	3	InChI=1S/4H2O.V.3H/h4*1H2;;;;	H11O4V	0	InChI=1S/4O.V/q;;;;-3	O4V	-3
C12666	SMILE	dH != dcharge	-1	1	[NaH].C[C@]12C[C@H](O)[C@H]3[C@@H](CCC4=CC(=O)C=C[C@]34C)[C@@H]1CC[C@]2(O)C(=O)COC(=O)CCC([O-])=O	C25H32NaO8	-1	C[C@]12C=CC(=O)C=C1CC[C@@H]1[C@@H]2[C@@H](O)C[C@@]2(C)[C@H]1CC[C@]2(O)C(=O)COC(=O)CCC(=O)[O-].[NaH2-]	C25H33NaO8	-2
C12862	SMILE	H gained, no charge change	2	0	N.N.O=C1CO[PtH2]O1	C2H10N2O3Pt	0	O1[Pt](OC(=O)C1)([NH3])[NH3]	C2H8N2O3Pt	0
C13619	SMILE	dH != dcharge	-6	6	O.O.O.[As+3].[As+3]	H6As2O3	6	[AsH6+3].[AsH6+3].[O-2].[O-2].[O-2]	H12As2O3	0
C14413	InChI	H gained, no charge change	3	0	InChI=1S/3C6H5.ClH.Sn.3H/c3*1-2-4-6-5-3-1;;;;;/h3*1-5H;1H;;;;/q;;;;+1;;;/p-1	C18H18ClSn	0	InChI=1S/3C6H5.ClH.Sn/c3*1-2-4-6-5-3-1;;/h3*1-5H;1H;/q;;;;+1/p-1	C18H15ClSn	0
C15224	InChI	H gained, no charge change	3	0	InChI=1S/3C4H9.ClH.Sn.3H/c3*1-3-4-2;;;;;/h3*1,3-4H2,2H3;1H;;;;/q;;;;+1;;;/p-1	C12H30ClSn	0	InChI=1S/3C4H9.ClH.Sn/c3*1-3-4-2;;/h3*1,3-4H2,2H3;1H;/q;;;;+1/p-1	C12H27ClSn	0
C15226	SMILE	H lost, no charge change	-2	0	[Cl-].[Tl+]	ClTl	0	[Cl-].[TlH2+]	H2ClTl	0
C15227	InChI	dH != dcharge	14	2	InChI=1S/2Cr.2K.7H2O/h;;;;7*1H2/q;;2*+1;;;;;;;	H14Cr2K2O7	2	InChI=1S/2Cr.2K.7O/q;;2*+1;;;;;;2*-1	Cr2K2O7	0
