external_id	type	kind	dH	dq	was_structure	was_formula	was_charge	now_structure	now_formula	now_charge
CPD-11696	InChI	dH != dcharge	13	14	InChI=1S/C6H19O30P8/c7-37(8,9)29-1-2(30-38(10,11)12)4(32-40(16,17)18)6(34-44(27,28)36-42(22,23)24)5(3(1)31-39(13,14)15)33-43(25,26)35-41(19,20)21/h1-6H,(H,25,26)(H2,7,8,9)(H2,10,11,12)(H2,13,14,15)(H2,16,17,18)(H2,19,20,21)(H2,22,23,24)/t1-,2+,3-,4-,5+,6+/m0/s1	C6H19O30P8	0	InChI=1S/C6H19O30P8/c7-37(8,9)29-1-2(30-38(10,11)12)4(32-40(16,17)18)6(34-44(27,28)36-42(22,23)24)5(3(1)31-39(13,14)15)33-43(25,26)35-41(19,20)21/h1-6H,(H,25,26)(H2,7,8,9)(H2,10,11,12)(H2,13,14,15)(H2,16,17,18)(H2,19,20,21)(H2,22,23,24)/q-1/p-13/t1-,2+,3-,4-,5+,6+/m0/s1	C6H6O30P8	-14
CPD-21744	InChI	charge changed, no H change	0	1	InChI=1S/F6P/c1-7(2,3,4,5)6	F6P	0	InChI=1S/F6P/c1-7(2,3,4,5)6/q-1	F6P	-1
CPD-25438	InChI	charge changed, no H change	0	6	InChI=1S/C35H39N5O11.Fe/c1-18-26(38-33(50-18)21-9-4-12-24(42)29(21)45)32(48)37-15-7-17-40(16-6-14-36-31(47)20-8-3-11-23(41)28(20)44)35(49)27-19(2)51-34(39-27)22-10-5-13-25(43)30(22)46;/h3-5,8-13,18-19,26-27,41-46H,6-7,14-17H2,1-2H3,(H,36,47)(H,37,48);/q;+9/p-6/t18-,19+,26+,27-;/m0./s1	C35H33FeN5O11	3	InChI=1S/C35H39N5O11.Fe/c1-18-26(38-33(50-18)21-9-4-12-24(42)29(21)45)32(48)37-15-7-17-40(16-6-14-36-31(47)20-8-3-11-23(41)28(20)44)35(49)27-19(2)51-34(39-27)22-10-5-13-25(43)30(22)46;/h3-5,8-13,18-19,26-27,41-46H,6-7,14-17H2,1-2H3,(H,36,47)(H,37,48);/q;+3/p-6/t18-,19+,26+,27-;/m0./s1	C35H33FeN5O11	-3
CPD-25438	SMILE	charge changed, no H change	0	6	C[C@@H]1OC2=N[C@H]1C(=O)NCCCN1CCCNC(=O)c3cccc4c3O[Fe+3]35(O4)(Oc4cccc2c4O3)Oc2cccc(c2O5)C2=N[C@H](C1=O)[C@@H](C)O2	C35H33FeN5O11	3	C[C@H]1[C@@H]2C(=O)NCCCN3CCCNC(=O)c4cccc5c4[O-][Fe+3]46([O-]5)([O-]c5cccc(c5[O-]4)C(=N2)O1)[O-]c1cccc(c1[O-]6)C1=N[C@@H]([C@@H](C)O1)C3=O	C35H33FeN5O11	-3
CPD-27	SMILE	H lost, no charge change	-2	0	O=P[O-]	O2P	-1	O=[PH2][O-]	H2O2P	-1
CPD0-2517	InChI	charge changed, no H change	0	18	InChI=1S/7Mo.24O/q;6*+2;;;;;;;;;;;;;;;;;;;;;;;;	Mo7O24	12	InChI=1S/7Mo.24O/q;6*+2;;;;;;;;;;;;;6*-2;6*-1	Mo7O24	-6
CPD0-2517	SMILE	charge changed, no H change	0	18	[Mo]12345[O]6[Mo+2]78(=O)(=O)O[Mo+2]96(=O)(=O)O[Mo+2]6(=O)(=O)(O[Mo+2]%10(=O)(=O)(O[Mo+2]%11(=O)(=O)(O[Mo+2](=O)(=O)(O7)([O]28%11)O3)[O]1%10)[O]496)O5	Mo7O24	12	[Mo]12345[O-]6[Mo+2]78(=O)(=O)[O-2][Mo+2]96(=O)(=O)[O-2][Mo+2]6(=O)(=O)([O-2][Mo+2]%10(=O)(=O)([O-2][Mo+2]%11(=O)(=O)([O-2][Mo+2](=O)(=O)([O-2]7)([O-]28%11)[O-]3)[O-]1%10)[O-]496)[O-]5	Mo7O24	-6
Elemental-Sulfur	InChI	dH != dcharge	1	-1	InChI=1S/H2S/h1H2/p-1	HS	-1	InChI=1S/S	S	0
Elemental-Sulfur	SMILE	dH != dcharge	1	-1	[SH-]	HS	-1	[S]	S	0
Elemental-selenium	InChI	dH != dcharge	1	-1	InChI=1S/H2Se/h1H2/p-1	HSe	-1	InChI=1S/Se	Se	0
Elemental-selenium	SMILE	dH != dcharge	1	-1	[SeH-]	HSe	-1	[Se]	Se	0
Intracellular-Sulfur	InChI	H gained, no charge change	2	0	InChI=1S/H2S/h1H2	H2S	0	InChI=1S/S	S	0
Intracellular-Sulfur	SMILE	H gained, no charge change	2	0	S	H2S	0	[S]	S	0
CPD-11696	InChIKey	rehashed from the passed-through InChI			AYXRNEDQTOTESA-UZAAGFTCSA-N			FWTZBQNFKWXGCF-UZAAGFTCSA-A		
CPD-21744	InChIKey	rehashed from the passed-through InChI			WBPJDOUFWQVMRN-UHFFFAOYSA-N			LJQLCJWAZJINEB-UHFFFAOYSA-N		
CPD-25438	InChIKey	rehashed from the passed-through InChI			NXBTVYTZNBTCOA-VBIAIPROSA-H			XCZXQZJLNMPXIV-VBIAIPROSA-H		
CPD0-2517	InChIKey	rehashed from the passed-through InChI			MEFYNDUERFREHP-UHFFFAOYSA-N			PGNMZYJHHXHKJF-UHFFFAOYSA-N		
Elemental-Sulfur	InChIKey	rehashed from the passed-through InChI			RWSOTUBLDIXVET-UHFFFAOYSA-M			NINIDFKCEFEMDL-UHFFFAOYSA-N		
Elemental-selenium	InChIKey	rehashed from the passed-through InChI			SPVXKVOXSXTJOY-UHFFFAOYSA-M			BUGBHKTXTAQXES-UHFFFAOYSA-N		
Intracellular-Sulfur	InChIKey	rehashed from the passed-through InChI			RWSOTUBLDIXVET-UHFFFAOYSA-N			NINIDFKCEFEMDL-UHFFFAOYSA-N		
