external_id	type	kind	dH	dq	was_structure	was_formula	was_charge	now_structure	now_formula	now_charge
136511	InChI	H gained, no charge change	4	0	InChI=1S/Mn.2H2O/h;2*1H2	H4MnO2	0	InChI=1S/Mn.2O	MnO2	0
167627	InChI	charge changed, no H change	0	-4	InChI=1S/4C10H17N3O6S.2Fe.2H2S/c4*11-5(10(18)19)1-2-7(14)13-6(4-20)9(17)12-3-8(15)16;;;;/h4*5-6,20H,1-4,11H2,(H,12,17)(H,13,14)(H,15,16)(H,18,19);;;2*1H2/q;;;;2*+1;;/p-12/t4*5-,6-;;;;/m0000..../s1	C40H60Fe2N12O24S6	-10	InChI=1S/4C10H17N3O6S.2Fe.2S/c4*11-5(10(18)19)1-2-7(14)13-6(4-20)9(17)12-3-8(15)16;;;;/h4*5-6,20H,1-4,11H2,(H,12,17)(H,13,14)(H,15,16)(H,18,19);;;;/q;;;;2*+1;;/p-8/t4*5-,6-;;;;/m0000..../s1	C40H60Fe2N12O24S6	-6
26833	SMILE	H gained, no charge change	2	0	S	H2S	0	[S]	S	0
26833	InChI	H gained, no charge change	2	0	InChI=1S/H2S/h1H2	H2S	0	InChI=1S/S	S	0
29198	SMILE	H lost, no charge change	-2	0	[O-]P=O	O2P	-1	O=[PH2][O-]	H2O2P	-1
33722	InChI	H gained, no charge change	8	0	InChI=1S/4Fe.4H2S/h;;;;4*1H2/q;;2*+1;;;;	H8Fe4S4	2	InChI=1S/4Fe.4S/q;;2*+1;;;;	Fe4S4	2
33723	InChI	H gained, no charge change	8	0	InChI=1S/4Fe.4H2S/h;;;;4*1H2/q;;;+1;;;;	H8Fe4S4	1	InChI=1S/4Fe.4S/q;;;+1;;;;	Fe4S4	1
33737	InChI	H gained, no charge change	4	0	InChI=1S/2Fe.2H2S/h;;2*1H2/q2*+1;;	H4Fe2S2	2	InChI=1S/2Fe.2S/q2*+1;;	Fe2S2	2
33738	InChI	H gained, no charge change	4	0	InChI=1S/2Fe.2H2S/h;;2*1H2/q;+1;;	H4Fe2S2	1	InChI=1S/2Fe.2S/q;+1;;	Fe2S2	1
35404	InChI	dH != dcharge	8	2	InChI=1S/Cr.4H2O/h;4*1H2	H8CrO4	0	InChI=1S/Cr.4O/q;;;2*-1	CrO4	-2
36264	InChI	dH != dcharge	8	2	InChI=1S/Mo.4H2O/h;4*1H2	H8MoO4	0	InChI=1S/Mo.4O/q;;;2*-1	MoO4	-2
46502	InChI	dH != dcharge	8	2	InChI=1S/4H2O.W/h4*1H2;	H8O4W	0	InChI=1S/4O.W/q;;2*-1;	O4W	-2
61715	SMILE	H gained, no charge change	2	0	CC(C)=CCC\C(C)=C\CC\C(C)=C\CC[C@H](O)c1c(C)c2cc3[nH]c(cc4c(CCC([O-])=O)c(C)c5cc6[nH]c(cc1n2[FeH2]n45)c(C)c6C=C)c(CCC([O-])=O)c3C=O	C49H58FeN4O6	-2	c12C=C3N4=C(C=c5n6c(=CC7=N8C(=Cc(n2[Fe]468)c(c1C)[C@H](CC/C=C(\C)/CC/C=C(/CCC=C(C)C)\C)O)C(=C7C=C)C)c(C)c5CCC(=O)[O-])C(=C3C=O)CCC(=O)[O-]	C49H56FeN4O6	-2
71302	InChI	dH != dcharge	6	2	InChI=1S/C10H14N5O6PS2.Mo.2H2O/c11-10-14-7-4(8(16)15-10)12-3-6(24)5(23)2(21-9(3)13-7)1-20-22(17,18)19;;;/h2-3,9,12,23-24H,1H2,(H2,17,18,19)(H4,11,13,14,15,16);;2*1H2/q;+2;;/p-2/t2-,3+,9-;;;/m1.../s1	C10H16MoN5O8PS2	0	InChI=1S/C10H14N5O6PS2.Mo.2O/c11-10-14-7-4(8(16)15-10)12-3-6(24)5(23)2(21-9(3)13-7)1-20-22(17,18)19;;;/h2-3,9,12,23-24H,1H2,(H2,17,18,19)(H4,11,13,14,15,16);;;/q;+2;;/p-4/t2-,3+,9-;;;/m1.../s1	C10H10MoN5O8PS2	-2
71305	InChI	dH != dcharge	6	2	InChI=1S/C10H14N5O6PS2.2H2O.W/c11-10-14-7-4(8(16)15-10)12-3-6(24)5(23)2(21-9(3)13-7)1-20-22(17,18)19;;;/h2-3,9,12,23-24H,1H2,(H2,17,18,19)(H4,11,13,14,15,16);2*1H2;/q;;;+2/p-2/t2-,3+,9-;;;/m1.../s1	C10H16N5O8PS2W	0	InChI=1S/C10H14N5O6PS2.2O.W/c11-10-14-7-4(8(16)15-10)12-3-6(24)5(23)2(21-9(3)13-7)1-20-22(17,18)19;;;/h2-3,9,12,23-24H,1H2,(H2,17,18,19)(H4,11,13,14,15,16);;;/q;;;+2/p-4/t2-,3+,9-;;;/m1.../s1	C10H10N5O8PS2W	-2
