ID	InChI_formula	InChI_charge	formula	charge	InChI_fragments	SMILES_fragments
cpd26028	AlF3	0	AlF3	0	4	1
cpd26077	C6H4HgO3S	-1	C6H4HgO3S	-1	2	1
cpd26157	O2U	2	O2U	2	3	1
cpd26253	AlF4	-1	AlF4	-1	5	1
cpd26289	Cl3Fe	0	Cl3Fe	0	4	1
cpd26290	Cl2Fe	0	Cl2Fe	0	3	1
cpd26295	C9H11ClHgN3O5	-1	C9H12ClHgN3O5	0	3	1
cpd26296	C9H11HgN3O5	-1	C9H12HgN3O5	0	2	1
cpd26335	H3AsO6Sb2	0	H3AsO6Sb2	0	6	1
cpd26336	H3O6Sb3	0	H3O6Sb3	0	9	1
cpd26337	H5As2O6Sb	2	HAs2O6Sb	-2	3	1
cpd26384	H6O3Sb	3	H3O3Sb	0	4	1
cpd26467	C72H102CoN18O14P	-1	C72H104CoN18O14P	1	3	1
cpd27027	C30H25FeN3O15	1	C30H21FeN3O15	-3	2	1
cpd27646	NbS2	0	NbS2	0	3	1
cpd27786	C7H6HgO3	0	C7H5HgO3	-1	3	1
cpd31445	C70H94CoN18O21P2	-3	C70H95CoN18O21P2	-2	3	1
cpd31508	C53H78CoN11O15P	-3	C53H80CoN11O15P	-1	2	1
cpd31681	C49H58FeN4O5	0	C49H56FeN4O5	-2	2	1
cpd31688	C61H84CoN12O15P	-2	C61H86CoN12O15P	0	3	1
cpd31691	C49H58FeN4O6	0	C49H56FeN4O6	-2	2	1
cpd31772	C58H81CoN17O14P	0	C58H81CoN17O14P	0	3	1
cpd31813	C33H31FeN4O5	1	C33H29FeN4O5	-1	2	1
cpd31979	C62H88CoN13O14P	1	C62H88CoN13O14P	1	2	1
cpd31987	C70H96CoN18O17P	0	C70H97CoN18O17P	1	3	1
cpd32032	C62H88CoN13O14P	-1	C62H89CoN13O14P	0	3	1
cpd32132	C69H98CoN21O17P	1	C69H98CoN21O17P	1	3	1
cpd32158	C59H83CoN17O14P	0	C59H83CoN17O14P	0	3	1
cpd32263	C69H95CoN16O21P2	-2	C69H96CoN16O21P2	-1	3	1
cpd32294	C61H83CoN14O15P	-1	C61H84CoN14O15P	0	3	1
cpd32319	C36H34FeN4O8	-2	C36H32FeN4O8	-4	2	1
cpd32334	C10H10MoN5O9PS2	-3	C10H10MoN5O9PS2	-3	5	1
cpd32369	C6H5ClHg	0	C6H5ClHg	0	3	1
cpd32372	C34H36FeN4O4S2	1	C34H34FeN4O4S2	-1	2	1
