ID	DATABASE	MNX
rxn02474	SEED	MNXR95898
R03458	KEGG	MNXR95898
RIBOFLAVINSYNREDUC-RXN	MetaCyc	MNXR95898
R03759	KEGG	MNXR95894
AMINOPROPDEHYDROG-RXN	MetaCyc	MNXR95894
RXN-8627	MetaCyc	MNXR95895
PANTEPADENYLYLTRAN-RXN	MetaCyc	MNXR95892
PANTETHEINE-KINASE-RXN	MetaCyc	MNXR95885
rxn00140	SEED	MNXR95886
R00191	KEGG	MNXR95886
RXN0-5038	MetaCyc	MNXR95886
R04672	KEGG	MNXR95883
RXN-14037	MetaCyc	MNXR95883
rxn03962	SEED	MNXR138477
R05692	KEGG	MNXR138477
rxn00555	SEED	MNXR138476
R00768	KEGG	MNXR138476
rxn02581	SEED	MNXR138478
rxn00819	SEED	MNXR138478
rxn00639	SEED	MNXR138475
R00881	KEGG	MNXR138475
rxn00355	SEED	MNXR138471
rxn14021	SEED	MNXR126493
rxn05798	SEED	MNXR126493
R02750	KEGG	MNXR126494
rxn08666	SEED	MNXR138487
rxn03916	SEED	MNXR138483
rxn13940	SEED	MNXR138483
R01231	KEGG	MNXR138486
R01230	KEGG	MNXR138485
rxn08621	SEED	MNXR138480
rxn06549	SEED	MNXR138481
R03992	KEGG	MNXR138481
2.3.1.97-RXN	MetaCyc	MNXR138481
RXN-18032	MetaCyc	MNXR138494
RXN-18031	MetaCyc	MNXR138494
1.8.5.1-RXN	MetaCyc	MNXR138490
R00132	KEGG	MNXR138493
CARBODEHYDRAT-RXN	MetaCyc	MNXR138493
rxn08134	SEED	MNXR95830
rxn13227	SEED	MNXR95830
rxn05497	SEED	MNXR95831
rxn08133	SEED	MNXR95829
rxn00650	SEED	MNXR95828
R00899	KEGG	MNXR95828
RXN-6622	MetaCyc	MNXR95828
rxn10094	SEED	MNXR95823
rxn00130	SEED	MNXR95824
R00181	KEGG	MNXR95824
AMP-DEAMINASE-RXN	MetaCyc	MNXR95824
rxn10851	SEED	MNXR95822
rxn10845	SEED	MNXR95820
rxn08130	SEED	MNXR95819
ADOMET-DMK-METHYLTRANSFER-RXN	MetaCyc	MNXR95819
rxn03839	SEED	MNXR95816
R05551	KEGG	MNXR95816
R311-RXN	MetaCyc	MNXR95816
rxn02222	SEED	MNXR95814
R03096	KEGG	MNXR95814
RXNN-404	MetaCyc	MNXR95814
rxn00231	SEED	MNXR95815
R00321	KEGG	MNXR95815
RXN-14728	MetaCyc	MNXR95815
rxn02275	SEED	MNXR95812
R03180	KEGG	MNXR95812
GUANIDINOBUTANAMIDE-NH3-RXN	MetaCyc	MNXR95812
R02540	KEGG	MNXR95813
RXN-12492	MetaCyc	MNXR95813
rxn09696	SEED	MNXR95810
rxn09784	SEED	MNXR95809
rxn09826	SEED	MNXR95809
rxn01422	SEED	MNXR95807
R01938	KEGG	MNXR95807
rxn01951	SEED	MNXR95805
R02705	KEGG	MNXR95805
NANK-RXN	MetaCyc	MNXR95805
rxn02312	SEED	MNXR95806
R03231	KEGG	MNXR95806
DAPASYN-RXN	MetaCyc	MNXR95806
rxn01506	SEED	MNXR95804
R02087	KEGG	MNXR95804
NANE-RXN	MetaCyc	MNXR95804
rxn12049	SEED	MNXR95867
R08359	KEGG	MNXR95867
RXN0-5217	MetaCyc	MNXR95867
rxn01630	SEED	MNXR95868
R02273	KEGG	MNXR95868
5-AMINOPENTANAMIDASE-RXN	MetaCyc	MNXR95868
rxn00656	SEED	MNXR95865
R00907	KEGG	MNXR95865
2.6.1.18-RXN	MetaCyc	MNXR95865
rxn03047	SEED	MNXR95866
R04391	KEGG	MNXR95866
rxn01184	SEED	MNXR95863
R01618	KEGG	MNXR95863
rxn03030	SEED	MNXR95864
2.3.1.89-RXN	MetaCyc	MNXR95864
rxn00657	SEED	MNXR95862
R00908	KEGG	MNXR95862
RXN-2901	MetaCyc	MNXR95862
rxn01406	SEED	MNXR95860
