modelseed_rxn,name,ec,enzyme_name,equation_definition,equation_ids,tecrdb_reaction,n_measurements,match_tier,dGpredictor_modelseed_dG_kJ,tecrdb_dG_kJ,diff_kJ,abs_diff_kJ,dGpredictor_modelseed_dG_kcal,tecrdb_dG_kcal,diff_kcal,abs_diff_kcal,dGpredictor_modelseed_err_kJ,tecrdb_dG_sd_kJ,combined_err_kJ,significant,other_GroupContribution_dG_kJ,other_dGPredictor_original_dG_kJ,other_eQuilibrator_dG_kJ,tecrdb_dG_min_kJ,tecrdb_dG_max_kJ,pH_min,pH_max,T_min,T_max,ms_orientation_vs_canonical,reactants_smiles,products_smiles,reaction_smiles,reaction_smiles_complete
rxn15227,D-arabinose aldose-ketose-isomerase,5.3.1.15;5.3.1.3;5.3.1.4;5.3.1.5;5.3.1.7,D-lyxose ketol-isomerase;L-arabinose isomerase;arabinose isomerase;mannose isomerase;xylose isomerase,(1) D-Arabinose[0] <=> (1) alpha-D-Ribulose[0],(1) cpd00185[0] <=> (1) cpd05268[0],kegg:C00181 = kegg:C00310 | kegg:C00216 = kegg:C00309 | kegg:C00259 = kegg:C00508 | kegg:C00476 = kegg:C00310,40,skeleton,73.141,4.163,68.978,68.978,17.481,0.995,16.486,16.486,40.423,1.234,40.442,True,-3.724,73.136,-11.552,2.373,8.107,6.0,8.7,298.15,348.15,reversed,1 OC1OC[C@@H](O)[C@@H](O)[C@@H]1O,1 OC[C@]1(O)OC[C@@H](O)[C@H]1O,OC1OC[C@@H](O)[C@@H](O)[C@@H]1O>>OC[C@]1(O)OC[C@@H](O)[C@H]1O,True
rxn15116,"beta-D-fructose-1,6-bisphosphate D-glyceraldehyde-3-phosphate-lyase (glycerone-phosphate-forming)",4.1.2.13,fructose-biphosphate aldolase;fructose-bisphosphate aldolase,"(1) beta-D-Fructose 1,6-bisphosphate[0] <=> (1) Glycerone-phosphate[0] + (1) Glyceraldehyde3-phosphate[0]",(1) cpd19036[0] <=> (1) cpd00095[0] + (1) cpd00102[0],kegg:C00354 = kegg:C00111 + kegg:C00118,16,skeleton,-45.328,23.319,-68.647,68.647,-10.834,5.573,-16.407,16.407,59.304,1.911,59.335,True,18.033,-45.313,20.569,18.657,25.328,6.7,8.8,282.15,333.15,reversed,1 O=P([O-])([O-])OC[C@H]1O[C@](O)(COP(=O)([O-])[O-])[C@@H](O)[C@@H]1O,1 O=C(CO)COP(=O)([O-])[O-]; 1 O=C[C@H](O)COP(=O)([O-])[O-],O=P([O-])([O-])OC[C@H]1O[C@](O)(COP(=O)([O-])[O-])[C@@H](O)[C@@H]1O>>O=C(CO)COP(=O)([O-])[O-].O=C[C@H](O)COP(=O)([O-])[O-],True
rxn19683,fructose diphosphate aldolase,4.1.2.13,fructose-biphosphate aldolase;fructose-bisphosphate aldolase,"(1) beta-D-Fructose 1,6-bisphosphate[0] <=> (1) Glycerone-phosphate[0] + (1) Glyceraldehyde3-phosphate[0]",(1) cpd19036[0] <=> (1) cpd00095[0] + (1) cpd00102[0],kegg:C00354 = kegg:C00111 + kegg:C00118,16,skeleton,-45.328,23.319,-68.647,68.647,-10.834,5.573,-16.407,16.407,59.304,1.911,59.335,True,18.033,-45.313,20.569,18.657,25.328,6.7,8.8,282.15,333.15,reversed,1 O=P([O-])([O-])OC[C@H]1O[C@](O)(COP(=O)([O-])[O-])[C@@H](O)[C@@H]1O,1 O=C(CO)COP(=O)([O-])[O-]; 1 O=C[C@H](O)COP(=O)([O-])[O-],O=P([O-])([O-])OC[C@H]1O[C@](O)(COP(=O)([O-])[O-])[C@@H](O)[C@@H]1O>>O=C(CO)COP(=O)([O-])[O-].O=C[C@H](O)COP(=O)([O-])[O-],True
rxn27851,fructose diphosphate aldolase,4.1.2.13,fructose-biphosphate aldolase;fructose-bisphosphate aldolase,"(1) beta-D-Fructose 1,6-bisphosphate[0] <=> (1) Glycerone-phosphate[0] + (1) Glyceraldehyde3-phosphate[0]",(1) cpd19036[0] <=> (1) cpd00095[0] + (1) cpd00102[0],kegg:C00354 = kegg:C00111 + kegg:C00118,16,skeleton,-45.328,23.319,-68.647,68.647,-10.834,5.573,-16.407,16.407,59.304,1.911,59.335,True,18.033,-45.313,20.569,18.657,25.328,6.7,8.8,282.15,333.15,reversed,1 O=P([O-])([O-])OC[C@H]1O[C@](O)(COP(=O)([O-])[O-])[C@@H](O)[C@@H]1O,1 O=C(CO)COP(=O)([O-])[O-]; 1 O=C[C@H](O)COP(=O)([O-])[O-],O=P([O-])([O-])OC[C@H]1O[C@](O)(COP(=O)([O-])[O-])[C@@H](O)[C@@H]1O>>O=C(CO)COP(=O)([O-])[O-].O=C[C@H](O)COP(=O)([O-])[O-],True
rxn38097,F16ALDOLASE-RXN.e,4.1.2.13,fructose-biphosphate aldolase;fructose-bisphosphate aldolase,"(1) beta-D-Fructose 1,6-bisphosphate[0] <=> (1) Glycerone-phosphate[0] + (1) Glyceraldehyde3-phosphate[0]",(1) cpd19036[0] <=> (1) cpd00095[0] + (1) cpd00102[0],kegg:C00354 = kegg:C00111 + kegg:C00118,16,skeleton,-45.328,23.319,-68.647,68.647,-10.834,5.573,-16.407,16.407,59.304,1.911,59.335,True,18.033,-45.313,20.569,18.657,25.328,6.7,8.8,282.15,333.15,reversed,1 O=P([O-])([O-])OC[C@H]1O[C@](O)(COP(=O)([O-])[O-])[C@@H](O)[C@@H]1O,1 O=C(CO)COP(=O)([O-])[O-]; 1 O=C[C@H](O)COP(=O)([O-])[O-],O=P([O-])([O-])OC[C@H]1O[C@](O)(COP(=O)([O-])[O-])[C@@H](O)[C@@H]1O>>O=C(CO)COP(=O)([O-])[O-].O=C[C@H](O)COP(=O)([O-])[O-],True
rxn30577,2TRANSKETO-RXN,2.2.1.1,transketolase,(1) D-Erythrose4-phosphate[0] + (1) L-Xylulose 5-phosphate[0] <=> (1) Glyceraldehyde3-phosphate[0] + (1) beta-D-Fructose 6-phosphate[0],(1) cpd00236[0] + (1) cpd02100[0] <=> (1) cpd00102[0] + (1) cpd19035[0],kegg:C00085 + kegg:C00118 = kegg:C00279 + kegg:C00231,2,skeleton,60.993,-7.324,68.317,68.317,14.578,-1.751,16.328,16.328,75.513,1.674,75.532,False,-7.322,61.003,-5.443,-8.508,-6.14,7.0,7.6,298.15,311.15,reversed,1 O=C[C@H](O)[C@H](O)COP(=O)([O-])[O-]; 1 O=C(CO)[C@H](O)[C@@H](O)COP(=O)([O-])[O-],1 O=C[C@H](O)COP(=O)([O-])[O-]; 1 O=P([O-])([O-])OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O,O=C[C@H](O)[C@H](O)COP(=O)([O-])[O-].O=C(CO)[C@H](O)[C@@H](O)COP(=O)([O-])[O-]>>O=C[C@H](O)COP(=O)([O-])[O-].O=P([O-])([O-])OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O,True
rxn33863,Transketolase,2.2.1.1,transketolase,(1) D-Erythrose4-phosphate[0] + (1) L-Xylulose 5-phosphate[0] <=> (1) Glyceraldehyde3-phosphate[0] + (1) beta-D-Fructose 6-phosphate[0],(1) cpd00236[0] + (1) cpd02100[0] <=> (1) cpd00102[0] + (1) cpd19035[0],kegg:C00085 + kegg:C00118 = kegg:C00279 + kegg:C00231,2,skeleton,60.993,-7.324,68.317,68.317,14.578,-1.751,16.328,16.328,75.513,1.674,75.532,False,-7.322,61.003,-5.443,-8.508,-6.14,7.0,7.6,298.15,311.15,reversed,1 O=C[C@H](O)[C@H](O)COP(=O)([O-])[O-]; 1 O=C(CO)[C@H](O)[C@@H](O)COP(=O)([O-])[O-],1 O=C[C@H](O)COP(=O)([O-])[O-]; 1 O=P([O-])([O-])OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O,O=C[C@H](O)[C@H](O)COP(=O)([O-])[O-].O=C(CO)[C@H](O)[C@@H](O)COP(=O)([O-])[O-]>>O=C[C@H](O)COP(=O)([O-])[O-].O=P([O-])([O-])OC[C@H]1O[C@](O)(CO)[C@@H](O)[C@@H]1O,True
rxn07487,R07672,5.1.3.18,"GDP-D-mannose 3,5-epimerase",(1) GDP-mannose[0] <=> (1) GDP-L-gulose[0],(1) cpd00083[0] <=> (1) cpd14654[0],kegg:C00096 = kegg:C02280,1,skeleton,-69.734,-1.686,-68.047,68.047,-16.667,-0.403,-16.264,16.264,92.233,0.0,92.233,False,0.0,-69.747,9.393,-1.686,-1.686,8.0,8.0,310.15,310.15,reversed,1 Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1,1 Nc1nc2c(ncn2C2O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1,Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1>>Nc1nc2c(ncn2C2O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1,True
rxn36734,hexokinase,2.7.1.1;2.7.1.2,glucokinase;hexokinase,(1) ATP[0] + (1) D-Allose[0] <=> (1) ADP[0] + (1) H+[0] + (1) D-Hexose 6-phosphate[0],(1) cpd00002[0] + (1) cpd01055[0] <=> (1) cpd00008[0] + (1) cpd00067[0] + (1) cpd01903[0],kegg:C00002 + kegg:C00031 = kegg:C00008 + kegg:C00092 | kegg:C00002 + kegg:C00159 = kegg:C00008 + kegg:C00275,31,skeleton,53.44,-13.866,67.306,67.306,12.773,-3.314,16.087,16.087,176.92,1.274,176.925,False,-58.576,53.43,-5.535,-18.092,-11.285,5.7,7.25,303.15,310.15,reversed,1 Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]1O; 1 OC[C@H]1OC(O)[C@H](O)[C@H](O)[C@@H]1O,1 Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)([O-])[O-])[C@@H](O)[C@H]1O; 1 [H+]; 1 O=P([O-])([O-])OCC1OC(O)C(O)C(O)C1O,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]1O.OC[C@H]1OC(O)[C@H](O)[C@H](O)[C@@H]1O>>Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[H+].O=P([O-])([O-])OCC1OC(O)C(O)C(O)C1O,True
rxn36741,hexokinase,2.7.1.1;2.7.1.2,glucokinase;hexokinase,(1) ATP[0] + (1) D-Allose[0] <=> (1) ADP[0] + (1) H+[0] + (1) D-Hexose 6-phosphate[0],(1) cpd00002[0] + (1) cpd01055[0] <=> (1) cpd00008[0] + (1) cpd00067[0] + (1) cpd01903[0],kegg:C00002 + kegg:C00031 = kegg:C00008 + kegg:C00092 | kegg:C00002 + kegg:C00159 = kegg:C00008 + kegg:C00275,31,skeleton,53.44,-13.866,67.306,67.306,12.773,-3.314,16.087,16.087,176.92,1.274,176.925,False,-58.576,53.43,-5.535,-18.092,-11.285,5.7,7.25,303.15,310.15,reversed,1 Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]1O; 1 OC[C@H]1OC(O)[C@H](O)[C@H](O)[C@@H]1O,1 Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)([O-])[O-])[C@@H](O)[C@H]1O; 1 [H+]; 1 O=P([O-])([O-])OCC1OC(O)C(O)C(O)C1O,Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)([O-])OP(=O)([O-])OP(=O)([O-])O)[C@@H](O)[C@H]1O.OC[C@H]1OC(O)[C@H](O)[C@H](O)[C@@H]1O>>Nc1ncnc2c1ncn2[C@@H]1O[C@H](COP(=O)(O)OP(=O)([O-])[O-])[C@@H](O)[C@H]1O.[H+].O=P([O-])([O-])OCC1OC(O)C(O)C(O)C1O,True
