modelseed_rxn,name,ec,enzyme_name,equation_definition,equation_ids,tecrdb_reaction,n_measurements,match_tier,dGpredictor_modelseed_dG_kJ,tecrdb_dG_kJ,diff_kJ,abs_diff_kJ,dGpredictor_modelseed_dG_kcal,tecrdb_dG_kcal,diff_kcal,abs_diff_kcal,dGpredictor_modelseed_err_kJ,tecrdb_dG_sd_kJ,combined_err_kJ,significant,other_GroupContribution_dG_kJ,other_dGPredictor_original_dG_kJ,other_eQuilibrator_dG_kJ,tecrdb_dG_min_kJ,tecrdb_dG_max_kJ,pH_min,pH_max,T_min,T_max,ms_orientation_vs_canonical,reactants_smiles,products_smiles,reaction_smiles,reaction_smiles_complete
rxn20776,retinyl palmitate hydrolyase,3.1.1.21,retinyl-palmitate esterase,(1) H2O[0] + (1) Retinol palmitate[0] <=> (1) H+[0] + (1) Palmitate[0] + (1) Retinols[0],(1) cpd00001[0] + (1) cpd01691[0] <=> (1) cpd00067[0] + (1) cpd00214[0] + (1) cpd28098[0],kegg:C02588 + kegg:C00001 = kegg:C00473 + kegg:C00249,1,skeleton,-132.998,15.158,-148.157,148.157,-31.787,3.623,-35.41,35.41,268.759,0.0,268.759,False,-8.828,-133.009,7.95,15.158,15.158,7.5,7.5,310.15,310.15,reversed,1 O; 1 CCCCCCCCCCCCCCCC(=O)OC/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C,1 [H+]; 1 CCCCCCCCCCCCCCCC(=O)[O-]; 1 CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CCO,O.CCCCCCCCCCCCCCCC(=O)OC/C=C(C)/C=C/C=C(C)/C=C/C1=C(C)CCCC1(C)C>>[H+].CCCCCCCCCCCCCCCC(=O)[O-].CC(C=CC1=C(C)CCCC1(C)C)=CC=CC(C)=CCO,True
rxn03489,galactitol-1-phosphate:NAD+ oxidoreductase,1.1.1.140;1.1.1.17,mannitol-1-phosphate 5-dehydrogenase;mannitol-1-phosphate dehydrogenase;sorbitol-6-phosphate dehydrogenase,(1) NAD[0] + (1) Galactitol 1-phosphate[0] <=> (1) NADH[0] + (1) H+[0] + (1) L-Tagatose 6-phosphate[0],(1) cpd00003[0] + (1) cpd03752[0] <=> (1) cpd00004[0] + (1) cpd00067[0] + (1) cpd03753[0],kegg:C00644 + kegg:C00003 = kegg:C00085 + kegg:C00004 | kegg:C01096 + kegg:C00003 = kegg:C00085 + kegg:C00004,6,skeleton,93.082,0.292,92.79,92.79,22.247,0.07,22.177,22.177,70.615,7.031,70.964,True,8.535,93.094,13.891,-1.955,13.134,7.0,9.31,296.15,298.15,same,1 NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1; 1 O=P([O-])([O-])OC[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO,1 NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1; 1 [H+]; 1 O=P([O-])([O-])OC[C@@H]1O[C@@](O)(CO)[C@H](O)[C@@H]1O,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.O=P([O-])([O-])OC[C@H](O)[C@@H](O)[C@@H](O)[C@H](O)CO>>NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.[H+].O=P([O-])([O-])OC[C@@H]1O[C@@](O)(CO)[C@H](O)[C@@H]1O,True
rxn33946,Pyrroline 5 Carboxylate Reductase,1.5.1.2,pyrroline-5-carboxylate reductase,(1) NADPH[0] + (2) H+[0] + (1) 1-Pyrroline-5-carboxylate[0] <=> (1) NADP[0] + (1) Proline[0],(1) cpd00005[0] + (2) cpd00067[0] + (1) cpd02431[0] <=> (1) cpd00006[0] + (1) cpd15140[0],kegg:C00148 + kegg:C00006 = kegg:C03912 + kegg:C00005,1,skeleton,63.747,-24.924,88.671,88.671,15.236,-5.957,21.193,21.193,55.411,0.0,55.411,True,43.765,63.764,-50.731,-24.924,-24.924,9.23,9.23,298.15,298.15,same,1 NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1; 2 [H+]; 1 O=C([O-])[C@@H]1CCC=N1,1 NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1; 1 O=C([O-])C1CCC[NH2+]1,NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.[H+].[H+].O=C([O-])[C@@H]1CCC=N1>>NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1.O=C([O-])C1CCC[NH2+]1,True
rxn06263,D-Aldose:NAD+ 1-oxidoreductase,1.1.1.47,glucose dehydrogenase,(1) NAD[0] + (1) D-Aldose[0] <=> (1) NADH[0] + (1) H+[0] + (1) Gluconolactone[0],(1) cpd00003[0] + (1) cpd11742[0] <=> (1) cpd00004[0] + (1) cpd00067[0] + (1) cpd00170[0],kegg:C00031 + kegg:C00003 = kegg:C00198 + kegg:C00004,2,skeleton,-81.15,-4.796,-76.354,76.354,-19.395,-1.146,-18.249,18.249,173.233,2.87,173.257,False,-8.242,-81.17,-5.607,-6.826,-2.767,6.7,7.0,294.15,303.15,same,1 NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1; 1 OC[C@H]1OC(O)C(O)C(O)C1O,1 NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1; 1 [H+]; 1 O=C1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.OC[C@H]1OC(O)C(O)C(O)C1O>>NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.[H+].O=C1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O,True
rxn28676,RXN0-5234.c,2.1.2.1,glycine hydroxymethyltransferase,(1) ALLO-THR[0] <=> (1) Glycine[0] + (1) Acetaldehyde[0],(1) cpd28687[0] <=> (1) cpd00033[0] + (1) cpd00071[0],kegg:C00037 + kegg:C00084 = kegg:C00188,1,skeleton,-64.213,10.38,-74.593,74.593,-15.347,2.481,-17.828,17.828,51.5,0.0,51.5,True,13.431,-64.224,-1.49,10.38,10.38,7.6,7.6,310.15,310.15,same,1 CC(O)C([NH3+])C(=O)[O-],1 [NH3+]CC(=O)[O-]; 1 CC=O,CC(O)C([NH3+])C(=O)[O-]>>[NH3+]CC(=O)[O-].CC=O,True
rxn28677,RXN0-5234.m,2.1.2.1,glycine hydroxymethyltransferase,(1) ALLO-THR[0] <=> (1) Glycine[0] + (1) Acetaldehyde[0],(1) cpd28687[0] <=> (1) cpd00033[0] + (1) cpd00071[0],kegg:C00037 + kegg:C00084 = kegg:C00188,1,skeleton,-64.213,10.38,-74.593,74.593,-15.347,2.481,-17.828,17.828,51.5,0.0,51.5,True,13.431,-64.224,-1.49,10.38,10.38,7.6,7.6,310.15,310.15,same,1 CC(O)C([NH3+])C(=O)[O-],1 [NH3+]CC(=O)[O-]; 1 CC=O,CC(O)C([NH3+])C(=O)[O-]>>[NH3+]CC(=O)[O-].CC=O,True
rxn07488,R07673,5.1.3.18,"GDP-D-mannose 3,5-epimerase",(1) GDP-L-gulose[0] <=> (1) GDP-L-galactose[0],(1) cpd14654[0] <=> (1) cpd01536[0],kegg:C00096 = kegg:C02280,1,skeleton,71.401,-1.686,73.087,73.087,17.065,-0.403,17.468,17.468,92.16,0.0,92.16,False,0.0,71.421,-7.707,-1.686,-1.686,8.0,8.0,310.15,310.15,reversed,1 Nc1nc2c(ncn2C2O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1,1 Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1,Nc1nc2c(ncn2C2O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@@H](CO)[C@@H](O)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1>>Nc1nc2c(ncn2[C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])O[C@H]3O[C@@H](CO)[C@@H](O)[C@@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c(=O)[nH]1,True
rxn15661,D-arabinitol:NADP+ oxidoreductase,1.1.1.10,L-xylulose reductase,(1) NADP[0] + (1) D-Lyxitol[0] <=> (1) NADPH[0] + (1) H+[0] + (1) alpha-D-Ribulose[0],(1) cpd00006[0] + (1) cpd01307[0] <=> (1) cpd00005[0] + (1) cpd00067[0] + (1) cpd05268[0],kegg:C00379 + kegg:C00006 = kegg:C00312 + kegg:C00005,5,skeleton,85.507,14.426,71.082,71.082,20.437,3.448,16.989,16.989,40.911,3.401,41.052,True,16.067,85.521,1.013,11.796,20.134,7.0,8.24,298.15,298.15,reversed,1 NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1; 1 OC[C@@H](O)C(O)[C@H](O)CO,1 NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1; 1 [H+]; 1 OC[C@]1(O)OC[C@@H](O)[C@H]1O,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)c1.OC[C@@H](O)C(O)[C@H](O)CO>>NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](OP(=O)([O-])[O-])[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.[H+].OC[C@]1(O)OC[C@@H](O)[C@H]1O,True
rxn15657,D-arabinitol:NAD+ 2-oxidoreductase (D-ribulose-forming),1.1.1.14;1.1.1.56;1.1.1.9,D-xylulose reductase;L-iditol 2-dehydrogenase;L-iditol dehydrogenase;ribitol dehydrogenase,(1) NAD[0] + (1) D-Lyxitol[0] <=> (1) NADH[0] + (1) H+[0] + (1) alpha-D-Ribulose[0],(1) cpd00003[0] + (1) cpd01307[0] <=> (1) cpd00004[0] + (1) cpd00067[0] + (1) cpd05268[0],kegg:C00379 + kegg:C00003 = kegg:C00310 + kegg:C00004 | kegg:C00474 + kegg:C00003 = kegg:C00309 + kegg:C00004 | kegg:C01904 + kegg:C00003 = kegg:C00309 + kegg:C00004,16,skeleton,85.507,14.53,70.977,70.977,20.437,3.473,16.964,16.964,40.911,4.429,41.15,True,16.067,85.521,1.042,6.858,21.445,7.0,9.5,296.15,310.15,same,1 NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1; 1 OC[C@@H](O)C(O)[C@H](O)CO,1 NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1; 1 [H+]; 1 OC[C@]1(O)OC[C@@H](O)[C@H]1O,NC(=O)c1ccc[n+]([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)c1.OC[C@@H](O)C(O)[C@H](O)CO>>NC(=O)C1=CN([C@@H]2O[C@H](COP(=O)([O-])OP(=O)([O-])OC[C@H]3O[C@@H](n4cnc5c(N)ncnc54)[C@H](O)[C@@H]3O)[C@@H](O)[C@H]2O)C=CC1.[H+].OC[C@]1(O)OC[C@@H](O)[C@H]1O,True
rxn55619,64164,2.1.2.7,D-alanine 2-hydroxymethyltransferase,(1) (S)-(+)-2-Amino-3-hydroxy-2-methylpropionic acid[0] <=> (1) L-Alanine[0] + (1) Formaldehyde[0],(1) cpd21883[0] <=> (1) cpd00035[0] + (1) cpd00055[0],kegg:C02115 = kegg:C00133 + kegg:C00067,1,skeleton,90.642,21.258,69.384,69.384,21.664,5.081,16.583,16.583,31.427,0.0,31.427,True,27.782,90.625,22.079,21.258,21.258,7.5,7.5,311.15,311.15,same,1 C[C@]([NH3+])(CO)C(=O)[O-],1 C[C@H]([NH3+])C(=O)[O-]; 1 C=O,C[C@]([NH3+])(CO)C(=O)[O-]>>C[C@H]([NH3+])C(=O)[O-].C=O,True
