Original Reaction	Matched Reaction	Original Description	Matched Description	Swapped Compounds	
rxn01241	rxn15694	(1) NAD[0] + (1) Dihydrolipoamide[0] <=> (1) NADH[0] + (1) H+[0] + (1) Lipoamide[0]	(1) NAD[0] + (1) Enzyme N6-(dihydrolipoyl)lysine[0] <=> (1) NADH[0] + (1) H+[0] + (1) Enzyme N6-(lipoyl)lysine[0]	cpd00449:cpd19172;cpd00213:cpd19171	
rxn01243	rxn39307	(1) 2-Oxoglutarate[0] + (1) H+[0] + (1) Lipoamide[0] <=> (1) CO2[0] + (1) S-Succinyldihydrolipoamide[0]	(1) 2-Oxoglutarate[0] + (1) H+[0] + (1) Enzyme N6-(lipoyl)lysine[0] <=> (1) CO2[0] + (1) [Dihydrolipoyllysine-residue succinyltransferase] S-succinyldihydrolipoyllysine[0]	cpd00213:cpd19171;cpd00860:cpd19179	
rxn01872	rxn31235	(1) Succinyl-CoA[0] + (1) Dihydrolipoamide[0] <=> (1) CoA[0] + (1) S-Succinyldihydrolipoamide[0]	(1) Succinyl-CoA[0] + (1) Enzyme N6-(dihydrolipoyl)lysine[0] <=> (1) CoA[0] + (1) [Dihydrolipoyllysine-residue succinyltransferase] S-succinyldihydrolipoyllysine[0]	cpd00449:cpd19172;cpd00860:cpd19179	
rxn02376	rxn31243	(1) Lipoamide[0] + (1) 3-Carboxy-1-hydroxypropyl-ThPP[0] <=> (1) TPP[0] + (1) S-Succinyldihydrolipoamide[0]	(1) 3-Carboxy-1-hydroxypropyl-ThPP[0] + (1) Enzyme N6-(lipoyl)lysine[0] <=> (1) TPP[0] + (1) [Dihydrolipoyllysine-residue succinyltransferase] S-succinyldihydrolipoyllysine[0]	cpd00213:cpd19171;cpd00860:cpd19179	
rxn06031	rxn39309	(1) 4MOP[0] + (1) Lipoamide[0] => (1) CO2[0] + (1) S-(3-Methylbutanoyl)-dihydrolipoamide-E[0]	(1) H+[0] + (1) 4MOP[0] + (1) Enzyme N6-(lipoyl)lysine[0] <=> (1) CO2[0] + (1) S-(3-Methylbutanoyl)-dihydrolipoamide-E[0]	cpd00213:cpd19171	
rxn06586	rxn39442	(1) Dihydrolipoamide[0] + (1) Isovaleryl-CoA[0] <=> (1) CoA[0] + (1) H+[0] + (1) S-(3-Methylbutanoyl)-dihydrolipoamide-E[0]	(1) Isovaleryl-CoA[0] + (1) Enzyme N6-(dihydrolipoyl)lysine[0] <=> (1) CoA[0] + (1) S-(3-Methylbutanoyl)-dihydrolipoamide-E[0]	cpd00449:cpd19172	
rxn06621	rxn39453	(1) Lipoamide[0] + (1) 3MOP[0] => (1) CO2[0] + (1) S-(2-Methylbutanoyl)-dihydrolipoamide-E[0]	(1) H+[0] + (1) 3MOP[0] + (1) Enzyme N6-(lipoyl)lysine[0] <=> (1) CO2[0] + (1) S-(2-Methylbutanoyl)-dihydrolipoamide-E[0]	cpd00213:cpd19171	
rxn07433	rxn39827	(1) Lipoamide[0] + (1) 3-Methyl-1-hydroxybutyl-TPP[0] <=> (1) TPP[0] + (1) H+[0] + (1) S-(3-Methylbutanoyl)-dihydrolipoamide-E[0]	(1) 3-Methyl-1-hydroxybutyl-TPP[0] + (1) Enzyme N6-(lipoyl)lysine[0] <=> (1) TPP[0] + (1) S-(3-Methylbutanoyl)-dihydrolipoamide-E[0]	cpd00213:cpd19171	
rxn07435	rxn39828	(1) Lipoamide[0] + (1) 2-Methyl-1-hydroxybutyl-TPP[0] <=> (1) TPP[0] + (1) H+[0] + (1) S-(2-Methylbutanoyl)-dihydrolipoamide-E[0]	(1) 2-Methyl-1-hydroxybutyl-TPP[0] + (1) Enzyme N6-(lipoyl)lysine[0] <=> (1) TPP[0] + (1) S-(2-Methylbutanoyl)-dihydrolipoamide-E[0]	cpd00213:cpd19171	
rxn11955	rxn39315	(1) Lipoamide[0] + (1) 2-Oxoadipate[0] <=> (1) CO2[0] + (1) S-Glutaryldihydrolipoamide-E[0]	(1) H+[0] + (1) 2-Oxoadipate[0] + (1) Enzyme N6-(lipoyl)lysine[0] <=> (1) CO2[0] + (1) S-Glutaryldihydrolipoamide-E[0]	cpd00213:cpd19171	
rxn11960	rxn39347	(1) Glutaryl-CoA[0] + (1) Dihydrolipoamide[0] <=> (1) CoA[0] + (1) H+[0] + (1) S-Glutaryldihydrolipoamide-E[0]	(1) Glutaryl-CoA[0] + (1) Enzyme N6-(dihydrolipoyl)lysine[0] <=> (1) CoA[0] + (1) S-Glutaryldihydrolipoamide-E[0]	cpd00449:cpd19172	
rxn22957	rxn39387	(1) 2-Hydroxyethyl-ThPP[0] + (1) Pyruvate-dehydrogenase-lipoate[0] <= (1) TPP[0] + (1) Pyruvate-dehydrogenase-acetylDHlipoyl[0]	(1) 2-Hydroxyethyl-ThPP[0] + (1) Enzyme N6-(lipoyl)lysine[0] <=> (1) TPP[0] + (1) [Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine[0]	cpd28013:cpd19171;cpd28011:cpd19180	
rxn25979	rxn39306	(1) Pyruvate[0] + (1) H+[0] + (1) Pyruvate-dehydrogenase-lipoate[0] <= (1) CO2[0] + (1) Pyruvate-dehydrogenase-acetylDHlipoyl[0]	(1) Pyruvate[0] + (1) H+[0] + (1) Enzyme N6-(lipoyl)lysine[0] <=> (1) CO2[0] + (1) [Dihydrolipoyllysine-residue acetyltransferase] S-acetyldihydrolipoyllysine[0]	cpd28013:cpd19171;cpd28011:cpd19180	
