rxn	name	ec	status	is_transport	n_src	birge	struct_zero	dg_GC	grade_GC	dg_EQ	grade_EQ	dg_DGPMS	grade_DGPMS	dg_TECRDB	grade_TECRDB	best_grade	best_source
rxn00036	3,4-dihydroxy-L-phenylalanine:oxygen oxidoreductase	1.10.3.1	OK	0	3	3.2607	False	-79.7300	BRONZE	-85.7260	BRONZE	-176.8900	BRONZE			BRONZE	GC
rxn00037	omega-3 fatty acid desaturase, chloroplast (FAD7) (FADD)	1.14.99.-	OK	0	3	3.9340	False	-83.1400	BRONZE	-101.8600	BRONZE	-176.1900	BRONZE			BRONZE	GC
rxn00038	(R)-3-((R)-3-Hydroxybutanoyloxy)-butanoate hydroxybutanoylhydrolase	3.1.1.22	OK	0	3	2.0600	False	-2.1100	BRONZE	-10.9130	BRONZE	-1.4800	BRONZE			BRONZE	GC
rxn00039	1-O-galloyl-beta-D-glucose:1-O-galloyl-beta-D-glucose O-galloyltransferase	2.3.1.90	OK	0	3	0.3620	False	0.0000	SILVER	-1.7040	SILVER	-3.3200	SILVER			SILVER	GC
rxn00040	digallate acylhydrolase	3.1.1.20	OK	0	3	2.1412	False	-2.1100	BRONZE	-11.1140	SILVER	9.6300	BRONZE			SILVER	EQ
rxn00041	orsellinate-depside hydrolase	3.1.1.40	OK	0	3	1.6422	False	-2.1100	BRONZE	-10.0690	SILVER	5.9700	BRONZE			SILVER	EQ
rxn00042	inosine:oxygen 5'-oxidoreductase	1.1.3.28	OK	0	3	1.8794	False	-98.3300	BRONZE	-101.4680	BRONZE	-79.7100	BRONZE			BRONZE	GC
rxn00043	catechol:oxygen oxidoreductase	1.10.3.1;1.14.18.1	OK	0	3	4.1696	False	-82.1700	BRONZE	-72.0240	BRONZE	-189.7100	BRONZE			BRONZE	GC
rxn00044	N-(6-aminohexanoyl)-6-aminohexanoate amidohydrolase	3.5.1.46	OK	0	3	0.9386	False	-0.4600	SILVER	0.7030	SILVER	12.4600	BRONZE			SILVER	GC
rxn00045	bilirubin-glucuronoside:bilirubin-glucuronoside D-glucuronosyltransferase	2.4.1.95	OK	0	2	0.0020	True	0.0000	BRONZE	0.0080	GOLD					GOLD	EQ
rxn00046	1-O-sinapoyl-beta-D-glucose:1-O-sinapoyl-beta-D-glucose 1-O-sinapoyltransferase	2.3.1.103	OK	0	3	0.1429	False	0.0000	SILVER	-0.9190	SILVER	-0.3700	SILVER			SILVER	GC
rxn00047	R_4__4_Deoxy_beta_D_gluc_4_enuronosyl__D_galacturonate_lyase	4.2.2.6	OK	0	3	1.3990	False	-9.3700	BRONZE	-16.7570	SILVER	-5.1900	SILVER			SILVER	EQ
