rxn	name	ec	source	dg	sigma	operator	ehat	p_ok	z	birge	n_src	struct_zero	grade	reason	n_anchor	n_proxy
rxn00001	diphosphate phosphohydrolase	3.6.1.1	Group contribution	4.1800	2.2400	=	2.6883	0.6225	2.9712	2.1438	3	False	BRONZE	uncorroborated	802	11318
rxn00002	urea-1-carboxylate amidohydrolase	3.5.1.54	Group contribution	-9.7100	1.9000	>	2.0964	0.6581	2.9727	6.1795	3	False	BRONZE	uncorroborated	802	11318
rxn00003	pyruvate:pyruvate acetaldehydetransferase (decarboxylating)	2.2.1.6	Group contribution	10.5600	1.4900	<	2.0964	0.6581	1.5869	1.2902	3	False	BRONZE	uncorroborated	802	11318
rxn00004	4-hydroxy-4-methyl-2-oxoglutarate pyruvate-lyase (pyruvate-forming)	4.1.3.17	Group contribution	3.1700	1.5500	=	2.0964	0.6581	0.0210	1.0385	3	False	SILVER	corroborated	802	11318
rxn00006	hydrogen-peroxide:hydrogen-peroxide oxidoreductase	1.11.1.21;1.11.1.6	Group contribution	-45.3500	0.0000	>	0.0000	1.0000	0.0146	1.8816	3	False	GOLD	self-certain	802	11318
rxn00007	alpha,alpha-trehalose glucohydrolase	3.2.1.28	Group contribution	-3.1100	8.6400	=	3.6853	0.5594	0.0244	0.4717	3	False	SILVER	corroborated	802	11318
rxn00008	Mn(II):hydrogen-peroxide oxidoreductase	1.11.1.13	Group contribution	62.3200	0.0000	<	0.0000	1.0000	0.2363	1.9575	3	False	GOLD	self-certain	802	11318
rxn00009	GTP:GTP guanylyltransferase	2.7.7.45	Group contribution	-8.4300	15.5900	>	3.6940	0.5594	3.0130	2.6667	3	False	BRONZE	outvoted	802	11318
rxn00010	glyoxylate carboxy-lyase (dimerizing; tartronate-semialdehyde-forming)	4.1.1.47	Group contribution	-10.6000	1.2200	>	1.9775	0.6581	2.7526	2.2273	3	False	BRONZE	uncorroborated	802	11318
rxn00011	pyruvate:thiamin diphosphate acetaldehydetransferase (decarboxylating)	1.2.4.1;2.2.1.6;4.1.1.1	Group contribution	6.9000	7.6400	<	3.6853	0.5594	0.0920	0.0839	3	False	SILVER	corroborated	802	11318
rxn00012	sucrose:sucrose 1'-beta-D-fructosyltransferase	2.4.1.99	Group contribution	0.0000	14.0700	=	3.6940	0.5594	0.4492	0.5910	3	False	SILVER	corroborated	802	11318
rxn00013	D-Glucose-1-phosphate:D-glucose-1-phosphate 6-phosphotransferase	2.7.1.41	Group contribution	0.0000	7.4000	=	3.6853	0.5594	0.3876	0.2781	3	False	SILVER	corroborated	802	11318
rxn00015	putrescine:putrescine 4-aminobutyltransferase (ammonia-forming)	2.5.1.44	Group contribution	-0.5200	3.2000	=	2.6883	0.6225	0.2817	3.4314	3	False	BRONZE	uncorroborated	802	11318
rxn00016	chitobiose N-acetylglucosaminohydrolase	3.2.1.52	Group contribution	-3.1100	9.1900	=	3.6853	0.5594	0.0008	0.3323	3	False	SILVER	corroborated	802	11318
rxn00018	3-phospho-D-glycerate carboxy-lyase (dimerizing; D-ribulose-1,5-bisphosphate-forming)	4.1.1.39	Group contribution	-7.8500	1.6200	=	2.0964	0.6581	0.2793	0.4982	3	False	SILVER	corroborated	802	11318
rxn00020	cellobiose glucohydrolase	3.2.1.21	Group contribution	-3.1100	8.6400	=	3.6853	0.5594	0.1775	0.7772	3	False	SILVER	corroborated	802	11318
rxn00021	2-hydroxy-1,2-diphenylethanone benzaldehyde-lyase (benzaldehyde-forming)	4.1.2.38	Group contribution	2.4700	4.6000	=	3.6853	0.5594	0.0063	1.2250	3	False	SILVER	corroborated	802	11318
rxn00022	maltose glucohydrolase	3.2.1.20	Group contribution	-3.1100	8.6400	=	3.6853	0.5594	0.1911	0.6045	3	False	SILVER	corroborated	802	11318
rxn00024	1,2-Benzenediol:oxygen oxidoreductase	1.10.3.1	Group contribution	-82.8800	5.6900	>	3.6853	0.5594	11.0157	8.3390	3	False	BRONZE	outvoted	802	11318
rxn00025	beta-Carotene:oxygen 15,15'-oxidoreductase (bond-cleaving)	1.13.11.63;1.14.99.36	Group contribution	-87.4600	16.3900	>	3.6940	0.5594	0.3702	1.0172	3	False	SILVER	corroborated	802	11318
rxn00026	thiamine:oxygen 5-oxidoreductase	1.1.3.23	Group contribution	-26.4900	7.2500	>	3.6853	0.5594	0.0297	0.2565	3	False	SILVER	corroborated	802	11318
rxn00028	L-ascorbate:oxygen oxidoreductase	1.10.3.3	Group contribution	-94.3300	6.0600	>	3.6853	0.5594	3.4941	2.7640	3	False	BRONZE	outvoted	802	11318
rxn00029	5-aminolevulinate hydro-lyase (adding 5-aminolevulinate and cyclizing; porphobilinogen-forming)	4.2.1.24	Group contribution	-15.2700	3.1500	>	2.6883	0.6225	3.7024	3.1103	3	False	BRONZE	outvoted	802	11318
rxn00030	4-hydroxy-3-hexanone propanal-lyase (propanal-forming)	4.1.2.35	Group contribution	-4.0200	1.1500	=	1.9775	0.6581	0.6239	0.5749	3	False	SILVER	corroborated	802	11318
rxn00031	raffinose:raffinose 1F-alpha-D-galactosyltransferase	2.4.1.166	Group contribution	0.0000	21.2800	=	3.6940	0.5594	0.0672	0.0688	2	True	BRONZE	uncorroborated	802	11318
rxn00032	Choline:oxygen 1-oxidoreductase	1.1.3.17	Group contribution	-98.3300	11.1300	>	3.6853	0.5594	0.5493	1.2504	3	False	SILVER	corroborated	802	11318
rxn00033	4-hydroxyphenylpyruvate:oxygen oxidoreductase (decarboxylating)	1.2.3.13	Group contribution	-136.5600	5.0100	>	3.6853	0.5594	6.0522	4.5556	3	False	BRONZE	outvoted	802	11318
rxn00034	1,2-bis(4-hydroxy-3-methoxyphenyl)ethylene:oxygen oxidoreductase (alpha-beta-bond-cleaving)	1.13.11.43	Group contribution	-83.7800	6.7400	>	3.6853	0.5594	0.9931	1.1466	3	False	SILVER	corroborated	802	11318
rxn00035	columbamine:oxygen oxidoreductase (cyclizing)	1.21.3.2	Group contribution	-121.3500	23.2800	>	3.6940	0.5594	0.4598	3.3638	3	False	BRONZE	uncorroborated	802	11318
rxn00036	3,4-dihydroxy-L-phenylalanine:oxygen oxidoreductase	1.10.3.1	Group contribution	-79.7300	6.9000	>	3.6853	0.5594	2.3412	3.3799	3	False	BRONZE	uncorroborated	802	11318
rxn00037	omega-3 fatty acid desaturase, chloroplast (FAD7) (FADD)	1.14.99.-	Group contribution	-83.1400	7.4300	>	3.6853	0.5594	6.0275	4.9381	3	False	BRONZE	outvoted	802	11318
rxn00038	(R)-3-((R)-3-Hydroxybutanoyloxy)-butanoate hydroxybutanoylhydrolase	3.1.1.22	Group contribution	-2.1100	1.6200	=	2.0964	0.6581	4.4285	3.6725	3	False	BRONZE	outvoted	802	11318
rxn00039	1-O-galloyl-beta-D-glucose:1-O-galloyl-beta-D-glucose O-galloyltransferase	2.3.1.90	Group contribution	0.0000	11.2800	=	3.6853	0.5594	0.5887	0.4447	3	False	SILVER	corroborated	802	11318
rxn00040	digallate acylhydrolase	3.1.1.20	Group contribution	-2.1100	7.7100	=	3.6853	0.5594	3.0845	2.8232	3	False	BRONZE	outvoted	802	11318
rxn00041	orsellinate-depside hydrolase	3.1.1.40	Group contribution	-2.1100	7.5900	=	3.6853	0.5594	3.1302	2.5058	3	False	BRONZE	outvoted	802	11318
rxn00042	inosine:oxygen 5'-oxidoreductase	1.1.3.28	Group contribution	-98.3300	15.5400	>	3.6940	0.5594	0.7609	1.9628	3	False	BRONZE	uncorroborated	802	11318
rxn00043	catechol:oxygen oxidoreductase	1.10.3.1;1.14.18.1	Group contribution	-82.1700	6.8500	>	3.6853	0.5594	0.4241	3.6363	3	False	BRONZE	uncorroborated	802	11318
rxn00044	N-(6-aminohexanoyl)-6-aminohexanoate amidohydrolase	3.5.1.46	Group contribution	-0.4600	2.9800	=	2.6883	0.6225	0.5996	0.9646	3	False	SILVER	corroborated	802	11318
rxn00045	bilirubin-glucuronoside:bilirubin-glucuronoside D-glucuronosyltransferase	2.4.1.95	Group contribution	0.0000	36.1200	=	3.6940	0.5594	0.0080	0.0081	2	True	BRONZE	uncorroborated	802	11318
rxn00046	1-O-sinapoyl-beta-D-glucose:1-O-sinapoyl-beta-D-glucose 1-O-sinapoyltransferase	2.3.1.103	Group contribution	0.0000	12.3800	=	3.6853	0.5594	0.2992	0.2247	3	False	SILVER	corroborated	802	11318
rxn00047	R_4__4_Deoxy_beta_D_gluc_4_enuronosyl__D_galacturonate_lyase	4.2.2.6	Group contribution	-9.3700	7.4300	=	3.6853	0.5594	1.3132	1.0337	3	False	BRONZE	uncorroborated	802	11318
rxn00048	6,7-Dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D-ribityl)lumazine 2,3-butanediyltransferase	2.5.1.9	Group contribution	-60.9900	13.3100	>	3.6940	0.5594	7.5732	6.0139	3	False	BRONZE	outvoted	802	11318
rxn00050	rxn00050	1.14.13.-	Group contribution	105.6200	6.9700	<	3.6853	0.5594	7.8022	6.3546	3	False	BRONZE	outvoted	802	11318
rxn00051	D-urobilinogen:oxygen oxidoreductase		Group contribution	-84.1100	29.4200	>	3.6940	0.5594	5.7338	4.7457	3	False	BRONZE	outvoted	802	11318
rxn00052	thiamine-aldehyde:oxygen 5-oxidoreductase	1.1.3.23	Group contribution	-41.4800	7.2300	>	3.6853	0.5594	0.2182	0.7423	3	False	SILVER	corroborated	802	11318
rxn00054	2-aminophenol:oxygen oxidoreductase (dimerizing)	1.10.3.4	Group contribution	-286.3000	14.0900	>	3.6940	0.5594	0.5347	3.1319	2	False	BRONZE	uncorroborated	802	11318
rxn00055	S-adenosyl-L-methionine:S-adenosyl-L-methionine 3-amino-3-carboxypropyltransferase	2.5.1.43	Group contribution	-24.4600	29.0800	=	3.6940	0.5594	0.0006	0.0037	2	False	SILVER	corroborated	802	11318
rxn00057	Catechol:oxygen oxidoreductase (dimerizing)	1.1.3.14;1.10.3.1	Group contribution	-264.9200	14.1200	>	3.6940	0.5594	0.5761	3.3745	2	False	BRONZE	uncorroborated	802	11318
rxn00060	porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing)	2.5.1.61;4.3.1.8	Group contribution	-25.9700	16.5800	>	3.6940	0.5594	2.0575	1.4962	3	False	BRONZE	uncorroborated	802	11318
rxn00061	ATP diphosphohydrolase (phosphate-forming)	3.6.1.5	Group contribution	-23.0700	8.8300	>	3.6853	0.5594	2.6104	1.9450	3	False	BRONZE	uncorroborated	802	11318
rxn00062	ATP phosphohydrolase	3.6.1.15;3.6.1.3;3.6.1.5;3.6.1.8;3.6.3.1;3.6.3.10;3.6.3.11;3.6.3.12;3.6.3.14;3.6.3.15;3.6.3.16;3.6.3.17;3.6.3.18;3.6.3.19;3.6.3.2;3.6.3.20;3.6.3.21;3.6.3.22;3.6.3.23;3.6.3.24;3.6.3.25;3.6.3.26;3.6.3.27;3.6.3.28;3.6.3.29;3.6.3.3;3.6.3.30;3.6.3.31;3.6.3.32;3.6.3.33;3.6.3.34;3.6.3.35;3.6.3.36;3.6.3.37;3.6.3.38;3.6.3.39;3.6.3.4;3.6.3.40;3.6.3.41;3.6.3.42;3.6.3.43;3.6.3.44;3.6.3.46;3.6.3.47;3.6.3.48;3.6.3.49;3.6.3.5;3.6.3.50;3.6.3.51;3.6.3.52;3.6.3.53;3.6.3.54;3.6.3.55;3.6.3.6;3.6.3.7;3.6.3.8;3.6.3.9;3.6.4.1;3.6.4.10;3.6.4.11;3.6.4.12;3.6.4.13;3.6.4.2;3.6.4.3;3.6.4.4;3.6.4.5;3.6.4.6;3.6.4.7;3.6.4.8;3.6.4.9;5.6.1.c;5.6.1.d;5.6.1.f;5.6.1.g;7.3.2.a;7.3.2.f;7.5.2.h;7.5.2.j;7.5.2.l;7.6.2.c;7.6.2.f	Group contribution	-6.7800	8.6600	>	3.6853	0.5594	0.0139	0.5469	3	False	SILVER	corroborated	802	11318
rxn00063	ATP diphosphohydrolase (diphosphate-forming)	3.6.1.8	Group contribution	-27.2400	8.6600	>	3.6853	0.5594	4.7820	3.4967	3	False	BRONZE	outvoted	802	11318
rxn00064	ATP aminohydrolase	3.5.4.18	Group contribution	-8.5100	8.2100	>	3.6853	0.5594	0.5433	3.8548	3	False	BRONZE	uncorroborated	802	11318
rxn00065	ATP diphosphate-lyase (cyclizing; 3',5'-cyclic-AMP-forming)	4.6.1.1	Group contribution	-8.4500	9.7800	>	3.6853	0.5594	2.6129	2.0747	3	False	BRONZE	uncorroborated	802	11318
rxn00066	NADH:hydrogen-peroxide oxidoreductase	1.11.1.1	Group contribution	-77.0900	12.2000	>	3.6853	0.5594	0.0629	2.0784	3	False	BRONZE	uncorroborated	802	11318
rxn00067	CoA:NAD+ oxidoreductase	1.8.1.14;1.8.1.M1	Group contribution	2.9400	23.0000	<	3.6940	0.5594	1.5832	1.2584	3	False	BRONZE	uncorroborated	802	11318
rxn00069	L-glutamate:NAD+ oxidoreductase (transaminating)	1.4.1.14	Group contribution	13.4400	12.3700	=	3.6853	0.5594	0.4109	0.4999	3	False	SILVER	corroborated	802	11318
rxn00070	glutathione:NAD+ oxidoreductase	1.8.1.7	Group contribution	-4.9400	18.6600	=	3.6940	0.5594	2.2505	1.6535	3	False	BRONZE	uncorroborated	802	11318
rxn00071	NADH:monodehydroascorbate oxidoreductase	1.6.5.4	Group contribution	-19.9100	14.0000	=	3.6940	0.5594	0.5407	3.1670	2	False	BRONZE	uncorroborated	802	11318
rxn00075	NAD nucleosidase, mitochondrial	3.2.2.5;3.2.2.6	Group contribution	-3.6400	11.9400	=	3.6853	0.5594	1.4420	1.3421	3	False	BRONZE	uncorroborated	802	11318
rxn00076	NAD+ phosphohydrolase	3.6.1.22;3.6.1.9	Group contribution	-28.3100	11.3500	>	3.6853	0.5594	5.0784	3.8348	3	False	BRONZE	outvoted	802	11318
rxn00077	ATP:NAD+ 2'-phosphotransferase	2.7.1.23	Group contribution	-14.0000	15.0100	=	3.6940	0.5594	3.0914	2.2246	3	False	BRONZE	outvoted	802	11318
rxn00078	ATP:NADH 2'-phosphotransferase	2.7.1.86	Group contribution	-14.0000	14.8100	=	3.6940	0.5594	3.0785	2.2194	3	False	BRONZE	outvoted	802	11318
rxn00083	NADPH:NAD+ oxidoreductase	1.6.1.1;1.6.1.2;1.6.1.3	Group contribution	0.0000	17.2300	=	3.6940	0.5594	0.0187	0.0188	2	True	BRONZE	uncorroborated	802	11318
rxn00084	NADPH:hydrogen-peroxide oxidoreductase	1.11.1.2	Group contribution	-77.0900	12.1700	>	3.6853	0.5594	0.0799	2.0624	3	False	BRONZE	uncorroborated	802	11318
rxn00085	L-Glutamate:NADP+ oxidoreductase (transaminating)	1.4.1.13	Group contribution	13.4400	12.3400	=	3.6853	0.5594	0.4229	0.4591	3	False	SILVER	corroborated	802	11318
rxn00086	glutathione:NADP+ oxidoreductase	1.6.4.2;1.8.1.7	Group contribution	-4.9400	18.6400	=	3.6940	0.5594	2.2391	1.6318	3	False	BRONZE	uncorroborated	802	11318
rxn00087	NADPH:CoA-glutathione oxidoreductase	1.8.1.10	Group contribution	-4.9400	16.9300	=	3.6940	0.5594	0.8222	0.5949	3	False	SILVER	corroborated	802	11318
rxn00088	NADP+ 2'-phosphohydrolase	3.1.3.-;3.1.3.2	Group contribution	7.2200	12.3400	=	3.6853	0.5594	3.0876	2.2657	3	False	BRONZE	outvoted	802	11318
rxn00089	NADP+ glycohydrolase	3.2.2.5;3.2.2.6	Group contribution	-3.6400	11.9100	=	3.6853	0.5594	1.4675	1.5444	3	False	BRONZE	uncorroborated	802	11318
rxn00090	glutathione:oxygen oxidoreductase	1.8.3.3	Group contribution	-36.6800	14.1200	>	3.6940	0.5594	2.2985	1.6618	3	False	BRONZE	uncorroborated	802	11318
rxn00092	ADP phosphohydrolase	3.6.1.5	Group contribution	-16.2800	8.6400	>	3.6853	0.5594	2.6167	1.8669	3	False	BRONZE	uncorroborated	802	11318
rxn00093	ADP aminohydrolase	3.5.4.17;3.5.4.7	Group contribution	-8.5100	8.1800	>	3.6853	0.5594	0.5566	4.2226	3	False	BRONZE	uncorroborated	802	11318
rxn00095	P1,P4-bis(5'-adenosyl)-tetraphosphate nucleotidebisphosphohydrolase	3.6.1.41	Group contribution	-9.3100	17.1900	=	3.6940	0.5594	0.3005	0.2640	3	False	SILVER	corroborated	802	11318
