rxn	name	ec	status	is_transport	n_src	birge	struct_zero	dg_GC	dg_EQ	dg_DGP	dg_openTECR	best_grade	best_source
rxn00015	putrescine:putrescine 4-aminobutyltransferase (ammonia-forming)	2.5.1.44	OK	0	3	3.394639043612287	False	-0.52	-1.05	-45.96		BRONZE	EQ
rxn00016	chitobiose N-acetylglucosaminohydrolase	3.2.1.52	OK	0	3	0.37318766283412824	False	-3.11	-3.82	0.69		SILVER	EQ
rxn00017	hydroxylamine:NAD+ oxidoreductase	1.7.1.5	OK	0	1		False			-6.89		BRONZE	DGP
rxn00018	3-phospho-D-glycerate carboxy-lyase (dimerizing; D-ribulose-1,5-bisphosphate-forming)	4.1.1.39	OK	0	3	0.6783947709268067	False	-7.85	-5.01	-8.98		SILVER	EQ
rxn00019	2-Nitropropane:oxygen 2-oxidoreductase	1.13.11.32	OK	0	1		False			-48.09		BRONZE	DGP
rxn00020	cellobiose glucohydrolase	3.2.1.21	OK	0	3	0.7694887250620815	False	-3.11	-2.53	7.56	-2.4134799235181643	SILVER	EQ
rxn00021	2-hydroxy-1,2-diphenylethanone benzaldehyde-lyase (benzaldehyde-forming)	4.1.2.38	OK	0	3	1.253186383283514	False	2.47	2.71	-26.71		SILVER	EQ
rxn00022	maltose glucohydrolase	3.2.1.20	OK	0	3	0.6081146694677394	False	-3.11	-3.25	-4.49	-3.44359464627151	GOLD	openTECR
rxn00023	thiosulfate:ferricytochrome-c oxidoreductase	1.8.2.2	OK	0	0		False						
rxn00024	1,2-Benzenediol:oxygen oxidoreductase	1.10.3.1	OK	0	3	4.61104960185611	False	-82.88	-113.15	-51.51		BRONZE	EQ
rxn00025	beta-Carotene:oxygen 15,15'-oxidoreductase (bond-cleaving)	1.13.11.63;1.14.99.36	OK	0	3	1.069161256309223	False	-87.46	-85.6	-56.46		SILVER	EQ
rxn00026	thiamine:oxygen 5-oxidoreductase	1.1.3.23	OK	0	3	0.2870635788305475	False	-26.49	-26.16	-28.99		SILVER	EQ
rxn00027	Cyclobutadipyrimidine (in DNA) pyrimidine-lyase	4.1.99.3	CI:8	0	0		False						
rxn00028	L-ascorbate:oxygen oxidoreductase	1.10.3.3	CI:2	0	3	2.065381085815307	False	-94.33	-107.23	-74.15		BRONZE	EQ
rxn00029	5-aminolevulinate hydro-lyase (adding 5-aminolevulinate and cyclizing; porphobilinogen-forming)	4.2.1.24	OK	0	3	2.512061047624678	False	-15.27	-25.27	-70.94		BRONZE	EQ
rxn00030	4-hydroxy-3-hexanone propanal-lyase (propanal-forming)	4.1.2.35	OK	0	3	0.5158932257689705	False	-4.02	-2.91	2.0		SILVER	EQ
rxn00031	raffinose:raffinose 1F-alpha-D-galactosyltransferase	2.4.1.166	OK	0	2	0.003993979623064296	True	0.0	-0.02			SILVER	EQ
rxn00032	Choline:oxygen 1-oxidoreductase	1.1.3.17	OK	0	3	1.0233921946167848	False	-98.33	-99.18	-86.88		SILVER	EQ
rxn00033	4-hydroxyphenylpyruvate:oxygen oxidoreductase (decarboxylating)	1.2.3.13	OK	0	3	2.843520242809874	False	-136.56	-155.93	-129.96		BRONZE	EQ
rxn00034	1,2-bis(4-hydroxy-3-methoxyphenyl)ethylene:oxygen oxidoreductase (alpha-beta-bond-cleaving)	1.13.11.43	OK	0	3	0.951775033753219	False	-83.78	-86.64	-60.69		SILVER	EQ
rxn00035	columbamine:oxygen oxidoreductase (cyclizing)	1.21.3.2	OK	0	3	3.6796656171688342	False	-121.35	-107.93	-22.27		BRONZE	EQ
rxn00036	3,4-dihydroxy-L-phenylalanine:oxygen oxidoreductase	1.10.3.1	OK	0	3	3.3430322288755643	False	-79.73	-84.91	-176.89		BRONZE	EQ
rxn00037	omega-3 fatty acid desaturase, chloroplast (FAD7) (FADD)	1.14.99.-	OK	0	3	3.878561002843212	False	-83.14	-101.91	-176.19		BRONZE	EQ
rxn00038	(R)-3-((R)-3-Hydroxybutanoyloxy)-butanoate hydroxybutanoylhydrolase	3.1.1.22	OK	0	3	1.7700707317479702	False	-2.11	-11.1	-1.48		SILVER	DGP
rxn00039	1-O-galloyl-beta-D-glucose:1-O-galloyl-beta-D-glucose O-galloyltransferase	2.3.1.90	OK	0	3	0.3636600040382189	False	0.0	-1.74	-3.32		SILVER	EQ
rxn00040	digallate acylhydrolase	3.1.1.20	OK	0	3	2.162520804286726	False	-2.11	-11.39	9.63		SILVER	EQ
rxn00041	orsellinate-depside hydrolase	3.1.1.40	OK	0	3	1.8793232701647014	False	-2.11	-11.49	5.97		SILVER	EQ
rxn00042	inosine:oxygen 5'-oxidoreductase	1.1.3.28	OK	0	3	1.8078602086533129	False	-98.33	-101.57	-79.71		SILVER	EQ
rxn00043	catechol:oxygen oxidoreductase	1.10.3.1;1.14.18.1	OK	0	3	4.286304515712095	False	-82.17	-70.78	-189.71		BRONZE	EQ
rxn00044	N-(6-aminohexanoyl)-6-aminohexanoate amidohydrolase	3.5.1.46	OK	0	3	0.9697578925272874	False	-0.46	1.07	12.46		SILVER	EQ
rxn00045	bilirubin-glucuronoside:bilirubin-glucuronoside D-glucuronosyltransferase	2.4.1.95	OK	0	2	0.0	True	0.0	0.0			GOLD	EQ
rxn00046	1-O-sinapoyl-beta-D-glucose:1-O-sinapoyl-beta-D-glucose 1-O-sinapoyltransferase	2.3.1.103	OK	0	3	0.1335918491097216	False	0.0	-0.94	-0.37		SILVER	EQ
rxn00047	R_4__4_Deoxy_beta_D_gluc_4_enuronosyl__D_galacturonate_lyase	4.2.2.6	OK	0	3	1.4079201518262456	False	-9.37	-16.9	-5.19		SILVER	EQ
rxn00048	6,7-Dimethyl-8-(1-D-ribityl)lumazine:6,7-dimethyl-8-(1-D-ribityl)lumazine 2,3-butanediyltransferase	2.5.1.9	CI:1	0	3	6.661496129938078	False	-60.99	-17.85	43.01		BRONZE	EQ
rxn00050	rxn00050	1.14.13.-	OK	0	3	3.846860035132638	False	105.62	126.62	47.82		BRONZE	EQ
rxn00051	D-urobilinogen:oxygen oxidoreductase		OK	0	3	5.423747133524283	False	-84.11	-118.65	-36.82		BRONZE	EQ
rxn00052	thiamine-aldehyde:oxygen 5-oxidoreductase	1.1.3.23	OK	0	3	0.6762375824117209	False	-41.48	-40.51	-33.39		SILVER	EQ
rxn00053	Prostaglandin H2:oxygen oxidoreductase	1.14.99.1	OK	0	1		False			-18.23		BRONZE	DGP
rxn00054	2-aminophenol:oxygen oxidoreductase (dimerizing)	1.10.3.4	OK	0	2	3.2891746707983804	False	-286.3	-241.43	-218.53		BRONZE	DGP
rxn00055	S-adenosyl-L-methionine:S-adenosyl-L-methionine 3-amino-3-carboxypropyltransferase	2.5.1.43	CI:-1	0	2	0.0038827500909528767	False	-24.46	18.84	-24.38		SILVER	DGP
rxn00056	Fe(II):oxygen oxidoreductase	1.16.3.1	OK	0	2	1.8982036337613886	False		-15.88	-4.16		SILVER	EQ
rxn00057	Catechol:oxygen oxidoreductase (dimerizing)	1.1.3.14;1.10.3.1	OK	0	2	3.5439801455171573	False	-264.92	-160.1	-191.9		BRONZE	DGP
rxn00058	Ferrocytochrome-c:oxygen oxidoreductase	1.7.2.1;1.9.3.1	OK	0	0		False						
rxn00059	Benzenediol:oxygen oxidoreductase	1.10.3.2	CI:-4	0	0		False						
rxn00060	porphobilinogen:(4-[2-carboxyethyl]-3-[carboxymethyl]pyrrol-2-yl)methyltransferase (hydrolysing)	2.5.1.61;4.3.1.8	OK	0	3	1.3250303289057186	False	-25.97	-35.2	-38.48		SILVER	EQ
rxn00061	ATP diphosphohydrolase (phosphate-forming)	3.6.1.5	OK	0	3	1.9313758683887723	False	-23.07	-12.55	-13.74		GOLD	DGP
rxn00062	ATP phosphohydrolase	3.6.1.15;3.6.1.3;3.6.1.5;3.6.1.8;3.6.3.1;3.6.3.10;3.6.3.11;3.6.3.12;3.6.3.14;3.6.3.15;3.6.3.16;3.6.3.17;3.6.3.18;3.6.3.19;3.6.3.2;3.6.3.20;3.6.3.21;3.6.3.22;3.6.3.23;3.6.3.24;3.6.3.25;3.6.3.26;3.6.3.27;3.6.3.28;3.6.3.29;3.6.3.3;3.6.3.30;3.6.3.31;3.6.3.32;3.6.3.33;3.6.3.34;3.6.3.35;3.6.3.36;3.6.3.37;3.6.3.38;3.6.3.39;3.6.3.4;3.6.3.40;3.6.3.41;3.6.3.42;3.6.3.43;3.6.3.44;3.6.3.46;3.6.3.47;3.6.3.48;3.6.3.49;3.6.3.5;3.6.3.50;3.6.3.51;3.6.3.52;3.6.3.53;3.6.3.54;3.6.3.55;3.6.3.6;3.6.3.7;3.6.3.8;3.6.3.9;3.6.4.1;3.6.4.10;3.6.4.11;3.6.4.12;3.6.4.13;3.6.4.2;3.6.4.3;3.6.4.4;3.6.4.5;3.6.4.6;3.6.4.7;3.6.4.8;3.6.4.9;5.6.1.c;5.6.1.d;5.6.1.f;5.6.1.g;7.3.2.a;7.3.2.f;7.5.2.h;7.5.2.j;7.5.2.l;7.6.2.c;7.6.2.f	OK	0	3	0.6874959167133095	False	-6.78	-6.3	-7.07	-6.2151051625239	GOLD	openTECR
rxn00063	ATP diphosphohydrolase (diphosphate-forming)	3.6.1.8	OK	0	3	3.3497365296628216	False	-27.24	-8.52	-9.96		GOLD	DGP
rxn00064	ATP aminohydrolase	3.5.4.18	OK	0	3	1.4633711245563867	False	-8.51	-13.07	-6.3		SILVER	EQ
rxn00065	ATP diphosphate-lyase (cyclizing; 3',5'-cyclic-AMP-forming)	4.6.1.1	OK	0	3	1.9667641365701936	False	-8.45	0.53	2.04	1.6195028680688335	GOLD	openTECR
rxn00066	NADH:hydrogen-peroxide oxidoreductase	1.11.1.1	OK	0	3	1.5065429558531307	False	-77.09	-76.47	-68.59		SILVER	EQ
rxn00067	CoA:NAD+ oxidoreductase	1.8.1.14;1.8.1.M1	OK	0	3	1.0971200453541745	False	2.94	-3.46	-18.89		SILVER	EQ
rxn00068	Fe2+:NAD+ oxidoreductase	1.16.1.7	OK	0	2	0.39174778034321617	False		45.92	47.6		SILVER	EQ
rxn00069	L-glutamate:NAD+ oxidoreductase (transaminating)	1.4.1.14	OK	0	3	0.3860799163478167	False	13.44	12.0	11.59		SILVER	EQ
rxn00070	glutathione:NAD+ oxidoreductase	1.8.1.7	CI:-2	0	3	1.695598499104885	False	-4.94	1.28	3.22	4.298757170172084	GOLD	openTECR
rxn00071	NADH:monodehydroascorbate oxidoreductase	1.6.5.4	CI:2	0	2	3.326060796662431	False	-19.91		48.62		BRONZE	DGP
rxn00072	NADH:cob(III)alamine oxidoreductase	1.16.1.3	OK	0	1		False			63.14		BRONZE	DGP
rxn00073	rxn00073		MI:H:6/R:2|CI:4	0	0		False						
rxn00074	cob(I)alamin:NAD+ oxidoreductase	1.16.1.4	OK	0	1		False			14.37		SILVER	DGP
rxn00075	NAD nucleosidase, mitochondrial	3.2.2.5;3.2.2.6	OK	0	3	1.0182745554234163	False	-3.64	-8.22	16.23		SILVER	EQ
rxn00076	NAD+ phosphohydrolase	3.6.1.22;3.6.1.9	OK	0	3	3.3502436382331546	False	-28.31	-7.72	-10.39		SILVER	EQ
rxn00077	ATP:NAD+ 2'-phosphotransferase	2.7.1.23	OK	0	3	2.0947427098333042	False	-14.0	-2.4	-2.05	-2.0346558317399617	GOLD	openTECR
rxn00078	ATP:NADH 2'-phosphotransferase	2.7.1.86	OK	0	3	2.0947427098333042	False	-14.0	-2.4	-2.05		SILVER	EQ
rxn00079	NADPH:ferricytochrome oxidoreductase	1.6.2.4	OK	0	0		False						
rxn00080	cob(II)alamin:NADP+ oxidoreductase	1.16.1.5	OK	0	1		False			-63.14		BRONZE	DGP
rxn00081	rxn00081		MI:H:-6/R:-2|CI:-4	0	0		False						
rxn00082	N-(omega)-Hydroxyarginine,NADPH:oxygen oxidoreductase	1.14.13.39	CI:4	0	1		False		33.84	-47.35		BRONZE	DGP
rxn00083	NADPH:NAD+ oxidoreductase	1.6.1.1;1.6.1.2;1.6.1.3	OK	0	2	0.0025480838241676938	True	0.0	0.01			GOLD	EQ
rxn00084	NADPH:hydrogen-peroxide oxidoreductase	1.11.1.2	OK	0	3	1.5054977157291785	False	-77.09	-76.46	-68.59		SILVER	EQ
rxn00085	L-Glutamate:NADP+ oxidoreductase (transaminating)	1.4.1.13	OK	0	3	0.38280155156260637	False	13.44	11.99	11.59		SILVER	EQ
rxn00086	glutathione:NADP+ oxidoreductase	1.6.4.2;1.8.1.7	CI:-2	0	3	1.6985648972125282	False	-4.94	1.27	3.22	2.9139579349904396	GOLD	openTECR
rxn00087	NADPH:CoA-glutathione oxidoreductase	1.8.1.10	CI:-2	0	3	0.5104481193432632	False	-4.94	-4.45	-1.91		SILVER	EQ
rxn00088	NADP+ 2'-phosphohydrolase	3.1.3.-;3.1.3.2	OK	0	3	2.1294733391847465	False	7.22	-3.9	-5.02		SILVER	EQ
rxn00089	NADP+ glycohydrolase	3.2.2.5;3.2.2.6	OK	0	3	1.466781743206215	False	-3.64	-10.36	24.49		SILVER	EQ
rxn00090	glutathione:oxygen oxidoreductase	1.8.3.3	CI:-2	0	3	1.3309455705673443	False	-36.68	-29.96	-27.54		SILVER	EQ
rxn00091	rxn00091	1.13.99.-	CI:-2	0	2	0.9164099861600253	False		-71.13	-75.06		SILVER	EQ
rxn00092	ADP phosphohydrolase	3.6.1.5	OK	0	3	1.834377978652894	False	-16.28	-6.25	-6.67		GOLD	EQ
rxn00093	ADP aminohydrolase	3.5.4.17;3.5.4.7	OK	0	3	1.4002638450239988	False	-8.51	-12.34	-5.94		SILVER	EQ
rxn00095	P1,P4-bis(5'-adenosyl)-tetraphosphate nucleotidebisphosphohydrolase	3.6.1.41	OK	0	3	0.1777909903326464	False	-9.31	-8.16	-6.9		SILVER	EQ
rxn00096	ADP:ATP adenylyltransferase	2.7.7.53	OK	0	3	0.13555601034977416	False	2.53	1.86	-0.17		SILVER	EQ
rxn00097	ATP:AMP phosphotransferase	2.7.4.3	OK	0	3	1.8442287172187015	False	9.5	-0.04	-0.39	-0.36281070745697896	GOLD	openTECR
rxn00098	Adenosine-tetraphosphate phosphohydrolase	3.6.1.14	OK	0	3	0.26235736851723684	False	-6.78	-8.26	-8.25		SILVER	EQ
rxn00099	(6S)-6-Hydroxy-1,4,5,6-tetrahydronicotinamide-adenine-dinucleotide hydro-lyase (ATP-hydrolysing)	4.2.1.93	OK	0	3	1.0102621179736575	False	-13.07	-11.93	-27.11		SILVER	EQ
rxn00100	ATP:dephospho-CoA 3'-phosphotransferase	2.7.1.24	OK	0	3	2.7125353732281186	False	-14.0	1.29	-0.35	-0.28967495219885275	GOLD	openTECR
rxn00101	Urea amidohydrolase	3.5.1.5	OK	0	3	1.1297991392479583	False	-5.81	-8.44	-1.77		SILVER	EQ
rxn00102	carbonate hydro-lyase (carbon-dioxide-forming)	4.2.1.1	OK	0	3	0.832346015828272	False	0.81	0.02	-2.59		GOLD	GC
rxn00103	formate:NADP+ oxidoreductase	1.17.1.10;1.2.1.43	OK	0	3	0.7484344526619162	False	-3.09	-4.56	-7.87		SILVER	EQ
