external_id	smiles	formula	charge
POLYMER_10033	[H]O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O	C6H12O6	0
POLYMER_10034	[H]O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O	C6H12O6	0
POLYMER_10035	[H]O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O	C6H12O6	0
POLYMER_10036	[H]O[C@]1(CO)O[C@H](CO)[C@@H](O)[C@@H]1O	C6H12O6	0
POLYMER_10183	[H]O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O	C6H12O6	0
POLYMER_10564	[H]C/C(C)=C\COP(=O)([O-])OP(=O)([O-])[O-]	C5H9O7P2	-3
POLYMER_10858	[H]C/C(C)=C/Cc1cc(O)cc(OC)c1O	C12H16O3	0
POLYMER_10859	[H]C/C(C)=C/Cc1c(C)c(O)cc(OC)c1O	C13H18O3	0
POLYMER_10914	[H]C/C(C)=C/Cc1c(C)c(O)c(O)c(OC)c1O	C13H18O4	0
POLYMER_10930	[H]C/C(C)=C/Cc1cc(C(=O)[O-])cc(O)c1O	C12H13O4	-1
POLYMER_10931	[H]C/C(C)=C/Cc1cc(C(=O)[O-])cc(OC)c1O	C13H15O4	-1
POLYMER_11044	CC(=O)N[C@H]1[C@H](O[C@H]2[C@H](O)[C@@H](NC(C)=O)[C@@H](OP(=O)([O-])OP(=O)([O-])OCCC(C)CC/C=C(\C)CC/C=C(\C)CC/C=C(\C)CCC=C(C)C)O[C@@H]2CO)O[C@H](CO)[C@@H](O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]2O)[C@@H]1O	C47H80N2O22P2	-2
POLYMER_11144	[H]O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O	C6H12O6	0
POLYMER_11145	[H]O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O	C6H12O6	0
POLYMER_11146	[H]O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O	C6H12O6	0
POLYMER_11150	[H]O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O	C6H12O6	0
POLYMER_11151	[H]O[C@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O	C6H12O6	0
POLYMER_11264	[H]O[C@@H]1C(C(=O)[O-])O[C@@H](O)[C@@H](O)[C@H]1O	C6H9O7	-1
POLYMER_11266	[H]O[C@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1[NH3+]	C12H21NO11	0
POLYMER_11267	[H]O[C@H]1O[C@H](CO)[C@@H](O[C@@H]2O[C@@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]2O)[C@H](O)[C@H]1[NH3+]	C12H21NO11	0
POLYMER_11270	[H]O[C@H]1[C@H](O)[C@H](O)[C@H](O)O[C@@H]1C(=O)[O-]	C6H9O7	-1
POLYMER_11350	[H]O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O	C6H12O6	0
POLYMER_11351	[H]O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O	C6H12O6	0
POLYMER_11585	CC(=O)N[C@H]1[C@@H](O[C@H]2[C@H](O)[C@@H](OS(=O)(=O)[O-])[C@H](O[C@H]3[C@H](O)[C@@H](NS(=O)(=O)[O-])[C@@H](O)O[C@@H]3COS(=O)(=O)[O-])O[C@H]2C(=O)[O-])O[C@H](CO)[C@@H](O)[C@@H]1O	C20H30N2O25S3	-4
POLYMER_11686	[H]O[C@H]1[C@H](O)[C@H](O)[C@H](O)O[C@@H]1C(=O)[O-]	C6H9O7	-1
POLYMER_11881	[H]O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O	C6H12O6	0
POLYMER_11882	[H]O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O	C6H12O6	0
POLYMER_11931	CC(=O)N[C@H]1[C@@H](OP(=O)([O-])OCCC(C)CC/C=C(/C)CC/C=C(\C)CC/C=C(\C)CCCC(C)C)O[C@H](CO)[C@@H](O)[C@@H]1O	C33H59NO9P	-1
POLYMER_11986	[H]O[C@@H]1O[C@H](CO)[C@H](O)[C@H](O[C@@H]2O[C@@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]2O)[C@H]1NC(C)=O	C14H22NO12	-1
POLYMER_12047	CC(=O)N[C@H]1[C@H](O[C@H]2[C@H](O)[C@@H](CO)O[C@H](OP(=O)([O-])OCCC(C)CC/C=C(/C)CC/C=C(\C)CC/C=C(\C)CCCC(C)C)[C@@H]2NC(C)=O)O[C@H](C(=O)[O-])[C@@H](O)[C@@H]1NC(C)=O	C43H72N3O15P	-2
POLYMER_12390	[H]O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O	C6H12O6	0
POLYMER_12391	[H]O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@@H]1O	C6H12O6	0
POLYMER_12420	[H]OCCOC(=O)c1ccc(C(=O)[O-])cc1	C10H9O5	-1
POLYMER_12421	[H]OCCOC(=O)c1ccc(C(=O)[O-])cc1	C10H9O5	-1
POLYMER_12438	[H][NH2+][C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-]	C10H16N3O6S	-1
POLYMER_12439	[H][NH2+][C@@H](CCC(=O)N[C@@H](CS)C(=O)NCC(=O)[O-])C(=O)[O-]	C10H16N3O6S	-1
POLYMER_12583	[H]O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O[C@@H]2O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]2O)[C@H]1NC(C)=O	C14H22NO12	-1
POLYMER_12585	[H]O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O[C@@H]2O[C@H](C(=O)[O-])[C@@H](O[C@@H]3O[C@H](CO)[C@@H](O)[C@H](O)[C@H]3NC(C)=O)[C@H](O)[C@H]2O)[C@H]1NC(C)=O	C22H35N2O17	-1
POLYMER_12587	[H]O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O[C@@H]2O[C@H](C(=O)[O-])[C@@H](O)[C@H](O)[C@H]2O)[C@H]1NC(C)=O	C14H22NO12	-1
