CHEBI_11009	VOXXWSYKYCBWHO-MRVPVSSYSA-M
CHEBI_11047	WHBMMWSBFZVSSR-VKHMYHEASA-M
CHEBI_11060	PHIQHXFUZVPYII-LURJTMIESA-N
CHEBI_1107	LXZAKEGPNJYZBT-LSRIWWPWSA-N
CHEBI_1109	WVPRAWNIVDFQBO-DUBIXASGSA-N
CHEBI_1110	SWYAYSXDWCPYPJ-DUBIXASGSA-N
CHEBI_111503	WTRFKFAOQHUCRP-UOYQFSTFSA-M
CHEBI_111504	ZKSTYMJGEHZSFH-MBABXGOBSA-M
CHEBI_111505	YCJYNBLLJHFIIW-MBABXGOBSA-O
CHEBI_111509	JSTYGXQNHFJXJZ-YUNPFAOVSA-N
CHEBI_11152	GNSDEDOVXZDMKM-UHFFFAOYSA-N
CHEBI_111521	WQMTVIWUDHFWNR-VQVTYTSYSA-N
CHEBI_111522	OIBXQBFLSXHTEZ-VQVTYTSYSA-L
CHEBI_111523	TWEGOAYSXFKLRS-UMWONPOSSA-L
CHEBI_111542	ACVTTWBZLGNMCH-UMWONPOSSA-N
CHEBI_11173	VOJUXHHACRXLTD-UHFFFAOYSA-M
CHEBI_11222	SPQICHFDXHERAC-UHFFFAOYSA-N
CHEBI_11302	RAKDXBHPGCOTQG-SFPMZPPXSA-N
CHEBI_11305	YJCJVMMDTBEITC-UHFFFAOYSA-M
CHEBI_11320	BYCZEMFWXYCUSJ-UHFFFAOYSA-M
CHEBI_11412	SBZWTSHAFILOTE-SOUVJXGZSA-N
CHEBI_11424	JTEYKUFKXGDTEU-UHFFFAOYSA-M
CHEBI_11438	FHXOPKKNGKBBKG-DXLKSGPOSA-L
CHEBI_11449	RXMWXENJQAINCC-DMTCNVIQSA-M
CHEBI_114953	NTNWOCRCBQPEKQ-YFKPBYRVSA-O
CHEBI_1156	SWINWPBPEKHUOD-JPVZDGGYSA-N
CHEBI_11561	PKVVTUWHANFMQC-UHFFFAOYSA-M
CHEBI_11596	HWXBTNAVRSUOJR-UHFFFAOYSA-L
CHEBI_116314	FATBGEAMYMYZAF-KTKRTIGZSA-N
CHEBI_11641	NOXRYJAWRSNUJD-UHFFFAOYSA-M
CHEBI_116509	XMTQQYYKAHVGBJ-UHFFFAOYSA-N
